Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125	-0.075	0	
0.001	0.125	-0.075002	0	
0.0015	0.125	-0.075006	0	
0.002	0.125	-0.07501199	0	
0.0025	0.125	-0.07501999	0	
0.003	0.125	-0.07502999	0	
0.0035	0.125	-0.07504199	0	
0.004	0.125	-0.07505598	0	
0.0045	0.125	-0.07507198	0	
0.005	0.125	-0.07508997	0	
0.0055	0.125	-0.07510996	0	
0.006	0.1249999	-0.07513195	0	
0.0065	0.1249999	-0.07515594	0	
0.007	0.1249999	-0.07518194	0	
0.0075	0.1249998	-0.07520993	0	
0.008	0.1249998	-0.07523992	0	
0.0085	0.1249997	-0.0752719	0	
0.009000001	0.1249996	-0.07530589	0	
0.009500001	0.1249995	-0.07534188	0	
0.01	0.1249994	-0.07537987	0	
0.0105	0.1249993	-0.07541986	0	
0.011	0.1249992	-0.07546184	0	
0.0115	0.124999	-0.07550582	0	
0.012	0.1249988	-0.07555181	0	
0.0125	0.1249986	-0.07559979	0	
0.013	0.1249984	-0.07564978	0	
0.0135	0.1249981	-0.07570176	0	
0.014	0.1249978	-0.07575574	0	
0.0145	0.1249974	-0.07581171	0	
0.015	0.124997	-0.07586969	0	
0.0155	0.1249966	-0.07592967	0	
0.016	0.1249961	-0.07599165	0	
0.0165	0.1249956	-0.07605562	0	
0.017	0.124995	-0.0761216	0	
0.0175	0.1249944	-0.07618957	0	
0.018	0.1249937	-0.07625955	0	
0.0185	0.124993	-0.07633152	0	
0.019	0.1249922	-0.07640549	0	
0.0195	0.1249913	-0.07648145	0	
0.02	0.1249904	-0.07655942	0	
0.0205	0.1249894	-0.07663938	0	
0.021	0.1249883	-0.07672135	0	
0.0215	0.1249871	-0.07680531	0	
0.022	0.1249858	-0.07689127	0	
0.0225	0.1249845	-0.07697923	0	
0.023	0.124983	-0.07706919	0	
0.0235	0.1249815	-0.07716113	0	
0.024	0.1249798	-0.07725509	0	
0.0245	0.124978	-0.07735103	0	
0.025	0.1249762	-0.07744897	0	
0.0255	0.1249742	-0.07754891	0	
0.026	0.1249721	-0.07765086	0	
0.0265	0.1249698	-0.07775479	0	
0.027	0.1249675	-0.07786072	0	
0.0275	0.124965	-0.07796865	0	
0.028	0.1249623	-0.07807857	0	
0.0285	0.1249595	-0.07819049	0	
0.029	0.1249565	-0.0783044	0	
0.0295	0.1249534	-0.07842032	0	
0.03	0.1249501	-0.07853822	0	
0.0305	0.1249467	-0.07865813	0	
0.031	0.1249431	-0.07878002	0	
0.0315	0.1249393	-0.07890391	0	
0.032	0.1249353	-0.07902978	0	
0.0325	0.1249311	-0.07915766	0	
0.033	0.1249267	-0.07928752	0	
0.0335	0.1249222	-0.07941938	0	
0.034	0.1249174	-0.07955324	0	
0.0345	0.1249123	-0.07968908	0	
0.035	0.1249071	-0.07982691	0	
0.0355	0.1249016	-0.07996675	0	
0.036	0.1248959	-0.08010855	0	
0.0365	0.12489	-0.08025236	0	
0.037	0.1248838	-0.08039815	0	
0.0375	0.1248773	-0.08054592	0	
0.038	0.1248706	-0.0806957	0	
0.0385	0.1248636	-0.08084745	0	
0.039	0.1248563	-0.08100118	0	
0.0395	0.1248487	-0.08115692	0	
0.04	0.1248408	-0.08131462	0	
0.0405	0.1248327	-0.08147432	0	
0.041	0.1248242	-0.081636	0	
0.0415	0.1248154	-0.08179966	0	
0.042	0.1248063	-0.0819653	0	
0.0425	0.1247968	-0.08213292	0	
0.043	0.124787	-0.08230253	0	
0.0435	0.1247769	-0.08247411	0	
0.044	0.1247664	-0.08264767	0	
0.0445	0.1247555	-0.0828232	0	
0.045	0.1247443	-0.08300071	0	
0.0455	0.1247326	-0.0831802	0	
0.046	0.1247206	-0.08336166	0	
0.0465	0.1247082	-0.0835451	0	
0.047	0.1246954	-0.0837305	0	
0.0475	0.1246821	-0.08391788	0	
0.048	0.1246685	-0.08410722	0	
0.0485	0.1246543	-0.08429854	0	
0.049	0.1246398	-0.08449181	0	
0.0495	0.1246248	-0.08468705	0	
0.05	0.1246093	-0.08488426	0	
0.0505	0.1245934	-0.08508343	0	
0.051	0.1245769	-0.08528455	0	
0.0515	0.12456	-0.08548764	0	
0.052	0.1245426	-0.08569269	0	
0.0525	0.1245247	-0.08589969	0	
0.053	0.1245062	-0.08610864	0	
0.0535	0.1244872	-0.08631954	0	
0.054	0.1244677	-0.0865324	0	
0.0545	0.1244477	-0.0867472	0	
0.055	0.124427	-0.08696394	0	
0.0555	0.1244058	-0.08718264	0	
0.056	0.124384	-0.08740328	0	
0.0565	0.1243616	-0.08762585	0	
0.057	0.1243387	-0.08785037	0	
0.0575	0.1243151	-0.08807682	0	
0.058	0.1242909	-0.0883052	0	
0.0585	0.124266	-0.08853552	0	
0.059	0.1242405	-0.08876776	0	
0.0595	0.1242144	-0.08900193	0	
0.06	0.1241875	-0.08923803	0	
0.0605	0.12416	-0.08947604	0	
0.061	0.1241318	-0.08971598	0	
0.0615	0.1241029	-0.08995783	0	
0.062	0.1240733	-0.09020159	0	
0.0625	0.124043	-0.09044727	0	
0.063	0.1240119	-0.09069486	0	
0.0635	0.1239801	-0.09094434	0	
0.064	0.1239476	-0.09119573	0	
0.0645	0.1239142	-0.09144902	0	
0.06500001	0.1238801	-0.09170421	0	
0.06550001	0.1238452	-0.09196129	0	
0.066	0.1238095	-0.09222025	0	
0.0665	0.1237729	-0.0924811	0	
0.067	0.1237356	-0.09274384	0	
0.0675	0.1236973	-0.09300844	0	
0.068	0.1236583	-0.09327493	0	
0.0685	0.1236183	-0.09354328	0	
0.06900001	0.1235775	-0.09381351	0	
0.06950001	0.1235358	-0.0940856	0	
0.07	0.1234932	-0.09435955	0	
0.0705	0.1234497	-0.09463535	0	
0.071	0.1234052	-0.09491301	0	
0.0715	0.1233598	-0.09519251	0	
0.072	0.1233134	-0.09547386	0	
0.07250001	0.1232661	-0.09575704	0	
0.07300001	0.1232178	-0.09604206	0	
