Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125	-0.075	0	
0.001	0.125	-0.07500215	-1.630567E-07	
0.0015	0.125	-0.07500629	-3.261086E-07	
0.002	0.125	-0.07501244	-4.891514E-07	
0.0025	0.125	-0.07502057	-6.521809E-07	
0.003	0.125	-0.07503072	-8.151927E-07	
0.0035	0.125	-0.07504287	-9.781827E-07	
0.004	0.125	-0.075057	-1.141147E-06	
0.0045	0.125	-0.07507315	-1.304081E-06	
0.005	0.125	-0.07509128	-1.46698E-06	
0.0055	0.125	-0.07511142	-1.629842E-06	
0.006	0.1249999	-0.07513355	-1.792661E-06	
0.0065	0.1249999	-0.07515769	-1.955433E-06	
0.007	0.1249999	-0.07518383	-2.118155E-06	
0.0075	0.1249998	-0.07521196	-2.280822E-06	
0.008	0.1249998	-0.0752421	-2.443431E-06	
0.0085	0.1249997	-0.07527424	-2.605976E-06	
0.009000001	0.1249996	-0.07530838	-2.768455E-06	
0.009500001	0.1249995	-0.0753445	-2.930862E-06	
0.01	0.1249994	-0.07538264	-3.093194E-06	
0.0105	0.1249993	-0.07542277	-3.255448E-06	
0.011	0.1249992	-0.0754649	-3.417617E-06	
0.0115	0.124999	-0.07550903	-3.5797E-06	
0.012	0.1249988	-0.07555516	-3.741691E-06	
0.0125	0.1249986	-0.07560329	-3.903586E-06	
0.013	0.1249983	-0.07565342	-4.065381E-06	
0.0135	0.1249981	-0.07570554	-4.227073E-06	
0.014	0.1249977	-0.07575967	-4.388655E-06	
0.0145	0.1249974	-0.07581579	-4.550126E-06	
0.015	0.124997	-0.07587392	-4.71148E-06	
0.0155	0.1249966	-0.07593405	-4.872714E-06	
0.016	0.1249961	-0.07599616	-5.033823E-06	
0.0165	0.1249956	-0.07606029	-5.194803E-06	
0.017	0.124995	-0.0761264	-5.355649E-06	
0.0175	0.1249944	-0.07619452	-5.516358E-06	
0.018	0.1249937	-0.07626464	-5.676925E-06	
0.0185	0.1249929	-0.07633676	-5.837346E-06	
0.019	0.1249921	-0.07641087	-5.997617E-06	
0.0195	0.1249913	-0.07648698	-6.157734E-06	
0.02	0.1249903	-0.07656509	-6.317692E-06	
0.0205	0.1249893	-0.0766452	-6.477486E-06	
0.021	0.1249882	-0.07672732	-6.637114E-06	
0.0215	0.124987	-0.07681143	-6.796569E-06	
0.022	0.1249857	-0.07689752	-6.955848E-06	
0.0225	0.1249844	-0.07698563	-7.114947E-06	
0.023	0.1249829	-0.07707573	-7.27386E-06	
0.0235	0.1249813	-0.07716783	-7.432584E-06	
0.024	0.1249797	-0.07726192	-7.591115E-06	
0.0245	0.1249779	-0.07735802	-7.749447E-06	
0.025	0.124976	-0.07745611	-7.907577E-06	
0.0255	0.124974	-0.0775562	-8.0655E-06	
0.026	0.1249719	-0.07765829	-8.223212E-06	
0.0265	0.1249697	-0.07776237	-8.380707E-06	
0.027	0.1249673	-0.07786845	-8.537982E-06	
0.0275	0.1249648	-0.07797652	-8.695031E-06	
0.028	0.1249621	-0.07808659	-8.851852E-06	
0.0285	0.1249593	-0.07819866	-9.008437E-06	
0.029	0.1249563	-0.07831272	-9.164783E-06	
0.0295	0.1249532	-0.07842877	-9.320886E-06	
0.03	0.1249499	-0.07854682	-9.476742E-06	
0.0305	0.1249465	-0.07866687	-9.632345E-06	
0.031	0.1249428	-0.07878891	-9.78769E-06	
0.0315	0.124939	-0.07891294	-9.942773E-06	
0.032	0.124935	-0.07903897	-1.009759E-05	
0.0325	0.1249308	-0.07916699	-1.025213E-05	
0.033	0.1249264	-0.079297	-1.04064E-05	
0.0335	0.1249218	-0.079429	-1.056039E-05	
0.034	0.124917	-0.079563	-1.071409E-05	
0.0345	0.124912	-0.07969899	-1.08675E-05	
0.035	0.1249067	-0.07983696	-1.102061E-05	
0.0355	0.1249012	-0.07997694	-1.117343E-05	
0.036	0.1248955	-0.08011889	-1.132594E-05	
0.0365	0.1248895	-0.08026284	-1.147813E-05	
0.037	0.1248833	-0.08040877	-1.163002E-05	
0.0375	0.1248768	-0.08055671	-1.178158E-05	
0.038	0.1248701	-0.08070662	-1.193282E-05	
0.0385	0.1248631	-0.08085851	-1.208372E-05	
0.039	0.1248557	-0.0810124	-1.223429E-05	
0.0395	0.1248481	-0.08116827	-1.238452E-05	
0.04	0.1248403	-0.08132613	-1.253441E-05	
0.0405	0.1248321	-0.08148597	-1.268394E-05	
0.041	0.1248236	-0.08164779	-1.283312E-05	
0.0415	0.1248148	-0.0818116	-1.298194E-05	
0.042	0.1248056	-0.08197738	-1.313039E-05	
0.0425	0.1247961	-0.08214515	-1.327847E-05	
0.043	0.1247863	-0.0823149	-1.342617E-05	
0.0435	0.1247761	-0.08248662	-1.357349E-05	
0.044	0.1247656	-0.08266033	-1.372042E-05	
0.0445	0.1247547	-0.08283601	-1.386696E-05	
0.045	0.1247434	-0.08301367	-1.40131E-05	
0.0455	0.1247318	-0.08319329	-1.415884E-05	
0.046	0.1247197	-0.0833749	-1.430417E-05	
0.0465	0.1247073	-0.08355848	-1.444909E-05	
0.047	0.1246944	-0.08374403	-1.459358E-05	
0.0475	0.1246812	-0.08393154	-1.473765E-05	
0.048	0.1246674	-0.08412103	-1.488129E-05	
0.0485	0.1246533	-0.08431249	-1.502449E-05	
0.049	0.1246387	-0.08450591	-1.516725E-05	
0.0495	0.1246237	-0.08470129	-1.530956E-05	
0.05	0.1246082	-0.08489864	-1.545142E-05	
0.0505	0.1245922	-0.08509795	-1.559282E-05	
0.051	0.1245757	-0.08529922	-1.573375E-05	
0.0515	0.1245588	-0.08550244	-1.587421E-05	
0.052	0.1245413	-0.08570763	-1.60142E-05	
0.0525	0.1245234	-0.08591477	-1.61537E-05	
0.053	0.1245049	-0.08612386	-1.629271E-05	
0.0535	0.1244859	-0.08633491	-1.643123E-05	
0.054	0.1244663	-0.0865479	-1.656925E-05	
0.0545	0.1244462	-0.08676285	-1.670676E-05	
