Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125001	-0.07500048	0	
0.001	0.1250028	-0.07500143	0	
0.0015	0.1250057	-0.07500285	0	
0.002	0.1250095	-0.07500475	0	
0.0025	0.1250142	-0.07500713	0	
0.003	0.1250199	-0.07500996	0	
0.0035	0.1250266	-0.07501329	0	
0.004	0.1250342	-0.07501709	0	
0.0045	0.1250427	-0.07502136	0	
0.005	0.1250522	-0.0750261	0	
0.0055	0.1250627	-0.07503132	0	
0.006	0.125074	-0.07503701	0	
0.0065	0.1250864	-0.07504317	0	
0.007	0.1250997	-0.07504981	0	
0.0075	0.1251139	-0.07505693	0	
0.008	0.1251291	-0.0750645	0	
0.0085	0.1251452	-0.07507256	0	
0.009000001	0.1251623	-0.07508109	0	
0.009500001	0.1251804	-0.07509009	0	
0.01	0.1251993	-0.07509955	0	
0.0105	0.1252193	-0.0751095	0	
0.011	0.1252402	-0.07511991	0	
0.0115	0.125262	-0.07513079	0	
0.012	0.1252848	-0.07514214	0	
0.0125	0.1253085	-0.07515396	0	
0.013	0.1253332	-0.07516625	0	
0.0135	0.1253588	-0.075179	0	
0.014	0.1253854	-0.07519224	0	
0.0145	0.1254129	-0.07520593	0	
0.015	0.1254414	-0.07522009	0	
0.0155	0.1254708	-0.07523471	0	
0.016	0.1255011	-0.07524981	0	
0.0165	0.1255325	-0.07526536	0	
0.017	0.1255647	-0.07528138	0	
0.0175	0.1255979	-0.07529787	0	
0.018	0.1256321	-0.07531482	0	
0.0185	0.1256672	-0.07533223	0	
0.019	0.1257033	-0.07535011	0	
0.0195	0.1257403	-0.07536844	0	
0.02	0.1257782	-0.07538724	0	
0.0205	0.1258171	-0.07540649	0	
0.021	0.125857	-0.07542621	0	
0.0215	0.1258978	-0.07544639	0	
0.022	0.1259395	-0.07546701	0	
0.0225	0.1259822	-0.07548811	0	
0.023	0.1260258	-0.07550965	0	
0.0235	0.1260704	-0.07553165	0	
0.024	0.1261159	-0.0755541	0	
0.0245	0.1261624	-0.07557701	0	
0.025	0.1262098	-0.07560037	0	
0.0255	0.1262582	-0.07562419	0	
0.026	0.1263075	-0.07564845	0	
0.0265	0.1263577	-0.07567316	0	
0.027	0.1264089	-0.07569832	0	
0.0275	0.1264611	-0.07572394	0	
0.028	0.1265142	-0.07574999	0	
0.0285	0.1265682	-0.0757765	0	
0.029	0.1266232	-0.07580345	0	
0.0295	0.1266791	-0.07583084	0	
0.03	0.126736	-0.07585867	0	
0.0305	0.1267938	-0.07588696	0	
0.031	0.1268526	-0.07591567	0	
0.0315	0.1269123	-0.07594483	0	
0.032	0.126973	-0.07597443	0	
0.0325	0.1270345	-0.07600447	0	
0.033	0.1270971	-0.07603494	0	
0.0335	0.1271606	-0.07606585	0	
0.034	0.127225	-0.07609718	0	
0.0345	0.1272904	-0.07612896	0	
0.035	0.1273567	-0.07616117	0	
0.0355	0.127424	-0.0761938	0	
0.036	0.1274922	-0.07622687	0	
0.0365	0.1275613	-0.07626036	0	
0.037	0.1276314	-0.07629428	0	
0.0375	0.1277024	-0.07632863	0	
0.038	0.1277744	-0.07636339	0	
0.0385	0.1278473	-0.07639859	0	
0.039	0.1279212	-0.0764342	0	
0.0395	0.127996	-0.07647023	0	
0.04	0.1280717	-0.07650668	0	
0.0405	0.1281484	-0.07654355	0	
0.041	0.128226	-0.07658084	0	
0.0415	0.1283046	-0.07661854	0	
0.042	0.1283841	-0.07665665	0	
0.0425	0.1284645	-0.07669517	0	
0.043	0.1285459	-0.0767341	0	
0.0435	0.1286282	-0.07677344	0	
0.044	0.1287115	-0.07681319	0	
0.0445	0.1287957	-0.07685335	0	
0.045	0.1288808	-0.0768939	0	
0.0455	0.1289669	-0.07693487	0	
0.046	0.1290539	-0.07697622	0	
0.0465	0.1291419	-0.07701799	0	
0.047	0.1292307	-0.07706014	0	
0.0475	0.1293206	-0.07710269	0	
0.048	0.1294113	-0.07714564	0	
0.0485	0.129503	-0.07718898	0	
0.049	0.1295957	-0.07723271	0	
0.0495	0.1296892	-0.07727683	0	
0.05	0.1297837	-0.07732134	0	
0.0505	0.1298792	-0.07736623	0	
0.051	0.1299756	-0.07741151	0	
0.0515	0.1300729	-0.07745717	0	
0.052	0.1301711	-0.0775032	0	
0.0525	0.1302703	-0.07754963	0	
0.053	0.1303704	-0.07759642	0	
0.0535	0.1304715	-0.0776436	0	
0.054	0.1305735	-0.07769114	0	
0.0545	0.1306764	-0.07773905	0	
0.055	0.1307802	-0.07778734	0	
0.0555	0.130885	-0.07783599	0	
0.056	0.1309907	-0.07788501	0	
0.0565	0.1310973	-0.07793439	0	
0.057	0.1312049	-0.07798414	0	
0.0575	0.1313134	-0.07803424	0	
0.058	0.1314229	-0.07808471	0	
0.0585	0.1315332	-0.07813553	0	
0.059	0.1316445	-0.0781867	0	
0.0595	0.1317567	-0.07823823	0	
0.06	0.1318699	-0.0782901	0	
0.0605	0.131984	-0.07834233	0	
0.061	0.132099	-0.0783949	0	
0.0615	0.1322149	-0.07844781	0	
0.062	0.1323317	-0.07850107	0	
0.0625	0.1324495	-0.07855467	0	
0.063	0.1325682	-0.07860859	0	
0.0635	0.1326879	-0.07866286	0	
0.064	0.1328084	-0.07871747	0	
0.0645	0.1329299	-0.07877241	0	
0.06500001	0.1330523	-0.07882767	0	
0.06550001	0.1331756	-0.07888327	0	
0.066	0.1332999	-0.07893918	0	
0.0665	0.133425	-0.07899543	0	
0.067	0.1335511	-0.07905199	0	
0.0675	0.1336782	-0.07910886	0	
0.068	0.1338061	-0.07916606	0	
0.0685	0.1339349	-0.07922357	0	
0.06900001	0.1340647	-0.07928139	0	
0.06950001	0.1341954	-0.07933953	0	
0.07	0.134327	-0.07939797	0	
0.0705	0.1344595	-0.07945671	0	
0.071	0.134593	-0.07951575	0	
0.0715	0.1347273	-0.0795751	0	
0.072	0.1348626	-0.07963475	0	
0.07250001	0.1349988	-0.07969468	0	
0.07300001	0.1351359	-0.07975491	0	
0.0735	0.1352739	-0.07981544	0	
0.074	0.1354129	-0.07987625	0	
0.0745	0.1355527	-0.07993735	0	
