Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0.1165751	
0.0005	0.125	-0.07500222	0.1165751	
0.001	0.125	-0.07500665	0.1165751	
0.0015	0.125	-0.0750133	0.1165751	
0.002	0.125	-0.07502216	0.1165751	
0.0025	0.125	-0.07503324	0.1165751	
0.003	0.125	-0.07504654	0.1165751	
0.0035	0.125	-0.07506205	0.1165751	
0.004	0.125	-0.07507978	0.1165751	
0.0045	0.125	-0.07509973	0.1165751	
0.005	0.1249999	-0.07512189	0.1165751	
0.0055	0.1249999	-0.07514627	0.1165751	
0.006000001	0.1249999	-0.07517286	0.1165751	
0.006500001	0.1249998	-0.07520167	0.1165751	
0.007000001	0.1249998	-0.07523269	0.1165751	
0.007500001	0.1249997	-0.07526594	0.1165751	
0.008	0.1249997	-0.07530139	0.1165751	
0.0085	0.1249996	-0.07533907	0.1165751	
0.009000001	0.1249995	-0.07537895	0.1165751	
0.009500001	0.1249993	-0.07542106	0.1165751	
0.01	0.1249992	-0.07546538	0.1165751	
0.0105	0.124999	-0.07551192	0.1165751	
0.011	0.1249988	-0.07556068	0.1165751	
0.0115	0.1249985	-0.07561164	0.1165751	
0.012	0.1249983	-0.07566483	0.1165751	
0.0125	0.124998	-0.07572024	0.1165751	
0.013	0.1249976	-0.07577785	0.1165751	
0.0135	0.1249973	-0.07583769	0.1165751	
0.014	0.1249968	-0.07589974	0.1165751	
0.0145	0.1249964	-0.075964	0.1165751	
0.015	0.1249958	-0.07603049	0.1165751	
0.0155	0.1249953	-0.07609918	0.1165751	
0.016	0.1249946	-0.07617009	0.1165751	
0.0165	0.1249939	-0.07624321	0.1165751	
0.017	0.1249931	-0.07631856	0.1165751	
0.0175	0.1249923	-0.07639612	0.1165751	
0.018	0.1249914	-0.0764759	0.1165751	
0.0185	0.1249904	-0.07655788	0.1165751	
0.019	0.1249893	-0.07664209	0.1165751	
0.01949999	0.1249882	-0.07672851	0.1165751	
0.01999999	0.1249869	-0.07681714	0.1165751	
0.02049999	0.1249856	-0.07690798	0.1165751	
0.02099999	0.1249841	-0.07700105	0.1165751	
0.02149999	0.1249826	-0.07709633	0.1165751	
0.02199999	0.1249809	-0.07719382	0.1165751	
0.02249999	0.1249792	-0.07729353	0.1165751	
0.02299999	0.1249772	-0.07739545	0.1165751	
0.02349999	0.1249752	-0.07749958	0.1165751	
0.02399999	0.1249731	-0.07760593	0.1165751	
0.02449999	0.1249708	-0.07771449	0.1165751	
0.02499999	0.1249683	-0.07782526	0.1165751	
0.02549998	0.1249657	-0.07793825	0.1165751	
0.02599998	0.124963	-0.07805344	0.1165751	
0.02649998	0.1249601	-0.07817086	0.1165751	
0.02699998	0.124957	-0.07829048	0.1165751	
0.02749998	0.1249537	-0.07841232	0.1165751	
0.02799998	0.1249503	-0.07853635	0.1165751	
0.02849998	0.1249467	-0.07866261	0.1165751	
0.02899998	0.1249428	-0.07879107	0.1165751	
0.02949998	0.1249388	-0.07892176	0.1165751	
0.02999998	0.1249346	-0.07905465	0.1165751	
0.03049998	0.1249301	-0.07918974	0.1165751	
0.03099998	0.1249255	-0.07932704	0.1165751	
0.03149997	0.1249206	-0.07946655	0.1165751	
0.03199998	0.1249154	-0.07960827	0.1165751	
0.03249998	0.1249101	-0.0797522	0.1165751	
0.03299998	0.1249044	-0.07989833	0.1165751	
0.03349998	0.1248985	-0.08004667	0.1165751	
0.03399998	0.1248924	-0.08019722	0.1165751	
0.03449998	0.1248859	-0.08034997	0.1165751	
0.03499998	0.1248792	-0.08050492	0.1165751	
0.03549998	0.1248722	-0.08066207	0.1165751	
0.03599998	0.1248649	-0.08082143	0.1165751	
0.03649998	0.1248573	-0.08098299	0.1165751	
0.03699999	0.1248493	-0.08114675	0.1165751	
0.03749999	0.1248411	-0.08131271	0.1165751	
0.03799999	0.1248325	-0.08148088	0.1165751	
0.03849999	0.1248235	-0.08165123	0.1165751	
0.03899999	0.1248142	-0.08182379	0.1165751	
0.03949999	0.1248046	-0.08199854	0.1165751	
0.03999999	0.1247945	-0.08217549	0.1165751	
0.04049999	0.1247841	-0.08235463	0.1165751	
0.04099999	0.1247733	-0.08253597	0.1165751	
0.04149999	0.1247621	-0.0827195	0.1165751	
0.042	0.1247505	-0.08290521	0.1165751	
0.0425	0.1247385	-0.08309312	0.1165751	
0.043	0.124726	-0.08328321	0.1165751	
0.0435	0.1247131	-0.08347549	0.1165751	
0.044	0.1246998	-0.08366996	0.1165751	
0.0445	0.124686	-0.08386662	0.1165751	
0.045	0.1246717	-0.08406545	0.1165751	
0.0455	0.1246569	-0.08426647	0.1165751	
0.046	0.1246417	-0.08446966	0.1165751	
0.0465	0.1246259	-0.08467504	0.1165751	
0.04700001	0.1246097	-0.08488258	0.1165751	
0.04750001	0.1245929	-0.08509231	0.1165751	
0.04800001	0.1245756	-0.08530421	0.1165751	
0.04850001	0.1245577	-0.08551828	0.1165751	
0.04900001	0.1245393	-0.08573451	0.1165751	
0.04950001	0.1245203	-0.08595292	0.1165751	
0.05000001	0.1245007	-0.08617349	0.1165751	
0.05050001	0.1244805	-0.08639622	0.1165751	
0.05100001	0.1244597	-0.08662111	0.1165751	
0.05150001	0.1244384	-0.08684816	0.1165751	
0.05200002	0.1244163	-0.08707737	0.1165751	
0.05250002	0.1243937	-0.08730873	0.1165751	
0.05300002	0.1243704	-0.08754225	0.1165751	
0.05350002	0.1243464	-0.08777791	0.1165751	
0.05400002	0.1243218	-0.08801573	0.1165751	
0.05450002	0.1242964	-0.08825568	0.1165751	
0.05500002	0.1242704	-0.08849777	0.1165751	
0.05550002	0.1242437	-0.08874201	0.1165751	
0.05600002	0.1242162	-0.08898838	0.1165751	
0.05650003	0.124188	-0.08923688	0.1165751	
0.05700003	0.124159	-0.08948752	0.1165751	
0.05750003	0.1241293	-0.08974027	0.1165751	
0.05800003	0.1240988	-0.08999516	0.1165751	
0.05850003	0.1240675	-0.09025216	0.1165751	
0.05900003	0.1240354	-0.09051128	0.1165751	
0.05950003	0.1240025	-0.09077252	0.1165751	
0.06000003	0.1239687	-0.09103587	0.1165751	
0.06050003	0.1239341	-0.09130131	0.1165751	
0.06100003	0.1238986	-0.09156887	0.1165751	
0.06150004	0.1238623	-0.09183852	0.1165751	
0.06200004	0.1238251	-0.09211027	0.1165751	
0.06250004	0.123787	-0.09238411	0.1165751	
0.06300004	0.1237479	-0.09266005	0.1165751	
0.06350004	0.123708	-0.09293806	0.1165751	
0.06400004	0.1236671	-0.09321815	0.1165751	
0.06450004	0.1236252	-0.09350032	0.1165751	
0.06500004	0.1235824	-0.09378456	0.1165751	
0.06550004	0.1235385	-0.09407085	0.1165751	
0.06600004	0.1234937	-0.09435922	0.1165751	
0.06650005	0.1234479	-0.09464964	0.1165751	
0.06700005	0.123401	-0.09494212	0.1165751	
0.06750005	0.1233531	-0.09523664	0.1165751	
0.06800005	0.1233041	-0.0955332	0.1165751	
0.06850005	0.123254	-0.0958318	0.1165751	
0.06900005	0.1232028	-0.09613243	0.1165751	
0.06950005	0.1231506	-0.09643508	0.1165751	
0.07000005	0.1230972	-0.09673976	0.1165751	
0.07050005	0.1230427	-0.09704646	0.1165751	
0.07100005	0.122987	-0.09735515	0.1165751	
0.07150006	0.1229301	-0.09766586	0.1165751	
0.07200006	0.1228721	-0.09797856	0.1165751	
0.07250006	0.1228129	-0.09829326	0.1165751	
0.07300006	0.1227524	-0.09860994	0.1165751	
0.07350006	0.1226907	-0.09892859	0.1165751	
0.07400006	0.1226278	-0.09924923	0.1165751	
0.07450006	0.1225636	-0.09957182	0.1165751	
0.07500006	0.1224981	-0.09989638	0.1165751	
0.07550006	0.1224313	-0.1002229	0.1165751	
0.07600006	0.1223632	-0.1005513	0.1165751	
0.07650007	0.1222938	-0.1008817	0.1165751	
0.07700007	0.122223	-0.1012141	0.1165751	
0.07750007	0.1221509	-0.1015483	0.1165751	
0.07800007	0.1220774	-0.1018845	0.1165751	
0.07850007	0.1220025	-0.1022225	0.1165751	
0.07900007	0.1219262	-0.1025625	0.1165751	
0.07950007	0.1218484	-0.1029044	0.1165751	
0.08000007	0.1217692	-0.1032481	0.1165751	
0.08050007	0.1216886	-0.1035938	0.1165751	
0.08100007	0.1216064	-0.1039413	0.1165751	
0.08150008	0.1215228	-0.1042906	0.1165751	
0.08200008	0.1214376	-0.1046418	0.1165751	
0.08250008	0.121351	-0.1049949	0.1165751	
0.08300008	0.1212627	-0.1053498	0.1165751	
0.08350008	0.1211729	-0.1057065	0.1165751	
0.08400008	0.1210816	-0.106065	0.1165751	
0.08450008	0.1209886	-0.1064253	0.1165751	
0.08500008	0.120894	-0.1067874	0.1165751	
0.08550008	0.1207977	-0.1071514	0.1165751	
0.08600008	0.1206999	-0.107517	0.1165751	
0.08650009	0.1206003	-0.1078845	0.1165751	
0.08700009	0.1204991	-0.1082537	0.1165751	
0.08750009	0.1203961	-0.1086247	0.1165751	
0.08800009	0.1202914	-0.1089973	0.1165751	
0.08850009	0.120185	-0.1093718	0.1165751	
0.08900009	0.1200769	-0.1097479	0.1165751	
0.08950009	0.1199669	-0.1101257	0.1165751	
0.09000009	0.1198552	-0.1105052	0.1165751	
0.09050009	0.1197417	-0.1108864	0.1165751	
0.0910001	0.1196263	-0.1112693	0.1165751	
0.0915001	0.1195091	-0.1116538	0.1165751	
0.0920001	0.11939	-0.11204	0.1165751	
0.0925001	0.119269	-0.1124278	0.1165751	
0.0930001	0.1191462	-0.1128172	0.1165751	
0.0935001	0.1190214	-0.1132083	0.1165751	
0.0940001	0.1188947	-0.1136009	0.1165751	
0.0945001	0.118766	-0.1139951	0.1165751	
0.0950001	0.1186354	-0.1143909	0.1165751	
0.0955001	0.1185027	-0.1147882	0.1165751	
0.09600011	0.1183681	-0.1151871	0.1165751	
0.09650011	0.1182315	-0.1155875	0.1165751	
0.09700011	0.1180928	-0.1159894	0.1165751	
0.09750011	0.117952	-0.1163928	0.1165751	
0.09800011	0.1178092	-0.1167977	0.1165751	
0.09850011	0.1176643	-0.1172041	0.1165751	
0.09900011	0.1175172	-0.117612	0.1165751	
0.09950011	0.117368	-0.1180212	0.1165751	
0.1000001	0.1172167	-0.118432	0.1165751	
0.1005001	0.1170632	-0.1188441	0.1165751	
0.1010001	0.1169076	-0.1192576	0.1165751	
0.1015001	0.1167497	-0.1196725	0.1165751	
0.1020001	0.1165896	-0.1200888	0.1165751	
0.1025001	0.1164273	-0.1205064	0.1165751	
0.1030001	0.1162627	-0.1209254	0.1165751	
0.1035001	0.1160959	-0.1213457	0.1165751	
0.1040001	0.1159267	-0.1217673	0.1165751	
0.1045001	0.1157553	-0.1221901	0.1165751	
0.1050001	0.1155815	-0.1226143	0.1165751	
0.1055001	0.1154054	-0.1230397	0.1165751	
0.1060001	0.1152269	-0.1234663	0.1165751	
0.1065001	0.1150461	-0.1238941	0.1165751	
0.1070001	0.1148629	-0.1243232	0.1165751	
0.1075001	0.1146772	-0.1247534	0.1165751	
0.1080001	0.1144891	-0.1251848	0.1165751	
0.1085001	0.1142986	-0.1256173	0.1165751	
0.1090001	0.1141056	-0.1260509	0.1165751	
0.1095001	0.1139102	-0.1264857	0.1165751	
0.1100001	0.1137122	-0.1269215	0.1165751	
0.1105001	0.1135118	-0.1273585	0.1165751	
0.1110001	0.1133088	-0.1277964	0.1165751	
0.1115001	0.1131032	-0.1282354	0.1165751	
0.1120001	0.1128951	-0.1286754	0.1165751	
0.1125001	0.1126845	-0.1291165	0.1165751	
0.1130001	0.1124712	-0.1295584	0.1165751	
0.1135001	0.1122553	-0.1300014	0.1165751	
0.1140001	0.1120368	-0.1304452	0.1165751	
0.1145001	0.1118156	-0.13089	0.1165751	
0.1150001	0.1115918	-0.1313356	0.1165751	
0.1155001	0.1113653	-0.1317821	0.1165751	
0.1160001	0.1111362	-0.1322295	0.1165751	
0.1165001	0.1109043	-0.1326776	0.1165751	
0.1170001	0.1106697	-0.1331266	0.1165751	
0.1175001	0.1104323	-0.1335764	0.1165751	
0.1180001	0.1101922	-0.1340269	0.1165751	
0.1185002	0.1099494	-0.1344781	0.1165751	
0.1190002	0.1097037	-0.1349301	0.1165751	
0.1195002	0.1094553	-0.1353828	0.1165751	
0.1200002	0.1092041	-0.1358361	0.1165751	
0.1205002	0.10895	-0.13629	0.1165751	
0.1210002	0.1086931	-0.1367446	0.1165751	
0.1215002	0.1084333	-0.1371998	0.1165751	
0.1220002	0.1081706	-0.1376555	0.1165751	
0.1225002	0.1079051	-0.1381118	0.1165751	
0.1230002	0.1076367	-0.1385686	0.1165751	
0.1235002	0.1073654	-0.1390259	0.1165751	
0.1240002	0.1070911	-0.1394837	0.1165751	
0.1245002	0.1068139	-0.1399419	0.1165751	
0.1250002	0.1065338	-0.1404005	0.1165751	
0.1255002	0.1062507	-0.1408596	0.1165751	
0.1260002	0.1059646	-0.141319	0.1165751	
0.1265001	0.1056755	-0.1417787	0.1165751	
0.1270001	0.1053834	-0.1422388	0.1165751	
0.1275001	0.1050883	-0.1426992	0.1165751	
0.1280001	0.1047902	-0.1431598	0.1165751	
0.1285001	0.104489	-0.1436207	0.1165751	
0.1290001	0.1041848	-0.1440818	0.1165751	
0.1295001	0.1038776	-0.144543	0.1165751	
0.1300001	0.1035672	-0.1450045	0.1165751	
0.1305001	0.1032538	-0.145466	0.1165751	
0.1310001	0.1029373	-0.1459277	0.1165751	
0.1315001	0.1026176	-0.1463894	0.1165751	
0.1320001	0.1022949	-0.1468512	0.1165751	
0.1325001	0.101969	-0.147313	0.1165751	
0.1330001	0.10164	-0.1477748	0.1165751	
0.1335001	0.1013078	-0.1482366	0.1165751	
0.134	0.1009725	-0.1486983	0.1165751	
0.1345	0.1006341	-0.1491599	0.1165751	
0.135	0.1002924	-0.1496214	0.1165751	
0.1355	0.09994756	-0.1500827	0.1165751	
0.136	0.09959953	-0.1505439	0.1165751	
0.1365	0.09924829	-0.1510048	0.1165751	
0.137	0.09889385	-0.1514655	0.1165751	
0.1375	0.09853619	-0.1519259	0.1165751	
0.138	0.09817531	-0.152386	0.1165751	
0.1385	0.09781119	-0.1528458	0.1165751	
0.139	0.09744384	-0.1533053	0.1165751	
0.1395	0.09707324	-0.1537643	0.1165751	
0.14	0.09669939	-0.1542229	0.1165751	
0.1405	0.09632228	-0.1546811	0.1165751	
0.141	0.09594189	-0.1551387	0.1165751	
0.1415	0.09555825	-0.1555959	0.1165751	
0.1419999	0.09517132	-0.1560525	0.1165751	
0.1424999	0.09478112	-0.1565085	0.1165751	
0.1429999	0.09438762	-0.1569639	0.1165751	
0.1434999	0.09399084	-0.1574187	0.1165751	
0.1439999	0.09359076	-0.1578728	0.1165751	
0.1444999	0.09318738	-0.1583262	0.1165751	
0.1449999	0.0927807	-0.1587789	0.1165751	
0.1454999	0.09237071	-0.1592308	0.1165751	
0.1459999	0.09195741	-0.1596819	0.1165751	
0.1464999	0.0915408	-0.1601321	0.1165751	
0.1469999	0.09112086	-0.1605815	0.1165751	
0.1474999	0.09069762	-0.16103	0.1165751	
0.1479999	0.09027106	-0.1614776	0.1165751	
0.1484999	0.08984117	-0.1619242	0.1165751	
0.1489999	0.08940797	-0.1623698	0.1165751	
0.1494998	0.08897143	-0.1628143	0.1165751	
0.1499998	0.08853158	-0.1632578	0.1165751	
0.1504998	0.08808839	-0.1637002	0.1165751	
0.1509998	0.08764189	-0.1641415	0.1165751	
0.1514998	0.08719207	-0.1645816	0.1165751	
0.1519998	0.08673891	-0.1650205	0.1165751	
0.1524998	0.08628245	-0.1654582	0.1165751	
0.1529998	0.08582266	-0.1658946	0.1165751	
0.1534998	0.08535954	-0.1663297	0.1165751	
0.1539998	0.08489311	-0.1667635	0.1165751	
0.1544998	0.08442338	-0.1671959	0.1165751	
0.1549998	0.08395033	-0.1676269	0.1165751	
0.1554998	0.08347397	-0.1680565	0.1165751	
0.1559998	0.0829943	-0.1684846	0.1165751	
0.1564998	0.08251133	-0.1689112	0.1165751	
0.1569998	0.08202507	-0.1693363	0.1165751	
0.1574997	0.08153552	-0.1697598	0.1165751	
0.1579997	0.08104268	-0.1701817	0.1165751	
0.1584997	0.08054655	-0.1706019	0.1165751	
0.1589997	0.08004715	-0.1710205	0.1165751	
0.1594997	0.07954448	-0.1714374	0.1165751	
0.1599997	0.07903855	-0.1718526	0.1165751	
0.1604997	0.07852937	-0.1722659	0.1165751	
0.1609997	0.07801693	-0.1726775	0.1165751	
0.1614997	0.07750125	-0.1730872	0.1165751	
0.1619997	0.07698234	-0.1734951	0.1165751	
0.1624997	0.07646021	-0.173901	0.1165751	
0.1629997	0.07593485	-0.174305	0.1165751	
0.1634997	0.07540628	-0.174707	0.1165751	
0.1639997	0.07487452	-0.175107	0.1165751	
0.1644997	0.07433957	-0.1755049	0.1165751	
0.1649996	0.07380144	-0.1759008	0.1165751	
0.1654996	0.07326014	-0.1762946	0.1165751	
0.1659996	0.07271569	-0.1766862	0.1165751	
0.1664996	0.07216809	-0.1770756	0.1165751	
0.1669996	0.07161736	-0.1774628	0.1165751	
0.1674996	0.0710635	-0.1778477	0.1165751	
0.1679996	0.07050654	-0.1782304	0.1165751	
0.1684996	0.06994648	-0.1786107	0.1165751	
0.1689996	0.06938333	-0.1789888	0.1165751	
0.1694996	0.06881712	-0.1793644	0.1165751	
0.1699996	0.06824785	-0.1797376	0.1165751	
0.1704996	0.06767554	-0.1801083	0.1165751	
0.1709996	0.0671002	-0.1804766	0.1165751	
0.1714996	0.06652185	-0.1808423	0.1165751	
0.1719996	0.06594051	-0.1812055	0.1165751	
0.1724996	0.06535619	-0.1815662	0.1165751	
0.1729995	0.06476891	-0.1819241	0.1165751	
0.1734995	0.06417868	-0.1822795	0.1165751	
0.1739995	0.06358552	-0.1826322	0.1165751	
0.1744995	0.06298945	-0.1829822	0.1165751	
0.1749995	0.06239048	-0.1833294	0.1165751	
0.1754995	0.06178865	-0.1836738	0.1165751	
0.1759995	0.06118395	-0.1840155	0.1165751	
0.1764995	0.06057642	-0.1843542	0.1165751	
0.1769995	0.05996606	-0.1846902	0.1165751	
0.1774995	0.05935292	-0.1850232	0.1165751	
0.1779995	0.05873699	-0.1853533	0.1165751	
0.1784995	0.0581183	-0.1856804	0.1165751	
0.1789995	0.05749688	-0.1860045	0.1165751	
0.1794995	0.05687275	-0.1863257	0.1165751	
0.1799995	0.05624592	-0.1866437	0.1165751	
0.1804994	0.05561642	-0.1869587	0.1165751	
0.1809994	0.05498427	-0.1872705	0.1165751	
0.1814994	0.05434949	-0.1875792	0.1165751	
0.1819994	0.05371211	-0.1878847	0.1165751	
0.1824994	0.05307215	-0.188187	0.1165751	
0.1829994	0.05242964	-0.1884861	0.1165751	
0.1834994	0.05178459	-0.188782	0.1165751	
0.1839994	0.05113704	-0.1890745	0.1165751	
0.1844994	0.05048701	-0.1893637	0.1165751	
0.1849994	0.04983452	-0.1896496	0.1165751	
