Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0.1171997	
0.0005	0.124999	-0.07500165	0.1171997	
0.001	0.124997	-0.07500496	0.1171997	
0.0015	0.1249939	-0.07500991	0.1171997	
0.002	0.1249899	-0.07501652	0.1171997	
0.0025	0.1249848	-0.07502478	0.1171997	
0.003	0.1249787	-0.07503469	0.1171997	
0.0035	0.1249716	-0.07504626	0.1171997	
0.004	0.1249634	-0.07505947	0.1171997	
0.0045	0.1249543	-0.07507432	0.1171997	
0.005	0.1249441	-0.07509083	0.1171997	
0.0055	0.124933	-0.07510899	0.1171997	
0.006	0.1249207	-0.07512879	0.1171997	
0.0065	0.1249075	-0.07515025	0.1171997	
0.007	0.1248933	-0.07517335	0.1171997	
0.0075	0.124878	-0.0751981	0.1171997	
0.008	0.1248617	-0.07522449	0.1171997	
0.0085	0.1248444	-0.07525253	0.1171997	
0.009000001	0.1248261	-0.07528221	0.1171997	
0.009500001	0.1248067	-0.07531353	0.1171997	
0.01	0.1247864	-0.07534649	0.1171997	
0.0105	0.1247649	-0.0753811	0.1171997	
0.011	0.1247425	-0.07541735	0.1171997	
0.0115	0.124719	-0.07545523	0.1171997	
0.012	0.1246945	-0.07549475	0.1171997	
0.0125	0.124669	-0.07553591	0.1171997	
0.013	0.1246424	-0.0755787	0.1171997	
0.0135	0.1246148	-0.07562312	0.1171997	
0.014	0.1245862	-0.07566918	0.1171997	
0.0145	0.1245565	-0.07571686	0.1171997	
0.015	0.1245258	-0.07576617	0.1171997	
0.0155	0.124494	-0.07581712	0.1171997	
0.016	0.1244612	-0.07586968	0.1171997	
0.0165	0.1244274	-0.07592387	0.1171997	
0.017	0.1243925	-0.07597968	0.1171997	
0.0175	0.1243565	-0.07603711	0.1171997	
0.018	0.1243195	-0.07609616	0.1171997	
0.0185	0.1242815	-0.07615682	0.1171997	
0.019	0.1242424	-0.0762191	0.1171997	
0.0195	0.1242022	-0.07628299	0.1171997	
0.02	0.124161	-0.0763485	0.1171997	
0.0205	0.1241187	-0.07641561	0.1171997	
0.021	0.1240754	-0.07648432	0.1171997	
0.0215	0.124031	-0.07655463	0.1171997	
0.022	0.1239855	-0.07662655	0.1171997	
0.0225	0.123939	-0.07670007	0.1171997	
