Time	Block_X	Block_Y	Block_Z	Rotation	
0	0	0.5	1	0	
0.0005	0	0.4999976	1	2.322771E-05	
0.001	0	0.4999927	1	6.963268E-05	
0.0015	0	0.4999853	1	0.000139215	
0.002	0	0.4999755	1	0.0002319747	
0.0025	0	0.4999633	1	0.0003479118	
0.003	0	0.4999485	1	0.0004870263	
0.0035	0	0.4999313	1	0.000649318	
0.004	0	0.4999117	1	0.0008347873	
0.0045	0	0.4998897	1	0.001043434	
0.005	0	0.4998651	1	0.001275258	
0.0055	0	0.4998381	1	0.001530259	
0.006	0	0.4998087	1	0.001808438	
0.0065	0	0.4997768	1	0.002109793	
0.007	0	0.4997425	1	0.002434327	
0.0075	0	0.4997057	1	0.002782038	
0.008	0	0.4996665	1	0.003152926	
0.0085	0	0.4996248	1	0.003546991	
0.009000001	0	0.4995806	1	0.003964234	
0.009500001	0	0.499534	1	0.004404654	
0.01	0	0.499485	1	0.004868251	
0.0105	0	0.4994335	1	0.005355026	
0.011	0	0.4993795	1	0.005864978	
0.0115	0	0.4993231	1	0.006398108	
0.012	0	0.4992642	1	0.006954414	
0.0125	0	0.4992029	1	0.007533899	
0.013	0	0.4991392	1	0.00813656	
0.0135	0	0.4990729	1	0.008762399	
0.014	0	0.4990043	1	0.009411415	
0.0145	0	0.4989332	1	0.01008361	
0.015	0	0.4988596	1	0.01077898	
0.0155	0	0.4987836	1	0.01149753	
0.016	0	0.4987051	1	0.01223925	
0.0165	0	0.4986241	1	0.01300415	
0.017	0	0.4985408	1	0.01379223	
0.0175	0	0.4984549	1	0.01460349	
0.018	0	0.4983667	1	0.01543793	
0.0185	0	0.4982759	1	0.01629554	
0.019	0	0.4981827	1	0.01717633	
0.0195	0	0.4980871	1	0.01808029	
0.02	0	0.4979889	1	0.01900744	
0.0205	0	0.4978884	1	0.01995776	
0.021	0	0.4977854	1	0.02092967	
0.0215	0	0.4976799	1	0.02191336	
0.022	0	0.497572	1	0.0229035	
0.0225	0	0.4974616	1	0.02389717	
0.023	0	0.4973488	1	0.02489275	
0.0235	0	0.4972336	1	0.0258894	
0.024	0	0.4971159	1	0.02688662	
0.0245	0	0.4969957	1	0.02788415	
0.025	0	0.4968731	1	0.02888186	
0.0255	0	0.496748	1	0.02987966	
0.026	0	0.4966205	1	0.03087751	
0.0265	0	0.4964905	1	0.03187539	
0.027	0	0.496358	1	0.03287329	
0.0275	0	0.4962232	1	0.0338712	
0.028	0	0.4960858	1	0.0348691	
0.0285	0	0.495946	1	0.03586702	
0.029	0	0.4958038	1	0.03686493	
0.0295	0	0.4956591	1	0.03786284	
0.03	0	0.4955119	1	0.03886076	
0.0305	0	0.4953623	1	0.03985867	
0.031	0	0.4952103	1	0.04085659	
0.0315	0	0.4950558	1	0.0418545	
0.032	0	0.4948988	1	0.04285242	
0.0325	0	0.4947394	1	0.04385033	
0.033	0	0.4945775	1	0.04484825	
0.0335	0	0.4944132	1	0.04584616	
0.034	0	0.4942465	1	0.04684408	
0.0345	0	0.4940772	1	0.047842	
0.035	0	0.4939055	1	0.04883991	
0.0355	0	0.4937314	1	0.04983783	
0.036	0	0.4935548	1	0.05083574	
0.0365	0	0.4933758	1	0.05183366	
0.037	0	0.4931943	1	0.05283158	
0.0375	0	0.4930104	1	0.05382949	
0.038	0	0.492824	1	0.05482741	
0.0385	0	0.4926352	1	0.05582533	
0.039	0	0.4924439	1	0.05682324	
0.0395	0	0.4922501	1	0.05782116	
0.04	0	0.4920539	1	0.05881908	
0.0405	0	0.4918552	1	0.05981699	
0.041	0	0.4916542	1	0.06081491	
0.0415	0	0.4914506	1	0.06181283	
0.042	0	0.4912446	1	0.06281075	
0.0425	0	0.4910361	1	0.06380866	
0.043	0	0.4908252	1	0.06480658	
0.0435	0	0.4906119	1	0.0658045	
0.044	0	0.490396	1	0.06680242	
0.0445	0	0.4901777	1	0.06780034	
0.045	0	0.489957	1	0.06879826	
0.0455	0	0.4897338	1	0.06979617	
0.046	0	0.4895082	1	0.07079409	
0.0465	0	0.4892801	1	0.07179201	
0.047	0	0.4890496	1	0.07278993	
0.0475	0	0.4888166	1	0.07378785	
0.048	0	0.4885812	1	0.07478577	
0.0485	0	0.4883433	1	0.07578368	
0.049	0	0.4881029	1	0.07678161	
0.0495	0	0.4878601	1	0.07777952	
0.05	0	0.4876149	1	0.07877745	
0.0505	0	0.4873672	1	0.07977537	
0.051	0	0.487117	1	0.08077329	
0.0515	0	0.4868644	1	0.08177121	
