Time	Block_X	Block_Y	Block_Z	Rotation	
0	0	0.5	1	0	
0.0005	0	0.4999976	1	2.231926E-05	
0.001	0	0.4999927	1	6.709928E-05	
0.0015	0	0.4999853	1	0.0001343392	
0.002	0	0.4999755	1	0.000224039	
0.0025	0	0.4999633	1	0.0003361987	
0.003	0	0.4999485	1	0.0004708183	
0.0035	0	0.4999313	1	0.0006278977	
0.004	0	0.4999117	1	0.0008074371	
0.0045	0	0.4998897	1	0.001009436	
0.005	0	0.4998651	1	0.001233896	
0.0055	0	0.4998381	1	0.001480815	
0.006	0	0.4998087	1	0.001750194	
0.0065	0	0.4997768	1	0.002042033	
0.007	0	0.4997425	1	0.002356331	
0.0075	0	0.4997057	1	0.00269309	
0.008	0	0.4996665	1	0.003052309	
0.0085	0	0.4996248	1	0.003433987	
0.009000001	0	0.4995806	1	0.003838126	
0.009500001	0	0.499534	1	0.004264724	
0.01	0	0.499485	1	0.004713782	
0.0105	0	0.4994335	1	0.0051853	
0.011	0	0.4993795	1	0.005679278	
0.0115	0	0.4993231	1	0.006195716	
0.012	0	0.4992642	1	0.006734614	
0.0125	0	0.4992029	1	0.007295972	
0.013	0	0.4991392	1	0.007879789	
0.0135	0	0.4990729	1	0.008486067	
0.014	0	0.4990043	1	0.009114805	
0.0145	0	0.4989332	1	0.009766002	
0.015	0	0.4988596	1	0.01043966	
0.0155	0	0.4987836	1	0.01113578	
0.016	0	0.4987051	1	0.01185435	
0.0165	0	0.4986241	1	0.01259539	
0.017	0	0.4985408	1	0.01335889	
0.0175	0	0.4984549	1	0.01414484	
0.018	0	0.4983667	1	0.01495326	
0.0185	0	0.4982759	1	0.01578414	
0.019	0	0.4981827	1	0.01663747	
0.0195	0	0.4980871	1	0.01751327	
0.02	0	0.4979889	1	0.01841153	
0.0205	0	0.4978884	1	0.01933224	
0.021	0	0.4977854	1	0.02027542	
0.0215	0	0.4976799	1	0.02124106	
0.022	0	0.497572	1	0.02222093	
0.0225	0	0.4974616	1	0.02320857	
0.023	0	0.4973488	1	0.02420048	
0.0235	0	0.4972336	1	0.02519471	
0.024	0	0.4971159	1	0.02619022	
0.0245	0	0.4969957	1	0.02718643	
0.025	0	0.4968731	1	0.02818302	
0.0255	0	0.496748	1	0.02917982	
0.026	0	0.4966205	1	0.03017673	
0.0265	0	0.4964905	1	0.03117371	
0.027	0	0.496358	1	0.03217072	
0.0275	0	0.4962232	1	0.03316775	
0.028	0	0.4960858	1	0.03416479	
0.0285	0	0.495946	1	0.03516183	
0.029	0	0.4958038	1	0.03615888	
0.0295	0	0.4956591	1	0.03715593	
0.03	0	0.4955119	1	0.03815298	
0.0305	0	0.4953623	1	0.03915003	
0.031	0	0.4952103	1	0.04014708	
0.0315	0	0.4950558	1	0.04114414	
0.032	0	0.4948988	1	0.04214119	
0.0325	0	0.4947394	1	0.04313824	
0.033	0	0.4945775	1	0.04413529	
0.0335	0	0.4944132	1	0.04513235	
0.034	0	0.4942465	1	0.0461294	
0.0345	0	0.4940772	1	0.04712645	
0.035	0	0.4939055	1	0.04812351	
0.0355	0	0.4937314	1	0.04912056	
0.036	0	0.4935548	1	0.05011762	
0.0365	0	0.4933758	1	0.05111467	
0.037	0	0.4931943	1	0.05211172	
0.0375	0	0.4930104	1	0.05310878	
0.038	0	0.492824	1	0.05410583	
0.0385	0	0.4926352	1	0.05510288	
0.039	0	0.4924439	1	0.05609994	
0.0395	0	0.4922501	1	0.057097	
0.04	0	0.4920539	1	0.05809405	
0.0405	0	0.4918552	1	0.05909111	
0.041	0	0.4916542	1	0.06008816	
0.0415	0	0.4914506	1	0.06108522	
0.042	0	0.4912446	1	0.06208227	
0.0425	0	0.4910361	1	0.06307933	
0.043	0	0.4908252	1	0.06407638	
0.0435	0	0.4906119	1	0.06507344	
0.044	0	0.490396	1	0.0660705	
0.0445	0	0.4901777	1	0.06706755	
0.045	0	0.489957	1	0.06806461	
0.0455	0	0.4897338	1	0.06906167	
0.046	0	0.4895082	1	0.07005873	
0.0465	0	0.4892801	1	0.07105578	
0.047	0	0.4890496	1	0.07205284	
0.0475	0	0.4888166	1	0.0730499	
0.048	0	0.4885812	1	0.07404695	
0.0485	0	0.4883433	1	0.07504401	
0.049	0	0.4881029	1	0.07604107	
0.0495	0	0.4878601	1	0.07703812	
0.05	0	0.4876149	1	0.07803518	
0.0505	0	0.4873672	1	0.07903224	
0.051	0	0.487117	1	0.0800293	
0.0515	0	0.4868644	1	0.08102637	
0.052	0	0.4866094	1	0.08202343	
0.0525	0	0.4863518	1	0.08302049	
0.053	0	0.4860919	1	0.08401754	
0.0535	0	0.4858294	1	0.0850146	
0.054	0	0.4855646	1	0.08601166	
0.0545	0	0.4852973	1	0.08700873	
0.055	0	0.4850275	1	0.08800579	
0.0555	0	0.4847553	1	0.08900285	
0.056	0	0.4844806	1	0.08999991	
0.0565	0	0.4842034	1	0.09099697	
0.057	0	0.4839239	1	0.09199403	
0.0575	0	0.4836418	1	0.0929911	
0.058	0	0.4833573	1	0.09398816	
0.0585	0	0.4830704	1	0.09498522	
0.059	0	0.482781	1	0.09598228	
0.0595	0	0.4824892	1	0.09697935	
0.06	0	0.4821949	1	0.09797642	
0.0605	0	0.4818981	1	0.09897348	
0.061	0	0.4815989	1	0.09997054	
0.0615	0	0.4812973	1	0.1009676	
0.062	0	0.4809931	1	0.1019647	
0.0625	0	0.4806866	1	0.1029617	
0.063	0	0.4803775	1	0.1039588	
0.0635	0	0.4800661	1	0.1049559	
0.064	0	0.4797522	1	0.1059529	
0.0645	0	0.4794358	1	0.10695	
0.06500001	0	0.479117	1	0.1079471	
0.06550001	0	0.4787957	1	0.1089441	
0.066	0	0.478472	1	0.1099412	
0.0665	0	0.4781458	1	0.1109383	
0.067	0	0.4778171	1	0.1119353	
0.0675	0	0.477486	1	0.1129324	
0.068	0	0.4771525	1	0.1139295	
0.0685	0	0.4768165	1	0.1149265	
0.06900001	0	0.4764781	1	0.1159236	
0.06950001	0	0.4761372	1	0.1169207	
0.07	0	0.4757938	1	0.1179178	
0.0705	0	0.475448	1	0.1189148	
0.071	0	0.4750998	1	0.1199119	
0.0715	0	0.4747491	1	0.120909	
0.072	0	0.4743959	1	0.121906	
0.07250001	0	0.4740403	1	0.1229031	
0.07300001	0	0.4736822	1	0.1239002	
0.0735	0	0.4733217	1	0.1248973	
0.074	0	0.4729587	1	0.1258943	
0.0745	0	0.4725933	1	0.1268914	
0.075	0	0.4722254	1	0.1278885	
0.0755	0	0.4718551	1	0.1288856	
0.07600001	0	0.4714823	1	0.1298826	
0.07650001	0	0.4711071	1	0.1308797	
0.07700001	0	0.4707294	1	0.1318768	
0.0775	0	0.4703493	1	0.1328738	
0.078	0	0.4699667	1	0.1338709	
0.0785	0	0.4695817	1	0.134868	
0.079	0	0.4691941	1	0.1358651	
0.0795	0	0.4688042	1	0.1368622	
0.08000001	0	0.4684118	1	0.1378592	
0.08050001	0	0.468017	1	0.1388563	
0.081	0	0.4676197	1	0.1398534	
0.0815	0	0.4672199	1	0.1408505	
0.082	0	0.4668177	1	0.1418476	
0.0825	0	0.466413	1	0.1428446	
0.083	0	0.4660059	1	0.1438417	
0.08350001	0	0.4655963	1	0.1448388	
0.08400001	0	0.4651843	1	0.1458359	
0.08450001	0	0.4647698	1	0.146833	
0.085	0	0.4643529	1	0.14783	
0.0855	0	0.4639335	1	0.1488271	
0.086	0	0.4635117	1	0.1498242	
0.0865	0	0.4630874	1	0.1508213	
0.087	0	0.4626607	1	0.1518184	
0.08750001	0	0.4622315	1	0.1528154	
0.08800001	0	0.4617999	1	0.1538125	
0.0885	0	0.4613658	1	0.1548096	
0.089	0	0.4609292	1	0.1558067	
