Time	Block_X	Block_Y	Block_Z	Rotation	
0	1.3	0	0	0	
0.0005	1.3	-2.4525E-06	0	0.000998004	
0.001	1.3	-7.357502E-06	0	0.001998	
0.0015	1.3	-1.4715E-05	6.947288E-20	0.002998	
0.002	1.3	-2.4525E-05	8.400172E-19	0.003998	
0.0025	1.3	-3.678751E-05	4.910634E-18	0.004998	
0.003	1.3	-5.150251E-05	1.948746E-17	0.005998001	
0.0035	1.3	-6.867002E-05	6.038215E-17	0.006998	
0.004	1.3	-8.829001E-05	1.573853E-16	0.007998001	
0.0045	1.3	-0.0001103625	3.609912E-16	0.008998	
0.005	1.3	-0.0001348875	7.504402E-16	0.009998	
0.0055	1.3	-0.000161865	1.443045E-15	0.010998	
0.006	1.3	-0.000191295	2.604773E-15	0.011998	
0.0065	1.3	-0.0002231775	4.462049E-15	0.012998	
0.007	1.3	-0.0002575125	7.314757E-15	0.013998	
0.0075	1.3	-0.0002943	1.155042E-14	0.014998	
0.008	1.3	-0.00033354	1.76595E-14	0.015998	
0.0085	1.3	-0.0003752325	2.625187E-14	0.016998	
0.009000001	1.3	-0.0004193774	3.807433E-14	0.017998	
0.009500001	1.3	-0.0004659749	5.402921E-14	0.018998	
0.01	1.3	-0.0005150249	7.519403E-14	0.019998	
0.0105	1.3	-0.0005665273	1.028422E-13	0.020998	
0.011	1.3	-0.0006204822	1.384647E-13	0.021998	
0.0115	1.299999	-0.0006768896	1.837926E-13	0.022998	
0.012	1.299999	-0.0007357494	2.40821E-13	0.023998	
0.0125	1.299999	-0.0007970617	3.118333E-13	0.024998	
0.013	1.299999	-0.0008608265	3.994267E-13	0.025998	
0.0135	1.299999	-0.0009270437	5.065386E-13	0.026998	
0.014	1.299999	-0.0009957134	6.364738E-13	0.027998	
0.0145	1.299998	-0.001066835	7.929327E-13	0.028998	
0.015	1.299998	-0.00114041	9.800397E-13	0.029998	
0.0155	1.299998	-0.001216437	1.202374E-12	0.030998	
0.016	1.299998	-0.001294916	1.464998E-12	0.031998	
0.0165	1.299997	-0.001375848	1.773492E-12	0.032998	
0.017	1.299997	-0.001459232	2.133982E-12	0.033998	
0.0175	1.299997	-0.001545068	2.553176E-12	0.034998	
0.018	1.299996	-0.001633357	3.038394E-12	0.035998	
0.0185	1.299996	-0.001724098	3.597607E-12	0.036998	
0.019	1.299995	-0.001817291	4.239466E-12	0.037998	
0.0195	1.299995	-0.001912937	4.973341E-12	0.038998	
0.02	1.299994	-0.002011035	5.809358E-12	0.039998	
0.0205	1.299993	-0.002111585	6.758433E-12	0.040998	
0.021	1.299993	-0.002214587	7.832309E-12	0.041998	
0.0215	1.299992	-0.002320041	9.043597E-12	0.042998	
0.022	1.299991	-0.002427947	1.040581E-11	0.043998	
0.0225	1.29999	-0.002538306	1.193341E-11	0.044998	
0.023	1.299989	-0.002651117	1.364184E-11	0.045998	
0.0235	1.299989	-0.002766379	1.554756E-11	0.046998	
0.024	1.299987	-0.002884093	1.76681E-11	0.047998	
0.0245	1.299986	-0.00300426	2.002209E-11	0.048998	
0.025	1.299985	-0.003126878	2.262932E-11	0.049998	
0.0255	1.299984	-0.003251947	2.551075E-11	0.050998	
0.026	1.299983	-0.003379469	2.868858E-11	0.051998	
0.0265	1.299981	-0.003509442	3.218627E-11	0.052998	
