Time	Block_X	Block_Y	Block_Z	Rotation	
0	0.3	1	0	0	
0.0005	0.3	0.9999976	0	2.470941E-05	
0.001	0.3	0.9999927	-3.371908E-13	7.43277E-05	
0.0015	0.3	0.9999853	-4.252961E-12	0.0001488546	
0.002	0.2999999	0.9999755	-2.358516E-11	0.0002482903	
0.0025	0.2999998	0.9999632	-8.75871E-11	0.0003726349	
0.003	0.2999997	0.9999485	-2.548725E-10	0.0005218888	
0.0035	0.2999993	0.9999313	-6.284855E-10	0.0006960522	
0.004	0.2999988	0.9999117	-1.374095E-09	0.0008951254	
0.0045	0.2999982	0.9998897	-2.741308E-09	0.001119109	
0.005	0.2999973	0.9998652	-5.088111E-09	0.001368002	
0.0055	0.299996	0.9998382	-8.908414E-09	0.001641806	
0.006	0.2999943	0.9998087	-1.486272E-08	0.001940519	
0.0065	0.2999922	0.9997768	-2.381189E-08	0.002264144	
0.007	0.2999896	0.9997425	-3.685403E-08	0.002612678	
0.0075	0.2999863	0.9997057	-5.536443E-08	0.002986121	
0.008	0.2999823	0.9996665	-8.103861E-08	0.003384473	
0.0085	0.2999775	0.9996248	-1.159385E-07	0.003807732	
0.009000001	0.2999717	0.9995807	-1.625414E-07	0.004255898	
0.009500001	0.299965	0.9995341	-2.237926E-07	0.004728968	
0.01	0.299957	0.999485	-3.031601E-07	0.005226939	
0.0105	0.2999478	0.9994335	-4.046931E-07	0.00574981	
0.011	0.2999372	0.9993796	-5.330831E-07	0.006297577	
0.0115	0.2999251	0.9993232	-6.937282E-07	0.006870235	
0.012	0.2999113	0.9992644	-8.927997E-07	0.007467779	
0.0125	0.2998957	0.999203	-1.137312E-06	0.008090205	
0.013	0.2998781	0.9991393	-1.435197E-06	0.008737507	
0.0135	0.2998583	0.9990731	-1.795374E-06	0.009409675	
0.014	0.2998362	0.9990045	-2.227837E-06	0.0101067	
0.0145	0.2998117	0.9989334	-2.743726E-06	0.01082858	
0.015	0.2997845	0.9988599	-3.355415E-06	0.0115753	
0.0155	0.2997545	0.998784	-4.076599E-06	0.01234684	
0.016	0.2997214	0.9987056	-4.922378E-06	0.0131432	
0.0165	0.2996852	0.9986247	-5.909351E-06	0.01396436	
0.017	0.2996455	0.9985415	-7.055705E-06	0.0148103	
0.0175	0.2996022	0.9984557	-8.381314E-06	0.01568101	
0.018	0.299555	0.9983676	-9.907831E-06	0.01657647	
0.0185	0.2995038	0.998277	-1.165879E-05	0.01749665	
0.019	0.2994483	0.998184	-1.36597E-05	0.01844153	
0.0195	0.2993883	0.9980885	-1.593815E-05	0.01941109	
0.02	0.2993242	0.9979907	-1.84786E-05	0.02039432	
0.0205	0.2992564	0.9978904	-2.127478E-05	0.02138505	
0.021	0.299185	0.9977877	-2.432714E-05	0.02237986	
0.0215	0.2991101	0.9976825	-2.76403E-05	0.02337692	
0.022	0.2990318	0.9975749	-3.122147E-05	0.02437519	
0.0225	0.29895	0.997465	-3.507943E-05	0.02537413	
0.023	0.2988649	0.9973524	-3.922393E-05	0.02637342	
0.0235	0.2987765	0.9972376	-4.366532E-05	0.02737291	
0.024	0.2986846	0.9971203	-4.841431E-05	0.0283725	
0.0245	0.2985894	0.9970006	-5.348181E-05	0.02937214	
0.025	0.2984909	0.9968784	-5.887886E-05	0.0303718	
