Time	Block_X	Block_Y	Block_Z	Rotation	
0	1.3	0	0	0	
0.0005	1.3	-2.4525E-06	0	2.231926E-05	
0.001	1.3	-7.357501E-06	-6.530243E-20	6.709929E-05	
0.0015	1.3	-1.4715E-05	-7.932965E-19	0.0001343392	
0.002	1.3	-2.452497E-05	-4.231712E-18	0.000224039	
0.0025	1.3	-3.67874E-05	-1.504291E-17	0.0003361986	
0.003	1.3	-5.150219E-05	-4.161007E-17	0.0004708179	
0.0035	1.299999	-6.866924E-05	-9.66682E-17	0.0006278968	
0.004	1.299999	-8.828832E-05	-1.969255E-16	0.000807435	
0.0045	1.299998	-0.0001103591	-3.610208E-16	0.001009432	
0.005	1.299997	-0.0001348812	-6.050452E-16	0.001233888	
0.0055	1.299995	-0.000161854	-9.347339E-16	0.001480801	
0.006	1.299993	-0.0001912767	-1.33332E-15	0.00175017	
0.0065	1.299991	-0.0002231481	-1.743917E-15	0.002041995	
0.007	1.299987	-0.0002574671	-2.04519E-15	0.002356274	
0.0075	1.299983	-0.0002942318	-2.018944E-15	0.002693003	
0.008	1.299978	-0.0003334401	-1.308156E-15	0.003052182	
0.0085	1.299972	-0.0003750896	6.361463E-16	0.003433805	
0.009000001	1.299965	-0.0004191771	4.62086E-15	0.003837871	
0.009500001	1.299957	-0.000465699	1.179146E-14	0.004264373	
0.01	1.299947	-0.0005146511	2.372925E-14	0.004713307	
0.0105	1.299936	-0.0005660284	4.256723E-14	0.005184665	
0.011	1.299923	-0.000619825	7.112673E-14	0.005678442	
0.0115	1.299908	-0.0006760344	1.13077E-13	0.006194628	
0.012	1.299891	-0.0007346489	1.731202E-13	0.006733214	
0.0125	1.299871	-0.0007956598	2.572037E-13	0.007294188	
0.013	1.29985	-0.0008590575	3.727633E-13	0.007877538	
0.0135	1.299825	-0.0009248308	5.289982E-13	0.008483251	
0.014	1.299798	-0.0009929676	7.371823E-13	0.009111309	
0.0145	1.299768	-0.001063454	1.011012E-12	0.009761699	
0.015	1.299734	-0.001136275	1.366997E-12	0.0104344	
0.0155	1.299697	-0.001211413	1.824892E-12	0.01112938	
0.016	1.299657	-0.001288851	2.408175E-12	0.01184663	
0.0165	1.299612	-0.001368567	3.144577E-12	0.01258612	
0.017	1.299563	-0.001450539	4.06666E-12	0.01334782	
0.0175	1.299509	-0.001534744	5.21245E-12	0.0141317	
