Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	0.075	3.055275E-05	0	0	
0.0005	0.125	0.075	3.055275E-05	8.581313E-12	2.458365E-13	
0.001	0.125	0.07499754	3.055275E-05	-1.778311E-11	-2.63612E-13	
0.0015	0.125	0.07499384	3.055019E-05	-0.06702977	-0.001920261	
0.002	0.125	0.07498834	3.054658E-05	-0.09440475	-0.004624758	
0.0025	0.125	0.07498103	3.054192E-05	-0.1220285	-0.008120618	
0.003	0.125	0.07497191	3.05362E-05	-0.14987	-0.01241408	
0.0035	0.125	0.074961	3.052941E-05	-0.1778513	-0.01750914	
0.004	0.125	0.07494828	3.052154E-05	-0.2059727	-0.02340983	
0.0045	0.125	0.07493377	3.05126E-05	-0.2342029	-0.03011925	
0.005	0.125	0.07491747	3.050257E-05	-0.2625262	-0.03764007	
0.0055	0.125	0.07489937	3.049147E-05	-0.2909121	-0.04597409	
0.006	0.1249999	0.07487947	3.047928E-05	-0.3193444	-0.05512263	
0.0065	0.1249999	0.07485779	3.0466E-05	-0.3478391	-0.06508749	
0.007	0.1249999	0.07483431	3.045163E-05	-0.3763486	-0.07586908	
0.0075	0.1249999	0.07480904	3.043617E-05	-0.4048743	-0.08746788	
0.008	0.1249998	0.07478198	3.041963E-05	-0.4334461	-0.0998852	
0.0085	0.1249998	0.07475312	3.040219E-05	-0.4620193	-0.1131211	
0.009000001	0.1249997	0.07472247	3.038346E-05	-0.4906063	-0.1271759	
0.009500001	0.1249996	0.07469004	3.036364E-05	-0.5192249	-0.1420506	
0.01	0.1249995	0.0746558	3.034273E-05	-0.5478295	-0.1577448	
0.0105	0.1249994	0.07461978	3.032072E-05	-0.5764616	-0.1742592	
0.011	0.1249993	0.07458197	3.029762E-05	-0.6050821	-0.1915935	
0.0115	0.1249992	0.07454237	3.027343E-05	-0.6337319	-0.2097486	
0.012	0.124999	0.07450098	3.024815E-05	-0.6623645	-0.2287239	
0.0125	0.1249988	0.07445779	3.022179E-05	-0.6909854	-0.2485192	
0.013	0.1249986	0.07441282	3.019433E-05	-0.7196339	-0.2691352	
