Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	1.323489E-20	3.791517E-22	
0.001	0.125	-0.07500245	0	0	3.791517E-22	
0.0015	0.125	-0.07500615	4.250153E-11	0.06703696	0.001920468	
0.002	0.125	-0.07501166	-1.15919E-09	0.0944074	0.004625041	
0.0025	0.125	-0.07501897	-2.748439E-09	0.1220338	0.008121051	
0.003	0.125	-0.07502808	-4.713582E-09	0.1498648	0.01241436	
0.0035	0.125	-0.07503901	-7.046751E-09	0.1778597	0.01750967	
0.004	0.125	-0.07505172	-9.742826E-09	0.2059856	0.02341072	
0.0045	0.125	-0.07506623	-1.279867E-08	0.2342163	0.03012052	
0.005	0.125	-0.07508253	-1.621253E-08	0.2625309	0.03764148	
0.0055	0.125	-0.07510063	-1.998365E-08	0.2909124	0.04597551	
0.006	0.125	-0.07512053	-2.411193E-08	0.3193479	0.05512415	
0.0065	0.1249999	-0.07514221	-2.859771E-08	0.347826	0.06508864	
0.007	0.1249999	-0.07516569	-3.344162E-08	0.3763386	0.07586994	
0.0075	0.1249999	-0.07519096	-3.864445E-08	0.4048787	0.08746886	
0.008	0.1249998	-0.07521803	-4.420709E-08	0.4334408	0.09988603	
0.0085	0.1249998	-0.07524689	-5.013047E-08	0.4620205	0.1131219	
0.009000001	0.1249997	-0.07527753	-5.641549E-08	0.4906142	0.127177	
0.009500001	0.1249996	-0.07530996	-6.306307E-08	0.5192188	0.1420515	
0.01	0.1249995	-0.0753442	-7.007407E-08	0.5478328	0.1577458	
0.0105	0.1249994	-0.07538021	-7.744932E-08	0.5764537	0.17426	
0.011	0.1249993	-0.07541802	-8.518963E-08	0.6050807	0.1915942	
0.0115	0.1249992	-0.07545763	-9.329573E-08	0.6337119	0.2097488	
0.012	0.124999	-0.07549902	-1.017683E-07	0.6623473	0.2287236	
0.0125	0.1249989	-0.0755422	-1.106081E-07	0.6909845	0.2485189	
0.013	0.1249987	-0.07558718	-1.198158E-07	0.7196255	0.2691346	
0.0135	0.1249984	-0.07563394	-1.293919E-07	0.7482674	0.2905709	
0.014	0.1249982	-0.07568249	-1.393371E-07	0.7769102	0.3128277	
0.0145	0.1249979	-0.07573283	-1.49652E-07	0.8055558	0.3359052	
0.015	0.1249976	-0.07578497	-1.603371E-07	0.8342014	0.3598033	
0.0155	0.1249972	-0.07583889	-1.713931E-07	0.862847	0.3845221	
0.016	0.1249969	-0.07589462	-1.828204E-07	0.8914936	0.4100615	
0.0165	0.1249964	-0.07595212	-1.946198E-07	0.920142	0.4364216	
0.017	0.124996	-0.07601141	-2.067917E-07	0.9487885	0.4636024	
0.0175	0.1249955	-0.07607251	-2.193367E-07	0.977436	0.4916039	
0.018	0.1249949	-0.07613538	-2.322554E-07	1.006083	0.520426	
0.0185	0.1249943	-0.07620005	-2.455484E-07	1.034733	0.550069	
0.019	0.1249937	-0.0762665	-2.592162E-07	1.063378	0.5805325	
0.0195	0.124993	-0.07633475	-2.732596E-07	1.092028	0.6118168	
0.02	0.1249922	-0.0764048	-2.876789E-07	1.120675	0.6439218	
0.0205	0.1249914	-0.07647663	-3.024751E-07	1.149323	0.6768475	
0.021	0.1249905	-0.07655024	-3.176485E-07	1.17797	0.7105938	
0.0215	0.1249895	-0.07662565	-3.331999E-07	1.206618	0.7451609	
0.022	0.1249885	-0.07670284	-3.491299E-07	1.235263	0.7805486	
0.0225	0.1249874	-0.07678183	-3.654393E-07	1.263913	0.816757	
0.023	0.1249862	-0.0768626	-3.821286E-07	1.292556	0.8537861	
0.0235	0.124985	-0.07694517	-3.991986E-07	1.321206	0.8916358	
0.024	0.1249836	-0.07702953	-4.166499E-07	1.34985	0.9303061	
0.0245	0.1249822	-0.07711568	-4.344833E-07	1.378495	0.9697971	
0.025	0.1249807	-0.0772036	-4.526996E-07	1.407143	1.010109	
0.0255	0.1249791	-0.07729333	-4.712994E-07	1.435786	1.051241	
0.026	0.1249774	-0.07738484	-4.902835E-07	1.46443	1.093194	
0.0265	0.1249756	-0.07747813	-5.096528E-07	1.493074	1.135967	
0.027	0.1249737	-0.07757322	-5.294079E-07	1.521718	1.179561	
0.0275	0.1249716	-0.0776701	-5.495498E-07	1.550361	1.223976	
0.028	0.1249695	-0.07776877	-5.700791E-07	1.579001	1.269211	
0.0285	0.1249672	-0.07786922	-5.909966E-07	1.607645	1.315267	
0.029	0.1249649	-0.07797146	-6.123034E-07	1.636289	1.362143	
