Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	0	0	
0.001	0.125	-0.07500245	0	0	0	
0.0015	0.125	-0.07500635	2.979277E-12	0.04191657	0.001200821	
0.002	0.125	-0.07501206	-1.222235E-09	0.1495754	0.005485841	
0.0025	0.125	-0.07501972	-2.367732E-09	0.1895882	0.01091714	
0.003	0.125	-0.07502932	-3.063146E-09	0.2303231	0.01751542	
0.0035	0.125	-0.07504087	-2.866894E-09	0.2716357	0.0252972	
0.004	0.125	-0.07505435	-1.251024E-09	0.3134103	0.03427575	
0.0045	0.125	-0.07506977	2.400353E-09	0.3555548	0.04446165	
0.005	0.125	-0.07508712	8.791931E-09	0.397995	0.05586336	
0.0055	0.125	-0.0751064	1.871779E-08	0.4406718	0.06848768	
0.006	0.1249999	-0.07512762	3.306177E-08	0.4835375	0.08234001	
0.0065	0.1249999	-0.07515078	5.279774E-08	0.5265553	0.09742471	
0.007	0.1249999	-0.07517586	7.898969E-08	0.5696937	0.1137452	
0.0075	0.1249998	-0.07520287	1.127917E-07	0.6129295	0.1313044	
0.008	0.1249998	-0.07523181	1.554482E-07	0.656242	0.1501043	
0.0085	0.1249997	-0.07526268	2.082934E-07	0.6996174	0.1701469	
0.009000001	0.1249997	-0.07529548	2.727519E-07	0.7430417	0.1914335	
0.009500001	0.1249996	-0.07533021	3.503378E-07	0.7865056	0.2139652	
0.01	0.1249995	-0.07536686	4.426554E-07	0.8300017	0.237743	
0.0105	0.1249994	-0.07540544	5.513987E-07	0.8735228	0.2627676	
0.011	0.1249992	-0.07544596	6.783511E-07	0.9170649	0.2890396	
0.0115	0.1249991	-0.0754884	8.253859E-07	0.960622	0.3165593	
0.012	0.1249989	-0.07553276	9.944658E-07	1.004192	0.3453273	
0.0125	0.1249987	-0.07557906	1.187643E-06	1.047773	0.3753438	
0.013	0.1249985	-0.07562729	1.407058E-06	1.091362	0.406609	
0.0135	0.1249982	-0.07567744	1.654944E-06	1.134957	0.4391232	
0.014	0.1249979	-0.07572952	1.933618E-06	1.178557	0.4728863	
0.0145	0.1249976	-0.07578353	2.245492E-06	1.222163	0.5078987	
0.015	0.1249972	-0.07583946	2.593063E-06	1.26577	0.5441604	
0.0155	0.1249968	-0.07589733	2.97892E-06	1.30938	0.5816714	
0.016	0.1249964	-0.07595711	3.405739E-06	1.352992	0.6204317	
0.0165	0.1249959	-0.07601883	3.876286E-06	1.396606	0.6604415	
0.017	0.1249954	-0.07608248	4.393417E-06	1.440221	0.7017008	
0.0175	0.1249948	-0.07614805	4.960075E-06	1.483835	0.7442096	
0.018	0.1249942	-0.07621554	5.579295E-06	1.527451	0.7879678	
0.0185	0.1249935	-0.07628497	6.254198E-06	1.571067	0.8329756	
0.019	0.1249927	-0.07635632	6.987996E-06	1.614684	0.8792329	
0.0195	0.1249919	-0.0764296	7.783989E-06	1.658298	0.9267396	
0.02	0.124991	-0.0765048	8.645565E-06	1.701914	0.9754958	
0.0205	0.1249901	-0.07658193	9.576205E-06	1.745533	1.025502	
0.021	0.1249891	-0.07666099	1.057947E-05	1.789145	1.076757	
0.0215	0.124988	-0.07674198	1.165903E-05	1.832757	1.129261	
0.022	0.1249868	-0.07682488	1.281862E-05	1.876373	1.183016	
0.0225	0.1249855	-0.07690971	1.406207E-05	1.919985	1.238019	
0.023	0.1249842	-0.07699648	1.539331E-05	1.9636	1.294272	
0.0235	0.1249827	-0.07708516	1.681634E-05	2.007209	1.351774	
0.024	0.1249812	-0.07717577	1.833527E-05	2.050817	1.410526	
0.0245	0.1249796	-0.0772683	1.99543E-05	2.094429	1.470527	
0.025	0.1249778	-0.07736276	2.167768E-05	2.138037	1.531777	
0.0255	0.124976	-0.07745914	2.35098E-05	2.181642	1.594277	
0.026	0.124974	-0.07755744	2.54551E-05	2.22525	1.658025	
0.0265	0.1249719	-0.07765767	2.751812E-05	2.268854	1.723023	
0.027	0.1249697	-0.07775982	2.970351E-05	2.312452	1.78927	
0.0275	0.1249674	-0.07786389	3.201597E-05	2.356056	1.856766	
0.028	0.1249649	-0.07796989	3.446031E-05	2.399661	1.925511	
0.0285	0.1249623	-0.07807781	3.704144E-05	2.443246	1.995505	
0.029	0.1249596	-0.07818764	3.976433E-05	2.486847	2.066748	
0.0295	0.1249567	-0.0782994	4.263407E-05	2.530448	2.13924	
0.03	0.1249536	-0.07841308	4.565579E-05	2.574034	2.212981	
0.0305	0.1249504	-0.07852867	4.883477E-05	2.61762	2.28797	
0.031	0.124947	-0.07864619	5.217632E-05	2.661213	2.364208	
0.0315	0.1249435	-0.07876562	5.568588E-05	2.704792	2.441695	
0.032	0.1249398	-0.07888698	5.936896E-05	2.748378	2.52043	
0.0325	0.1249359	-0.07901024	6.323115E-05	2.791956	2.600414	
0.033	0.1249318	-0.07913543	6.727813E-05	2.835534	2.681646	
0.0335	0.1249276	-0.07926252	7.151569E-05	2.879105	2.764126	
0.034	0.1249231	-0.07939154	7.594969E-05	2.922676	2.847855	
0.0345	0.1249185	-0.07952247	8.058605E-05	2.96624	2.932831	
0.035	0.1249136	-0.0796553	8.543085E-05	3.009811	3.019056	
0.0355	0.1249085	-0.07979006	9.049018E-05	3.053367	3.106529	
0.036	0.1249032	-0.07992672	9.577024E-05	3.096931	3.195249	
0.0365	0.1248976	-0.0800653	0.0001012773	3.140472	3.285217	
0.037	0.1248919	-0.08020578	0.0001070178	3.184028	3.376432	
0.0375	0.1248859	-0.08034816	0.0001129982	3.227576	3.468896	
0.038	0.1248796	-0.08049246	0.0001192251	3.27111	3.562606	
0.0385	0.1248731	-0.08063866	0.000125705	3.314659	3.657564	
0.039	0.1248663	-0.08078676	0.0001324447	3.35817	3.753769	
0.0395	0.1248593	-0.08093678	0.000139451	3.401711	3.851221	
0.04	0.124852	-0.08108868	0.0001467308	3.445238	3.949919	
0.0405	0.1248444	-0.08124249	0.000154291	3.488734	4.049864	
0.041	0.1248365	-0.08139821	0.0001621388	3.53226	4.151056	
0.0415	0.1248283	-0.08155582	0.0001702813	3.575757	4.253494	
0.042	0.1248198	-0.08171532	0.0001787257	3.619268	4.357178	
0.0425	0.124811	-0.08187672	0.0001874794	3.66275	4.462108	
0.043	0.1248019	-0.08204001	0.0001965497	3.706246	4.568285	
0.0435	0.1247925	-0.0822052	0.0002059441	3.749728	4.675706	
0.044	0.1247827	-0.08237227	0.0002156701	3.793195	4.784373	
0.0445	0.1247726	-0.08254123	0.0002257355	3.836661	4.894286	
0.045	0.1247622	-0.08271208	0.000236148	3.880113	5.005443	
0.0455	0.1247514	-0.08288481	0.0002469154	3.92358	5.117845	
0.046	0.1247402	-0.08305942	0.0002580455	3.967017	5.231492	
0.0465	0.1247287	-0.08323591	0.0002695464	4.010454	5.346383	
0.047	0.1247168	-0.08341428	0.000281426	4.053891	5.462518	
0.0475	0.1247045	-0.08359452	0.0002936927	4.097298	5.579897	
0.048	0.1246917	-0.08377665	0.0003063545	4.140719	5.69852	
0.0485	0.1246786	-0.08396064	0.0003194197	4.184112	5.818386	
0.049	0.1246651	-0.08414649	0.0003328969	4.227504	5.939495	
0.0495	0.1246512	-0.08433422	0.0003467943	4.270896	6.061847	
0.05	0.1246368	-0.0845238	0.0003611206	4.314259	6.185441	
0.0505	0.124622	-0.08471525	0.0003758844	4.357621	6.310278	
0.051	0.1246068	-0.08490855	0.0003910943	4.400983	6.436357	
0.0515	0.1245911	-0.08510371	0.0004067592	4.444316	6.563677	
0.052	0.1245749	-0.08530073	0.0004228879	4.487648	6.692239	
0.0525	0.1245582	-0.08549959	0.0004394893	4.530966	6.822042	
0.053	0.1245411	-0.0857003	0.0004565725	4.574269	6.953085	
0.0535	0.1245235	-0.08590285	0.0004741464	4.617572	7.085369	
0.054	0.1245054	-0.08610725	0.0004922203	4.660845	7.218892	
0.0545	0.1244867	-0.08631348	0.0005108034	4.704118	7.353655	
0.055	0.1244676	-0.08652154	0.000529905	4.747361	7.489657	
0.0555	0.1244479	-0.08673143	0.0005495345	4.790634	7.626898	
0.056	0.1244277	-0.08694314	0.0005697013	4.833817	7.765377	
0.0565	0.1244069	-0.08715668	0.0005904149	4.87706	7.905095	
0.057	0.1243856	-0.08737204	0.000611685	4.920244	8.046049	
0.0575	0.1243637	-0.08758921	0.0006335213	4.963458	8.188242	
0.058	0.1243413	-0.0878082	0.0006559334	5.006581	8.33167	
0.0585	0.1243182	-0.08802899	0.0006789312	5.049765	8.476335	
0.059	0.1242946	-0.08825158	0.0007025245	5.092889	8.622235	
0.0595	0.1242703	-0.08847596	0.0007267233	5.136013	8.769371	
0.06	0.1242455	-0.08870215	0.0007515377	5.179107	8.917742	
0.0605	0.12422	-0.08893012	0.0007769776	5.222171	9.067346	
0.061	0.1241938	-0.08915988	0.0008030533	5.265265	9.218184	
0.0615	0.1241671	-0.08939141	0.000829775	5.3083	9.370256	
0.062	0.1241396	-0.08962473	0.0008571529	5.351335	9.523561	
0.0625	0.1241115	-0.08985981	0.0008851974	5.39431	9.678097	
0.063	0.1240828	-0.09009665	0.0009139189	5.437344	9.833865	
0.0635	0.1240533	-0.09033524	0.0009433278	5.480289	9.990864	
0.064	0.1240231	-0.0905756	0.0009734348	5.523234	10.14909	
0.0645	0.1239923	-0.09081771	0.00100425	5.56615	10.30855	
0.06500001	0.1239607	-0.09106155	0.001035785	5.609065	10.46924	
0.06550001	0.1239284	-0.09130714	0.00106805	5.651921	10.63115	
0.066	0.1238953	-0.09155446	0.001101056	5.694806	10.7943	
0.0665	0.1238615	-0.09180349	0.001134813	5.737632	10.95867	
0.067	0.1238269	-0.09205425	0.001169332	5.780428	11.12427	
0.0675	0.1237915	-0.09230673	0.001204625	5.823225	11.29109	
0.068	0.1237554	-0.09256089	0.001240703	5.865991	11.45914	
0.0685	0.1237185	-0.09281677	0.001277576	5.908698	11.62841	
0.06900001	0.1236807	-0.09307434	0.001315255	5.951434	11.79891	
0.06950001	0.1236422	-0.09333359	0.001353752	5.994111	11.97062	
0.07	0.1236028	-0.09359453	0.001393078	6.036728	12.14356	
0.0705	0.1235626	-0.09385713	0.001433244	6.079375	12.31773	
0.071	0.1235215	-0.0941214	0.001474262	6.121993	12.49311	
0.0715	0.1234795	-0.09438733	0.001516143	6.16455	12.66971	
0.072	0.1234367	-0.09465491	0.001558897	6.207048	12.84753	
0.07250001	0.123393	-0.09492412	0.001602538	6.249606	13.02657	
0.07300001	0.1233484	-0.09519497	0.001647076	6.292045	13.20682	
0.0735	0.1233029	-0.09546745	0.001692522	6.334513	13.38829	
0.074	0.1232564	-0.09574155	0.001738888	6.376892	13.57097	
0.0745	0.1232091	-0.09601725	0.001786187	6.419301	13.75487	
0.075	0.1231608	-0.09629455	0.001834429	6.46165	13.93999	
0.0755	0.1231115	-0.09657345	0.001883626	6.503939	14.12631	
0.07600001	0.1230613	-0.09685393	0.00193379	6.546199	14.31385	
0.07650001	0.1230101	-0.09713598	0.001984932	6.588489	14.50259	
0.07700001	0.1229578	-0.0974196	0.002037065	6.630659	14.69255	
0.0775	0.1229046	-0.09770477	0.002090201	6.672799	14.88371	
0.078	0.1228504	-0.09799149	0.00214435	6.71494	15.07608	
0.0785	0.1227952	-0.09827974	0.002199526	6.75708	15.26965	
0.079	0.1227389	-0.09856953	0.002255739	6.799042	15.46443	
0.0795	0.1226816	-0.09886082	0.002313003	6.841123	15.66041	
0.08000001	0.1226231	-0.09915363	0.002371328	6.883084	15.8576	
0.08050001	0.1225637	-0.09944793	0.002430727	6.924986	16.05599	
0.081	0.1225031	-0.09974372	0.002491211	6.966888	16.25557	
