Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	-2.002557E-12	-5.736903E-14	
0.001	0.125	-0.07500245	0	1	0.02864789	
0.0015	0.125	-0.07506794	-1.344329E-08	0.8556232	0.05315969	
0.002	0.1249999	-0.07513951	-2.811083E-08	0.9913527	0.08155986	
0.0025	0.1249998	-0.07521019	-4.258923E-08	1.007951	0.1104355	
0.003	0.1249997	-0.07527942	-5.67659E-08	1.009308	0.1393501	
0.0035	0.1249995	-0.07534739	-7.068265E-08	1.008846	0.1682514	
0.004	0.1249993	-0.07541435	-8.43901E-08	1.008273	0.1971363	
0.0045	0.1249991	-0.07548048	-9.793123E-08	1.007793	0.2260074	
0.005	0.1249988	-0.07554596	-1.113404E-07	1.007402	0.2548674	
0.0055	0.1249985	-0.07561092	-1.246453E-07	1.00709	0.2837184	
0.006	0.1249982	-0.07567546	-1.378681E-07	1.006842	0.3125623	
0.0065	0.1249979	-0.07573966	-1.510264E-07	1.006647	0.3414006	
0.007	0.1249975	-0.0758036	-1.641344E-07	1.006484	0.3702343	
0.0075	0.1249971	-0.07586732	-1.772035E-07	1.006355	0.3990642	
0.008	0.1249966	-0.07593087	-1.902429E-07	1.006254	0.4278913	
0.0085	0.1249961	-0.07599428	-2.032596E-07	1.006174	0.456716	
0.009000001	0.1249956	-0.07605758	-2.162596E-07	1.006104	0.4855388	
0.009500001	0.1249951	-0.07612079	-2.292472E-07	1.006052	0.5143601	
0.01	0.1249945	-0.07618394	-2.422265E-07	1.006013	0.5431802	
0.0105	0.1249939	-0.07624703	-2.552003E-07	1.005979	0.5719994	
0.011	0.1249932	-0.07631007	-2.681709E-07	1.005948	0.6008176	
0.0115	0.1249925	-0.07637308	-2.811404E-07	1.005934	0.6296356	
0.012	0.1249918	-0.07643606	-2.941103E-07	1.005916	0.6584529	
0.0125	0.1249911	-0.07649901	-3.070816E-07	1.005899	0.6872698	
0.013	0.1249903	-0.07656194	-3.200554E-07	1.005886	0.7160863	
0.0135	0.1249895	-0.07662486	-3.330323E-07	1.005879	0.7449026	
0.014	0.1249887	-0.07668777	-3.460131E-07	1.005875	0.7737188	
0.0145	0.1249878	-0.07675066	-3.589983E-07	1.005867	0.8025348	
0.015	0.1249869	-0.07681355	-3.719882E-07	1.00586	0.8313506	
0.0155	0.124986	-0.07687643	-3.849832E-07	1.005856	0.8601663	
0.016	0.1249851	-0.07693931	-3.979835E-07	1.005856	0.8889819	
0.0165	0.1249841	-0.07700218	-4.109894E-07	1.005851	0.9177974	
0.017	0.124983	-0.07706505	-4.240009E-07	1.005851	0.9466129	
0.0175	0.124982	-0.07712792	-4.370184E-07	1.005851	0.9754284	
0.018	0.1249809	-0.07719078	-4.500417E-07	1.005843	1.004244	
0.0185	0.1249798	-0.07725364	-4.630709E-07	1.005843	1.033059	
0.019	0.1249786	-0.0773165	-4.761061E-07	1.005843	1.061874	
