Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	1.527399E-05	-0.075	-0.008444783	7.765026E-19	
0.0005	0.125	1.414553E-05	-0.07500108	-0.008444783	0.0007179608	
0.001	0.125	1.190921E-05	-0.07500328	-0.008444783	0.002154049	
0.0015	0.125	8.565406E-06	-0.07500659	-0.008444783	0.004308263	
0.002	0.125	4.114127E-06	-0.075011	-0.008444783	0.007180605	
0.0025	0.125	-1.444631E-06	-0.07501652	-0.008444783	0.01077107	
0.003	0.125	-8.110866E-06	-0.07502314	-0.008444783	0.01507967	
0.0035	0.125	-1.588458E-05	-0.07503089	-0.008444783	0.02010639	
0.004	0.125	-2.476577E-05	-0.07503972	-0.008444783	0.02585124	
0.0045	0.125	-3.475444E-05	-0.07504968	-0.008444783	0.03231421	
0.005	0.125	-4.58506E-05	-0.07506074	-0.008444783	0.03949532	
0.0055	0.125	-5.805423E-05	-0.07507291	-0.008444783	0.04739455	
0.006	0.125	-7.136534E-05	-0.07508618	-0.008444783	0.0560119	
0.0065	0.1249999	-8.578393E-05	-0.07510056	-0.008444783	0.06534738	
0.007	0.1249999	-0.00010131	-0.07511606	-0.008444783	0.07540099	
0.0075	0.1249999	-0.0001179436	-0.07513266	-0.008444783	0.08617272	
0.008	0.1249998	-0.0001356846	-0.07515037	-0.008444783	0.09766258	
0.0085	0.1249998	-0.0001545331	-0.07516919	-0.008444783	0.1098706	
0.009000001	0.1249997	-0.000174489	-0.07518911	-0.008444783	0.1227967	
0.009500001	0.1249997	-0.0001955525	-0.07521015	-0.008444783	0.1364409	
0.01	0.1249996	-0.0002177234	-0.07523229	-0.008444783	0.1508033	
0.0105	0.1249995	-0.0002410018	-0.07525554	-0.008444783	0.1658837	
0.011	0.1249994	-0.0002653876	-0.0752799	-0.008444783	0.1816823	
0.0115	0.1249993	-0.0002908809	-0.07530537	-0.008444783	0.1981991	
0.012	0.1249992	-0.0003174817	-0.07533194	-0.008444783	0.2154339	
0.0125	0.124999	-0.0003451898	-0.07535963	-0.008444783	0.2333869	
0.013	0.1249988	-0.0003740055	-0.07538842	-0.008444783	0.252058	
0.0135	0.1249987	-0.0004039285	-0.07541832	-0.008444783	0.2714472	
0.014	0.1249985	-0.0004349589	-0.07544932	-0.008444783	0.2915545	
0.0145	0.1249982	-0.0004670968	-0.07548144	-0.008444783	0.31238	
0.015	0.124998	-0.0005003421	-0.07551466	-0.008444783	0.3339235	
0.0155	0.1249977	-0.0005346948	-0.07554899	-0.008444783	0.3561852	
0.016	0.1249974	-0.0005701547	-0.07558443	-0.008444783	0.3791649	
0.0165	0.124997	-0.0006067221	-0.07562098	-0.008444783	0.4028628	
0.017	0.1249967	-0.0006443968	-0.07565863	-0.008444783	0.4272788	
0.0175	0.1249962	-0.0006831788	-0.0756974	-0.008444783	0.4524129	
0.018	0.1249958	-0.0007230681	-0.07573727	-0.008444783	0.4782651	
0.0185	0.1249953	-0.0007640646	-0.07577825	-0.008444783	0.5048354	
0.019	0.1249948	-0.0008061684	-0.07582033	-0.008444783	0.5321237	
0.0195	0.1249942	-0.0008493793	-0.07586353	-0.008444783	0.5601302	
0.02	0.1249936	-0.0008936976	-0.07590783	-0.008444783	0.5888548	
0.0205	0.1249929	-0.0009391229	-0.07595325	-0.008444783	0.6182975	
0.021	0.1249922	-0.0009856554	-0.07599976	-0.008444783	0.6484582	
0.0215	0.1249915	-0.001033295	-0.07604738	-0.008444783	0.679337	
0.022	0.1249907	-0.001082041	-0.07609612	-0.008444783	0.7109339	
0.0225	0.1249898	-0.001131895	-0.07614597	-0.008444783	0.7432488	
0.023	0.1249888	-0.001182855	-0.07619692	-0.008444783	0.7762818	
0.0235	0.1249878	-0.001234923	-0.07624897	-0.008444783	0.8100329	
0.024	0.1249868	-0.001288097	-0.07630213	-0.008444783	0.844502	
0.0245	0.1249856	-0.001342378	-0.0763564	-0.008444783	0.8796892	
0.025	0.1249844	-0.001397766	-0.07641178	-0.008444783	0.9155943	
0.0255	0.1249832	-0.00145426	-0.07646827	-0.008444783	0.9522175	
0.026	0.1249818	-0.001511861	-0.07652587	-0.008444783	0.9895588	
0.0265	0.1249804	-0.001570568	-0.07658457	-0.008444783	1.027618	
0.027	0.1249788	-0.001630382	-0.07664438	-0.008444783	1.066395	
0.0275	0.1249772	-0.001691303	-0.07670529	-0.008444783	1.10589	
0.028	0.1249755	-0.001753329	-0.07676732	-0.008444783	1.146104	
0.0285	0.1249738	-0.001816462	-0.07683044	-0.008444783	1.187035	
0.029	0.1249719	-0.0018807	-0.07689468	-0.008444783	1.228684	
0.0295	0.1249699	-0.001946045	-0.07696002	-0.008444783	1.271051	
0.03	0.1249678	-0.002012496	-0.07702647	-0.008444783	1.314136	
0.0305	0.1249656	-0.002080052	-0.07709402	-0.008444783	1.357939	
0.031	0.1249633	-0.002148714	-0.07716268	-0.008444783	1.40246	
0.0315	0.1249609	-0.002218482	-0.07723245	-0.008444783	1.447699	
0.032	0.1249583	-0.002289355	-0.07730333	-0.008444783	1.493655	
0.0325	0.1249557	-0.002361333	-0.07737531	-0.008444783	1.54033	
0.033	0.1249529	-0.002434416	-0.07744839	-0.008444783	1.587722	
0.0335	0.12495	-0.002508605	-0.07752258	-0.008444783	1.635832	
0.034	0.1249469	-0.002583898	-0.07759788	-0.008444783	1.68466	
0.0345	0.1249437	-0.002660295	-0.07767428	-0.008444783	1.734206	
0.035	0.1249404	-0.002737798	-0.07775179	-0.008444783	1.784469	
0.0355	0.124937	-0.002816404	-0.0778304	-0.008444783	1.835451	
0.036	0.1249333	-0.002896115	-0.07791012	-0.008444783	1.88715	
0.0365	0.1249296	-0.002976929	-0.07799094	-0.008444783	1.939567	
0.037	0.1249256	-0.003058848	-0.07807286	-0.008444783	1.992701	
0.0375	0.1249216	-0.003141869	-0.0781559	-0.008444783	2.046553	
0.038	0.1249173	-0.003225994	-0.07824003	-0.008444783	2.101123	
0.0385	0.1249129	-0.003311222	-0.07832526	-0.008444783	2.15641	
0.039	0.1249082	-0.003397553	-0.0784116	-0.008444783	2.212415	
0.0395	0.1249035	-0.003484987	-0.07849905	-0.008444783	2.269138	
0.04	0.1248985	-0.003573522	-0.07858759	-0.008444783	2.326578	
0.0405	0.1248933	-0.00366316	-0.07867724	-0.008444783	2.384736	
