Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	5.840726E-06	0	
0.0005	0.125	-0.075002	-4.071613E-10	0	0	
0.001	0.125	-0.07500599	-1.220336E-09	0.03198906	0.0009164192	
0.0015	0.125	-0.07501198	-2.439542E-09	0.06388362	0.00274655	
0.002	0.125	-0.07501996	-4.064829E-09	0.09577695	0.005490358	
0.0025	0.125	-0.07502993	-6.096271E-09	0.1276702	0.009147841	
0.003	0.125	-0.0750419	-8.533956E-09	0.1595636	0.013719	
0.0035	0.125	-0.07505586	-1.1378E-08	0.1914569	0.01920384	
0.004	0.125	-0.0750718	-1.462852E-08	0.2233502	0.02560235	
0.0045	0.125	-0.07508975	-1.828568E-08	0.2552435	0.03291453	
0.005	0.125	-0.0751097	-2.234964E-08	0.2871368	0.0411404	
0.0055	0.1249999	-0.07513162	-2.682059E-08	0.31903	0.05027994	
0.006	0.1249999	-0.07515555	-3.169873E-08	0.3509234	0.06033315	
0.0065	0.1249999	-0.07518148	-3.69843E-08	0.3828166	0.07130004	
0.007	0.1249998	-0.07520939	-4.267754E-08	0.4147099	0.08318061	
0.0075	0.1249998	-0.07523929	-4.877871E-08	0.4466031	0.09597484	
0.008	0.1249997	-0.07527119	-5.52881E-08	0.4784964	0.1096828	
0.0085	0.1249997	-0.07530508	-6.220602E-08	0.5103896	0.1243043	
0.009000001	0.1249996	-0.07534097	-6.953277E-08	0.5422828	0.1398396	
0.009500001	0.1249995	-0.07537885	-7.726872E-08	0.574176	0.1562885	
0.01	0.1249993	-0.07541873	-8.541421E-08	0.606069	0.1736511	
0.0105	0.1249992	-0.07546058	-9.396964E-08	0.6379621	0.1919274	
0.011	0.124999	-0.07550444	-1.029354E-07	0.6698551	0.2111173	
0.0115	0.1249989	-0.0755503	-1.123119E-07	0.7017481	0.231221	
0.012	0.1249986	-0.07559814	-1.220996E-07	0.733641	0.2522382	
0.0125	0.1249984	-0.07564798	-1.322989E-07	0.7655338	0.2741691	
0.013	0.1249981	-0.07569981	-1.429103E-07	0.7974265	0.2970137	
0.0135	0.1249978	-0.07575364	-1.539343E-07	0.8293191	0.320772	
0.014	0.1249975	-0.07580946	-1.653715E-07	0.8612117	0.3454439	
0.0145	0.1249971	-0.07586727	-1.772223E-07	0.893104	0.3710294	
0.015	0.1249967	-0.07592707	-1.894873E-07	0.9249963	0.3975286	
0.0155	0.1249962	-0.07598887	-2.021671E-07	0.9568883	0.4249415	
0.016	0.1249957	-0.07605266	-2.152622E-07	0.9887803	0.4532679	
0.0165	0.1249952	-0.07611844	-2.287733E-07	1.020672	0.482508	
0.017	0.1249946	-0.07618622	-2.427009E-07	1.052563	0.5126618	
0.0175	0.1249939	-0.07625598	-2.570458E-07	1.084455	0.5437291	
0.018	0.1249932	-0.07632775	-2.718086E-07	1.116346	0.57571	
0.0185	0.1249924	-0.0764015	-2.869899E-07	1.148236	0.6086046	
0.019	0.1249916	-0.07647725	-3.025905E-07	1.180127	0.6424127	
0.0195	0.1249906	-0.07655498	-3.186111E-07	1.212017	0.6771345	
0.02	0.1249896	-0.07663472	-3.350524E-07	1.243907	0.7127698	
0.0205	0.1249886	-0.07671645	-3.519151E-07	1.275796	0.7493187	
0.021	0.1249874	-0.07680016	-3.692001E-07	1.307685	0.7867811	
0.0215	0.1249862	-0.07688586	-3.869081E-07	1.339574	0.825157	
0.022	0.1249849	-0.07697356	-4.050398E-07	1.371462	0.8644465	
0.0225	0.1249834	-0.07706326	-4.235962E-07	1.403349	0.9046495	
0.023	0.1249819	-0.07715493	-4.425781E-07	1.435236	0.945766	
