Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.07500003	-4.691388E-13	0	-7.765026E-19	
0.001	0.125	-0.07500196	-3.901606E-10	0.0002571589	7.367059E-06	
0.0015	0.125	-0.07500584	-1.116594E-09	0.04376686	0.001261195	
0.002	0.125	-0.07501167	-2.029297E-09	0.08782724	0.00377726	
0.0025	0.125	-0.07501945	-2.886434E-09	0.1318978	0.007555854	
0.003	0.125	-0.07502918	-3.354948E-09	0.1759685	0.01259698	
0.0035	0.125	-0.07504085	-3.010553E-09	0.2200392	0.01890064	
0.004	0.125	-0.07505447	-1.337743E-09	0.26411	0.02646684	
0.0045	0.125	-0.07507004	2.27021E-09	0.3081807	0.03529556	
0.005	0.125	-0.07508755	8.511254E-09	0.3522514	0.04538682	
0.0055	0.125	-0.07510702	1.817456E-08	0.3963221	0.05674062	
0.006	0.1249999	-0.07512843	3.21405E-08	0.4403928	0.06935694	
0.0065	0.1249999	-0.07515179	5.138069E-08	0.4844635	0.0832358	
0.007	0.1249999	-0.0751771	7.695793E-08	0.5285342	0.09837719	
0.0075	0.1249998	-0.07520435	1.100263E-07	0.5726048	0.1147811	
0.008	0.1249998	-0.07523355	1.518309E-07	0.6166754	0.1324476	
0.0085	0.1249997	-0.0752647	2.037083E-07	0.6607459	0.1513765	
0.009000001	0.1249997	-0.0752978	2.670862E-07	0.7048164	0.171568	
0.009500001	0.1249996	-0.07533284	3.434832E-07	0.7488868	0.1930221	
0.01	0.1249995	-0.07536983	4.345096E-07	0.7929571	0.2157386	
0.0105	0.1249994	-0.07540878	5.418665E-07	0.8370273	0.2397177	
0.011	0.1249992	-0.07544967	6.673465E-07	0.8810974	0.2649592	
0.0115	0.1249991	-0.07549249	8.12833E-07	0.9251673	0.2914633	
0.012	0.1249989	-0.07553728	9.803008E-07	0.9692371	0.3192299	
0.0125	0.1249987	-0.07558401	1.171816E-06	1.013307	0.348259	
0.013	0.1249985	-0.07563268	1.389536E-06	1.057376	0.3785506	
0.0135	0.1249982	-0.07568332	1.635708E-06	1.101445	0.4101047	
0.014	0.1249979	-0.07573589	1.912673E-06	1.145514	0.4429213	
0.0145	0.1249976	-0.0757904	2.222859E-06	1.189582	0.4770003	
0.015	0.1249973	-0.07584687	2.568791E-06	1.23365	0.5123418	
0.0155	0.1249969	-0.07590529	2.95308E-06	1.277718	0.5489457	
0.016	0.1249964	-0.07596564	3.378429E-06	1.321785	0.5868121	
0.0165	0.1249959	-0.07602795	3.847634E-06	1.365852	0.6259409	
0.017	0.1249954	-0.07609221	4.363581E-06	1.409918	0.6663321	
0.0175	0.1249948	-0.0761584	4.929247E-06	1.453984	0.7079856	
0.018	0.1249942	-0.07622655	5.5477E-06	1.498049	0.7509016	
0.0185	0.1249935	-0.07629665	6.222098E-06	1.542113	0.7950798	
0.019	0.1249928	-0.07636869	6.955693E-06	1.586177	0.8405204	
0.0195	0.124992	-0.07644268	7.751823E-06	1.630239	0.8872234	
0.02	0.1249911	-0.07651861	8.613923E-06	1.674301	0.9351885	
0.0205	0.1249901	-0.07659649	9.545513E-06	1.718361	0.9844159	
0.021	0.1249891	-0.07667631	1.055021E-05	1.762421	1.034906	
0.0215	0.124988	-0.07675808	1.163171E-05	1.806479	1.086658	
0.022	0.1249868	-0.07684179	1.279382E-05	1.850536	1.139671	
0.0225	0.1249856	-0.07692745	1.404042E-05	1.894592	1.193947	
0.023	0.1249842	-0.07701506	1.537548E-05	1.938646	1.249486	
0.0235	0.1249828	-0.07710461	1.680308E-05	1.982698	1.306286	
0.024	0.1249812	-0.0771961	1.832737E-05	2.026749	1.364348	
0.0245	0.1249796	-0.07728954	1.995259E-05	2.070799	1.423672	
0.025	0.1249778	-0.07738491	2.168309E-05	2.114846	1.484258	
0.0255	0.124976	-0.07748224	2.35233E-05	2.158891	1.546105	
0.026	0.124974	-0.0775815	2.547774E-05	2.202934	1.609215	
0.0265	0.1249719	-0.07768271	2.7551E-05	2.246975	1.673586	
0.027	0.1249697	-0.07778586	2.974781E-05	2.291013	1.739219	
0.0275	0.1249673	-0.07789095	3.207293E-05	2.335049	1.806113	
0.028	0.1249648	-0.07799798	3.453126E-05	2.379082	1.874269	
0.0285	0.1249622	-0.07810695	3.712776E-05	2.423112	1.943686	
0.029	0.1249595	-0.07821786	3.986749E-05	2.467139	2.014364	
0.0295	0.1249565	-0.07833072	4.27556E-05	2.511163	2.086303	
0.03	0.1249535	-0.0784455	4.579733E-05	2.555184	2.159504	
0.0305	0.1249503	-0.07856223	4.899801E-05	2.599201	2.233966	
0.031	0.1249469	-0.0786809	5.236305E-05	2.643215	2.309688	
0.0315	0.1249433	-0.0788015	5.589796E-05	2.687224	2.386672	
0.032	0.1249396	-0.07892403	5.960834E-05	2.73123	2.464916	
0.0325	0.1249356	-0.07904851	6.349986E-05	2.775231	2.54442	
0.033	0.1249315	-0.07917491	6.75783E-05	2.819228	2.625185	
0.0335	0.1249272	-0.07930326	7.184954E-05	2.86322	2.70721	
0.034	0.1249228	-0.07943352	7.631951E-05	2.907207	2.790496	
0.0345	0.124918	-0.07956573	8.099424E-05	2.95119	2.875041	
0.035	0.1249131	-0.07969987	8.587989E-05	2.995167	2.960846	
0.0355	0.124908	-0.07983593	9.098264E-05	3.039138	3.047911	
0.036	0.1249026	-0.07997392	9.630882E-05	3.083103	3.136235	
0.0365	0.1248971	-0.08011384	0.0001018648	3.127063	3.225819	
0.037	0.1248912	-0.08025569	0.0001076571	3.171017	3.316662	
0.0375	0.1248852	-0.08039945	0.0001136922	3.214964	3.408764	
0.038	0.1248788	-0.08054515	0.0001199768	3.258904	3.502125	
0.0385	0.1248723	-0.08069277	0.0001265177	3.302837	3.596744	
0.039	0.1248654	-0.08084231	0.0001333216	3.346763	3.692622	
0.0395	0.1248583	-0.08099376	0.0001403955	3.390682	3.789758	
0.04	0.124851	-0.08114715	0.0001477464	3.434593	3.888151	
0.0405	0.1248433	-0.08130244	0.0001553813	3.478495	3.987803	
0.041	0.1248353	-0.08145965	0.0001633074	3.52239	4.088712	
0.0415	0.1248271	-0.08161877	0.0001715321	3.566276	4.190878	
0.042	0.1248185	-0.08177981	0.0001800625	3.610152	4.294302	
0.0425	0.1248096	-0.08194275	0.0001889062	3.65402	4.398982	
0.043	0.1248004	-0.0821076	0.0001980707	3.697879	4.504918	
0.0435	0.1247909	-0.08227437	0.0002075634	3.741727	4.612111	
0.044	0.124781	-0.08244303	0.0002173922	3.785565	4.720559	
0.0445	0.1247708	-0.08261359	0.0002275648	3.829393	4.830263	
0.045	0.1247603	-0.08278607	0.000238089	3.87321	4.941223	
0.0455	0.1247493	-0.08296043	0.0002489727	3.917016	5.053437	
0.046	0.1247381	-0.08313669	0.000260224	3.960811	5.166906	
0.0465	0.1247264	-0.08331485	0.0002718509	4.004593	5.281629	
0.047	0.1247143	-0.08349489	0.0002838616	4.048364	5.397606	
0.0475	0.1247019	-0.08367684	0.0002962643	4.092123	5.514836	
0.048	0.124689	-0.08386066	0.0003090675	4.135868	5.633321	
0.0485	0.1246758	-0.08404636	0.0003222794	4.1796	5.753057	
0.049	0.1246621	-0.08423396	0.0003359087	4.223319	5.874046	
0.0495	0.124648	-0.08442342	0.0003499638	4.267023	5.996287	
0.05	0.1246335	-0.08461477	0.0003644534	4.310714	6.119781	
0.0505	0.1246185	-0.08480798	0.0003793862	4.354389	6.244524	
0.051	0.1246031	-0.08500307	0.0003947711	4.39805	6.370519	
0.0515	0.1245872	-0.08520003	0.000410617	4.441695	6.497765	
0.052	0.1245708	-0.08539885	0.0004269327	4.485324	6.62626	
0.0525	0.124554	-0.08559952	0.0004437273	4.528937	6.756004	
0.053	0.1245367	-0.08580206	0.00046101	4.572533	6.886998	
0.0535	0.1245189	-0.08600645	0.0004787899	4.616112	7.019239	
0.054	0.1245005	-0.08621269	0.0004970763	4.659674	7.152729	
0.0545	0.1244817	-0.08642077	0.0005158785	4.703217	7.287467	
0.055	0.1244623	-0.08663069	0.0005352059	4.746742	7.423451	
0.0555	0.1244424	-0.08684246	0.0005550681	4.790248	7.560681	
0.056	0.1244219	-0.08705606	0.0005754745	4.833735	7.699157	
0.0565	0.1244009	-0.0872715	0.0005964349	4.877202	7.838879	
0.057	0.1243794	-0.08748876	0.0006179588	4.920648	7.979845	
0.0575	0.1243572	-0.08770784	0.0006400561	4.964074	8.122055	
0.058	0.1243345	-0.08792874	0.0006627365	5.007479	8.265509	
0.0585	0.1243112	-0.08815145	0.0006860102	5.050862	8.410206	
0.059	0.1242872	-0.08837598	0.0007098868	5.094223	8.556145	
0.0595	0.1242627	-0.08860231	0.0007343767	5.137561	8.703325	
0.06	0.1242375	-0.08883044	0.0007594896	5.180875	8.851746	
0.0605	0.1242117	-0.08906036	0.0007852361	5.224166	9.001408	
0.061	0.1241853	-0.08929208	0.0008116261	5.267434	9.152308	
0.0615	0.1241582	-0.08952557	0.0008386701	5.310676	9.304447	
0.062	0.1241304	-0.08976085	0.0008663783	5.353892	9.457826	
0.0625	0.124102	-0.08999791	0.0008947614	5.397083	9.61244	
0.063	0.1240729	-0.09023672	0.0009238296	5.440248	9.768292	
0.0635	0.1240431	-0.09047731	0.0009535936	5.483386	9.92538	
0.064	0.1240125	-0.09071966	0.000984064	5.526496	10.0837	
0.0645	0.1239813	-0.09096374	0.001015251	5.569578	10.24326	
0.06500001	0.1239493	-0.09120958	0.001047166	5.612631	10.40405	
0.06550001	0.1239166	-0.09145716	0.00107982	5.655655	10.56607	
0.066	0.1238832	-0.09170647	0.001113223	5.69865	10.72933	
