Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.07500004	0	0	0	
0.001	0.125	-0.07500008	0	0	0	
0.0015	0.125	-0.07500013	0	0	0	
0.002	0.125	-0.07500017	0	0	0	
0.0025	0.125	-0.07500021	0	0	0	
0.003	0.125	-0.07500025	0	0	0	
0.0035	0.125	-0.07500029	0	0	0	
0.004	0.125	-0.07500034	0	0	0	
0.0045	0.125	-0.07500037	0	0	0	
0.005	0.125	-0.07500041	0	0	0	
0.0055	0.125	-0.07500041	0	0	0	
0.006000001	0.125	-0.07500041	0	0	0	
0.006500001	0.125	-0.07500041	0	0	0	
0.007000001	0.125	-0.07500041	0	0	0	
0.007500001	0.125	-0.07500041	0	0	0	
0.008	0.125	-0.07500041	0	0	0	
0.0085	0.125	-0.07500041	0	0	0	
0.009000001	0.125	-0.07500041	0	0	0	
0.009500001	0.125	-0.07500041	0	0	0	
0.01	0.125	-0.07500041	0	0	0	
0.0105	0.125	-0.07500041	0	0	0	
0.011	0.125	-0.07500041	0	0	0	
0.0115	0.125	-0.07500041	0	0	0	
0.012	0.125	-0.07500041	0	0	0	
0.0125	0.125	-0.07500041	0	0	0	
0.013	0.125	-0.07500041	0	0	0	
0.0135	0.125	-0.07500041	0	0	0	
0.014	0.125	-0.07500041	0	0	0	
0.0145	0.125	-0.07500041	0	0	0	
0.015	0.125	-0.07500041	0	0	0	
0.0155	0.125	-0.07500041	0	0	0	
0.016	0.125	-0.07500041	0	0	0	
0.0165	0.125	-0.07500041	0	0	0	
0.017	0.125	-0.07500041	0	0	0	
0.0175	0.125	-0.07500041	0	0	0	
0.018	0.125	-0.07500041	0	0	0	
0.0185	0.125	-0.07500041	0	0	0	
0.019	0.125	-0.07500041	0	0	0	
0.01949999	0.125	-0.07500041	0	0	0	
0.01999999	0.125	-0.07500041	0	0	0	
0.02049999	0.125	-0.07500041	0	0	0	
0.02099999	0.125	-0.07500041	0	0	0	
0.02149999	0.125	-0.07500041	0	0	0	
0.02199999	0.125	-0.07500041	0	0	0	
0.02249999	0.125	-0.07500041	0	0	0	
0.02299999	0.125	-0.07500041	0	0	0	
0.02349999	0.125	-0.07500041	0	0	0	
0.02399999	0.125	-0.07500041	0	0	0	
0.02449999	0.125	-0.07500041	0	0	0	
0.02499999	0.125	-0.07500041	0	0	0	
0.02549998	0.125	-0.07500041	0	0	0	
0.02599998	0.125	-0.07500041	0	0	0	
0.02649998	0.125	-0.07500041	0	0	0	
0.02699998	0.125	-0.07500041	0	0	0	
0.02749998	0.125	-0.07500041	0	0	0	
0.02799998	0.125	-0.07500041	0	0	0	
0.02849998	0.125	-0.07500041	0	0	0	
0.02899998	0.125	-0.07500041	0	0	0	
0.02949998	0.125	-0.07500041	0	0	0	
0.02999998	0.125	-0.07500041	0	0	0	
0.03049998	0.125	-0.07500041	0	0	0	
0.03099998	0.125	-0.07500041	0	0	0	
0.03149997	0.125	-0.07500041	0	0	0	
0.03199998	0.125	-0.07500041	0	0	0	
0.03249998	0.125	-0.07500041	0	0	0	
0.03299998	0.125	-0.07500041	0	0	0	
0.03349998	0.125	-0.07500041	0	0	0	
0.03399998	0.125	-0.07500041	0	0	0	
0.03449998	0.125	-0.07500041	0	0	0	
0.03499998	0.125	-0.07500041	0	0	0	
0.03549998	0.125	-0.07500041	0	0	0	
0.03599998	0.125	-0.07500041	0	0	0	
0.03649998	0.125	-0.07500041	0	0	0	
0.03699999	0.125	-0.07500041	0	0	0	
0.03749999	0.125	-0.07500041	0	0	0	
0.03799999	0.125	-0.07500041	0	0	0	
0.03849999	0.125	-0.07500041	0	0	0	
0.03899999	0.125	-0.07500041	0	0	0	
0.03949999	0.125	-0.07500041	0	0	0	
0.03999999	0.125	-0.07500041	0	0	0	
0.04049999	0.125	-0.07500041	0	0	0	
0.04099999	0.125	-0.07500041	0	0	0	
0.04149999	0.125	-0.07500041	0	0	0	
0.042	0.125	-0.07500041	0	0	0	
0.0425	0.125	-0.07500041	0	0	0	
0.043	0.125	-0.07500041	0	0	0	
0.0435	0.125	-0.07500041	0	0	0	
0.044	0.125	-0.07500041	0	0	0	
0.0445	0.125	-0.07500041	0	0	0	
0.045	0.125	-0.07500041	0	0	0	
0.0455	0.125	-0.07500041	0	0	0	
0.046	0.125	-0.07500041	0	0	0	
0.0465	0.125	-0.07500041	0	0	0	
0.04700001	0.125	-0.07500041	0	0	0	
0.04750001	0.125	-0.07500041	0	0	0	
0.04800001	0.125	-0.07500041	0	0	0	
0.04850001	0.125	-0.07500041	0	0	0	
0.04900001	0.125	-0.07500041	0	0	0	
0.04950001	0.125	-0.07500041	0	0	0	
0.05000001	0.125	-0.07500041	0	0	0	
0.05050001	0.125	-0.07500041	0	0	0	
0.05100001	0.125	-0.07500041	0	0	0	
0.05150001	0.125	-0.07500041	0	0	0	
0.05200002	0.125	-0.07500041	0	0	0	
0.05250002	0.125	-0.07500041	0	0	0	
0.05300002	0.125	-0.07500041	0	0	0	
0.05350002	0.125	-0.07500041	0	0	0	
0.05400002	0.125	-0.07500041	0	0	0	
0.05450002	0.125	-0.07500041	0	0	0	
0.05500002	0.125	-0.07500041	0	0	0	
0.05550002	0.125	-0.07500041	0	0	0	
0.05600002	0.125	-0.07500041	0	0	0	
0.05650003	0.125	-0.07500041	0	0	0	
0.05700003	0.125	-0.07500041	0	0	0	
0.05750003	0.125	-0.07500041	0	0	0	
0.05800003	0.125	-0.07500041	0	0	0	
0.05850003	0.125	-0.07500041	0	0	0	
0.05900003	0.125	-0.07500041	0	0	0	
0.05950003	0.125	-0.07500041	0	0	0	
0.06000003	0.125	-0.07500041	0	0	0	
0.06050003	0.125	-0.07500041	0	0	0	
0.06100003	0.125	-0.07500041	0	0	0	
0.06150004	0.125	-0.07500041	0	0	0	
0.06200004	0.125	-0.07500041	0	0	0	
0.06250004	0.125	-0.07500041	0	0	0	
0.06300004	0.125	-0.07500041	0	0	0	
0.06350004	0.125	-0.07500041	0	0	0	
0.06400004	0.125	-0.07500041	0	0	0	
0.06450004	0.125	-0.07500041	0	0	0	
0.06500004	0.125	-0.07500041	0	0	0	
0.06550004	0.125	-0.07500041	0	0	0	
0.06600004	0.125	-0.07500041	0	0	0	
0.06650005	0.125	-0.07500041	0	0	0	
0.06700005	0.125	-0.07500041	0	0	0	
0.06750005	0.125	-0.07500041	0	0	0	
0.06800005	0.125	-0.07500041	0	0	0	
