Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	-0.00849659	0	
0.0005	0.125	-0.07512346	-2.514067E-08	0	0	
0.001	0.1249999	-0.07524847	-5.062197E-08	1.977647	0.05665541	
0.0015	0.1249996	-0.07537349	-7.613268E-08	2.000088	0.1139537	
0.002	0.1249992	-0.07549852	-1.016689E-07	2.000364	0.1712599	
0.0025	0.1249987	-0.07562354	-1.272306E-07	2.000368	0.2285662	
0.003	0.1249981	-0.07574857	-1.528178E-07	2.000368	0.2858726	
0.0035	0.1249974	-0.0758736	-1.784304E-07	2.000368	0.3431789	
0.004	0.1249965	-0.07599862	-2.040683E-07	2.000368	0.4004852	
0.0045	0.1249955	-0.07612365	-2.297316E-07	2.000368	0.4577916	
0.005	0.1249944	-0.07624867	-2.554203E-07	2.000368	0.5150979	
0.0055	0.1249931	-0.07637369	-2.811342E-07	2.000368	0.5724041	
0.006	0.1249917	-0.0764987	-3.068735E-07	2.000368	0.6297105	
0.0065	0.1249902	-0.07662372	-3.32638E-07	2.000368	0.6870168	
0.007	0.1249886	-0.07674874	-3.584277E-07	2.000368	0.7443232	
0.0075	0.1249868	-0.07687375	-3.842426E-07	2.000368	0.8016295	
0.008	0.124985	-0.07699876	-4.100827E-07	2.000368	0.8589358	
0.0085	0.124983	-0.07712378	-4.35948E-07	2.000368	0.9162421	
0.009000001	0.1249808	-0.07724878	-4.618384E-07	2.000368	0.9735485	
0.009500001	0.1249786	-0.07737379	-4.877539E-07	2.000368	1.030855	
0.01	0.1249762	-0.07749879	-5.136944E-07	2.000368	1.088161	
0.0105	0.1249737	-0.07762379	-5.3966E-07	2.000368	1.145467	
0.011	0.1249711	-0.07774879	-5.656507E-07	2.000368	1.202774	
0.0115	0.1249683	-0.07787379	-5.916663E-07	2.000368	1.26008	
0.012	0.1249654	-0.07799878	-6.177069E-07	2.000368	1.317386	
0.0125	0.1249624	-0.07812377	-6.437724E-07	2.000368	1.374693	
0.013	0.1249593	-0.07824876	-6.698628E-07	2.000368	1.431999	
0.0135	0.124956	-0.07837375	-6.959781E-07	2.000368	1.489305	
0.014	0.1249527	-0.07849872	-7.221183E-07	2.000368	1.546612	
0.0145	0.1249491	-0.0786237	-7.482833E-07	2.000368	1.603918	
0.015	0.1249455	-0.07874867	-7.744731E-07	2.000368	1.661224	
0.0155	0.1249417	-0.07887364	-8.006877E-07	2.000368	1.718531	
0.016	0.1249379	-0.07899861	-8.269271E-07	2.000368	1.775837	
0.0165	0.1249339	-0.07912357	-8.531911E-07	2.000368	1.833143	
0.017	0.1249297	-0.07924853	-8.794798E-07	2.000368	1.89045	
0.0175	0.1249254	-0.07937348	-9.057933E-07	2.000368	1.947756	
0.018	0.1249211	-0.07949843	-9.321314E-07	2.000368	2.005062	
0.0185	0.1249166	-0.07962338	-9.584941E-07	2.000368	2.062369	
0.019	0.1249119	-0.07974832	-9.848814E-07	2.000368	2.119675	
0.0195	0.1249072	-0.07987326	-1.011293E-06	2.000368	2.176981	
0.02	0.1249023	-0.07999819	-1.03773E-06	2.000368	2.234288	
0.0205	0.1248973	-0.08012311	-1.064191E-06	2.000368	2.291594	
0.021	0.1248921	-0.08024803	-1.090676E-06	2.000368	2.3489	
0.0215	0.1248869	-0.08037294	-1.117186E-06	2.000368	2.406207	
0.022	0.1248815	-0.08049785	-1.14372E-06	2.000368	2.463513	
0.0225	0.124876	-0.08062275	-1.170279E-06	2.000368	2.520819	
0.023	0.1248703	-0.08074766	-1.196862E-06	2.000367	2.578125	
0.0235	0.1248646	-0.08087255	-1.223469E-06	2.000367	2.635432	
0.024	0.1248587	-0.08099744	-1.250101E-06	2.000367	2.692738	
0.0245	0.1248526	-0.08112232	-1.276757E-06	2.000367	2.750044	
0.025	0.1248465	-0.0812472	-1.303437E-06	2.000367	2.807351	
0.0255	0.1248403	-0.08137207	-1.330142E-06	2.000367	2.864657	
0.026	0.1248339	-0.08149692	-1.35687E-06	2.000367	2.921963	
0.0265	0.1248273	-0.08162179	-1.383623E-06	2.000367	2.97927	
0.027	0.1248207	-0.08174663	-1.4104E-06	2.000367	3.036576	
0.0275	0.1248139	-0.08187147	-1.437202E-06	2.000367	3.093882	
0.028	0.1248071	-0.08199631	-1.464027E-06	2.000367	3.151188	
0.0285	0.1248	-0.08212114	-1.490876E-06	2.000367	3.208495	
0.029	0.1247929	-0.08224597	-1.51775E-06	2.000367	3.265801	
0.0295	0.1247856	-0.08237078	-1.544647E-06	2.000367	3.323107	
0.03	0.1247782	-0.08249559	-1.571569E-06	2.000367	3.380414	
0.0305	0.1247707	-0.08262039	-1.598514E-06	2.000367	3.43772	
0.031	0.1247631	-0.08274518	-1.625483E-06	2.000367	3.495026	
0.0315	0.1247553	-0.08286997	-1.652477E-06	2.000367	3.552332	
0.032	0.1247474	-0.08299474	-1.679494E-06	2.000367	3.609639	
0.0325	0.1247394	-0.0831195	-1.706535E-06	2.000367	3.666945	
0.033	0.1247313	-0.08324427	-1.7336E-06	2.000367	3.724252	
0.0335	0.124723	-0.08336902	-1.760688E-06	2.000367	3.781558	
0.034	0.1247146	-0.08349376	-1.787801E-06	2.000367	3.838864	
0.0345	0.1247061	-0.08361851	-1.814937E-06	2.000367	3.89617	
