Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0.1164251	0	0	
0.0005	0.125	-0.07500222	0.1164251	0	0	
0.001	0.125	-0.07500665	0.1164251	0.03544968	0.001015559	
0.0015	0.125	-0.0750133	0.1164251	0.07090756	0.003046911	
0.002	0.125	-0.07502216	0.1164251	0.1063654	0.006094057	
0.0025	0.125	-0.07503324	0.1164251	0.1418233	0.010157	
0.003	0.125	-0.07504654	0.1164251	0.1772812	0.01523573	
0.0035	0.125	-0.07506206	0.116425	0.2127391	0.02133026	
0.004	0.125	-0.07507978	0.116425	0.248197	0.02844057	
0.0045	0.125	-0.07509973	0.116425	0.2836548	0.03656669	
0.005	0.125	-0.07512189	0.116425	0.3191127	0.0457086	
0.0055	0.1249999	-0.07514627	0.116425	0.3545706	0.05586629	
0.006	0.1249999	-0.07517286	0.116425	0.3900284	0.06703979	
0.0065	0.1249999	-0.07520167	0.116425	0.4254863	0.07922907	
0.007	0.1249998	-0.07523269	0.116425	0.4609441	0.09243415	
0.0075	0.1249997	-0.07526594	0.116425	0.4964019	0.106655	
0.008	0.1249997	-0.07530139	0.116425	0.5318598	0.1218917	
0.0085	0.1249996	-0.07533907	0.116425	0.5673175	0.1381441	
0.009000001	0.1249995	-0.07537895	0.116425	0.6027753	0.1554124	
0.009500001	0.1249993	-0.07542106	0.116425	0.638233	0.1736964	
0.01	0.1249992	-0.07546538	0.116425	0.6736907	0.1929962	
0.0105	0.124999	-0.07551192	0.116425	0.7091483	0.2133118	
0.011	0.1249988	-0.07556068	0.1164249	0.744606	0.2346432	
0.0115	0.1249986	-0.07561164	0.1164249	0.7800635	0.2569904	
0.012	0.1249983	-0.07566483	0.1164249	0.8155209	0.2803534	
0.0125	0.124998	-0.07572024	0.1164249	0.8509783	0.3047321	
0.013	0.1249977	-0.07577785	0.1164249	0.8864356	0.3301266	
0.0135	0.1249973	-0.07583769	0.1164249	0.9218928	0.3565369	
0.014	0.1249969	-0.07589974	0.1164249	0.95735	0.383963	
0.0145	0.1249964	-0.075964	0.1164249	0.9928069	0.4124048	
0.015	0.1249959	-0.07603049	0.1164249	1.028264	0.4418624	
0.0155	0.1249954	-0.07609918	0.1164248	1.06372	0.4723357	
0.016	0.1249947	-0.07617009	0.1164248	1.099177	0.5038248	
0.0165	0.1249941	-0.07624321	0.1164248	1.134633	0.5363297	
0.017	0.1249933	-0.07631856	0.1164248	1.170089	0.5698503	
0.0175	0.1249925	-0.07639612	0.1164248	1.205545	0.6043866	
0.018	0.1249916	-0.0764759	0.1164248	1.241001	0.6399387	
0.0185	0.1249906	-0.07655788	0.1164247	1.276457	0.6765065	
0.019	0.1249896	-0.07664209	0.1164247	1.311912	0.71409	
0.0195	0.1249884	-0.07672851	0.1164247	1.347367	0.7526892	
0.02	0.1249872	-0.07681715	0.1164247	1.382821	0.7923041	
0.0205	0.1249859	-0.07690799	0.1164247	1.418275	0.8329347	
0.021	0.1249845	-0.07700106	0.1164246	1.453729	0.874581	
0.0215	0.1249829	-0.07709634	0.1164246	1.489182	0.9172429	
0.022	0.1249813	-0.07719383	0.1164246	1.524635	0.9609205	
0.0225	0.1249795	-0.07729353	0.1164246	1.560088	1.005614	
0.023	0.1249777	-0.07739545	0.1164246	1.59554	1.051323	
0.0235	0.1249757	-0.07749959	0.1164245	1.630991	1.098047	
0.024	0.1249735	-0.07760593	0.1164245	1.666442	1.145787	
0.0245	0.1249713	-0.0777145	0.1164245	1.701892	1.194543	
0.025	0.1249689	-0.07782527	0.1164245	1.737342	1.244314	
0.0255	0.1249663	-0.07793825	0.1164245	1.772791	1.295101	
0.026	0.1249636	-0.07805345	0.1164244	1.808239	1.346903	
0.0265	0.1249607	-0.07817086	0.1164244	1.843687	1.399721	
0.027	0.1249577	-0.07829048	0.1164244	1.879133	1.453554	
0.0275	0.1249545	-0.07841232	0.1164243	1.914579	1.508402	
0.028	0.1249511	-0.07853637	0.1164243	1.950024	1.564267	
0.0285	0.1249475	-0.07866263	0.1164243	1.985468	1.621146	
0.029	0.1249437	-0.07879109	0.1164243	2.02091	1.679041	
0.0295	0.1249397	-0.07892177	0.1164242	2.056352	1.737951	
0.03	0.1249356	-0.07905465	0.1164242	2.091793	1.797876	
