Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	0	0	
0.001	0.125	-0.07500213	0	2.133846E-06	0.004267692	
0.0015	0.125	-0.0750064	0	6.401539E-06	0.008535385	
0.002	0.125	-0.0750128	0	1.279712E-05	0.01279116	
0.0025	0.125	-0.07502133	0	2.132654E-05	0.01705885	
0.003	0.125	-0.07503199	0	3.198981E-05	0.02132654	
0.0035	0.125	-0.07504479	0	4.478693E-05	0.02559423	
0.004	0.125	-0.07505971	0	5.971193E-05	0.02985	
0.0045	0.125	-0.07507677	0	7.677078E-05	0.0341177	
0.005	0.125	-0.07509597	0	9.596348E-05	0.03838539	
0.0055	0.125	-0.07511729	0	0.00011729	0.04265309	
0.006	0.125	-0.07514075	0	0.0001407504	0.04692079	
0.0065	0.125	-0.07516634	0	0.0001663387	0.05117655	
0.007	0.125	-0.07519406	0	0.0001940608	0.05544425	
0.0075	0.125	-0.07522392	0	0.0002239168	0.05971189	
0.008	0.1250001	-0.07525591	0	0.0002559066	0.06397968	
0.0085	0.1250001	-0.07529002	0	0.0002900243	0.06823538	
0.009000001	0.1250001	-0.07532628	0	0.0003262759	0.07250311	
0.009500001	0.1250001	-0.07536466	0	0.0003646612	0.07677078	
0.01	0.1250001	-0.07540518	0	0.0004051805	0.08103845	
0.0105	0.1250001	-0.07544783	0	0.0004478276	0.08529424	
0.011	0.1250001	-0.07549261	0	0.0004926086	0.08956197	
0.0115	0.1250001	-0.07553952	0	0.0005395234	0.0938297	
0.012	0.1250001	-0.07558858	0	0.0005885721	0.09809725	
0.0125	0.1250001	-0.07563975	0	0.0006397546	0.102365	
0.013	0.1250002	-0.07569306	0	0.000693065	0.1066208	
0.0135	0.1250002	-0.07574851	0	0.0007485093	0.1108885	
0.014	0.1250002	-0.07580609	0	0.0008060873	0.1151561	
0.0145	0.1250002	-0.0758658	0	0.0008657992	0.1194238	
0.015	0.1250002	-0.07592764	0	0.000927639	0.1236796	
0.0155	0.1250002	-0.07599162	0	0.0009916127	0.1279473	
0.016	0.1250002	-0.07605772	0	0.00105772	0.132215	
0.0165	0.1250002	-0.07612596	0	0.001125962	0.136483	
0.017	0.1250003	-0.07619634	0	0.001196337	0.1407503	
0.0175	0.1250003	-0.07626884	0	0.00126884	0.1450062	
0.018	0.1250003	-0.07634348	0	0.001343477	0.149274	
0.0185	0.1250003	-0.07642025	0	0.001420248	0.1535416	
0.019	0.1250003	-0.07649916	0	0.001499152	0.1578091	
0.0195	0.1250003	-0.07658019	0	0.001580185	0.1620648	
0.02	0.1250003	-0.07666335	0	0.001663351	0.1663328	
0.0205	0.1250004	-0.07674865	0	0.001748651	0.1706004	
0.021	0.1250004	-0.07683609	0	0.001836085	0.1748682	
0.0215	0.1250004	-0.07692566	0	0.001925653	0.1791357	
0.022	0.1250004	-0.07701735	0	0.002017349	0.1833916	
0.0225	0.1250004	-0.07711118	0	0.002111179	0.1876592	
0.023	0.1250005	-0.07720714	0	0.002207142	0.1919269	
0.0235	0.1250005	-0.07730524	0	0.00230524	0.1961952	
0.024	0.1250005	-0.07740547	0	0.002405465	0.2004504	
0.0245	0.1250005	-0.07750782	0	0.002507824	0.2047182	
0.025	0.1250006	-0.07761232	0	0.002612317	0.2089855	
0.0255	0.1250006	-0.07771894	0	0.002718944	0.2132538	
0.026	0.1250006	-0.0778277	0	0.002827698	0.217509	
0.0265	0.1250006	-0.07793859	0	0.002938587	0.2217772	
0.027	0.1250006	-0.07805161	0	0.003051609	0.2260446	
0.0275	0.1250007	-0.07816677	0	0.003166765	0.2303119	
0.028	0.1250007	-0.07828405	0	0.003284055	0.2345801	
0.0285	0.1250007	-0.07840347	0	0.003403473	0.2388358	
0.029	0.1250007	-0.07852503	0	0.003525025	0.2431036	
0.0295	0.1250008	-0.07864871	0	0.00364871	0.2473709	
0.03	0.1250008	-0.07877453	0	0.00377453	0.2516392	
0.0305	0.1250008	-0.07890248	0	0.003902477	0.2558944	
0.031	0.1250008	-0.07903256	0	0.004032558	0.2601626	
0.0315	0.1250009	-0.07916477	0	0.004164774	0.2644304	
0.032	0.1250009	-0.07929912	0	0.004299122	0.2686977	
0.0325	0.1250009	-0.07943561	0	0.004435605	0.272965	
0.033	0.1250009	-0.07957422	0	0.004574216	0.2772221	
0.0335	0.125001	-0.07971496	0	0.00471496	0.2814885	
0.034	0.125001	-0.07985784	0	0.004857839	0.2857568	
0.0345	0.125001	-0.08000285	0	0.005002851	0.2900241	
0.035	0.1250011	-0.08014999	0	0.005149991	0.2942802	
0.0355	0.1250011	-0.08029927	0	0.005299265	0.2985475	
0.036	0.1250011	-0.08045068	0	0.005450672	0.3028158	
0.0365	0.1250011	-0.08060422	0	0.005604214	0.3070831	
0.037	0.1250012	-0.08075989	0	0.005759889	0.3113504	
0.0375	0.1250012	-0.08091769	0	0.005917693	0.3156066	
0.038	0.1250013	-0.08107763	0	0.00607763	0.3198748	
0.0385	0.1250013	-0.0812397	0	0.006239701	0.3241412	
0.039	0.1250013	-0.0814039	0	0.006403905	0.3284095	
0.0395	0.1250014	-0.08157024	0	0.006570238	0.3326656	
0.04	0.1250014	-0.0817387	0	0.006738705	0.3369329	
0.0405	0.1250014	-0.08190931	0	0.006909305	0.3412003	
0.041	0.1250015	-0.08208204	0	0.007082039	0.3454685	
0.0415	0.1250015	-0.08225691	0	0.007256901	0.3497247	
0.042	0.1250015	-0.0824339	0	0.007433897	0.353992	
0.0425	0.1250016	-0.08261303	0	0.007613027	0.3582593	
0.043	0.1250016	-0.08279429	0	0.007794291	0.3625275	
0.0435	0.1250017	-0.08297769	0	0.007977689	0.3667958	
0.044	0.1250017	-0.08316322	0	0.008163214	0.3710501	
0.0445	0.1250017	-0.08335087	0	0.008350873	0.3753192	
0.045	0.1250018	-0.08354067	0	0.008540667	0.3795866	
0.0455	0.1250018	-0.0837326	0	0.008732594	0.3838539	
0.046	0.1250018	-0.08392665	0	0.008926648	0.3881082	
0.0465	0.1250019	-0.08412284	0	0.009122837	0.3923792	
0.047	0.1250019	-0.08432116	0	0.00932116	0.3966447	
0.0475	0.1250019	-0.08452161	0	0.009521617	0.4009139	
0.048	0.125002	-0.08472421	0	0.009724206	0.4051793	
0.0485	0.125002	-0.08492892	0	0.009928925	0.4094373	
0.049	0.1250021	-0.08513578	0	0.01013578	0.4137028	
0.0495	0.1250021	-0.08534476	0	0.01034476	0.417972	
0.05	0.1250022	-0.08555588	0	0.01055588	0.4222393	
0.0505	0.1250022	-0.08576913	0	0.01076913	0.4264954	
0.051	0.1250023	-0.08598451	0	0.01098451	0.4307627	
0.0515	0.1250023	-0.08620203	0	0.01120203	0.4350301	
0.052	0.1250023	-0.08642168	0	0.01142168	0.4392993	
0.0525	0.1250024	-0.08664345	0	0.01164345	0.4435535	
0.053	0.1250024	-0.08686736	0	0.01186736	0.4478208	
0.0535	0.1250025	-0.08709341	0	0.01209341	0.45209	
0.054	0.1250025	-0.08732159	0	0.01232159	0.4563574	
0.0545	0.1250026	-0.0875519	0	0.0125519	0.4606228	
0.055	0.1250026	-0.08778434	0	0.01278434	0.4648808	
0.0555	0.1250027	-0.08801892	0	0.01301891	0.4691481	
0.056	0.1250027	-0.08825562	0	0.01325562	0.4734155	
0.0565	0.1250028	-0.08849446	0	0.01349446	0.4776828	
0.057	0.1250028	-0.08873543	0	0.01373543	0.4819389	
0.0575	0.1250029	-0.08897854	0	0.01397854	0.4862081	
0.058	0.1250029	-0.08922377	0	0.01422377	0.4904736	
0.0585	0.125003	-0.08947115	0	0.01447114	0.4947428	
0.059	0.125003	-0.08972065	0	0.01472065	0.4990101	
0.0595	0.1250031	-0.08997228	0	0.01497228	0.5032662	
0.06	0.1250031	-0.09022605	0	0.01522605	0.5075336	
0.0605	0.1250031	-0.09048195	0	0.01548195	0.5118008	
0.061	0.1250032	-0.09073999	0	0.01573998	0.5160682	
0.0615	0.1250033	-0.09100015	0	0.01600015	0.5203262	
0.062	0.1250033	-0.09126244	0	0.01626244	0.5245916	
0.0625	0.1250034	-0.09152687	0	0.01652687	0.5288608	
0.063	0.1250034	-0.09179344	0	0.01679344	0.5331263	
0.0635	0.1250035	-0.09206213	0	0.01706213	0.5373843	
0.064	0.1250035	-0.09233295	0	0.01733295	0.5416535	
0.0645	0.1250036	-0.09260591	0	0.01760591	0.5459189	
0.06500001	0.1250037	-0.09288101	0	0.01788101	0.5501844	
0.06550001	0.1250037	-0.09315824	0	0.01815823	0.5544573	
0.066	0.1250038	-0.09343759	0	0.01843759	0.5587116	
0.0665	0.1250038	-0.09371908	0	0.01871908	0.562977	
0.067	0.1250039	-0.0940027	0	0.0190027	0.5672462	
0.0675	0.1250039	-0.09428846	0	0.01928846	0.5715117	
0.068	0.125004	-0.09457634	0	0.01957634	0.5757697	
0.0685	0.1250041	-0.09486636	0	0.01986636	0.5800352	
0.06900001	0.1250041	-0.09515851	0	0.02015851	0.5843043	
0.06950001	0.1250042	-0.0954528	0	0.0204528	0.5885735	
0.07	0.1250042	-0.09574922	0	0.02074922	0.5928389	
0.0705	0.1250043	-0.09604777	0	0.02104777	0.597097	
0.071	0.1250044	-0.09634845	0	0.02134845	0.6013624	
0.0715	0.1250044	-0.09665126	0	0.02165126	0.6056316	
0.072	0.1250045	-0.09695622	0	0.02195621	0.6098971	
0.07250001	0.1250045	-0.09726329	0	0.02226329	0.6141551	
0.07300001	0.1250046	-0.0975725	0	0.0225725	0.6184205	
0.0735	0.1250047	-0.09788384	0	0.02288385	0.6226897	
0.074	0.1250047	-0.09819733	0	0.02319732	0.6269589	
0.0745	0.1250048	-0.09851293	0	0.02351293	0.6312131	
0.075	0.1250049	-0.09883067	0	0.02383067	0.6354823	
0.0755	0.1250049	-0.09915055	0	0.02415055	0.6397478	
0.07600001	0.125005	-0.09947255	0	0.02447256	0.644017	
0.07650001	0.1250051	-0.0997967	0	0.0247967	0.6482824	
0.07700001	0.1250051	-0.100123	0	0.02512296	0.6525367	
0.0775	0.1250052	-0.1004514	0	0.02545138	0.6568208	
0.078	0.1250053	-0.1007819	0	0.02578191	0.6610602	
0.0785	0.1250053	-0.1011146	0	0.02611457	0.6653331	
0.079	0.1250054	-0.1014494	0	0.02644937	0.6695985	
0.0795	0.1250055	-0.1017863	0	0.0267863	0.673864	
0.08000001	0.1250055	-0.1021254	0	0.02712537	0.6781369	
0.08050001	0.1250056	-0.1024666	0	0.02746657	0.6823986	
0.081	0.1250057	-0.1028099	0	0.02780991	0.6866716	
0.0815	0.1250058	-0.1031554	0	0.02815538	0.690937	
0.082	0.1250058	-0.103503	0	0.02850298	0.6952025	
0.0825	0.1250059	-0.1038527	0	0.0288527	0.6994493	
0.083	0.125006	-0.1042046	0	0.02920456	0.7037185	
0.08350001	0.125006	-0.1045585	0	0.02955855	0.7079839	
0.08400001	0.1250061	-0.1049147	0	0.02991468	0.7122494	
0.08450001	0.1250062	-0.1052729	0	0.03027294	0.7165186	
0.085	0.1250062	-0.1056333	0	0.03063333	0.7207878	
0.0855	0.1250063	-0.1059959	0	0.03099586	0.7250569	
0.086	0.1250064	-0.1063605	0	0.03136052	0.7293187	
0.0865	0.1250065	-0.1067273	0	0.0317273	0.7335692	
0.087	0.1250065	-0.1070962	0	0.03209622	0.7378309	
0.08750001	0.1250066	-0.1074673	0	0.03246727	0.7421076	
0.08800001	0.1250067	-0.1078405	0	0.03284046	0.7463693	
0.0885	0.1250068	-0.1082158	0	0.03321577	0.750631	
0.089	0.1250068	-0.1085932	0	0.03359323	0.7549077	
0.0895	0.1250069	-0.1089728	0	0.03397281	0.7591694	
