Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	1.527399E-05	-0.075	0	0	
0.0005	0.125	1.527399E-05	-0.075	7.848849E-18	1.56977E-14	
0.001	0.125	1.427355E-05	-0.074999	-1.414536E-06	-0.002829072	
0.0015	0.125	1.227269E-05	-0.074997	-4.243608E-06	-0.005658143	
0.002	0.125	9.271388E-06	-0.074994	-8.487215E-06	-0.008487215	
0.0025	0.125	5.269655E-06	-0.07499	-1.414536E-05	-0.01131629	
0.003	0.125	2.674874E-07	-0.074985	-2.121804E-05	-0.01414536	
0.0035	0.125	-5.735113E-06	-0.074979	-2.970525E-05	-0.01697443	
0.004	0.125	-1.273815E-05	-0.074972	-3.960701E-05	-0.01980351	
0.0045	0.125	-2.074161E-05	-0.074964	-5.092329E-05	-0.02263257	
0.005	0.125	-2.974552E-05	-0.074955	-6.365412E-05	-0.02546165	
0.0055	0.125	-3.974985E-05	-0.074945	-7.779948E-05	-0.02829073	
0.006	0.125	-5.075462E-05	-0.074934	-9.335937E-05	-0.03111978	
0.0065	0.125	-6.275981E-05	-0.074922	-0.0001103338	-0.03394886	
0.007	0.125	-7.576545E-05	-0.07490899	-0.0001287228	-0.03677793	
0.0075	0.125	-8.977151E-05	-0.07489499	-0.0001485263	-0.03960699	
0.008	0.125	-0.000104778	-0.07488	-0.0001697443	-0.04243609	
0.0085	0.125	-0.0001207849	-0.07486399	-0.0001923769	-0.04526516	
0.009000001	0.125	-0.0001377923	-0.074847	-0.000216424	-0.04809422	
0.009500001	0.125	-0.0001558001	-0.074829	-0.0002418856	-0.05092329	
0.01	0.1249999	-0.0001748084	-0.07480999	-0.0002687618	-0.05375236	
0.0105	0.1249999	-0.000194817	-0.07478999	-0.0002970525	-0.05658139	
0.011	0.1249999	-0.0002158261	-0.074769	-0.0003267578	-0.05941052	
0.0115	0.1249999	-0.0002378357	-0.07474699	-0.0003578776	-0.06223959	
0.012	0.1249999	-0.0002608456	-0.074724	-0.0003904119	-0.06506865	
0.0125	0.1249999	-0.000284856	-0.07469999	-0.0004243608	-0.06789772	
0.013	0.1249999	-0.0003098669	-0.07467499	-0.0004597242	-0.07072679	
0.0135	0.1249999	-0.0003358781	-0.07464899	-0.0004965021	-0.07355586	
0.014	0.1249999	-0.0003628898	-0.07462199	-0.0005346946	-0.07638498	
0.0145	0.1249999	-0.000390902	-0.07459399	-0.0005743016	-0.07921398	
0.015	0.1249999	-0.0004199145	-0.07456499	-0.0006153231	-0.08204311	
0.0155	0.1249999	-0.0004499275	-0.07453499	-0.0006577592	-0.08487212	
0.016	0.1249999	-0.000480941	-0.07450399	-0.0007016098	-0.08770125	
0.0165	0.1249998	-0.0005129548	-0.07447199	-0.000746875	-0.09053025	
0.017	0.1249998	-0.0005459692	-0.07443898	-0.0007935546	-0.09335938	
0.0175	0.1249998	-0.0005799839	-0.07440498	-0.0008416489	-0.09618851	
0.018	0.1249998	-0.000614999	-0.07436999	-0.0008911576	-0.0990174	
0.0185	0.1249998	-0.0006510147	-0.07433399	-0.0009420809	-0.1018466	
0.019	0.1249998	-0.0006880307	-0.07429698	-0.0009944187	-0.1046756	
0.0195	0.1249998	-0.0007260471	-0.07425898	-0.001048171	-0.1075047	
0.02	0.1249998	-0.0007650641	-0.07421999	-0.001103338	-0.110334	
0.0205	0.1249998	-0.0008050815	-0.07417998	-0.001159919	-0.1131627	
0.021	0.1249998	-0.0008460992	-0.07413898	-0.001217915	-0.115992	
0.0215	0.1249997	-0.0008881174	-0.07409698	-0.001277326	-0.1188212	
0.022	0.1249997	-0.000931136	-0.07405398	-0.001338151	-0.1216498	
0.0225	0.1249997	-0.0009751551	-0.07400998	-0.001400391	-0.1244792	
0.023	0.1249997	-0.001020175	-0.07396498	-0.001464045	-0.1273083	
0.0235	0.1249997	-0.001066194	-0.07391898	-0.001529113	-0.1301372	
0.024	0.1249997	-0.001113215	-0.07387198	-0.001595596	-0.1329663	
0.0245	0.1249997	-0.001161236	-0.07382397	-0.001663494	-0.1357957	
0.025	0.1249996	-0.001210257	-0.07377497	-0.001732807	-0.1386246	
0.0255	0.1249996	-0.001260279	-0.07372497	-0.001803533	-0.1414532	
0.026	0.1249996	-0.001311301	-0.07367397	-0.001875675	-0.1442828	
0.0265	0.1249996	-0.001363323	-0.07362197	-0.00194923	-0.1471117	
0.027	0.1249996	-0.001416346	-0.07356896	-0.002024201	-0.1499411	
0.0275	0.1249996	-0.00147037	-0.07351497	-0.002100586	-0.1527695	
0.028	0.1249996	-0.001525393	-0.07345997	-0.002178385	-0.1555993	
0.0285	0.1249995	-0.001581418	-0.07340396	-0.002257599	-0.1584277	
0.029	0.1249995	-0.001638443	-0.07334697	-0.002338228	-0.1612571	
0.0295	0.1249995	-0.001696468	-0.07328896	-0.002420271	-0.1640865	
0.03	0.1249995	-0.001755493	-0.07322996	-0.002503728	-0.1669149	
0.0305	0.1249995	-0.001815519	-0.07316996	-0.002588601	-0.1697442	
0.031	0.1249995	-0.001876545	-0.07310896	-0.002674887	-0.1725736	
0.0315	0.1249994	-0.001938572	-0.07304695	-0.002762589	-0.1754025	
0.032	0.1249994	-0.0020016	-0.07298395	-0.002851704	-0.1782314	
0.0325	0.1249994	-0.002065628	-0.07291996	-0.002942235	-0.1810607	
0.033	0.1249994	-0.002130656	-0.07285495	-0.00303418	-0.1838896	
0.0335	0.1249994	-0.002196684	-0.07278895	-0.003127539	-0.1867185	
0.034	0.1249993	-0.002263713	-0.07272195	-0.003222313	-0.1895479	
0.0345	0.1249993	-0.002331743	-0.07265394	-0.003318501	-0.1923772	
0.035	0.1249993	-0.002400773	-0.07258495	-0.003416104	-0.1952057	
0.0355	0.1249993	-0.002470803	-0.07251494	-0.003515122	-0.198035	
0.036	0.1249993	-0.002541834	-0.07244395	-0.003615554	-0.2008639	
0.0365	0.1249992	-0.002613865	-0.07237194	-0.003717401	-0.2036937	
0.037	0.1249992	-0.002686897	-0.07229894	-0.003820661	-0.2065217	
0.0375	0.1249992	-0.002760929	-0.07222494	-0.003925337	-0.209352	
0.038	0.1249992	-0.002835961	-0.07214993	-0.004031427	-0.2121795	
0.0385	0.1249992	-0.002911994	-0.07207393	-0.004138932	-0.2150098	
0.039	0.1249991	-0.002989027	-0.07199693	-0.004247851	-0.2178382	
0.0395	0.1249991	-0.003067061	-0.07191893	-0.004358185	-0.2206676	
0.04	0.1249991	-0.003146096	-0.07183993	-0.004469933	-0.2234969	
0.0405	0.1249991	-0.00322613	-0.07175993	-0.004583096	-0.2263253	
0.041	0.124999	-0.003307165	-0.07167893	-0.004697674	-0.2291556	
0.0415	0.124999	-0.003389201	-0.07159692	-0.004813666	-0.2319831	
0.042	0.124999	-0.003472237	-0.07151392	-0.004931072	-0.2348134	
0.0425	0.124999	-0.003557499	-0.07143115	-0.005049893	-0.2376418	
0.043	0.1249989	-0.003642291	-0.0713459	-0.005170129	-0.2404712	
0.0435	0.1249989	-0.003728132	-0.0712597	-0.005291779	-0.2433006	
0.044	0.1249989	-0.003815013	-0.07117254	-0.005414844	-0.246129	
0.0445	0.1249989	-0.003902925	-0.07108442	-0.005539323	-0.2489583	
0.045	0.1249988	-0.003991864	-0.07099532	-0.005665216	-0.2517868	
0.0455	0.1249988	-0.004081822	-0.07090523	-0.005792525	-0.2546171	
0.046	0.1249988	-0.004172797	-0.07081416	-0.005921247	-0.2574455	
0.0465	0.1249988	-0.004264786	-0.07072211	-0.006051385	-0.2602749	
0.047	0.1249987	-0.004357785	-0.07062907	-0.006182936	-0.2631033	
0.0475	0.1249987	-0.004451793	-0.07053503	-0.006315903	-0.2659326	
0.048	0.1249987	-0.004546808	-0.07044	-0.006450284	-0.268762	
0.0485	0.1249987	-0.004642828	-0.07034398	-0.006586079	-0.2715913	
0.049	0.1249986	-0.004739854	-0.07024696	-0.006723289	-0.2744198	
0.0495	0.1249986	-0.004837882	-0.07014894	-0.006861914	-0.2772491	
0.05	0.1249986	-0.004936914	-0.07004993	-0.007001953	-0.2800775	
0.0505	0.1249985	-0.005036949	-0.06994992	-0.007143407	-0.2829078	
0.051	0.1249985	-0.005137986	-0.06984892	-0.007286274	-0.2857353	
0.0515	0.1249985	-0.005240025	-0.0697469	-0.007430557	-0.2885656	
0.052	0.1249985	-0.005343065	-0.0696439	-0.007576254	-0.2913941	
0.0525	0.1249984	-0.005447106	-0.0695399	-0.007723366	-0.2942234	
0.053	0.1249984	-0.005552149	-0.06943489	-0.007871892	-0.2970528	
0.0535	0.1249984	-0.005658193	-0.06932888	-0.008021833	-0.2998821	
0.054	0.1249983	-0.005765237	-0.06922188	-0.008173189	-0.3027115	
0.0545	0.1249983	-0.005873283	-0.06911387	-0.008325959	-0.305539	
0.055	0.1249983	-0.005982329	-0.06900487	-0.008480143	-0.3083684	
0.0555	0.1249982	-0.006092376	-0.06889486	-0.008635742	-0.3111977	
0.056	0.1249982	-0.006203423	-0.06878386	-0.008792755	-0.314027	
0.0565	0.1249982	-0.006315471	-0.06867186	-0.008951183	-0.3168564	
0.057	0.1249981	-0.00642852	-0.06855886	-0.009111026	-0.3196858	
0.0575	0.1249981	-0.006542569	-0.06844486	-0.009272283	-0.3225133	
0.058	0.1249981	-0.006657619	-0.06832986	-0.009434954	-0.3253426	
0.0585	0.124998	-0.006773668	-0.06821385	-0.00959904	-0.328172	
0.059	0.124998	-0.006890719	-0.06809685	-0.009764541	-0.3310013	
0.0595	0.124998	-0.00700877	-0.06797884	-0.009931456	-0.3338307	
0.06	0.1249979	-0.007127821	-0.06785984	-0.01009979	-0.3366601	
0.0605	0.1249979	-0.007247873	-0.06773984	-0.01026953	-0.3394894	
0.061	0.1249979	-0.007368925	-0.06761884	-0.01044069	-0.3423169	
0.0615	0.1249978	-0.007490978	-0.06749683	-0.01061326	-0.3451463	
0.062	0.1249978	-0.007614031	-0.06737383	-0.01078725	-0.3479775	
0.0625	0.1249978	-0.007738085	-0.06724983	-0.01096265	-0.3508031	
0.063	0.1249977	-0.00786314	-0.06712482	-0.01113947	-0.3536343	
0.0635	0.1249977	-0.007989193	-0.06699882	-0.0113177	-0.3564637	
0.064	0.1249977	-0.008116249	-0.06687181	-0.01149735	-0.3592912	
0.0645	0.1249976	-0.008244305	-0.06674381	-0.01167841	-0.3621205	
0.06500001	0.1249976	-0.00837336	-0.06661481	-0.01186088	-0.3649518	
0.06550001	0.1249975	-0.008503417	-0.06648481	-0.01204477	-0.3677793	
0.066	0.1249975	-0.008634473	-0.06635381	-0.01223008	-0.3706086	
0.0665	0.1249975	-0.008766531	-0.0662218	-0.0124168	-0.373438	
0.067	0.1249974	-0.008899588	-0.0660888	-0.01260493	-0.3762655	
0.0675	0.1249974	-0.009033646	-0.0659548	-0.01279448	-0.3790948	
0.068	0.1249974	-0.009168705	-0.06581979	-0.01298544	-0.3819261	
0.0685	0.1249973	-0.009304764	-0.06568379	-0.01317782	-0.3847536	
0.06900001	0.1249973	-0.009441823	-0.06554679	-0.01337161	-0.3875829	
0.06950001	0.1249972	-0.009579883	-0.06540879	-0.01356681	-0.3904123	
0.07	0.1249972	-0.009718942	-0.06526978	-0.01376343	-0.3932398	
0.0705	0.1249972	-0.009859004	-0.06512978	-0.01396147	-0.3960691	
0.071	0.1249971	-0.01000006	-0.06498878	-0.01416092	-0.3989003	
0.0715	0.1249971	-0.01014213	-0.06484678	-0.01436178	-0.4017278	
0.072	0.124997	-0.01028519	-0.06470377	-0.01456406	-0.4045572	
0.07250001	0.124997	-0.01042925	-0.06455977	-0.01476775	-0.4073847	
0.07300001	0.124997	-0.01057431	-0.06441476	-0.01497286	-0.4102178	
0.0735	0.1249969	-0.01072038	-0.06426876	-0.01517939	-0.4130453	
0.074	0.1249969	-0.01086744	-0.06412175	-0.01538732	-0.4158728	
0.0745	0.1249968	-0.0110155	-0.06397375	-0.01559667	-0.4187021	
0.075	0.1249968	-0.01116457	-0.06382475	-0.01580744	-0.4215315	
0.0755	0.1249967	-0.01131463	-0.06367475	-0.01601962	-0.424359	
0.07600001	0.1249967	-0.0114657	-0.06352374	-0.01623321	-0.4271902	
0.07650001	0.1249967	-0.01161777	-0.06337174	-0.01644822	-0.4300214	
0.07700001	0.1249966	-0.01177083	-0.06321874	-0.01666465	-0.4328489	
0.0775	0.1249966	-0.0119249	-0.06306473	-0.01688249	-0.4356764	
0.078	0.1249965	-0.01207997	-0.06290973	-0.01710174	-0.4385076	
0.0785	0.1249965	-0.01223603	-0.06275373	-0.01732241	-0.4413314	
0.079	0.1249964	-0.0123931	-0.06259672	-0.01754449	-0.4441663	
0.0795	0.1249964	-0.01255117	-0.06243872	-0.01776799	-0.4469938	
0.08000001	0.1249963	-0.01271024	-0.06227971	-0.0179929	-0.4498213	
0.08050001	0.1249963	-0.01287031	-0.06211971	-0.01821922	-0.4526525	
0.081	0.1249962	-0.01303138	-0.06195871	-0.01844696	-0.45548	
0.0815	0.1249962	-0.01319345	-0.0617967	-0.01867612	-0.4583075	
0.082	0.1249961	-0.01335652	-0.0616337	-0.01890669	-0.4611425	
0.0825	0.1249961	-0.01352059	-0.0614697	-0.01913867	-0.4639625	
0.083	0.1249961	-0.01368566	-0.0613047	-0.01937207	-0.4667975	
0.08350001	0.124996	-0.01385173	-0.06113869	-0.01960688	-0.4696287	
0.08400001	0.124996	-0.01401881	-0.06097168	-0.01984311	-0.4724525	
0.08450001	0.1249959	-0.01418688	-0.06080368	-0.02008075	-0.4752837	
0.085	0.1249959	-0.01435595	-0.06063468	-0.02031981	-0.4781149	
0.0855	0.1249958	-0.01452603	-0.06046468	-0.02056028	-0.4809424	
0.086	0.1249958	-0.0146971	-0.06029367	-0.02080217	-0.4837736	
