Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	0	0	
0.001	0.125	-0.07500245	0	2.444501E-06	0.004889001	
0.0015	0.125	-0.07500733	0	7.333501E-06	0.009778	
0.002	0.125	-0.07501467	0	1.4667E-05	0.014667	
0.0025	0.125	-0.07502445	0	2.4445E-05	0.019556	
0.003	0.125	-0.07503667	0	3.66675E-05	0.024445	
0.0035	0.125	-0.07505134	0	5.133451E-05	0.029334	
0.004	0.125	-0.07506844	0	6.844601E-05	0.03422301	
0.0045	0.125	-0.075088	0	8.800202E-05	0.03911201	
0.005	0.125	-0.07511	0	0.0001100025	0.044001	
0.0055	0.125	-0.07513445	0	0.0001344475	0.04888999	
0.006	0.125	-0.07516134	0	0.000161337	0.05377902	
0.0065	0.125	-0.07519067	0	0.000190671	0.058668	
0.007	0.125	-0.07522245	0	0.0002224495	0.06355703	
0.0075	0.125	-0.07525668	0	0.0002566725	0.06844598	
0.008	0.1250001	-0.07529334	0	0.00029334	0.07333501	
0.0085	0.1250001	-0.07533246	0	0.0003324521	0.07822405	
0.009000001	0.1250001	-0.07537401	0	0.0003740086	0.08311297	
0.009500001	0.1250001	-0.07541801	0	0.0004180096	0.088002	
0.01	0.1250001	-0.07546446	0	0.0004644551	0.09289104	
0.0105	0.1250001	-0.07551335	0	0.0005133451	0.09777996	
0.011	0.1250001	-0.07556468	0	0.0005646796	0.1026691	
0.0115	0.1250001	-0.07561846	0	0.0006184586	0.107558	
0.012	0.1250001	-0.07567468	0	0.0006746821	0.1124471	
0.0125	0.1250002	-0.07573336	0	0.0007333501	0.1173359	
0.013	0.1250002	-0.07579447	0	0.0007944626	0.1222249	
0.0135	0.1250002	-0.07585802	0	0.0008580196	0.127114	
0.014	0.1250002	-0.07592402	0	0.0009240211	0.1320031	
0.0145	0.1250002	-0.07599247	0	0.0009924672	0.1368921	
0.015	0.1250002	-0.07606336	0	0.001063358	0.141781	
0.0155	0.1250002	-0.07613669	0	0.001136693	0.1466698	
0.016	0.1250003	-0.07621247	0	0.001212472	0.1515592	
0.0165	0.1250003	-0.0762907	0	0.001290696	0.156448	
0.017	0.1250003	-0.07637136	0	0.001371365	0.161337	
0.0175	0.1250003	-0.07645448	0	0.001454478	0.1662259	
0.018	0.1250003	-0.07654004	0	0.001540035	0.1711151	
0.0185	0.1250003	-0.07662804	0	0.001628037	0.1760039	
0.019	0.1250003	-0.07671849	0	0.001718484	0.1808931	
0.0195	0.1250004	-0.07681137	0	0.001811375	0.1857821	
0.02	0.1250004	-0.07690671	0	0.00190671	0.1906711	
0.0205	0.1250004	-0.07700449	0	0.00200449	0.1955598	
0.021	0.1250004	-0.07710472	0	0.002104715	0.200449	
0.0215	0.1250005	-0.07720739	0	0.002207384	0.2053385	
0.022	0.1250005	-0.0773125	0	0.002312497	0.2102265	
0.0225	0.1250005	-0.07742006	0	0.002420055	0.2151164	
0.023	0.1250005	-0.07753006	0	0.002530058	0.2200049	
0.0235	0.1250005	-0.07764251	0	0.002642505	0.2248939	
0.024	0.1250006	-0.0777574	0	0.002757396	0.2297829	
0.0245	0.1250006	-0.07787473	0	0.002874732	0.2346723	
0.025	0.1250006	-0.07799452	0	0.002994513	0.2395608	
0.0255	0.1250006	-0.07811674	0	0.003116738	0.2444498	
0.026	0.1250007	-0.07824141	0	0.003241407	0.2493393	
0.0265	0.1250007	-0.07836852	0	0.003368522	0.2542282	
0.027	0.1250007	-0.07849808	0	0.00349808	0.2591167	
0.0275	0.1250007	-0.07863008	0	0.003630083	0.2640062	
0.028	0.1250008	-0.07876453	0	0.003764531	0.2688952	
0.0285	0.1250008	-0.07890143	0	0.003901422	0.2737837	
0.029	0.1250008	-0.07904076	0	0.004040759	0.2786731	
0.0295	0.1250008	-0.07918254	0	0.00418254	0.2835626	
0.03	0.1250009	-0.07932677	0	0.004326766	0.2884511	
0.0305	0.1250009	-0.07947344	0	0.004473436	0.2933396	
0.031	0.1250009	-0.07962255	0	0.00462255	0.298229	
0.0315	0.125001	-0.07977411	0	0.004774109	0.3031185	
0.032	0.125001	-0.07992812	0	0.004928113	0.308007	
0.0325	0.125001	-0.08008456	0	0.005084561	0.3128955	
0.033	0.1250011	-0.08024345	0	0.005243454	0.3177859	
0.0335	0.1250011	-0.08040479	0	0.00540479	0.3226734	
0.034	0.1250011	-0.08056857	0	0.005568572	0.3275629	
0.0345	0.1250012	-0.0807348	0	0.005734798	0.3324523	
0.035	0.1250012	-0.08090347	0	0.005903468	0.3373409	
0.0355	0.1250012	-0.08107459	0	0.006074583	0.3422294	
0.036	0.1250013	-0.08124814	0	0.006248143	0.3471197	
0.0365	0.1250013	-0.08142415	0	0.006424147	0.3520083	
0.037	0.1250014	-0.0816026	0	0.006602596	0.3568977	
0.0375	0.1250014	-0.08178349	0	0.006783489	0.3617853	
0.038	0.1250014	-0.08196682	0	0.006966827	0.3666756	
0.0385	0.1250015	-0.08215261	0	0.007152608	0.3715632	
0.039	0.1250015	-0.08234084	0	0.007340834	0.3764527	
0.0395	0.1250015	-0.0825315	0	0.007531506	0.381343	
0.04	0.1250016	-0.08272462	0	0.007724621	0.3862306	
0.0405	0.1250016	-0.08292019	0	0.007920181	0.3911201	
0.041	0.1250017	-0.08311819	0	0.008118185	0.3960077	
0.0415	0.1250017	-0.08331864	0	0.008318635	0.400899	
0.042	0.1250017	-0.08352153	0	0.008521528	0.4057865	
0.0425	0.1250018	-0.08372687	0	0.008726867	0.4106779	
0.043	0.1250018	-0.08393465	0	0.00893465	0.4155654	
0.0435	0.1250019	-0.08414488	0	0.009144875	0.4204511	
0.044	0.1250019	-0.08435755	0	0.009357547	0.4253443	
0.0445	0.125002	-0.08457267	0	0.009572663	0.4302319	
0.045	0.125002	-0.08479022	0	0.009790224	0.4351213	
0.0455	0.125002	-0.08501023	0	0.01001023	0.4400108	
0.046	0.1250021	-0.08523268	0	0.01023268	0.4448984	
0.0465	0.1250021	-0.08545757	0	0.01045757	0.4497878	
0.047	0.1250022	-0.08568492	0	0.01068491	0.4546773	
0.0475	0.1250022	-0.08591469	0	0.01091469	0.4595648	
0.048	0.1250023	-0.08614692	0	0.01114692	0.4644561	
0.0485	0.1250023	-0.08638159	0	0.01138159	0.4693437	
0.049	0.1250024	-0.08661871	0	0.01161871	0.4742332	
0.0495	0.1250024	-0.08685827	0	0.01185827	0.4791226	
0.05	0.1250025	-0.08710028	0	0.01210028	0.4840102	
0.0505	0.1250025	-0.08734473	0	0.01234473	0.4889015	
0.051	0.1250026	-0.08759162	0	0.01259162	0.4937891	
0.0515	0.1250026	-0.08784097	0	0.01284096	0.4986785	
0.052	0.1250027	-0.08809274	0	0.01309274	0.5035661	
0.0525	0.1250027	-0.08834697	0	0.01334697	0.5084555	
0.053	0.1250028	-0.08860365	0	0.01360364	0.513345	
0.0535	0.1250028	-0.08886276	0	0.01386276	0.5182344	
0.054	0.1250029	-0.08912432	0	0.01412432	0.5231239	
0.0545	0.1250029	-0.08938833	0	0.01438833	0.5280114	
0.055	0.125003	-0.08965478	0	0.01465478	0.5329009	
0.0555	0.125003	-0.08992367	0	0.01492367	0.5377885	
0.056	0.1250031	-0.09019502	0	0.01519501	0.5426798	
0.0565	0.1250031	-0.0904688	0	0.0154688	0.5475692	
0.057	0.1250032	-0.09074502	0	0.01574503	0.5524568	
0.0575	0.1250033	-0.09102371	0	0.0160237	0.5573481	
0.058	0.1250033	-0.09130482	0	0.01630482	0.5622357	
0.0585	0.1250034	-0.09158838	0	0.01658838	0.5671233	
0.059	0.1250034	-0.09187438	0	0.01687439	0.5720109	
0.0595	0.1250035	-0.09216284	0	0.01716284	0.5769022	
0.06	0.1250036	-0.09245373	0	0.01745373	0.5817935	
0.0605	0.1250036	-0.09274708	0	0.01774707	0.5866773	
0.061	0.1250037	-0.09304286	0	0.01804286	0.5915686	
0.0615	0.1250037	-0.09334109	0	0.01834108	0.5964562	
0.062	0.1250038	-0.09364176	0	0.01864176	0.6013513	
0.0625	0.1250039	-0.09394488	0	0.01894488	0.6062351	
0.063	0.1250039	-0.09425044	0	0.01925044	0.6111264	
0.0635	0.125004	-0.09455845	0	0.01955845	0.616014	
0.064	0.125004	-0.0948689	0	0.0198689	0.6209016	
0.0645	0.1250041	-0.09518179	0	0.0201818	0.6257929	
0.06500001	0.1250042	-0.09549714	0	0.02049714	0.6306804	
0.06550001	0.1250042	-0.09581492	0	0.02081492	0.6355717	
0.066	0.1250043	-0.09613515	0	0.02113515	0.6404556	
0.0665	0.1250044	-0.09645782	0	0.02145782	0.6453506	
0.067	0.1250044	-0.09678295	0	0.02178294	0.6502345	
0.0675	0.1250045	-0.0971105	0	0.02211051	0.6551258	
0.068	0.1250046	-0.09744051	0	0.02244051	0.6600171	
0.0685	0.1250046	-0.09777296	0	0.02277297	0.6649047	
0.06900001	0.1250047	-0.09810787	0	0.02310786	0.6697922	
0.06950001	0.1250048	-0.0984452	0	0.0234452	0.6746798	
0.07	0.1250048	-0.09878499	0	0.02378499	0.6795712	
0.0705	0.1250049	-0.09912722	0	0.02412722	0.6844624	
0.071	0.125005	-0.09947189	0	0.02447189	0.6893463	
0.0715	0.1250051	-0.09981901	0	0.02481901	0.6942413	
0.072	0.1250051	-0.1001686	0	0.02516858	0.6991289	
0.07250001	0.1250052	-0.1005206	0	0.02552058	0.7040128	
0.07300001	0.1250053	-0.100875	0	0.02587504	0.7089041	
0.0735	0.1250053	-0.1012319	0	0.02623193	0.7137954	
0.074	0.1250054	-0.1015913	0	0.02659127	0.7186829	
0.0745	0.1250055	-0.1019531	0	0.02695306	0.7235705	
0.075	0.1250056	-0.1023173	0	0.02731729	0.7284619	
0.0755	0.1250056	-0.102684	0	0.02768397	0.7333531	
0.07600001	0.1250057	-0.1030531	0	0.02805309	0.7382407	
0.07650001	0.1250058	-0.1034246	0	0.02842465	0.7431246	
0.07700001	0.1250059	-0.1037987	0	0.02879866	0.7480159	
0.0775	0.1250059	-0.1041751	0	0.02917511	0.7529072	
0.078	0.125006	-0.104554	0	0.02955401	0.7577948	
0.0785	0.1250061	-0.1049353	0	0.02993535	0.7626824	
0.079	0.1250062	-0.1053191	0	0.03031914	0.7675737	
0.0795	0.1250062	-0.1057054	0	0.03070537	0.7724612	
0.08000001	0.1250063	-0.106094	0	0.03109404	0.7773526	
0.08050001	0.1250064	-0.1064852	0	0.03148517	0.7822438	
0.081	0.1250065	-0.1068787	0	0.03187873	0.787124	
0.0815	0.1250066	-0.1072747	0	0.03227474	0.792019	
0.082	0.1250067	-0.1076732	0	0.03267319	0.7969066	
0.0825	0.1250067	-0.1080741	0	0.03307409	0.8018016	
0.083	0.1250068	-0.1084774	0	0.03347743	0.8066818	
0.08350001	0.1250069	-0.1088832	0	0.03388322	0.8115768	
0.08400001	0.125007	-0.1092914	0	0.03429145	0.8164644	
0.08450001	0.1250071	-0.1097021	0	0.03470213	0.8213519	
0.085	0.1250072	-0.1101152	0	0.03511525	0.8262395	
0.0855	0.1250072	-0.1105308	0	0.03553081	0.8311271	
0.086	0.1250073	-0.1109488	0	0.03594882	0.8360221	
0.0865	0.1250074	-0.1113693	0	0.03636928	0.8409023	
0.087	0.1250075	-0.1117922	0	0.03679217	0.8457973	
0.08750001	0.1250076	-0.1122175	0	0.03721752	0.8506923	
0.08800001	0.1250077	-0.1126453	0	0.03764531	0.8555725	
0.0885	0.1250077	-0.1130755	0	0.03807554	0.86046	
0.089	0.1250079	-0.1135082	0	0.03850821	0.8653551	
0.0895	0.1250079	-0.1139433	0	0.03894334	0.8702427	
0.09	0.125008	-0.1143809	0	0.0393809	0.8751302	
