Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	-9.720431E-06	
0.0005	0.125	-0.07500123	-1.223332E-06	1.734176E-06	-9.720431E-06	
0.001	0.125	-0.07500368	-3.672924E-06	5.202529E-06	-9.720431E-06	
0.0015	0.125	-0.07500737	-7.348784E-06	1.040506E-05	-9.720431E-06	
0.002	0.125	-0.07501227	-1.225091E-05	1.734176E-05	-9.720431E-06	
0.0025	0.125	-0.07501841	-1.837931E-05	2.601265E-05	-9.720431E-06	
0.003	0.125	-0.07502577	-2.573397E-05	3.641771E-05	-9.720431E-06	
0.0035	0.125	-0.07503436	-3.43149E-05	4.855694E-05	-9.720431E-06	
0.004	0.125	-0.07504417	-4.412209E-05	6.243035E-05	-9.720431E-06	
0.0045	0.125	-0.0750552	-5.515555E-05	7.803794E-05	-9.720431E-06	
0.005	0.125	-0.07506748	-6.741528E-05	9.537971E-05	-9.720431E-06	
0.0055	0.125	-0.07508096	-8.090128E-05	0.0001144556	-9.720431E-06	
0.006	0.125	-0.07509568	-9.561354E-05	0.0001352658	-9.720431E-06	
0.0065	0.125	-0.07511163	-0.0001115521	0.00015781	-9.720431E-06	
0.007	0.125	-0.07512879	-0.0001287169	0.0001820885	-9.720431E-06	
0.0075	0.125	-0.0751472	-0.0001471079	0.0002081012	-9.720431E-06	
0.008	0.125	-0.07516681	-0.0001667253	0.000235848	-9.720431E-06	
0.0085	0.1250001	-0.07518767	-0.0001875688	0.000265329	-9.720431E-06	
0.009000001	0.1250001	-0.07520974	-0.0002096387	0.0002965442	-9.720431E-06	
0.009500001	0.1250001	-0.07523304	-0.0002329348	0.0003294935	-9.720431E-06	
0.01	0.1250001	-0.07525757	-0.0002574572	0.000364177	-9.720431E-06	
0.0105	0.1250001	-0.07528332	-0.0002832059	0.0004005948	-9.720431E-06	
0.011	0.1250001	-0.0753103	-0.0003101808	0.0004387466	-9.720431E-06	
0.0115	0.1250001	-0.07533851	-0.000338382	0.0004786327	-9.720431E-06	
0.012	0.1250001	-0.07536794	-0.0003678095	0.0005202529	-9.720431E-06	
0.0125	0.1250001	-0.0753986	-0.0003984632	0.0005636073	-9.720431E-06	
0.013	0.1250001	-0.07543048	-0.0004303432	0.0006086959	-9.720431E-06	
0.0135	0.1250001	-0.07546359	-0.0004634494	0.0006555187	-9.720431E-06	
0.014	0.1250001	-0.07549793	-0.0004977819	0.0007040756	-9.720431E-06	
0.0145	0.1250002	-0.0755335	-0.0005333407	0.0007543667	-9.720431E-06	
0.015	0.1250002	-0.07557029	-0.0005701258	0.0008063921	-9.720431E-06	
0.0155	0.1250002	-0.07560831	-0.0006081371	0.0008601515	-9.720431E-06	
0.016	0.1250002	-0.07564755	-0.0006473746	0.0009156452	-9.720431E-06	
0.0165	0.1250002	-0.07568801	-0.0006878385	0.000972873	-9.720431E-06	
0.017	0.1250002	-0.07572971	-0.0007295286	0.001031835	-9.720431E-06	
0.0175	0.1250002	-0.07577263	-0.0007724449	0.001092531	-9.720431E-06	
0.018	0.1250002	-0.07581677	-0.0008165875	0.001154962	-9.720431E-06	
0.0185	0.1250003	-0.07586215	-0.0008619564	0.001219126	-9.720431E-06	
0.019	0.1250003	-0.07590875	-0.0009085517	0.001285025	-9.720431E-06	
0.0195	0.1250003	-0.07595658	-0.000956373	0.001352658	-9.720431E-06	
0.02	0.1250003	-0.07600563	-0.001005421	0.001422025	-9.720431E-06	
0.0205	0.1250003	-0.07605591	-0.001055695	0.001493126	-9.720431E-06	
0.021	0.1250003	-0.07610741	-0.001107195	0.001565961	-9.720431E-06	
0.0215	0.1250003	-0.07616014	-0.001159921	0.001640531	-9.720431E-06	
0.022	0.1250003	-0.0762141	-0.001213874	0.001716835	-9.720431E-06	
0.0225	0.1250004	-0.07626928	-0.001269053	0.001794873	-9.720431E-06	
0.023	0.1250004	-0.07632569	-0.001325458	0.001874645	-9.720431E-06	
0.0235	0.1250004	-0.07638332	-0.00138309	0.001956151	-9.720431E-06	
0.024	0.1250004	-0.07644219	-0.001441948	0.002039392	-9.720431E-06	
0.0245	0.1250004	-0.07650228	-0.001502032	0.002124366	-9.720431E-06	
0.025	0.1250005	-0.07656359	-0.001563342	0.002211075	-9.720431E-06	
0.0255	0.1250005	-0.07662613	-0.001625879	0.002299518	-9.720431E-06	
0.026	0.1250005	-0.0766899	-0.001689642	0.002389695	-9.720431E-06	
0.0265	0.1250005	-0.07675489	-0.001754631	0.002481607	-9.720431E-06	
0.027	0.1250005	-0.07682111	-0.001820846	0.002575252	-9.720431E-06	
0.0275	0.1250006	-0.07688855	-0.001888288	0.002670632	-9.720431E-06	
0.028	0.1250006	-0.07695723	-0.001956956	0.002767746	-9.720431E-06	
0.0285	0.1250006	-0.07702713	-0.00202685	0.002866594	-9.720431E-06	
0.029	0.1250006	-0.07709825	-0.00209797	0.002967176	-9.720431E-06	
0.0295	0.1250006	-0.0771706	-0.002170317	0.003069492	-9.720431E-06	
0.03	0.1250006	-0.07724418	-0.00224389	0.003173543	-9.720431E-06	
0.0305	0.1250007	-0.07731898	-0.002318689	0.003279328	-9.720431E-06	
0.031	0.1250007	-0.07739501	-0.002394715	0.003386847	-9.720431E-06	
0.0315	0.1250007	-0.07747226	-0.002471966	0.0034961	-9.720431E-06	
0.032	0.1250007	-0.07755075	-0.002550444	0.003607087	-9.720431E-06	
0.0325	0.1250008	-0.07763045	-0.002630149	0.003719809	-9.720431E-06	
0.033	0.1250008	-0.0777114	-0.002711079	0.003834264	-9.720431E-06	
0.0335	0.1250008	-0.07779355	-0.002793236	0.003950454	-9.720431E-06	
0.034	0.1250008	-0.07787694	-0.002876619	0.004068378	-9.720431E-06	
0.0345	0.1250009	-0.07796156	-0.002961228	0.004188036	-9.720431E-06	
0.035	0.1250009	-0.07804739	-0.003047064	0.004309428	-9.720431E-06	
0.0355	0.1250009	-0.07813445	-0.003134126	0.004432555	-9.720431E-06	
0.036	0.1250009	-0.07822274	-0.003222414	0.004557416	-9.720431E-06	
0.0365	0.125001	-0.07831227	-0.003311928	0.004684011	-9.720431E-06	
0.037	0.125001	-0.07840301	-0.003402669	0.00481234	-9.720431E-06	
0.0375	0.125001	-0.07849498	-0.003494636	0.004942403	-9.720431E-06	
0.038	0.125001	-0.07858818	-0.003587829	0.0050742	-9.720431E-06	
0.0385	0.1250011	-0.07868259	-0.003682248	0.005207732	-9.720431E-06	
0.039	0.1250011	-0.07877824	-0.003777894	0.005342998	-9.720431E-06	
0.0395	0.1250011	-0.07887512	-0.003874766	0.005479997	-9.720431E-06	
0.04	0.1250011	-0.07897323	-0.003972864	0.005618731	-9.720431E-06	
0.0405	0.1250012	-0.07907256	-0.004072188	0.0057592	-9.720431E-06	
0.041	0.1250012	-0.07917311	-0.004172739	0.005901402	-9.720431E-06	
0.0415	0.1250012	-0.07927489	-0.004274516	0.006045339	-9.720431E-06	
0.042	0.1250013	-0.07937789	-0.004377519	0.00619101	-9.720431E-06	
0.0425	0.1250013	-0.07948213	-0.004481749	0.006338415	-9.720431E-06	
0.043	0.1250013	-0.07958759	-0.004587205	0.006487554	-9.720431E-06	
0.0435	0.1250014	-0.07969426	-0.004693887	0.006638427	-9.720431E-06	
0.044	0.1250014	-0.07980218	-0.004801795	0.006791035	-9.720431E-06	
0.0445	0.1250014	-0.07991131	-0.00491093	0.006945377	-9.720431E-06	
0.045	0.1250014	-0.08002168	-0.00502129	0.007101452	-9.720431E-06	
0.0455	0.1250015	-0.08013327	-0.005132877	0.007259263	-9.720431E-06	
0.046	0.1250015	-0.08024608	-0.005245691	0.007418807	-9.720431E-06	
0.0465	0.1250015	-0.08036013	-0.00535973	0.007580085	-9.720431E-06	
0.047	0.1250016	-0.0804754	-0.005474996	0.007743098	-9.720431E-06	
0.0475	0.1250016	-0.08059189	-0.005591488	0.007907844	-9.720431E-06	
0.048	0.1250017	-0.08070961	-0.005709206	0.008074326	-9.720431E-06	
0.0485	0.1250017	-0.08082856	-0.005828151	0.008242541	-9.720431E-06	
0.049	0.1250017	-0.08094873	-0.005948322	0.00841249	-9.720431E-06	
0.0495	0.1250018	-0.08107014	-0.006069719	0.008584173	-9.720431E-06	
0.05	0.1250018	-0.08119276	-0.006192343	0.008757591	-9.720431E-06	
0.0505	0.1250018	-0.08131661	-0.006316192	0.008932743	-9.720431E-06	
0.051	0.1250019	-0.08144169	-0.006441269	0.009109628	-9.720431E-06	
0.0515	0.1250019	-0.081568	-0.00656757	0.009288249	-9.720431E-06	
0.052	0.1250019	-0.08169553	-0.006695099	0.009468603	-9.720431E-06	
0.0525	0.125002	-0.08182429	-0.006823854	0.009650691	-9.720431E-06	
0.053	0.125002	-0.08195427	-0.006953834	0.009834515	-9.720431E-06	
0.0535	0.125002	-0.08208548	-0.007085042	0.01002007	-9.720431E-06	
0.054	0.1250021	-0.08221792	-0.007217475	0.01020736	-9.720431E-06	
0.0545	0.1250021	-0.08235158	-0.007351135	0.01039639	-9.720431E-06	
0.055	0.1250022	-0.08248647	-0.007486021	0.01058715	-9.720431E-06	
0.0555	0.1250022	-0.08262258	-0.007622133	0.01077964	-9.720431E-06	
0.056	0.1250022	-0.08275992	-0.007759471	0.01097387	-9.720431E-06	
0.0565	0.1250023	-0.08289849	-0.007898036	0.01116983	-9.720431E-06	
0.057	0.1250023	-0.08303829	-0.008037827	0.01136753	-9.720431E-06	
0.0575	0.1250024	-0.0831793	-0.008178844	0.01156696	-9.720431E-06	
0.058	0.1250024	-0.08332155	-0.008321088	0.01176812	-9.720431E-06	
0.0585	0.1250024	-0.08346502	-0.008464558	0.01197102	-9.720431E-06	
0.059	0.1250025	-0.08360972	-0.008609254	0.01217565	-9.720431E-06	
0.0595	0.1250025	-0.08375564	-0.008755176	0.01238202	-9.720431E-06	
0.06	0.1250026	-0.0839028	-0.008902325	0.01259012	-9.720431E-06	
0.0605	0.1250026	-0.08405118	-0.0090507	0.01279996	-9.720431E-06	
0.061	0.1250027	-0.08420078	-0.009200301	0.01301153	-9.720431E-06	
0.0615	0.1250027	-0.08435161	-0.009351129	0.01322483	-9.720431E-06	
0.062	0.1250027	-0.08450367	-0.009503182	0.01343987	-9.720431E-06	
0.0625	0.1250028	-0.08465695	-0.009656462	0.01365664	-9.720431E-06	
0.063	0.1250028	-0.08481145	-0.009810968	0.01387515	-9.720431E-06	
0.0635	0.1250029	-0.08496719	-0.0099667	0.01409539	-9.720431E-06	
0.064	0.1250029	-0.08512415	-0.01012366	0.01431736	-9.720431E-06	
0.0645	0.125003	-0.08528233	-0.01028184	0.01454107	-9.720431E-06	
0.06500001	0.125003	-0.08544175	-0.01044125	0.01476651	-9.720431E-06	
0.06550001	0.1250031	-0.08560239	-0.01060189	0.01499369	-9.720431E-06	
0.066	0.1250031	-0.08576425	-0.01076376	0.0152226	-9.720431E-06	
0.0665	0.1250031	-0.08592734	-0.01092685	0.01545325	-9.720431E-06	
0.067	0.1250032	-0.08609166	-0.01109116	0.01568563	-9.720431E-06	
