Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.07500123	-1.226168E-06	0	0	
0.001	0.125	-0.07500368	-3.6786E-06	1.734176E-06	0.003468353	
0.0015	0.125	-0.07500736	-7.357294E-06	5.202529E-06	0.006936705	
0.002	0.125	-0.07501226	-1.226225E-05	1.040506E-05	0.01040506	
0.0025	0.125	-0.0750184	-1.839346E-05	1.734176E-05	0.01387341	
0.003	0.125	-0.07502575	-2.575093E-05	2.601265E-05	0.01734176	
0.0035	0.125	-0.07503434	-3.433465E-05	3.641771E-05	0.02081012	
0.004	0.125	-0.07504415	-4.414463E-05	4.855694E-05	0.02427847	
0.0045	0.125	-0.07505518	-5.518086E-05	6.243035E-05	0.02774682	
0.005	0.125	-0.07506745	-6.744335E-05	7.803794E-05	0.03121517	
0.0055	0.125	-0.07508093	-8.093208E-05	9.537971E-05	0.03468353	
0.006	0.125	-0.07509565	-9.564708E-05	0.0001144556	0.03815188	
0.0065	0.125	-0.07511159	-0.0001115883	0.0001352658	0.04162023	
0.007	0.125	-0.07512876	-0.0001287558	0.00015781	0.04508859	
0.0075	0.125	-0.07514715	-0.0001471496	0.0001820885	0.04855694	
0.008	0.125	-0.07516677	-0.0001667696	0.0002081012	0.05202529	
0.0085	0.1250001	-0.07518762	-0.0001876158	0.000235848	0.05549364	
0.009000001	0.1250001	-0.07520969	-0.0002096883	0.000265329	0.05896199	
0.009500001	0.1250001	-0.07523299	-0.0002329871	0.0002965442	0.06243035	
0.01	0.1250001	-0.07525751	-0.0002575121	0.0003294935	0.0658987	
0.0105	0.1250001	-0.07528327	-0.0002832633	0.000364177	0.06936705	
0.011	0.1250001	-0.07531025	-0.0003102408	0.0004005948	0.07283541	
0.0115	0.1250001	-0.07533845	-0.0003384446	0.0004387466	0.07630376	
0.012	0.1250001	-0.07536788	-0.0003678746	0.0004786327	0.07977211	
0.0125	0.1250001	-0.07539853	-0.0003985308	0.0005202529	0.08324046	
0.013	0.1250001	-0.07543042	-0.0004304133	0.0005636073	0.08670881	
