Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.1249988	-0.07500123	0	0	0	
0.001	0.1249963	-0.07500368	0	1.734183E-06	0.003468366	
0.0015	0.1249926	-0.07500736	0	5.202548E-06	0.006936731	
0.002	0.1249877	-0.07501227	0	1.04051E-05	0.0104051	
0.0025	0.1249816	-0.0750184	0	1.734183E-05	0.01387346	
0.003	0.1249743	-0.07502576	0	2.601274E-05	0.01734183	
0.0035	0.1249657	-0.07503434	0	3.641784E-05	0.02081019	
0.004	0.1249559	-0.07504416	0	4.855712E-05	0.02427856	
0.0045	0.1249448	-0.0750552	0	6.243058E-05	0.02774693	
0.005	0.1249326	-0.07506746	0	7.803823E-05	0.03121529	
0.0055	0.1249191	-0.07508095	0	9.538006E-05	0.03468366	
0.006	0.1249044	-0.07509567	0	0.0001144561	0.03815202	
0.0065	0.1248884	-0.07511161	0	0.0001352663	0.04162039	
0.007	0.1248713	-0.07512878	0	0.0001578106	0.04508875	
0.0075	0.1248529	-0.07514717	0	0.0001820892	0.04855712	
0.008	0.1248332	-0.07516679	0	0.0002081019	0.05202548	
0.0085	0.1248124	-0.07518765	0	0.0002358489	0.05549385	
0.009000001	0.1247903	-0.07520971	0	0.00026533	0.05896221	
0.009500001	0.124767	-0.07523301	0	0.0002965453	0.06243058	
0.01	0.1247425	-0.07525754	0	0.0003294947	0.06589895	
0.0105	0.1247168	-0.0752833	0	0.0003641784	0.06936731	
0.011	0.1246898	-0.07531027	0	0.0004005962	0.07283568	
0.0115	0.1246616	-0.07533848	0	0.0004387483	0.07630404	
0.012	0.1246322	-0.07536791	0	0.0004786345	0.07977241	
0.0125	0.1246015	-0.07539856	0	0.0005202548	0.08324078	
0.013	0.1245696	-0.07543045	0	0.0005636094	0.08670914	
0.0135	0.1245365	-0.07546356	0	0.0006086982	0.09017751	
0.014	0.1245022	-0.0754979	0	0.0006555211	0.09364587	
0.0145	0.1244666	-0.07553346	0	0.0007040782	0.09711424	
0.015	0.1244298	-0.07557025	0	0.0007543695	0.1005826	
0.0155	0.1243918	-0.07560827	0	0.000806395	0.104051	
0.016	0.1243526	-0.0756475	0	0.0008601547	0.1075193	
0.0165	0.1243121	-0.07568797	0	0.0009156485	0.1109877	
0.017	0.1242704	-0.07572967	0	0.0009728766	0.1144561	
0.0175	0.1242275	-0.07577259	0	0.001031839	0.1179244	
0.018	0.1241834	-0.07581674	0	0.001092535	0.1213928	
0.0185	0.124138	-0.0758621	0	0.001154966	0.1248612	
0.019	0.1240914	-0.07590871	0	0.001219131	0.1283295	
0.0195	0.1240436	-0.07595653	0	0.001285029	0.1317979	
0.02	0.1239945	-0.07600558	0	0.001352663	0.1352663	
0.0205	0.1239442	-0.07605586	0	0.00142203	0.1387346	
0.021	0.1238927	-0.07610737	0	0.001493131	0.142203	
0.0215	0.12384	-0.0761601	0	0.001565967	0.1456714	
0.022	0.1237861	-0.07621405	0	0.001640537	0.1491397	
0.0225	0.1237309	-0.07626923	0	0.001716841	0.1526081	
0.023	0.1236745	-0.07632565	0	0.001794879	0.1560764	
0.0235	0.1236169	-0.07638328	0	0.001874652	0.1595448	
0.024	0.123558	-0.07644214	0	0.001956158	0.1630132	
0.0245	0.1234979	-0.07650223	0	0.002039399	0.1664816	
0.025	0.1234366	-0.07656354	0	0.002124374	0.1699499	
0.0255	0.1233741	-0.07662608	0	0.002211083	0.1734183	
0.026	0.1233103	-0.07668985	0	0.002299526	0.1768866	
0.0265	0.1232453	-0.07675484	0	0.002389704	0.180355	
0.027	0.1231791	-0.07682105	0	0.002481616	0.1838234	
0.0275	0.1231116	-0.0768885	0	0.002575262	0.1872917	
0.028	0.123043	-0.07695717	0	0.002670642	0.1907601	
0.0285	0.1229731	-0.07702707	0	0.002767756	0.1942285	
0.029	0.122902	-0.07709819	0	0.002866604	0.1976968	
0.0295	0.1228296	-0.07717054	0	0.002967187	0.2011652	
0.03	0.122756	-0.07724413	0	0.003069504	0.2046336	
0.0305	0.1226812	-0.07731893	0	0.003173555	0.2081019	
0.031	0.1226052	-0.07739495	0	0.00327934	0.2115703	
0.0315	0.122528	-0.0774722	0	0.003386859	0.2150387	
0.032	0.1224495	-0.07755069	0	0.003496113	0.218507	
0.0325	0.1223698	-0.07763039	0	0.0036071	0.2219754	
0.033	0.1222888	-0.07771134	0	0.003719822	0.2254438	
0.0335	0.1222067	-0.07779349	0	0.003834278	0.2289121	
0.034	0.1221233	-0.07787688	0	0.003950469	0.2323805	
0.0345	0.1220387	-0.07796149	0	0.004068393	0.2358489	
0.035	0.1219529	-0.07804733	0	0.004188051	0.2393172	
0.0355	0.1218658	-0.0781344	0	0.004309444	0.2427856	
0.036	0.1217775	-0.07822268	0	0.004432572	0.246254	
0.0365	0.121688	-0.0783122	0	0.004557433	0.2497223	
0.037	0.1215972	-0.07840294	0	0.004684028	0.2531907	
0.0375	0.1215053	-0.07849491	0	0.004812357	0.2566591	
0.038	0.1214121	-0.07858811	0	0.004942421	0.2601274	
0.0385	0.1213177	-0.07868253	0	0.005074219	0.2635958	
0.039	0.121222	-0.07877818	0	0.005207751	0.2670642	
0.0395	0.1211251	-0.07887506	0	0.005343018	0.2705325	
0.04	0.121027	-0.07897316	0	0.005480018	0.2740009	
0.0405	0.1209277	-0.07907249	0	0.005618752	0.2774692	
0.041	0.1208272	-0.07917304	0	0.005759222	0.2809376	
0.0415	0.1207254	-0.07927483	0	0.005901424	0.284406	
0.042	0.1206224	-0.07937782	0	0.006045362	0.2878743	
0.0425	0.1205181	-0.07948206	0	0.006191033	0.2913427	
0.043	0.1204127	-0.07958752	0	0.006338438	0.2948111	
0.0435	0.120306	-0.0796942	0	0.006487578	0.2982794	
0.044	0.1201981	-0.07980212	0	0.006638452	0.3017478	
0.0445	0.120089	-0.07991125	0	0.00679106	0.3052162	
0.045	0.1199786	-0.08002161	0	0.006945402	0.3086845	
0.0455	0.119867	-0.08013321	0	0.007101479	0.3121529	
0.046	0.1197542	-0.08024602	0	0.007259289	0.3156213	
0.0465	0.1196402	-0.08036006	0	0.007418834	0.3190896	
0.047	0.1195249	-0.08047533	0	0.007580113	0.322558	
0.0475	0.1194084	-0.08059183	0	0.007743127	0.3260264	
0.048	0.1192907	-0.08070955	0	0.007907874	0.3294947	
0.0485	0.1191717	-0.0808285	0	0.008074355	0.3329631	
0.049	0.1190516	-0.08094867	0	0.008242571	0.3364315	
0.0495	0.1189302	-0.08107007	0	0.008412521	0.3398998	
0.05	0.1188075	-0.08119269	0	0.008584205	0.3433682	
0.0505	0.1186837	-0.08131655	0	0.008757624	0.3468366	
0.051	0.1185586	-0.08144163	0	0.008932776	0.3503049	
0.0515	0.1184323	-0.08156794	0	0.009109663	0.3537733	
0.052	0.1183048	-0.08169546	0	0.009288283	0.3572417	
0.0525	0.118176	-0.08182422	0	0.009468638	0.36071	
0.053	0.118046	-0.0819542	0	0.009650728	0.3641784	
0.0535	0.1179148	-0.08208542	0	0.009834551	0.3676468	
0.054	0.1177824	-0.08221786	0	0.01002011	0.3711151	
0.0545	0.1176487	-0.08235151	0	0.0102074	0.3745835	
0.055	0.1175139	-0.08248641	0	0.01039643	0.3780518	
0.0555	0.1173778	-0.08262252	0	0.01058719	0.3815202	
0.056	0.1172404	-0.08275986	0	0.01077968	0.3849886	
0.0565	0.1171018	-0.08289843	0	0.01097391	0.3884569	
0.057	0.1169621	-0.08303823	0	0.01116987	0.3919253	
