Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	5.886E-05	
0.0005	0.125	-0.07500245	0	0	0	
0.001	0.125	-0.07500736	0	2.4525E-06	0.004905001	
0.0015	0.125	-0.07501472	0	7.357501E-06	0.009810002	
0.002	0.125	-0.07502453	0	1.4715E-05	0.014715	
0.0025	0.125	-0.07503679	0	2.4525E-05	0.01962	
0.003	0.125	-0.07505151	0	3.678751E-05	0.024525	
0.0035	0.125	-0.07506867	0	5.150251E-05	0.02943	
0.004	0.125	-0.07508829	0	6.867002E-05	0.03433501	
0.0045	0.125	-0.07511037	0	8.829001E-05	0.03924001	
0.005	0.125	-0.07513489	0	0.0001103625	0.04414501	
0.0055	0.125	-0.07516187	0	0.0001348875	0.04905001	
0.006	0.125	-0.0751913	0	0.000161865	0.05395501	
0.0065	0.125	-0.07522318	0	0.000191295	0.05886001	
0.007	0.125	-0.07525751	0	0.0002231775	0.063765	
0.0075	0.1250001	-0.0752943	0	0.0002575126	0.06867001	
0.008	0.1250001	-0.07533354	0	0.0002943001	0.07357501	
0.0085	0.1250001	-0.07537524	0	0.0003335401	0.07848001	
0.009000001	0.1250001	-0.07541938	0	0.0003752326	0.08338501	
0.009500001	0.1250001	-0.07546598	0	0.0004193776	0.08829001	
0.01	0.1250001	-0.07551502	0	0.0004659751	0.09319501	
0.0105	0.1250001	-0.07556653	0	0.0005150251	0.09810001	
0.011	0.1250001	-0.07562049	0	0.0005665276	0.103005	
0.0115	0.1250001	-0.07567689	0	0.0006204826	0.10791	
0.012	0.1250002	-0.07573575	0	0.0006768901	0.112815	
0.0125	0.1250002	-0.07579707	0	0.0007357501	0.11772	
0.013	0.1250002	-0.07586083	0	0.0007970626	0.122625	
0.0135	0.1250002	-0.07592704	0	0.0008608276	0.12753	
0.014	0.1250002	-0.07599571	0	0.0009270452	0.132435	
0.0145	0.1250002	-0.07606684	0	0.0009957151	0.13734	
0.015	0.1250002	-0.07614041	0	0.001066838	0.142245	
0.0155	0.1250003	-0.07621644	0	0.001140413	0.14715	
0.016	0.1250003	-0.07629492	0	0.00121644	0.152055	
0.0165	0.1250003	-0.07637586	0	0.00129492	0.15696	
0.017	0.1250003	-0.07645924	0	0.001375853	0.161865	
0.0175	0.1250003	-0.07654508	0	0.001459238	0.16677	
0.018	0.1250003	-0.07663336	0	0.001545075	0.171675	
0.0185	0.1250003	-0.0767241	0	0.001633365	0.17658	
0.019	0.1250004	-0.0768173	0	0.001724108	0.181485	
0.0195	0.1250004	-0.07691295	0	0.001817303	0.18639	
0.02	0.1250004	-0.07701105	0	0.00191295	0.191295	
0.0205	0.1250004	-0.0771116	0	0.00201105	0.1962	
0.021	0.1250005	-0.07721461	0	0.002111603	0.201105	
0.0215	0.1250005	-0.07732006	0	0.002214608	0.20601	
0.022	0.1250005	-0.07742798	0	0.002320065	0.210915	
0.0225	0.1250005	-0.07753833	0	0.002427975	0.21582	
0.023	0.1250005	-0.07765116	0	0.002538338	0.220725	
0.0235	0.1250006	-0.07776642	0	0.002651153	0.22563	
0.024	0.1250006	-0.07788414	0	0.00276642	0.230535	
0.0245	0.1250006	-0.07800432	0	0.00288414	0.23544	
0.025	0.1250006	-0.07812694	0	0.003004313	0.240345	
0.0255	0.1250007	-0.07825202	0	0.003126938	0.24525	
0.026	0.1250007	-0.07837955	0	0.003252015	0.250155	
0.0265	0.1250007	-0.07850953	0	0.003379546	0.25506	
0.027	0.1250007	-0.07864197	0	0.003509528	0.259965	
0.0275	0.1250008	-0.07877685	0	0.003641963	0.26487	
0.028	0.1250008	-0.07891419	0	0.003776851	0.269775	
0.0285	0.1250008	-0.07905398	0	0.00391419	0.27468	
0.029	0.1250009	-0.07919623	0	0.004053983	0.279585	
0.0295	0.1250009	-0.07934093	0	0.004196228	0.28449	
0.03	0.1250009	-0.07948808	0	0.004340926	0.289395	
0.0305	0.1250009	-0.07963768	0	0.004488076	0.2943	
0.031	0.125001	-0.07978974	0	0.004637678	0.299205	
0.0315	0.125001	-0.07994425	0	0.004789733	0.3041101	
0.032	0.125001	-0.0801012	0	0.004944241	0.309015	
0.0325	0.1250011	-0.08026061	0	0.005101201	0.3139201	
0.033	0.1250011	-0.08042248	0	0.005260613	0.318825	
0.0335	0.1250011	-0.0805868	0	0.005422479	0.3237301	
0.034	0.1250012	-0.08075356	0	0.005586796	0.328635	
0.0345	0.1250012	-0.08092279	0	0.005753566	0.3335401	
0.035	0.1250012	-0.08109447	0	0.005922788	0.338445	
0.0355	0.1250013	-0.08126859	0	0.006094464	0.3433501	
0.036	0.1250013	-0.08144517	0	0.006268591	0.348255	
0.0365	0.1250014	-0.0816242	0	0.006445171	0.3531601	
0.037	0.1250014	-0.08180569	0	0.006624204	0.358065	
0.0375	0.1250014	-0.08198963	0	0.006805689	0.3629701	
0.038	0.1250015	-0.08217602	0	0.006989626	0.367875	
0.0385	0.1250015	-0.08236486	0	0.007176016	0.3727801	
0.039	0.1250015	-0.08255615	0	0.007364859	0.377685	
0.0395	0.1250016	-0.0827499	0	0.007556154	0.3825901	
0.04	0.1250016	-0.08294611	0	0.007749901	0.387495	
0.0405	0.1250017	-0.08314475	0	0.007946101	0.3924001	
0.041	0.1250017	-0.08334586	0	0.008144754	0.397305	
0.0415	0.1250017	-0.08354942	0	0.008345859	0.4022101	
0.042	0.1250018	-0.08375543	0	0.008549416	0.407115	
0.0425	0.1250018	-0.08396389	0	0.008755427	0.4120201	
0.043	0.1250019	-0.0841748	0	0.008963889	0.416925	
0.0435	0.1250019	-0.08438817	0	0.009174804	0.4218301	
0.044	0.125002	-0.08460399	0	0.009388172	0.426735	
0.0445	0.125002	-0.08482226	0	0.009603992	0.4316401	
0.045	0.1250021	-0.08504299	0	0.009822264	0.436545	
0.0455	0.1250021	-0.08526617	0	0.01004299	0.4414501	
0.046	0.1250021	-0.0854918	0	0.01026617	0.446355	
0.0465	0.1250022	-0.08571988	0	0.0104918	0.4512601	
0.047	0.1250022	-0.08595042	0	0.01071988	0.456165	
0.0475	0.1250023	-0.0861834	0	0.01095041	0.4610701	
0.048	0.1250023	-0.08641884	0	0.0111834	0.465975	
0.0485	0.1250024	-0.08665673	0	0.01141884	0.4708801	
0.049	0.1250024	-0.08689708	0	0.01165673	0.475785	
0.0495	0.1250025	-0.08713987	0	0.01189708	0.4806901	
0.05	0.1250025	-0.08738513	0	0.01213988	0.485595	
0.0505	0.1250026	-0.08763283	0	0.01238513	0.4905001	
0.051	0.1250026	-0.08788299	0	0.01263283	0.495405	
0.0515	0.1250027	-0.08813559	0	0.01288299	0.5003101	
0.052	0.1250027	-0.08839066	0	0.01313559	0.505215	
0.0525	0.1250028	-0.08864816	0	0.01339065	0.51012	
0.053	0.1250028	-0.08890813	0	0.01364816	0.5150251	
0.0535	0.1250029	-0.08917055	0	0.01390813	0.5199301	
0.054	0.125003	-0.08943542	0	0.01417055	0.5248351	
0.0545	0.125003	-0.08970274	0	0.01443542	0.5297401	
0.055	0.1250031	-0.08997252	0	0.01470274	0.5346451	
0.0555	0.1250031	-0.09024474	0	0.01497252	0.5395501	
0.056	0.1250032	-0.09051942	0	0.01524474	0.5444551	
0.0565	0.1250032	-0.09079655	0	0.01551942	0.5493601	
0.057	0.1250033	-0.09107614	0	0.01579656	0.5542651	
0.0575	0.1250033	-0.09135818	0	0.01607614	0.5591701	
0.058	0.1250034	-0.09164267	0	0.01635818	0.5640751	
0.0585	0.1250034	-0.09192961	0	0.01664267	0.5689801	
0.059	0.1250035	-0.09221901	0	0.01692961	0.5738851	
0.0595	0.1250036	-0.09251085	0	0.01721901	0.5787901	
0.06	0.1250036	-0.09280515	0	0.01751085	0.5836951	
0.0605	0.1250037	-0.09310191	0	0.01780515	0.5886001	
0.061	0.1250037	-0.09340111	0	0.01810191	0.5935051	
0.0615	0.1250038	-0.09370277	0	0.01840111	0.5984101	
0.062	0.1250039	-0.09400688	0	0.01870277	0.6033151	
0.0625	0.1250039	-0.09431344	0	0.01900688	0.6082201	
0.063	0.125004	-0.09462246	0	0.01931344	0.6131251	
0.0635	0.1250041	-0.09493392	0	0.01962246	0.6180301	
0.064	0.1250041	-0.09524784	0	0.01993392	0.6229351	
0.0645	0.1250042	-0.09556422	0	0.02024784	0.6278401	
0.06500001	0.1250043	-0.09588304	0	0.02056422	0.6327451	
0.06550001	0.1250043	-0.09620432	0	0.02088304	0.6376501	
0.066	0.1250044	-0.09652805	0	0.02120432	0.6425551	
0.0665	0.1250045	-0.09685423	0	0.02152805	0.6474601	
0.067	0.1250045	-0.09718286	0	0.02185423	0.6523651	
0.0675	0.1250046	-0.09751395	0	0.02218287	0.6572701	
0.068	0.1250046	-0.09784749	0	0.02251395	0.6621751	
0.0685	0.1250047	-0.09818348	0	0.02284749	0.6670801	
0.06900001	0.1250048	-0.09852193	0	0.02318349	0.6719851	
0.06950001	0.1250049	-0.09886283	0	0.02352193	0.6768901	
0.07	0.1250049	-0.09920618	0	0.02386283	0.6817951	
0.0705	0.125005	-0.09955198	0	0.02420618	0.6867001	
0.071	0.1250051	-0.09990024	0	0.02455198	0.6916051	
0.0715	0.1250051	-0.100251	0	0.02490024	0.6965101	
0.072	0.1250052	-0.1006041	0	0.02525095	0.7014151	
0.07250001	0.1250053	-0.1009597	0	0.0256041	0.7063201	
0.07300001	0.1250054	-0.1013178	0	0.02595972	0.7112251	
0.0735	0.1250054	-0.1016783	0	0.02631778	0.7161301	
0.074	0.1250055	-0.1020413	0	0.0266783	0.7210351	
0.0745	0.1250056	-0.1024067	0	0.02704127	0.7259401	
0.075	0.1250056	-0.1027746	0	0.02740669	0.7308451	
0.0755	0.1250057	-0.1031449	0	0.02777457	0.7357501	
0.07600001	0.1250058	-0.1035177	0	0.02814489	0.7406551	
0.07650001	0.1250059	-0.1038929	0	0.02851767	0.7455601	
0.07700001	0.125006	-0.1042706	0	0.02889291	0.7504651	
0.0775	0.125006	-0.1046507	0	0.02927059	0.7553701	
0.078	0.1250061	-0.1050333	0	0.02965073	0.7602751	
0.0785	0.1250062	-0.1054184	0	0.03003332	0.7651801	
0.079	0.1250063	-0.1058059	0	0.03041836	0.7700851	
0.0795	0.1250064	-0.1061958	0	0.03080586	0.7749901	
0.08000001	0.1250064	-0.1065882	0	0.0311958	0.7798951	
0.08050001	0.1250065	-0.1069831	0	0.0315882	0.7848001	
0.081	0.1250066	-0.1073804	0	0.03198306	0.7897051	
0.0815	0.1250067	-0.1077801	0	0.03238036	0.7946101	
0.082	0.1250068	-0.1081823	0	0.03278012	0.7995151	
0.0825	0.1250068	-0.108587	0	0.03318233	0.8044201	
0.083	0.1250069	-0.1089941	0	0.03358699	0.8093251	
0.08350001	0.125007	-0.1094037	0	0.03399411	0.8142301	
0.08400001	0.1250071	-0.1098157	0	0.03440367	0.8191351	
0.08450001	0.1250072	-0.1102302	0	0.0348157	0.8240401	
0.085	0.1250073	-0.1106471	0	0.03523017	0.8289451	
0.0855	0.1250073	-0.1110665	0	0.03564709	0.8338501	
0.086	0.1250074	-0.1114883	0	0.03606647	0.8387551	
0.0865	0.1250075	-0.1119126	0	0.0364883	0.8436601	
0.087	0.1250076	-0.1123393	0	0.03691258	0.8485651	
0.08750001	0.1250077	-0.1127685	0	0.03733932	0.8534701	
0.08800001	0.1250078	-0.1132001	0	0.03776851	0.8583751	
0.0885	0.1250079	-0.1136342	0	0.03820015	0.8632801	
0.089	0.125008	-0.1140708	0	0.03863424	0.8681851	
0.0895	0.125008	-0.1145098	0	0.03907079	0.8730901	
0.09	0.1250082	-0.1149512	0	0.03950978	0.8779951	
0.0905	0.1250082	-0.1153951	0	0.03995123	0.8829001	
0.09100001	0.1250083	-0.1158415	0	0.04039513	0.8878051	
0.09150001	0.1250084	-0.1162903	0	0.04084149	0.8927101	
0.09200001	0.1250085	-0.1167416	0	0.0412903	0.8976151	
0.0925	0.1250086	-0.1171953	0	0.04174156	0.9025201	
0.093	0.1250087	-0.1176514	0	0.04219527	0.9074251	
0.0935	0.1250088	-0.1181101	0	0.04265143	0.9123301	
0.094	0.1250089	-0.1185711	0	0.04311005	0.9172351	
0.09450001	0.125009	-0.1190346	0	0.04357112	0.9221401	
0.09500001	0.1250091	-0.1195006	0	0.04403464	0.9270451	
0.09550001	0.1250092	-0.119969	0	0.04450062	0.9319501	
0.096	0.1250093	-0.1204399	0	0.04496905	0.9368551	
0.0965	0.1250093	-0.1209133	0	0.04543993	0.9417601	
0.097	0.1250094	-0.121389	0	0.04591326	0.9466651	
0.0975	0.1250096	-0.1218673	0	0.04638905	0.9515701	
0.098	0.1250096	-0.122348	0	0.04686728	0.9564751	
0.09850001	0.1250097	-0.1228311	0	0.04734797	0.9613801	
0.09900001	0.1250098	-0.1233167	0	0.04783111	0.9662851	
0.09950001	0.1250099	-0.1238048	0	0.04831671	0.9711901	
0.1	0.12501	-0.1242953	0	0.04880476	0.9760951	
0.1005	0.1250101	-0.1247882	0	0.04929526	0.9810001	
0.101	0.1250102	-0.1252836	0	0.04978821	0.9859051	
0.1015	0.1250104	-0.1257815	0	0.05028361	0.9908101	
0.102	0.1250104	-0.1262818	0	0.05078147	0.9957151	
0.1025	0.1250106	-0.1267845	0	0.05128178	1.00062	
0.103	0.1250107	-0.1272898	0	0.05178455	1.005525	
0.1035	0.1250108	-0.1277974	0	0.05228976	1.01043	
0.104	0.1250109	-0.1283076	0	0.05279743	1.015335	
0.1045	0.125011	-0.1288201	0	0.05330755	1.02024	
0.105	0.1250111	-0.1293352	0	0.05382012	1.025145	
0.1055	0.1250112	-0.1298526	0	0.05433515	1.03005	
0.106	0.1250113	-0.1303726	0	0.05485262	1.034955	
0.1065	0.1250114	-0.1308949	0	0.05537255	1.03986	
0.107	0.1250115	-0.1314198	0	0.05589494	1.044765	
0.1075	0.1250116	-0.1319471	0	0.05641977	1.04967	
0.108	0.1250117	-0.1324768	0	0.05694706	1.054575	
0.1085	0.1250118	-0.133009	0	0.0574768	1.05948	
0.109	0.1250119	-0.1335436	0	0.05800899	1.064385	
0.1095	0.125012	-0.1340807	0	0.05854364	1.06929	
0.11	0.1250121	-0.1346203	0	0.05908073	1.074195	
0.1105	0.1250123	-0.1351623	0	0.05962028	1.0791	
0.111	0.1250124	-0.1357067	0	0.06016229	1.084005	
0.1115	0.1250125	-0.1362536	0	0.06070674	1.08891	
