Time	Arm_X	Arm_Y	Arm_Z	JointPosition	JointVelocity	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.07504746	0	0	0	
0.001	0.125	-0.07514735	0	4.74525E-05	0.094905	
0.0015	0.1250001	-0.07529972	0	0.0001473575	0.19981	
0.002	0.1250001	-0.07550453	0	0.000299715	0.304715	
0.0025	0.1250002	-0.07576179	0	0.000504525	0.40962	
0.003	0.1250002	-0.0760715	0	0.0007617875	0.5145249	
0.0035	0.1250003	-0.07643367	0	0.001071502	0.6194299	
0.004	0.1250004	-0.07684829	0	0.00143367	0.7243349	
0.0045	0.1250005	-0.07731536	0	0.00184829	0.8292399	
0.005	0.1250006	-0.07781518	0	0.002315362	0.9341449	
0.0055	0.1250007	-0.07831519	0	0.002815181	0.9996365	
0.006	0.1250008	-0.07881521	0	0.003315194	1.000027	
0.0065	0.1250009	-0.07931522	0	0.003815209	1.000029	
0.007	0.125001	-0.07981524	0	0.004315224	1.000029	
0.0075	0.1250011	-0.08031525	0	0.004815239	1.000029	
0.008	0.1250012	-0.08081527	0	0.005315253	1.000029	
0.0085	0.1250013	-0.08131529	0	0.005815268	1.000029	
0.009000001	0.1250014	-0.08181529	0	0.006315283	1.000029	
0.009500001	0.1250015	-0.08231532	0	0.006815298	1.000029	
0.01	0.1250016	-0.08281533	0	0.007315312	1.000029	
0.0105	0.1250017	-0.08331534	0	0.007815327	1.000029	
0.011	0.1250018	-0.08381536	0	0.008315342	1.000029	
0.0115	0.1250019	-0.08431537	0	0.008815357	1.000029	
0.012	0.125002	-0.08481538	0	0.009315372	1.000029	
0.0125	0.1250021	-0.0853154	0	0.009815386	1.000029	
0.013	0.1250022	-0.08581541	0	0.0103154	1.000029	
0.0135	0.1250023	-0.08631543	0	0.01081542	1.000029	
0.014	0.1250024	-0.08681545	0	0.01131543	1.000029	
0.0145	0.1250025	-0.08731546	0	0.01181544	1.000029	
0.015	0.1250026	-0.08781548	0	0.01231546	1.000029	
0.0155	0.1250027	-0.08831549	0	0.01281547	1.000029	
0.016	0.1250028	-0.0888155	0	0.01331549	1.000029	
0.0165	0.1250029	-0.08931552	0	0.0138155	1.000029	
0.017	0.125003	-0.08981553	0	0.01431552	1.000029	
0.0175	0.1250031	-0.09031554	0	0.01481553	1.000029	
0.018	0.1250032	-0.09081557	0	0.01531555	1.000029	
