Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125	-0.07500222	0	
0.001	0.125	-0.07500665	0	
0.0015	0.125	-0.0750133	0	
0.002	0.125	-0.07502216	0	
0.0025	0.125	-0.07503324	0	
0.003	0.125	-0.07504654	0	
0.0035	0.125	-0.07506205	0	
0.004	0.125	-0.07507978	0	
0.0045	0.125	-0.07509973	0	
0.005	0.1249999	-0.07512189	0	
0.0055	0.1249999	-0.07514627	0	
0.006	0.1249999	-0.07517286	0	
0.0065	0.1249998	-0.07520167	0	
0.007	0.1249998	-0.07523269	0	
0.0075	0.1249997	-0.07526594	0	
0.008	0.1249997	-0.07530139	0	
0.0085	0.1249996	-0.07533907	0	
0.009000001	0.1249995	-0.07537895	0	
0.009500001	0.1249993	-0.07542106	0	
0.01	0.1249992	-0.07546538	0	
0.0105	0.124999	-0.07551192	0	
0.011	0.1249988	-0.07556068	0	
0.0115	0.1249985	-0.07561164	0	
0.012	0.1249983	-0.07566483	0	
0.0125	0.124998	-0.07572024	0	
0.013	0.1249976	-0.07577785	0	
0.0135	0.1249973	-0.07583769	0	
0.014	0.1249968	-0.07589974	0	
0.0145	0.1249964	-0.075964	0	
0.015	0.1249958	-0.07603049	0	
0.0155	0.1249953	-0.07609918	0	
0.016	0.1249946	-0.07617009	0	
0.0165	0.1249939	-0.07624321	0	
0.017	0.1249931	-0.07631856	0	
0.0175	0.1249923	-0.07639612	0	
0.018	0.1249914	-0.0764759	0	
0.0185	0.1249904	-0.07655788	0	
0.019	0.1249893	-0.07664209	0	
0.0195	0.1249882	-0.07672851	0	
0.02	0.1249869	-0.07681714	0	
0.0205	0.1249856	-0.07690798	0	
0.021	0.1249841	-0.07700105	0	
0.0215	0.1249826	-0.07709633	0	
0.022	0.1249809	-0.07719382	0	
0.0225	0.1249792	-0.07729353	0	
0.023	0.1249772	-0.07739545	0	
0.0235	0.1249752	-0.07749958	0	
0.024	0.1249731	-0.07760593	0	
0.0245	0.1249708	-0.07771449	0	
0.025	0.1249683	-0.07782526	0	
0.0255	0.1249657	-0.07793825	0	
0.026	0.124963	-0.07805344	0	
0.0265	0.1249601	-0.07817086	0	
0.027	0.124957	-0.07829048	0	
0.0275	0.1249537	-0.07841232	0	
0.028	0.1249503	-0.07853635	0	
0.0285	0.1249467	-0.07866261	0	
0.029	0.1249428	-0.07879107	0	
0.0295	0.1249388	-0.07892176	0	
0.03	0.1249346	-0.07905465	0	
0.0305	0.1249301	-0.07918974	0	
0.031	0.1249255	-0.07932704	0	
0.0315	0.1249206	-0.07946655	0	
0.032	0.1249154	-0.07960827	0	
0.0325	0.1249101	-0.0797522	0	
0.033	0.1249044	-0.07989833	0	
0.0335	0.1248985	-0.08004667	0	
0.034	0.1248924	-0.08019722	0	
0.0345	0.1248859	-0.08034997	0	
0.035	0.1248792	-0.08050492	0	
0.0355	0.1248722	-0.08066207	0	
0.036	0.1248649	-0.08082143	0	
0.0365	0.1248573	-0.08098299	0	
0.037	0.1248493	-0.08114675	0	
0.0375	0.1248411	-0.08131271	0	
0.038	0.1248325	-0.08148088	0	
0.0385	0.1248235	-0.08165123	0	
0.039	0.1248142	-0.08182379	0	
0.0395	0.1248046	-0.08199854	0	
0.04	0.1247945	-0.08217549	0	
0.0405	0.1247841	-0.08235463	0	
0.041	0.1247733	-0.08253597	0	
0.0415	0.1247621	-0.0827195	0	
0.042	0.1247505	-0.08290521	0	
0.0425	0.1247385	-0.08309312	0	
0.043	0.124726	-0.08328321	0	
0.0435	0.1247131	-0.08347549	0	
0.044	0.1246998	-0.08366996	0	
0.0445	0.124686	-0.08386662	0	
0.045	0.1246717	-0.08406545	0	
0.0455	0.1246569	-0.08426647	0	
0.046	0.1246417	-0.08446966	0	
0.0465	0.1246259	-0.08467504	0	
0.047	0.1246097	-0.08488258	0	
0.0475	0.1245929	-0.08509231	0	
0.048	0.1245756	-0.08530421	0	
0.0485	0.1245577	-0.08551828	0	
0.049	0.1245393	-0.08573451	0	
0.0495	0.1245203	-0.08595292	0	
0.05	0.1245007	-0.08617349	0	
0.0505	0.1244805	-0.08639622	0	
0.051	0.1244597	-0.08662111	0	
0.0515	0.1244384	-0.08684816	0	
0.052	0.1244163	-0.08707737	0	
0.0525	0.1243937	-0.08730873	0	
0.053	0.1243704	-0.08754225	0	
0.0535	0.1243464	-0.08777791	0	
0.054	0.1243218	-0.08801573	0	
0.0545	0.1242964	-0.08825568	0	
0.055	0.1242704	-0.08849777	0	
0.0555	0.1242437	-0.08874201	0	
0.056	0.1242162	-0.08898838	0	
0.0565	0.124188	-0.08923688	0	
0.057	0.124159	-0.08948752	0	
0.0575	0.1241293	-0.08974027	0	
0.058	0.1240988	-0.08999516	0	
0.0585	0.1240675	-0.09025216	0	
0.059	0.1240354	-0.09051128	0	
0.0595	0.1240025	-0.09077252	0	
0.06	0.1239687	-0.09103587	0	
0.0605	0.1239341	-0.09130131	0	
0.061	0.1238986	-0.09156887	0	
0.0615	0.1238623	-0.09183852	0	
0.062	0.1238251	-0.09211027	0	
0.0625	0.123787	-0.09238411	0	
0.063	0.1237479	-0.09266005	0	
0.0635	0.123708	-0.09293806	0	
0.064	0.1236671	-0.09321815	0	
0.0645	0.1236252	-0.09350032	0	
0.06500001	0.1235824	-0.09378456	0	
0.06550001	0.1235385	-0.09407085	0	
0.066	0.1234937	-0.09435922	0	
0.0665	0.1234479	-0.09464964	0	
0.067	0.123401	-0.09494212	0	
0.0675	0.1233531	-0.09523664	0	
0.068	0.1233041	-0.0955332	0	
0.0685	0.123254	-0.0958318	0	
0.06900001	0.1232028	-0.09613243	0	
0.06950001	0.1231506	-0.09643508	0	
