Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125	-0.075	0	
0.001	0.125	-0.07500204	-1.193524E-07	
0.0015	0.125	-0.07500608	-2.387045E-07	
0.002	0.125	-0.07501212	-3.580562E-07	
0.0025	0.125	-0.07502016	-4.774074E-07	
0.003	0.125	-0.0750302	-5.967578E-07	
0.0035	0.125	-0.07504223	-7.161071E-07	
0.004	0.125	-0.07505627	-8.354554E-07	
0.0045	0.125	-0.0750723	-9.548023E-07	
0.005	0.125	-0.07509034	-1.074148E-06	
0.0055	0.125	-0.07511037	-1.193491E-06	
0.006	0.1249999	-0.07513241	-1.312833E-06	
0.0065	0.1249999	-0.07515644	-1.432173E-06	
0.007	0.1249999	-0.07518247	-1.55151E-06	
0.0075	0.1249998	-0.0752105	-1.670845E-06	
0.008	0.1249998	-0.07524053	-1.790177E-06	
0.0085	0.1249997	-0.07527256	-1.909506E-06	
0.009000001	0.1249996	-0.07530659	-2.028832E-06	
0.009500001	0.1249995	-0.07534262	-2.148154E-06	
0.01	0.1249994	-0.07538065	-2.267474E-06	
0.0105	0.1249993	-0.07542067	-2.386789E-06	
0.011	0.1249992	-0.0754627	-2.5061E-06	
0.0115	0.124999	-0.07550672	-2.625407E-06	
0.012	0.1249988	-0.07555275	-2.744709E-06	
0.0125	0.1249986	-0.07560077	-2.864006E-06	
0.013	0.1249983	-0.0756508	-2.983299E-06	
0.0135	0.1249981	-0.07570282	-3.102586E-06	
0.014	0.1249978	-0.07575684	-3.221867E-06	
0.0145	0.1249974	-0.07581287	-3.341143E-06	
0.015	0.124997	-0.07587089	-3.460413E-06	
0.0155	0.1249966	-0.0759309	-3.579676E-06	
0.016	0.1249961	-0.07599292	-3.698932E-06	
0.0165	0.1249956	-0.07605693	-3.818182E-06	
0.017	0.124995	-0.07612295	-3.937424E-06	
0.0175	0.1249944	-0.07619097	-4.056658E-06	
0.018	0.1249937	-0.07626098	-4.175884E-06	
0.0185	0.124993	-0.07633299	-4.295102E-06	
0.019	0.1249922	-0.07640701	-4.414312E-06	
0.0195	0.1249913	-0.07648301	-4.533512E-06	
0.02	0.1249904	-0.07656102	-4.652702E-06	
0.0205	0.1249893	-0.07664102	-4.771883E-06	
0.021	0.1249882	-0.07672303	-4.891053E-06	
0.0215	0.1249871	-0.07680703	-5.010213E-06	
0.022	0.1249858	-0.07689302	-5.129362E-06	
0.0225	0.1249844	-0.07698103	-5.248499E-06	
0.023	0.124983	-0.07707103	-5.367624E-06	
0.0235	0.1249814	-0.07716302	-5.486737E-06	
0.024	0.1249798	-0.07725701	-5.605837E-06	
0.0245	0.124978	-0.07735299	-5.724924E-06	
0.025	0.1249761	-0.07745098	-5.843997E-06	
0.0255	0.1249741	-0.07755096	-5.963055E-06	
0.026	0.124972	-0.07765294	-6.082099E-06	
0.0265	0.1249698	-0.07775691	-6.201127E-06	
0.027	0.1249674	-0.07786288	-6.320139E-06	
0.0275	0.1249649	-0.07797085	-6.439135E-06	
0.028	0.1249622	-0.07808082	-6.558113E-06	
0.0285	0.1249594	-0.07819278	-6.677074E-06	
0.029	0.1249565	-0.07830673	-6.796017E-06	
0.0295	0.1249534	-0.07842269	-6.914941E-06	
0.03	0.1249501	-0.07854063	-7.033846E-06	
0.0305	0.1249466	-0.07866057	-7.15273E-06	
0.031	0.124943	-0.07878251	-7.271593E-06	
0.0315	0.1249392	-0.07890644	-7.390435E-06	
0.032	0.1249352	-0.07903235	-7.509254E-06	
0.0325	0.124931	-0.07916027	-7.62805E-06	
0.033	0.1249266	-0.07929018	-7.746823E-06	
0.0335	0.1249221	-0.07942208	-7.865571E-06	
0.034	0.1249173	-0.07955597	-7.984293E-06	
0.0345	0.1249122	-0.07969185	-8.10299E-06	
0.035	0.124907	-0.07982973	-8.22166E-06	
0.0355	0.1249015	-0.07996959	-8.340303E-06	
0.036	0.1248958	-0.08011144	-8.458917E-06	
0.0365	0.1248899	-0.08025529	-8.577502E-06	
0.037	0.1248836	-0.08040112	-8.696055E-06	
0.0375	0.1248772	-0.08054894	-8.814578E-06	
0.038	0.1248704	-0.08069875	-8.933068E-06	
0.0385	0.1248634	-0.08085055	-9.051526E-06	
0.039	0.1248561	-0.08100433	-9.169949E-06	
0.0395	0.1248486	-0.08116009	-9.288337E-06	
0.04	0.1248407	-0.08131784	-9.406691E-06	
0.0405	0.1248325	-0.08147758	-9.525006E-06	
0.041	0.124824	-0.0816393	-9.643284E-06	
0.0415	0.1248152	-0.081803	-9.761523E-06	
0.042	0.1248061	-0.08196869	-9.879721E-06	
0.0425	0.1247966	-0.08213635	-9.997878E-06	
0.043	0.1247868	-0.08230599	-1.011599E-05	
0.0435	0.1247767	-0.08247761	-1.023406E-05	
0.044	0.1247662	-0.08265121	-1.035209E-05	
0.0445	0.1247553	-0.08282679	-1.047007E-05	
0.045	0.124744	-0.08300433	-1.0588E-05	
0.0455	0.1247324	-0.08318386	-1.070589E-05	
0.046	0.1247204	-0.08336537	-1.082372E-05	
0.0465	0.1247079	-0.08354884	-1.09415E-05	
0.047	0.1246951	-0.08373429	-1.105923E-05	
0.0475	0.1246818	-0.0839217	-1.117691E-05	
0.048	0.1246682	-0.08411109	-1.129453E-05	
0.0485	0.1246541	-0.08430243	-1.14121E-05	
0.049	0.1246395	-0.08449575	-1.152961E-05	
0.0495	0.1246245	-0.08469103	-1.164705E-05	
0.05	0.124609	-0.08488827	-1.176444E-05	
0.0505	0.124593	-0.08508748	-1.188176E-05	
0.051	0.1245766	-0.08528864	-1.199902E-05	
0.0515	0.1245597	-0.08549177	-1.211622E-05	
0.052	0.1245423	-0.08569685	-1.223335E-05	
0.0525	0.1245243	-0.08590389	-1.235041E-05	
0.053	0.1245059	-0.08611288	-1.24674E-05	
0.0535	0.1244869	-0.08632383	-1.258431E-05	
0.054	0.1244673	-0.08653673	-1.270116E-05	
0.0545	0.1244472	-0.08675157	-1.281792E-05	
