Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0.1257149	
0.0005	0.124999	-0.07500173	0.1257149	
0.001	0.1249971	-0.0750052	0.1257149	
0.0015	0.1249942	-0.07501038	0.1257149	
0.002	0.1249904	-0.0750173	0.1257149	
0.0025	0.1249855	-0.07502596	0.1257149	
0.003	0.1249798	-0.07503634	0.1257149	
0.0035	0.124973	-0.07504845	0.1257149	
0.004	0.1249653	-0.07506228	0.1257149	
0.0045	0.1249566	-0.07507785	0.1257149	
0.005	0.1249469	-0.07509514	0.1257149	
0.0055	0.1249363	-0.07511417	0.1257149	
0.006000001	0.1249247	-0.07513492	0.1257149	
0.006500001	0.1249122	-0.07515739	0.1257149	
0.007000001	0.1248986	-0.07518159	0.1257149	
0.007500001	0.1248841	-0.07520751	0.1257149	
0.008	0.1248687	-0.07523516	0.1257149	
0.0085	0.1248522	-0.07526453	0.1257149	
0.009000001	0.1248348	-0.07529562	0.1257149	
0.009500001	0.1248164	-0.07532843	0.1257149	
0.01	0.124797	-0.07536297	0.1257149	
0.0105	0.1247767	-0.07539922	0.1257149	
0.011	0.1247553	-0.0754372	0.1257149	
0.0115	0.124733	-0.07547688	0.1257149	
0.012	0.1247097	-0.07551828	0.1257149	
0.0125	0.1246855	-0.0755614	0.1257149	
0.013	0.1246602	-0.07560623	0.1257149	
0.0135	0.124634	-0.07565277	0.1257149	
0.014	0.1246067	-0.07570103	0.1257149	
0.0145	0.1245785	-0.07575099	0.1257149	
0.015	0.1245493	-0.07580265	0.1257149	
0.0155	0.1245191	-0.07585603	0.1257149	
0.016	0.1244879	-0.0759111	0.1257149	
0.0165	0.1244557	-0.07596789	0.1257149	
0.017	0.1244225	-0.07602637	0.1257149	
0.0175	0.1243883	-0.07608654	0.1257149	
0.018	0.1243531	-0.07614841	0.1257149	
0.0185	0.1243168	-0.07621198	0.1257149	
0.019	0.1242796	-0.07627725	0.1257149	
0.01949999	0.1242414	-0.0763442	0.1257149	
0.01999999	0.1242021	-0.07641284	0.1257149	
0.02049999	0.1241619	-0.07648317	0.1257149	
0.02099999	0.1241206	-0.07655519	0.1257149	
0.02149999	0.1240783	-0.07662887	0.1257149	
0.02199999	0.124035	-0.07670425	0.1257149	
0.02249999	0.1239906	-0.0767813	0.1257149	
0.02299999	0.1239452	-0.07686002	0.1257149	
0.02349999	0.1238988	-0.07694041	0.1257149	
0.02399999	0.1238514	-0.07702249	0.1257149	
0.02449999	0.1238029	-0.07710622	0.1257149	
0.02499999	0.1237533	-0.07719161	0.1257149	
0.02549998	0.1237028	-0.07727867	0.1257149	
0.02599998	0.1236511	-0.07736739	0.1257149	
0.02649998	0.1235985	-0.07745776	0.1257149	
0.02699998	0.1235447	-0.07754978	0.1257149	
0.02749998	0.12349	-0.07764345	0.1257149	
0.02799998	0.1234341	-0.07773878	0.1257149	
0.02849998	0.1233772	-0.07783574	0.1257149	
0.02899998	0.1233192	-0.07793435	0.1257149	
0.02949998	0.1232602	-0.07803459	0.1257149	
0.02999998	0.1232001	-0.07813647	0.1257149	
0.03049998	0.1231389	-0.07823998	0.1257149	
0.03099998	0.1230766	-0.07834511	0.1257149	
0.03149997	0.1230132	-0.07845187	0.1257149	
