Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	0.5	-0.0001018266	0	0	0	
0.0005	2.475248E-06	0.5	-9.935183E-05	0.004950495	8.136926E-07	0.004949506	
0.001	7.401236E-06	0.5	-9.442683E-05	0.009851975	1.817454E-06	0.009850007	
0.0015	1.47537E-05	0.5	-8.707584E-05	0.01470493	2.80928E-06	0.01470199	
0.002	2.450861E-05	0.5	-7.732287E-05	0.01950983	3.791245E-06	0.01950593	
0.0025	3.66422E-05	0.5	-6.519171E-05	0.02426716	4.763444E-06	0.02426231	
0.003	5.113089E-05	0.5	-5.070592E-05	0.02897738	5.725974E-06	0.02897159	
0.0035	6.795138E-05	0.5	-3.388879E-05	0.03364097	6.678933E-06	0.03363425	
0.004	8.708057E-05	0.5	-1.476342E-05	0.03825839	7.622417E-06	0.03825074	
0.0045	0.0001084956	0.5	6.647349E-06	0.04283009	8.556522E-06	0.04282153	
0.005	0.0001321739	0.5	3.032088E-05	0.04735653	9.481339E-06	0.04734706	
0.0055	0.0001581068	0.5	5.624861E-05	0.05186592	1.04026E-05	0.05185546	
0.006	0.0001862945	0.5	8.443055E-05	0.05637532	1.132364E-05	0.05636386	
0.0065	0.0002167369	0.5000001	0.0001148667	0.06088472	1.224441E-05	0.06087226	
0.007	0.0002494339	0.5000001	0.000147557	0.06539412	1.316498E-05	0.06538066	
0.0075	0.0002843857	0.5000001	0.0001825015	0.06990352	1.408539E-05	0.06988906	
0.008	0.0003215921	0.5000001	0.0002197003	0.07441291	1.500568E-05	0.07439746	
0.0085	0.0003610533	0.5000001	0.0002591532	0.07892231	1.592585E-05	0.07890586	
0.009000001	0.0004027692	0.5000001	0.0003008603	0.08343171	1.684594E-05	0.08341426	
0.009500001	0.0004467397	0.5000001	0.0003448217	0.08794111	1.776594E-05	0.08792266	
0.01	0.000492965	0.5000001	0.0003910372	0.09245051	1.868589E-05	0.09243105	
0.0105	0.0005414449	0.5000001	0.0004395069	0.0969599	1.960577E-05	0.09693945	
0.011	0.0005921796	0.5000001	0.0004902309	0.1014693	2.05256E-05	0.1014479	
