Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	1	-0.0001016532	0	0	0	
0.0005	0	1	-0.0001016532	0	-0.004905001	0	
0.001	0	0.9999976	-0.0001016532	0	-0.009810002	0	
0.0015	0	0.9999927	-0.0001016532	0	-0.014715	0	
0.002	0	0.9999853	-0.0001016532	0	-0.01962	0	
0.0025	0	0.9999755	-0.0001016532	0	-0.024525	0	
0.003	0	0.9999632	-0.0001016532	0	-0.02943001	0	
0.0035	0	0.9999485	-0.0001016532	0	-0.03433501	0	
0.004	0	0.9999313	-0.0001016532	0	-0.03924001	0	
0.0045	0	0.9999117	-0.0001016532	0	-0.04414501	0	
0.005	0	0.9998897	-0.0001016532	0	-0.04905001	0	
0.0055	0	0.9998652	-0.0001016532	0	-0.05395501	0	
0.006	0	0.9998382	-0.0001016532	0	-0.05886001	0	
0.0065	0	0.9998087	-0.0001016532	0	-0.06376501	0	
0.007	0	0.9997768	-0.0001016532	0	-0.06867002	0	
0.0075	0	0.9997425	-0.0001016532	0	-0.07357502	0	
0.008	0	0.9997057	-0.0001016532	0	-0.07848003	0	
0.0085	0	0.9996665	-0.0001016532	0	-0.08338503	0	
0.009000001	0	0.9996248	-0.0001016532	0	-0.08829003	0	
0.009500001	0	0.9995807	-0.0001016532	0	-0.09319504	0	
0.01	0	0.9995341	-0.0001016532	0	-0.09810004	0	
0.0105	0	0.999485	-0.0001016532	0	-0.103005	0	
0.011	0	0.9994335	-0.0001016532	0	-0.10791	0	
0.0115	0	0.9993796	-0.0001016532	0	-0.112815	0	
0.012	0	0.9993232	-0.0001016532	0	-0.11772	0	
0.0125	0	0.9992644	-0.0001016532	0	-0.122625	0	
0.013	0	0.999203	-0.0001016532	0	-0.12753	0	
0.0135	0	0.9991392	-0.0001016532	0	-0.132435	0	
0.014	0	0.999073	-0.0001016532	0	-0.13734	0	
0.0145	0	0.9990044	-0.0001016532	0	-0.142245	0	
0.015	0	0.9989333	-0.0001016532	0	-0.14715	0	
0.0155	0	0.9988597	-0.0001016532	0	-0.152055	0	
0.016	0	0.9987837	-0.0001016532	0	-0.15696	0	
0.0165	0	0.9987052	-0.0001016532	0	-0.161865	0	
0.017	0	0.9986243	-0.0001016532	0	-0.16677	0	
0.0175	0	0.9985409	-0.0001016532	0	-0.171675	0	
0.018	0	0.998455	-0.0001016532	0	-0.17658	0	
0.0185	0	0.9983668	-0.0001016532	0	-0.181485	0	
0.019	0	0.9982759	-0.0001016532	0	-0.18639	0	
0.0195	0	0.9981828	-0.0001016532	0	-0.191295	0	
0.02	0	0.9980871	-0.0001016532	0	-0.1962	0	
0.0205	0	0.997989	-0.0001016532	0	-0.201105	0	
0.021	0	0.9978885	-0.0001016532	0	-0.20601	0	
0.0215	0	0.9977855	-0.0001016532	0	-0.210915	0	
0.022	0	0.99768	-0.0001016532	0	-0.21582	0	
0.0225	0	0.9975721	-0.0001016532	0	-0.220725	0	
0.023	0	0.9974617	-0.0001016532	0	-0.22563	0	
0.0235	0	0.9973489	-0.0001016532	0	-0.2305351	0	
0.024	0	0.9972336	-0.0001016532	0	-0.2354401	0	
0.0245	0	0.9971159	-0.0001016532	0	-0.2403451	0	
0.025	0	0.9969957	-0.0001016532	0	-0.2452501	0	
0.0255	0	0.9968731	-0.0001016532	0	-0.2501551	0	
0.026	0	0.996748	-0.0001016532	0	-0.2550601	0	
0.0265	0	0.9966205	-0.0001016532	0	-0.2599651	0	
0.027	0	0.9964905	-0.0001016532	0	-0.2648701	0	
0.0275	0	0.996358	-0.0001016532	0	-0.2697751	0	
0.028	0	0.9962232	-0.0001016532	0	-0.2746801	0	
0.0285	0	0.9960858	-0.0001016532	0	-0.2795852	0	
0.029	0	0.995946	-0.0001016532	0	-0.2844902	0	
0.0295	0	0.9958038	-0.0001016532	0	-0.2893952	0	
0.03	0	0.9956591	-0.0001016532	0	-0.2943002	0	
0.0305	0	0.9955119	-0.0001016532	0	-0.2992052	0	
0.031	0	0.9953623	-0.0001016532	0	-0.3041102	0	
0.0315	0	0.9952103	-0.0001016532	0	-0.3090152	0	
0.032	0	0.9950558	-0.0001016532	0	-0.3139202	0	
0.0325	0	0.9948988	-0.0001016532	0	-0.3188252	0	
0.033	0	0.9947394	-0.0001016532	0	-0.3237302	0	
0.0335	0	0.9945775	-0.0001016532	0	-0.3286352	0	
0.034	0	0.9944132	-0.0001016532	0	-0.3335403	0	
0.0345	0	0.9942464	-0.0001016532	0	-0.3384453	0	
0.035	0	0.9940772	-0.0001016532	0	-0.3433503	0	
0.0355	0	0.9939055	-0.0001016532	0	-0.3482553	0	
0.036	0	0.9937314	-0.0001016532	0	-0.3531603	0	
0.0365	0	0.9935548	-0.0001016532	0	-0.3580653	0	
0.037	0	0.9933758	-0.0001016532	0	-0.3629703	0	
0.0375	0	0.9931943	-0.0001016532	0	-0.3678753	0	
0.038	0	0.9930103	-0.0001016532	0	-0.3727803	0	
0.0385	0	0.992824	-0.0001016532	0	-0.3776853	0	
0.039	0	0.9926352	-0.0001016532	0	-0.3825904	0	
0.0395	0	0.9924439	-0.0001016532	0	-0.3874954	0	
0.04	0	0.9922501	-0.0001016532	0	-0.3924004	0	
0.0405	0	0.9920539	-0.0001016532	0	-0.3973054	0	
0.041	0	0.9918553	-0.0001016532	0	-0.4022104	0	
0.0415	0	0.9916541	-0.0001016532	0	-0.4071154	0	
0.042	0	0.9914506	-0.0001016532	0	-0.4120204	0	
0.0425	0	0.9912446	-0.0001016532	0	-0.4169253	0	
0.043	0	0.9910361	-0.0001016532	0	-0.4218303	0	
0.0435	0	0.9908252	-0.0001016532	0	-0.4267353	0	
0.044	0	0.9906119	-0.0001016532	0	-0.4316403	0	
0.0445	0	0.990396	-0.0001016532	0	-0.4365453	0	
0.045	0	0.9901778	-0.0001016532	0	-0.4414503	0	
0.0455	0	0.989957	-0.0001016532	0	-0.4463553	0	
0.046	0	0.9897339	-0.0001016532	0	-0.4512602	0	
0.0465	0	0.9895083	-0.0001016532	0	-0.4561652	0	
0.047	0	0.9892802	-0.0001016532	0	-0.4610702	0	
0.0475	0	0.9890496	-0.0001016532	0	-0.4659752	0	
0.048	0	0.9888167	-0.0001016532	0	-0.4708802	0	
0.0485	0	0.9885812	-0.0001016532	0	-0.4757852	0	
0.049	0	0.9883434	-0.0001016532	0	-0.4806902	0	
0.0495	0	0.988103	-0.0001016532	0	-0.4855951	0	
0.05	0	0.9878602	-0.0001016532	0	-0.4905001	0	
0.0505	0	0.9876149	-0.0001016532	0	-0.4954051	0	
0.051	0	0.9873673	-0.0001016532	0	-0.5003101	0	
