Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	0.5	-0.0001018266	0	0	0	
0.0005	0	0.5	-0.0001018266	0.004090592	0.006503535	0.004090592	
0.001	2.045296E-06	0.5000033	-9.978128E-05	0.006584955	0.009683698	0.01008158	
0.0015	5.337774E-06	0.5000081	-9.47405E-05	0.0106046	0.004778698	0.01712905	
0.002	1.064008E-05	0.5000105	-8.617597E-05	0.01433168	-0.000126303	0.02214301	
0.0025	1.780592E-05	0.5000104	-7.510446E-05	0.01818549	-0.005031304	0.02683306	
0.003	2.689866E-05	0.5000079	-6.168793E-05	0.02264244	-0.009936305	0.03116872	
0.0035	3.821989E-05	0.500003	-4.610357E-05	0.02706058	-0.01424202	0.03561276	
0.004	5.175017E-05	0.4999959	-2.829719E-05	0.03148055	-0.01832927	0.04013945	
0.0045	6.749044E-05	0.4999867	-8.227468E-06	0.03096998	0.005311407	0.04362194	
0.005	8.297543E-05	0.4999894	1.35835E-05	0.03527512	0.004206366	0.04803174	
0.0055	0.000100613	0.4999915	3.759938E-05	0.03878811	0.006945774	0.05170139	
0.006	0.000120007	0.499995	6.345007E-05	0.04337159	0.003670193	0.05611729	
0.0065	0.0001416928	0.4999968	9.150871E-05	0.04797234	0.0005048622	0.06056603	
0.007	0.000165679	0.499997	0.0001217917	0.05247962	-0.0006211624	0.06489151	
0.0075	0.0001919188	0.4999967	0.0001542375	0.05661938	0.001287427	0.06874785	
0.008	0.0002202285	0.4999973	0.0001886114	0.06104873	0.001058976	0.07300638	
0.0085	0.0002507529	0.4999978	0.0002251146	0.06546839	0.0008487739	0.0772694	
0.009000001	0.0002834871	0.4999982	0.0002637493	0.06985395	0.0006914165	0.08154673	
0.009500001	0.000318414	0.4999986	0.0003045227	0.07423212	0.000557901	0.0858241	
0.01	0.0003555301	0.4999989	0.0003474347	0.07860588	0.0004291542	0.09010404	
0.0105	0.000394833	0.4999991	0.0003924868	0.08297018	0.0003480915	0.09437955	
0.011	0.0004363182	0.4999993	0.0004396765	0.08733415	0.0002479553	0.09866044	
0.0115	0.0004799852	0.4999994	0.0004890068	0.09168559	0.0002241135	0.1029321	
0.012	0.000525828	0.4999995	0.0005404728	0.09603906	0.000166893	0.1072108	
0.0125	0.0005738476	0.4999996	0.0005940782	0.1003882	0.000128746	0.1114883	
0.013	0.0006240417	0.4999997	0.0006498224	0.1047304	0.000128746	0.1157618	
0.0135	0.0006764068	0.4999997	0.0007077033	0.1090753	9.536743E-05	0.1200419	
0.014	0.0007309444	0.4999998	0.0007677242	0.1134148	9.059869E-05	0.1243191	
0.0145	0.0007876518	0.4999998	0.0008298838	0.1177633	9.536371E-06	0.1286087	
0.015	0.0008465335	0.4999998	0.0008941881	0.1220933	5.722009E-05	0.1328805	
0.0155	0.0009075801	0.4999999	0.0009606284	0.1264343	1.430511E-05	0.1371667	
0.016	0.0009707973	0.4999999	0.001029212	0.1307654	3.81466E-05	0.1414439	
0.0165	0.00103618	0.4999999	0.001099934	0.1351037	0	0.1457313	
0.017	0.001103732	0.4999999	0.0011728	0.1394361	0	0.1500138	
0.0175	0.00117345	0.4999999	0.001247806	0.1437676	0	0.1542971	
0.018	0.001245334	0.4999999	0.001324955	0.1480983	0	0.1585812	
0.0185	0.001319383	0.4999999	0.001404245	0.1524282	0	0.162866	
0.019	0.001395597	0.4999999	0.001485678	0.1567574	0	0.1671514	
0.0195	0.001473976	0.4999999	0.001569254	0.161086	-3.72529E-10	0.1714375	
0.02	0.001554519	0.4999999	0.001654973	0.1654139	0	0.1757241	
0.0205	0.001637226	0.4999999	0.001742835	0.1697412	0	0.1800114	
0.021	0.001722096	0.4999999	0.001832841	0.174068	0	0.1842991	
0.0215	0.00180913	0.4999999	0.00192499	0.1783942	0	0.1885874	
0.022	0.001898327	0.4999999	0.002019284	0.1827199	-3.72529E-10	0.1928762	
0.0225	0.001989687	0.4999999	0.002115722	0.1870451	-3.72529E-10	0.1971654	
0.023	0.00208321	0.4999999	0.002214305	0.1913699	3.72529E-10	0.2014551	
0.0235	0.002178895	0.4999999	0.002315032	0.1956942	-3.72529E-10	0.2057452	
0.024	0.002276742	0.4999999	0.002417905	0.200018	0	0.2100357	
0.0245	0.002376751	0.4999999	0.002522923	0.2043415	-3.72529E-10	0.2143266	
0.025	0.002478922	0.4999999	0.002630086	0.2086646	0	0.2186178	
0.0255	0.002583254	0.4999999	0.002739395	0.2129873	0	0.2229095	
0.026	0.002689748	0.4999999	0.00285085	0.2173097	0	0.2272014	
0.0265	0.002798402	0.4999999	0.002964451	0.2216317	-3.72529E-10	0.2314937	
0.027	0.002909218	0.4999999	0.003080197	0.2259534	0	0.2357862	
0.0275	0.003022195	0.4999999	0.00319809	0.2302748	0	0.2400791	
0.028	0.003137332	0.4999999	0.00331813	0.2345959	-3.72529E-10	0.2443723	
0.0285	0.00325463	0.4999999	0.003440316	0.2389167	0	0.2486658	
0.029	0.003374089	0.4999999	0.003564649	0.2432372	-3.72529E-10	0.2529595	
0.0295	0.003495707	0.4999999	0.003691129	0.2475574	0	0.2572535	
0.03	0.003619486	0.4999999	0.003819756	0.2518774	0	0.2615477	
0.0305	0.003745424	0.4999999	0.00395053	0.2561971	0	0.2658422	
0.031	0.003873523	0.4999999	0.00408345	0.2605166	-3.72529E-10	0.2701369	
0.0315	0.004003781	0.4999999	0.004218519	0.2648359	-3.72529E-10	0.2744318	
0.032	0.004136199	0.4999999	0.004355735	0.2691549	0	0.278727	
0.0325	0.004270777	0.4999999	0.004495099	0.2734737	0	0.2830223	
0.033	0.004407513	0.4999999	0.004636609	0.2777924	-3.72529E-10	0.2873179	
0.0335	0.00454641	0.4999999	0.004780269	0.2821108	0	0.2916136	
0.034	0.004687465	0.4999999	0.004926076	0.286429	-3.72529E-10	0.2959096	
0.0345	0.00483068	0.4999999	0.00507403	0.290747	-3.72529E-10	0.3002057	
0.035	0.004976053	0.4999999	0.005224133	0.2950648	0	0.304502	
0.0355	0.005123585	0.4999999	0.005376384	0.2993825	-3.72529E-10	0.3087985	
0.036	0.005273276	0.4999999	0.005530783	0.3037	-3.72529E-10	0.3130951	
0.0365	0.005425127	0.4999999	0.005687331	0.3080173	-3.72529E-10	0.3173919	
0.037	0.005579135	0.4999999	0.005846027	0.3123344	0	0.3216889	
0.0375	0.005735302	0.4999999	0.006006871	0.3166514	-3.72529E-10	0.325986	
0.038	0.005893628	0.4999999	0.006169864	0.3209683	0	0.3302833	
0.0385	0.006054112	0.4999999	0.006335006	0.325285	-3.72529E-10	0.3345807	
0.039	0.006216754	0.4999999	0.006502296	0.3296015	-3.72529E-10	0.3388783	
0.0395	0.006381555	0.4999999	0.006671734	0.3339179	0	0.343176	
0.04	0.006548514	0.4999999	0.006843322	0.3382342	0	0.3474738	
0.0405	0.006717631	0.4999999	0.00701706	0.3425503	0	0.3517717	
0.041	0.006888907	0.4999999	0.007192946	0.3468663	-3.72529E-10	0.3560698	
0.0415	0.00706234	0.4999999	0.00737098	0.3511822	0	0.360368	
0.042	0.007237931	0.4999999	0.007551164	0.3554979	-3.72529E-10	0.3646664	
0.0425	0.00741568	0.4999999	0.007733497	0.3598136	0	0.3689648	
0.043	0.007595587	0.4999999	0.00791798	0.3641291	-3.72529E-10	0.3732634	
0.0435	0.007777651	0.4999999	0.008104611	0.3684445	0	0.377562	
0.044	0.007961874	0.4999999	0.008293393	0.3727598	0	0.3818608	
0.0445	0.008148254	0.4999999	0.008484323	0.377075	-3.72529E-10	0.3861597	
0.045	0.008336792	0.4999999	0.008677403	0.38139	0	0.3904587	
0.0455	0.008527487	0.4999999	0.008872631	0.385705	0	0.3947578	
0.046	0.008720339	0.4999999	0.009070011	0.3900199	-3.72529E-10	0.399057	
0.0465	0.008915349	0.4999999	0.009269539	0.3943346	0	0.4033563	
0.047	0.009112517	0.4999999	0.009471218	0.3986493	-3.72529E-10	0.4076557	
0.0475	0.009311842	0.4999999	0.009675045	0.4029639	0	0.4119552	
0.048	0.009513324	0.4999999	0.009881022	0.4072784	0	0.4162548	
0.0485	0.009716963	0.4999999	0.01008915	0.4115929	-3.72529E-10	0.4205545	
0.049	0.00992276	0.4999999	0.01029943	0.4159072	0	0.4248542	
0.0495	0.01013071	0.4999999	0.01051185	0.4202214	-3.72529E-10	0.4291541	
0.05	0.01034082	0.4999999	0.01072643	0.4245356	0	0.433454	
0.0505	0.01055309	0.4999999	0.01094316	0.4288497	0	0.437754	
0.051	0.01076752	0.4999999	0.01116204	0.4331637	0	0.4420541	
0.0515	0.0109841	0.4999999	0.01138306	0.4374776	-3.72529E-10	0.4463542	
0.052	0.01120284	0.4999999	0.01160624	0.4417915	-3.72529E-10	0.4506545	
0.0525	0.01142373	0.4999999	0.01183157	0.4461052	-3.72529E-10	0.4549548	
0.053	0.01164678	0.4999999	0.01205904	0.4504189	0	0.4592552	
0.0535	0.01187199	0.4999999	0.01228867	0.4547326	0	0.4635557	
0.054	0.01209936	0.4999999	0.01252045	0.4594321	-0.002759515	0.4682499	
0.0545	0.01232908	0.4999985	0.01275457	0.4631489	0.00061034	0.4719345	
0.055	0.01256065	0.4999988	0.01299054	0.4673722	0.0004873537	0.4761384	
0.0555	0.01279434	0.499999	0.01322861	0.4718018	-0.0005626958	0.4805586	
0.056	0.01303024	0.4999987	0.01346889	0.4759409	0.0004863679	0.4846852	
0.0565	0.01326821	0.499999	0.01371123	0.4802441	0.0004001982	0.4889764	
0.057	0.01350833	0.4999991	0.01395572	0.4845433	0.0003064495	0.4932635	
0.0575	0.0137506	0.4999993	0.01420235	0.4888389	0.000267012	0.497547	
0.058	0.01399502	0.4999994	0.01445113	0.4931404	0.0002097927	0.5018365	
0.0585	0.01424159	0.4999995	0.01470204	0.4974421	0.0001716457	0.5061263	
0.059	0.01449031	0.4999996	0.01495511	0.5017463	0.0001334991	0.5104186	
0.0595	0.01474118	0.4999997	0.01521032	0.5060579	5.720221E-05	0.5147186	
0.06	0.01499421	0.4999997	0.01546768	0.5103643	9.535849E-05	0.5190135	
0.0605	0.0152494	0.4999998	0.01572718	0.5146816	5.720407E-05	0.5233194	
0.061	0.01550674	0.4999998	0.01598884	0.5189941	5.72037E-05	0.5276206	
0.0615	0.01576623	0.4999999	0.01625265	0.5233106	2.859496E-05	0.5319259	
0.062	0.01602789	0.4999999	0.01651862	0.5276218	3.812835E-05	0.5362257	
0.0625	0.0162917	0.4999999	0.01678673	0.5319285	2.861954E-05	0.5405213	
0.063	0.01655766	0.4999999	0.01705699	0.5362349	2.858974E-05	0.5448166	
0.0635	0.01682578	0.4999999	0.0173294	0.5405415	3.814436E-05	0.5491121	
0.064	0.01709605	0.4999999	0.01760395	0.5448558	-9.533763E-06	0.5534155	
0.0645	0.01736848	0.4999999	0.01788066	0.549169	-1.904704E-05	0.557718	
0.06500001	0.01764307	0.4999999	0.01815952	0.55348	-9.500235E-06	0.5620182	
0.06550001	0.01791981	0.4999999	0.01844053	0.5577876	-9.541213E-06	0.5663151	
0.066	0.0181987	0.4999999	0.01872369	0.5620998	-9.526685E-06	0.5706167	
0.0665	0.01847975	0.4999999	0.019009	0.5664057	-9.534509E-06	0.5749121	
0.067	0.01876295	0.4999999	0.01929645	0.5707178	-9.525195E-06	0.5792138	
0.0675	0.01904831	0.4999999	0.01958606	0.5750236	-9.534881E-06	0.5835093	
0.068	0.01933582	0.4999999	0.01987781	0.5793355	-9.525195E-06	0.587811	
0.0685	0.01962549	0.4999999	0.02017172	0.5836412	-9.534881E-06	0.5921065	
0.06900001	0.01991731	0.4999999	0.02046777	0.587953	-9.525195E-06	0.5964084	
0.06950001	0.02021128	0.4999999	0.02076598	0.5922587	-9.534881E-06	0.600704	
0.07	0.02050742	0.4999999	0.02106633	0.5965704	-9.525195E-06	0.6050059	
0.0705	0.0208057	0.4999999	0.02136883	0.600876	-9.534881E-06	0.6093016	
0.071	0.02110614	0.4999999	0.02167348	0.6051877	-9.525195E-06	0.6136036	
0.0715	0.02140873	0.4999999	0.02198028	0.6094932	-9.534881E-06	0.6178994	
0.072	0.02171348	0.4999999	0.02228924	0.6138048	-9.525195E-06	0.6222015	
0.07250001	0.02202038	0.4999999	0.02260034	0.6181101	-9.534881E-06	0.6264974	
0.07300001	0.02232944	0.4999999	0.02291358	0.6224217	-9.525195E-06	0.6307995	
0.0735	0.02264065	0.4999999	0.02322898	0.626727	-9.534881E-06	0.6350955	
0.074	0.02295401	0.4999999	0.02354653	0.6310384	-9.525567E-06	0.6393977	
0.0745	0.02326953	0.4999999	0.02386623	0.6353437	-9.534881E-06	0.6436937	
0.075	0.0235872	0.4999999	0.02418808	0.6396551	-9.525195E-06	0.6479959	
0.0755	0.02390703	0.4999999	0.02451207	0.6439603	-9.534881E-06	0.6522921	
0.07600001	0.02422901	0.4999999	0.02483822	0.6482716	-9.525195E-06	0.6565945	
0.07650001	0.02455315	0.4999999	0.02516652	0.6529709	-0.002772112	0.6612898	
0.07700001	0.02487963	0.4999985	0.02549716	0.6568144	0.0005432707	0.6651235	
0.0775	0.02520804	0.4999988	0.02582972	0.6615204	-0.002266673	0.6698255	
0.078	0.0255388	0.4999976	0.02616464	0.6653659	0.0009345952	0.6736509	
0.0785	0.02587148	0.4999981	0.02650146	0.6696905	0.0007353164	0.6779639	
0.079	0.02620633	0.4999985	0.02684044	0.6740291	0.0005388279	0.682295	
0.0795	0.02654334	0.4999988	0.02718159	0.6783506	0.0004625335	0.686609	
0.08000001	0.02688251	0.499999	0.02752489	0.6826743	0.0003719337	0.690925	
0.08050001	0.02722385	0.4999992	0.02787036	0.686994	0.0003099445	0.6952369	
0.081	0.02756735	0.4999993	0.02821798	0.691313	0.0002527245	0.699548	
0.0815	0.027913	0.4999995	0.02856775	0.6956347	0.0001764297	0.7038619	
0.082	0.02826082	0.4999996	0.02891968	0.6999484	0.0001573563	0.7081677	
0.0825	0.0286108	0.4999997	0.02927376	0.7042667	0.0001049042	0.7124782	
0.083	0.02896293	0.4999997	0.02963	0.7085783	0.0001001358	0.7167819	
0.08350001	0.02931722	0.4999998	0.02998839	0.712892	8.106269E-05	0.7210877	
0.08400001	0.02967366	0.4999998	0.03034894	0.7172056	6.19892E-05	0.7253935	
0.08450001	0.03003227	0.4999999	0.03071163	0.7215246	4.768372E-06	0.7297048	
0.085	0.03039303	0.4999999	0.03107649	0.7258301	4.291534E-05	0.7340026	
0.0855	0.03075594	0.4999999	0.03144349	0.730141	4.291534E-05	0.7383057	
0.086	0.03112101	0.4999999	0.03181264	0.7344518	4.291534E-05	0.742609	
0.0865	0.03148824	0.4999999	0.03218394	0.7387627	4.291534E-05	0.7469122	
0.087	0.03185762	0.4999999	0.0325574	0.7430735	4.291534E-05	0.7512154	
0.08750001	0.03222916	0.4999999	0.03293301	0.7473843	4.291534E-05	0.7555186	
0.08800001	0.03260285	0.4999999	0.03331077	0.751695	4.291534E-05	0.7598219	
0.0885	0.03297869	0.4999999	0.03369068	0.7560058	4.291572E-05	0.7641252	
0.089	0.0333567	0.4999999	0.03407274	0.7603165	4.291534E-05	0.7684285	
0.0895	0.03373686	0.4999999	0.03445695	0.7646272	4.291534E-05	0.7727319	
0.09	0.03411917	0.4999999	0.03484332	0.7689378	4.291534E-05	0.7770352	
0.0905	0.03450364	0.4999999	0.03523184	0.7732485	4.291534E-05	0.7813386	
0.09100001	0.03489026	0.4999999	0.03562251	0.7775591	4.291572E-05	0.7856421	
0.09150001	0.03527905	0.4999999	0.03601533	0.7818697	4.291534E-05	0.7899455	
0.09200001	0.03566998	0.4999999	0.0364103	0.7861803	4.291534E-05	0.794249	
0.0925	0.03606307	0.4999999	0.03680743	0.7904908	4.291572E-05	0.7985525	
0.093	0.03645831	0.4999999	0.03720671	0.7948014	4.291572E-05	0.802856	
0.0935	0.03685572	0.4999999	0.03760813	0.7991034	4.767589E-05	0.8071511	
0.094	0.03725527	0.4999999	0.03801171	0.8034074	4.748404E-05	0.8114481	
0.09450001	0.03765697	0.4999999	0.03841743	0.8077917	-0.0004773963	0.8158262	
0.09500001	0.03806087	0.4999996	0.03882534	0.8124925	-0.003256034	0.8205244	
0.09550001	0.03846711	0.499998	0.0392356	0.8162266	0.0007819526	0.8242512	
0.096	0.03887523	0.4999984	0.03964773	0.8205587	0.0006299135	0.8285761	
0.0965	0.03928551	0.4999987	0.04006202	0.8248855	0.0005149309	0.8328959	
0.097	0.03969795	0.499999	0.04047846	0.8292176	0.0003623355	0.837221	
0.0975	0.04011256	0.4999991	0.04089708	0.8335388	0.0002860285	0.8415353	
0.098	0.04052933	0.4999993	0.04131784	0.8378574	0.000228814	0.845847	
0.09850001	0.04094826	0.4999994	0.04174077	0.8421678	0.0002288103	0.8501505	
0.09900001	0.04136934	0.4999995	0.04216584	0.8464862	0.0001715992	0.8544623	
0.09950001	0.04179258	0.4999996	0.04259307	0.8508019	0.0001334466	0.8587713	
0.1	0.04221798	0.4999996	0.04302246	0.8551176	9.529926E-05	0.8630805	
0.1005	0.04264554	0.4999997	0.043454	0.8594306	7.622578E-05	0.8673869	
0.101	0.04307526	0.4999997	0.04388769	0.8637436	5.71534E-05	0.8716934	
0.1015	0.04350713	0.4999998	0.04432354	0.8680646	-1.913346E-05	0.876008	
0.102	0.04394117	0.4999998	0.04476155	0.8723668	3.80639E-05	0.8803037	
0.1025	0.04437735	0.4999998	0.0452017	0.876677	3.808513E-05	0.8846075	
0.103	0.04481569	0.4999998	0.045644	0.8809819	7.622354E-05	0.8889059	
0.1035	0.04525618	0.4999998	0.04608845	0.8852973	3.808588E-05	0.8932152	
0.104	0.04569883	0.4999998	0.04653506	0.8896074	3.807694E-05	0.8975191	
0.1045	0.04614363	0.4999998	0.04698382	0.8939202	1.900718E-05	0.9018256	
0.105	0.04659059	0.4999998	0.04743474	0.8982304	1.900494E-05	0.9061295	
0.1055	0.0470397	0.4999998	0.0478878	0.9025432	-6.332994E-08	0.9104362	
0.106	0.04749098	0.4999998	0.04834302	0.9068532	-7.152558E-08	0.9147401	
0.1065	0.0479444	0.4999998	0.04880039	0.9111633	-6.668269E-08	0.9190441	
0.107	0.04839998	0.4999998	0.04925991	0.9154733	-6.705523E-08	0.9233481	
0.1075	0.04885772	0.4999998	0.04972159	0.9197833	-6.705523E-08	0.9276522	
0.108	0.04931761	0.4999998	0.05018541	0.9244817	-0.002760475	0.9323479	
0.1085	0.04977985	0.4999984	0.05065159	0.9281865	0.0006294143	0.9360377	
0.109	0.05024394	0.4999988	0.05111961	0.9324071	0.0004873455	0.9402491	
0.1095	0.05071015	0.499999	0.05158973	0.93687	-0.0006103814	0.9447082	
0.11	0.05117858	0.4999987	0.05206209	0.9410278	0.0004577581	0.9488606	
0.1105	0.05164909	0.499999	0.05253652	0.9453478	0.0003811345	0.9531747	
0.111	0.05212177	0.4999991	0.0530131	0.9496438	0.0002968688	0.9574651	
0.1115	0.0525966	0.4999993	0.05349184	0.9539387	0.0002479352	0.9617543	
0.112	0.05307356	0.4999994	0.05397272	0.9582381	0.0001907203	0.9660479	
0.1125	0.05355268	0.4999995	0.05445574	0.9625375	0.0001525719	0.9703417	
0.113	0.05403395	0.4999996	0.05494091	0.9668393	0.0001144249	0.9746378	
0.1135	0.05451737	0.4999997	0.05542823	0.9711472	4.766584E-05	0.97894	
