Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	0.5	-0.0001018266	0	0	0	
0.0005	0	0.5	-0.0001018266	0.004194457	0.006503527	0.004194457	
0.001	2.097228E-06	0.5000033	-9.972935E-05	0.007529506	0.00997327	0.009870805	
0.0015	5.861982E-06	0.5000083	-9.479395E-05	0.01173521	0.005068269	0.0161655	
0.002	1.172959E-05	0.5000108	-8.67112E-05	0.01566997	0.0001632683	0.02175805	
0.0025	1.956458E-05	0.5000109	-7.583218E-05	0.01968754	-0.004741732	0.02681282	
0.003	2.940834E-05	0.5000085	-6.242576E-05	0.02385504	-0.009646733	0.03161028	
0.0035	4.133586E-05	0.5000037	-4.662062E-05	0.02817128	-0.01455173	0.03630151	
0.004	5.54215E-05	0.4999964	-2.846986E-05	0.03290633	-0.01884074	0.04104636	
0.0045	7.187467E-05	0.4999869	-7.946682E-06	0.03519488	0.005225828	0.04504699	
0.005	8.947211E-05	0.4999896	1.457681E-05	0.03934629	0.007888044	0.04940778	
0.0055	0.0001091453	0.4999935	3.928071E-05	0.04424633	0.003854419	0.05428283	
0.006	0.0001312684	0.4999954	6.642212E-05	0.04905595	0.001391317	0.05904671	
0.0065	0.0001557964	0.4999962	9.594548E-05	0.05369616	0.001544967	0.06358832	
0.007	0.0001826445	0.4999969	0.0001277397	0.05837045	0.001182584	0.06818341	
0.0075	0.0002118297	0.4999975	0.0001618313	0.06305893	0.001010639	0.07280287	
0.008	0.0002433592	0.499998	0.0001982328	0.06775147	0.0007439111	0.07743479	
0.0085	0.0002772349	0.4999984	0.0002369502	0.07244167	0.000543597	0.08208256	
0.009000001	0.0003134558	0.4999987	0.0002779915	0.07711878	0.000514986	0.08671891	
0.009500001	0.0003520152	0.4999989	0.0003213509	0.08180115	0.0003814709	0.09136447	
0.01	0.0003929157	0.4999991	0.0003670331	0.08647468	0.000362397	0.0960025	
0.0105	0.0004361531	0.4999993	0.0004150344	0.09115169	0.0002717976	0.1006469	
0.011	0.0004817289	0.4999994	0.0004653579	0.09582449	0.0002288826	0.1052886	
