Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	0.5	-0.0001018266	0	0	0	
0.0005	2.272727E-06	0.5	-9.955432E-05	0.004545455	9.060817E-07	0.004544546	
0.001	6.800154E-06	0.5	-9.502784E-05	0.009054853	1.827461E-06	0.009052945	
0.0015	1.358228E-05	0.5	-8.824717E-05	0.01356425	2.745864E-06	0.01356134	
0.002	2.26191E-05	0.5	-7.92123E-05	0.01807365	3.664206E-06	0.01806974	
0.0025	3.391063E-05	0.5	-6.792323E-05	0.02258305	4.58253E-06	0.02257814	
0.003	4.745685E-05	0.5	-5.437995E-05	0.02709245	5.500845E-06	0.02708654	
0.0035	6.325778E-05	0.5	-3.858248E-05	0.03160184	6.419155E-06	0.03159494	
0.004	8.13134E-05	0.5	-2.053081E-05	0.03611124	7.337461E-06	0.03610334	
0.0045	0.0001016237	0.5	-2.249431E-07	0.04062064	8.255764E-06	0.04061174	
0.005	0.0001241887	0.5	2.233513E-05	0.04513004	9.174066E-06	0.04512014	
0.0055	0.0001490085	0.5	4.714939E-05	0.04963944	1.009236E-05	0.04962854	
0.006	0.0001760829	0.5000001	7.421787E-05	0.05414883	1.101066E-05	0.05413694	
0.0065	0.000205412	0.5000001	0.0001035405	0.05865823	1.192896E-05	0.05864533	
0.007	0.0002369958	0.5000001	0.0001351174	0.06316763	1.284725E-05	0.06315374	
0.0075	0.0002708343	0.5000001	0.0001689485	0.06767703	1.376554E-05	0.06766213	
0.008	0.0003069275	0.5000001	0.0002050337	0.07218643	1.468383E-05	0.07217053	
0.0085	0.0003452755	0.5000001	0.0002433732	0.07669583	1.560212E-05	0.07667893	
0.009000001	0.0003858781	0.5000001	0.0002839669	0.08120523	1.652041E-05	0.08118733	
0.009500001	0.0004287354	0.5000001	0.0003268147	0.08571462	1.743869E-05	0.08569573	
0.01	0.0004738474	0.5000001	0.0003719168	0.09022402	1.835698E-05	0.09020413	
0.0105	0.0005212142	0.5000001	0.0004192731	0.09473342	1.927526E-05	0.09471253	
0.011	0.0005708355	0.5000001	0.0004688835	0.09924281	2.019354E-05	0.09922092	
0.0115	0.0006227116	0.5000001	0.0005207482	0.1037522	2.111182E-05	0.1037293	
0.012	0.0006768425	0.5000002	0.0005748671	0.1082616	2.20301E-05	0.1082377	
