Time	Root2_Y	Root_Y	
0	-1.4	0	
0.0005	-1.4	0	
0.001	-1.4	0	
0.0015	-1.399999	0	
0.002	-1.399998	0	
0.0025	-1.399997	0	
0.003	-1.399995	0	
0.0035	-1.399994	0	
0.004	-1.399991	0	
0.0045	-1.399989	0	
0.005	-1.399986	0	
0.0055	-1.399983	0	
0.006	-1.39998	0	
0.0065	-1.399976	0	
0.007	-1.399972	0	
0.0075	-1.399968	0	
0.008	-1.399963	0	
0.0085	-1.399958	0	
0.009000001	-1.399953	0	
0.009500001	-1.399948	0	
0.01	-1.399942	0	
0.0105	-1.399936	0	
0.011	-1.399929	0	
0.0115	-1.399922	0	
0.012	-1.399915	0	
0.0125	-1.399908	0	
0.013	-1.3999	0	
0.0135	-1.399892	0	
0.014	-1.399884	0	
0.0145	-1.399876	0	
0.015	-1.399867	0	
0.0155	-1.399858	0	
0.016	-1.399848	0	
0.0165	-1.399838	0	
0.017	-1.399828	0	
0.0175	-1.399818	0	
0.018	-1.399807	0	
0.0185	-1.399796	0	
0.019	-1.399785	0	
0.0195	-1.399773	0	
0.02	-1.399761	0	
0.0205	-1.399749	0	
0.021	-1.399736	0	
0.0215	-1.399723	0	
0.022	-1.39971	0	
0.0225	-1.399697	0	
0.023	-1.399683	0	
0.0235	-1.399669	0	
0.024	-1.399655	0	
0.0245	-1.39964	0	
0.025	-1.399625	0	
0.0255	-1.399609	0	
0.026	-1.399594	0	
0.0265	-1.399578	0	
0.027	-1.399562	0	
0.0275	-1.399545	0	
0.028	-1.399528	0	
0.0285	-1.399511	0	
0.029	-1.399494	0	
0.0295	-1.399476	0	
0.03	-1.399458	0	
0.0305	-1.39944	0	
0.031	-1.399421	0	
0.0315	-1.399402	0	
0.032	-1.399383	0	
0.0325	-1.399363	0	
0.033	-1.399343	0	
0.0335	-1.399323	0	
0.034	-1.399303	0	
0.0345	-1.399282	0	
0.035	-1.399261	0	
0.0355	-1.399239	0	
0.036	-1.399218	0	
0.0365	-1.399196	0	
0.037	-1.399173	0	
0.0375	-1.399151	0	
0.038	-1.399128	0	
0.0385	-1.399104	0	
0.039	-1.399081	0	
0.0395	-1.399057	0	
0.04	-1.399033	0	
0.0405	-1.399009	0	
0.041	-1.398984	0	
0.0415	-1.398959	0	
0.042	-1.398933	0	
0.0425	-1.398908	0	
0.043	-1.398882	0	
0.0435	-1.398856	0	
0.044	-1.398829	0	
0.0445	-1.398802	0	
0.045	-1.398775	0	
0.0455	-1.398748	0	
0.046	-1.39872	0	
0.0465	-1.398692	0	
0.047	-1.398663	0	
0.0475	-1.398635	0	
0.048	-1.398606	0	
0.0485	-1.398576	0	
0.049	-1.398547	0	
0.0495	-1.398517	0	
0.05	-1.398487	0	
0.0505	-1.398456	0	
0.051	-1.398426	0	
0.0515	-1.398394	0	
0.052	-1.398363	0	
0.0525	-1.398332	0	
0.053	-1.3983	0	
0.0535	-1.398267	0	
0.054	-1.398235	0	
0.0545	-1.398202	0	
0.055	-1.398168	0	
0.0555	-1.398135	0	
0.056	-1.398101	0	
0.0565	-1.398067	0	
0.057	-1.398033	0	
0.0575	-1.397998	0	
0.058	-1.397963	0	
0.0585	-1.397928	0	
0.059	-1.397892	0	
0.0595	-1.397856	0	
0.06	-1.39782	0	
0.0605	-1.397784	0	
0.061	-1.397747	0	
0.0615	-1.39771	0	
0.062	-1.397672	0	
0.0625	-1.397635	0	
0.063	-1.397597	0	
0.0635	-1.397559	0	
0.064	-1.39752	0	
0.0645	-1.397481	0	
0.06500001	-1.397442	0	
0.06550001	-1.397402	0	
0.066	-1.397363	0	
0.0665	-1.397323	0	
0.067	-1.397282	0	
0.0675	-1.397241	0	
0.068	-1.3972	0	
0.0685	-1.397159	0	
0.06900001	-1.397118	0	
0.06950001	-1.397076	0	
0.07	-1.397034	0	
0.0705	-1.396991	0	
0.071	-1.396948	0	
0.0715	-1.396905	0	
0.072	-1.396862	0	
0.07250001	-1.396819	0	
0.07300001	-1.396775	0	
0.0735	-1.39673	0	
0.074	-1.396686	0	
0.0745	-1.396641	0	
0.075	-1.396596	0	
0.0755	-1.39655	0	
0.07600001	-1.396505	0	
0.07650001	-1.396459	0	
0.07700001	-1.396412	0	
0.0775	-1.396366	0	
0.078	-1.396319	0	
0.0785	-1.396272	0	
0.079	-1.396224	0	
0.0795	-1.396177	0	
0.08000001	-1.396129	0	
0.08050001	-1.39608	0	
0.081	-1.396031	0	
0.0815	-1.395983	0	
0.082	-1.395933	0	
0.0825	-1.395884	0	
0.083	-1.395834	0	
0.08350001	-1.395784	0	
0.08400001	-1.395734	0	
0.08450001	-1.395683	0	
0.085	-1.395632	0	
0.0855	-1.395581	0	
0.086	-1.395529	0	
0.0865	-1.395477	0	
0.087	-1.395425	0	
0.08750001	-1.395373	0	
0.08800001	-1.39532	0	
0.0885	-1.395267	0	
0.089	-1.395213	0	
0.0895	-1.39516	0	
0.09	-1.395106	0	
0.0905	-1.395052	0	
0.09100001	-1.394997	0	
0.09150001	-1.394943	0	
0.09200001	-1.394888	0	
0.0925	-1.394832	0	
0.093	-1.394777	0	
0.0935	-1.394721	0	
0.094	-1.394665	0	
0.09450001	-1.394608	0	
0.09500001	-1.394551	0	
0.09550001	-1.394494	0	
0.096	-1.394437	0	
0.0965	-1.394379	0	
0.097	-1.394321	0	
0.0975	-1.394263	0	
0.098	-1.394204	0	
0.09850001	-1.394146	0	
0.09900001	-1.394086	0	
0.09950001	-1.394027	0	
