Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
0	0.52	0.5199797	1	0.02	
0.0005	0.5199979	0.5199797	0.9999976	0.02	
0.001	0.5199937	0.5199797	0.9999927	0.02	
0.0015	0.5199874	0.5199797	0.9999853	0.02	
0.002	0.519979	0.5199797	0.9999755	0.02	
0.0025	0.5199685	0.5199797	0.9999632	0.02	
0.003	0.5199559	0.5199797	0.9999485	0.02	
0.0035	0.5199413	0.5199797	0.9999313	0.02	
0.004	0.5199245	0.5199797	0.9999117	0.02	
0.0045	0.5199056	0.5199797	0.9998897	0.02	
0.005	0.5198846	0.5199797	0.9998652	0.02	
0.0055	0.5198616	0.5199797	0.9998382	0.02	
0.006	0.5198364	0.5199797	0.9998087	0.02	
0.0065	0.5198092	0.5199797	0.9997768	0.02	
0.007	0.5197799	0.5199797	0.9997425	0.02	
0.0075	0.5197484	0.5199797	0.9997057	0.02	
0.008	0.5197148	0.5199797	0.9996665	0.02	
0.0085	0.5196792	0.5199797	0.9996247	0.02	
0.009000001	0.5196415	0.5199797	0.9995807	0.02	
0.009500001	0.5196016	0.5199797	0.9995341	0.02	
0.01	0.5195597	0.5199797	0.999485	0.02	
0.0105	0.5195157	0.5199797	0.9994335	0.02	
0.011	0.5194696	0.5199797	0.9993796	0.02	
0.0115	0.5194213	0.5199797	0.9993231	0.02	
0.012	0.519371	0.5199797	0.9992642	0.02	
0.0125	0.5193186	0.5199797	0.9992029	0.02	
0.013	0.5192642	0.5199797	0.9991392	0.02	
0.0135	0.5192075	0.5199797	0.999073	0.02	
0.014	0.5191488	0.5199797	0.9990043	0.02	
0.0145	0.519088	0.5199797	0.9989331	0.02	
0.015	0.5190252	0.5199797	0.9988596	0.02	
0.0155	0.5189602	0.5199797	0.9987836	0.02	
0.016	0.5188931	0.5199797	0.9987051	0.02	
0.0165	0.518824	0.5199797	0.9986241	0.02	
0.017	0.5187527	0.5199797	0.9985408	0.02	
0.0175	0.5186793	0.5199797	0.998455	0.02	
0.018	0.5186039	0.5199797	0.9983667	0.02	
0.0185	0.5185263	0.5199797	0.9982759	0.02	
0.019	0.5184467	0.5199797	0.9981827	0.02	
0.0195	0.5183649	0.5199797	0.998087	0.02	
0.02	0.5182811	0.5199797	0.997989	0.02	
0.0205	0.5181952	0.5199797	0.9978884	0.02	
0.021	0.5181071	0.5199797	0.9977854	0.02	
0.0215	0.5180171	0.5199797	0.9976799	0.02	
0.022	0.5179248	0.5199797	0.9975721	0.02	
0.0225	0.5178306	0.5199797	0.9974617	0.02	
0.023	0.5177342	0.5199797	0.9973489	0.02	
0.0235	0.5176356	0.5199797	0.9972336	0.02	
0.024	0.5175351	0.5199797	0.9971159	0.02	
0.0245	0.5174324	0.5199797	0.9969956	0.02	
0.025	0.5173277	0.5199797	0.9968731	0.02	
0.0255	0.5172208	0.5199797	0.996748	0.02	
0.026	0.5171119	0.5199797	0.9966205	0.02	
0.0265	0.5170009	0.5199797	0.9964905	0.02	
0.027	0.5168877	0.5199797	0.996358	0.02	
0.0275	0.5167725	0.5199797	0.9962232	0.02	
0.028	0.5166552	0.5199797	0.9960858	0.02	
0.0285	0.5165358	0.5199797	0.995946	0.02	
0.029	0.5164143	0.5199797	0.9958038	0.02	
0.0295	0.5162908	0.5199797	0.9956591	0.02	
0.03	0.5161651	0.5199797	0.9955119	0.02	
0.0305	0.5160374	0.5199797	0.9953623	0.02	
0.031	0.5159076	0.5199797	0.9952103	0.02	
0.0315	0.5157757	0.5199797	0.9950558	0.02	
0.032	0.5156417	0.5199797	0.9948988	0.02	
0.0325	0.5155056	0.5199797	0.9947394	0.02	
0.033	0.5153674	0.5199797	0.9945775	0.02	
0.0335	0.5152273	0.5199797	0.9944132	0.02	
0.034	0.5150849	0.5199797	0.9942464	0.02	
0.0345	0.5149406	0.5199797	0.9940772	0.02	
0.035	0.5147941	0.5199797	0.9939055	0.02	
0.0355	0.5146455	0.5199797	0.9937314	0.02	
0.036	0.5144949	0.5199797	0.9935548	0.02	
0.0365	0.5143422	0.5199797	0.9933758	0.02	
0.037	0.5141875	0.5199797	0.9931943	0.02	
