Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	1	-0.0002036532	0	0	0	
0.0005	0	1	-0.0002036532	-0.001691032	0	-0.001691032	
0.001	-8.455158E-07	1	-0.0002044987	-0.003382416	-0.0001192093	-0.003382416	
0.0015	-2.536724E-06	0.9999999	-0.0002061899	-0.005073023	2.384186E-05	-0.005073024	
0.002	-5.073236E-06	0.9999999	-0.0002087264	-0.006764126	0	-0.006764126	
0.0025	-8.455298E-06	0.9999999	-0.0002121085	-0.008455157	0	-0.008455157	
0.003	-1.268288E-05	0.9999999	-0.0002163361	-0.01014612	2.384186E-05	-0.01014612	
0.0035	-1.775594E-05	0.9999999	-0.0002214091	-0.01183715	2.384139E-05	-0.01183715	
0.004	-2.367451E-05	0.9999999	-0.0002273277	-0.01352825	0	-0.01352825	
0.0045	-3.043864E-05	0.9999999	-0.0002340918	-0.01521921	2.384186E-05	-0.01521921	
0.005	-3.804824E-05	0.9999999	-0.0002417014	-0.01690996	0.0001192093	-0.01690996	
0.0055	-4.650322E-05	0.9999999	-0.0002501564	-0.01860107	9.53679E-05	-0.01860107	
0.006	-5.580376E-05	1	-0.0002594569	-0.02029273	-0.0001192093	-0.02029273	
0.0065	-6.595012E-05	0.9999999	-0.0002696033	-0.02198341	0	-0.02198341	
0.007	-7.694183E-05	0.9999999	-0.000280595	-0.02367444	0	-0.02367444	
0.0075	-8.877904E-05	0.9999999	-0.0002924322	-0.0253654	2.384186E-05	-0.0253654	
0.008	-0.0001014617	0.9999999	-0.0003051149	-0.02705644	2.384139E-05	-0.02705644	
0.0085	-0.00011499	0.9999999	-0.0003186431	-0.02874747	2.384139E-05	-0.02874747	
0.009000001	-0.0001293637	0.9999999	-0.0003330169	-0.03043822	0.0001192093	-0.03043822	
0.009500001	-0.0001445828	1	-0.000348236	-0.0321296	0	-0.0321296	
0.01	-0.0001606476	1	-0.0003643008	-0.03382063	0	-0.03382063	
0.0105	-0.0001775579	1	-0.0003812111	-0.03551166	0	-0.03551167	
0.011	-0.0001953137	1	-0.0003989669	-0.03720255	4.768418E-05	-0.03720256	
0.0115	-0.000213915	1	-0.0004175682	-0.03889358	4.768372E-05	-0.03889358	
0.012	-0.0002333618	0.9999999	-0.000437015	-0.04058447	9.53679E-05	-0.04058447	
0.0125	-0.000253654	1	-0.0004573072	-0.04227536	0.0001430511	-0.04227537	
0.013	-0.0002747917	1	-0.0004784449	-0.04396667	4.768372E-05	-0.04396668	
0.0135	-0.000296775	1	-0.0005004283	-0.04565771	4.768372E-05	-0.04565771	
0.014	-0.0003196039	1	-0.0005232571	-0.04734958	-0.0002384186	-0.04734958	
0.0145	-0.0003432787	0.9999999	-0.0005469319	-0.04903962	9.53679E-05	-0.04903963	
0.015	-0.0003677985	1	-0.0005714517	-0.05073093	0	-0.05073094	
0.0155	-0.000393164	1	-0.0005968172	-0.05242196	0	-0.05242197	
0.016	-0.000419375	1	-0.0006230281	-0.05411286	4.768418E-05	-0.05411286	
0.0165	-0.0004464314	1	-0.0006500846	-0.05580403	0	-0.05580403	
0.017	-0.0004743334	0.9999999	-0.0006779866	-0.05749477	9.53679E-05	-0.05749478	
0.0175	-0.0005030808	1	-0.000706734	-0.05918609	0	-0.05918609	
0.018	-0.0005326738	1	-0.000736327	-0.06087711	0	-0.06087712	
0.0185	-0.0005631124	0.9999999	-0.0007667656	-0.06256787	9.53679E-05	-0.06256787	
0.019	-0.0005943963	0.9999999	-0.0007980495	-0.0642589	9.536743E-05	-0.0642589	
0.0195	-0.0006265258	1	-0.000830179	-0.06595092	-0.0002384186	-0.06595092	
0.02	-0.0006595012	0.9999999	-0.0008631544	-0.0676411	4.768372E-05	-0.06764111	
0.0205	-0.0006933218	0.9999999	-0.000896975	-0.06933185	0.0001430511	-0.06933186	
0.021	-0.0007279877	0.9999999	-0.0009316409	-0.07102282	0.000166893	-0.07102283	
0.0215	-0.0007634991	0.9999999	-0.0009671524	-0.07271406	9.53679E-05	-0.07271407	
0.022	-0.0007998561	0.9999999	-0.001003509	-0.0744051	9.536743E-05	-0.0744051	
0.0225	-0.0008370587	0.9999999	-0.001040712	-0.07609613	9.536743E-05	-0.07609614	
0.023	-0.0008751068	1	-0.00107876	-0.07778744	0	-0.07778745	
0.0235	-0.0009140005	0.9999999	-0.001117654	-0.0794782	9.53679E-05	-0.07947821	
0.024	-0.0009537396	1	-0.001157393	-0.08116952	0	-0.08116952	
0.0245	-0.0009943243	0.9999999	-0.001197978	-0.08286028	9.53679E-05	-0.08286028	
0.025	-0.001035754	0.9999999	-0.001239408	-0.08455131	9.536743E-05	-0.08455132	
0.0255	-0.00107803	1	-0.001281683	-0.08624221	0.0001430511	-0.08624221	
0.026	-0.001121151	1	-0.001324804	-0.08793352	4.768372E-05	-0.08793353	
0.0265	-0.001165118	1	-0.001368771	-0.0896254	-0.0002384186	-0.0896254	
0.027	-0.001209931	1	-0.001413584	-0.09131572	0	-0.09131572	
0.0275	-0.001255588	1	-0.001459242	-0.09300675	0	-0.09300676	
0.028	-0.001302092	1	-0.001505745	-0.09469779	0	-0.0946978	
0.0285	-0.001349441	1	-0.001553094	-0.09638868	4.768418E-05	-0.09638869	
0.029	-0.001397635	1	-0.001601288	-0.09807985	0	-0.09807986	
0.0295	-0.001446675	1	-0.001650328	-0.09977124	-0.0001192093	-0.09977125	
0.03	-0.001496561	0.9999999	-0.001700214	-0.1014619	2.384186E-05	-0.1014619	
0.0305	-0.001547292	0.9999999	-0.001750945	-0.1031526	0.0001192093	-0.1031526	
0.031	-0.001598868	0.9999999	-0.001802521	-0.1048437	9.53679E-05	-0.1048437	
0.0315	-0.00165129	1	-0.001854943	-0.1065346	0.0001430511	-0.1065346	
0.032	-0.001704557	1	-0.00190821	-0.1082258	9.536743E-05	-0.1082258	
0.0325	-0.00175867	1	-0.001962323	-0.109917	4.768372E-05	-0.109917	
0.033	-0.001813628	1	-0.002017282	-0.111608	4.768372E-05	-0.111608	
0.0335	-0.001869432	1	-0.002073086	-0.1132999	-0.0002384186	-0.1132999	
0.034	-0.001926082	1	-0.002129736	-0.1149905	-0.0001192093	-0.1149905	
0.0345	-0.001983578	0.9999999	-0.002187231	-0.1166812	2.384186E-05	-0.1166812	
