Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	1	-0.0002036532	0	0	0	
0.0005	-1.193662E-06	0.9999976	-0.0002048468	-0.002387324	-0.004905	-0.002387324	
0.001	-3.57814E-06	0.9999976	-0.0002072323	-0.004768956	4.677035E-05	-0.004770961	
0.0015	-7.152014E-06	0.9999976	-0.0002108077	-0.007147748	4.622378E-05	-0.007150748	
0.002	-1.191387E-05	0.9999976	-0.0002155715	-0.009523705	4.526766E-05	-0.009527698	
0.0025	-1.786228E-05	0.9999976	-0.0002215225	-0.01189683	4.431676E-05	-0.01190181	
0.003	-2.499584E-05	0.9999976	-0.000228659	-0.01426712	4.337106E-05	-0.0142731	
0.0035	-3.331314E-05	0.9999977	-0.0002369798	-0.01663459	4.243052E-05	-0.01664156	
0.004	-4.281276E-05	0.9999977	-0.0002464834	-0.01899924	4.149509E-05	-0.01900719	
0.0045	-5.349329E-05	0.9999977	-0.0002571684	-0.02136106	4.056473E-05	-0.02137001	
0.005	-6.535333E-05	0.9999977	-0.0002690334	-0.02372007	3.963938E-05	-0.02373001	
0.0055	-7.839146E-05	0.9999977	-0.000282077	-0.02607627	3.871902E-05	-0.02608719	
0.006	-9.260629E-05	0.9999977	-0.0002962978	-0.02842966	3.780358E-05	-0.02844156	
0.0065	-0.0001079964	0.9999978	-0.0003116943	-0.03078024	3.689304E-05	-0.03079313	
0.007	-0.0001245604	0.9999978	-0.0003282653	-0.03312802	3.598734E-05	-0.03314189	
0.0075	-0.0001422969	0.9999978	-0.0003460092	-0.035473	3.508644E-05	-0.03548785	
0.008	-0.0001612045	0.9999979	-0.0003649247	-0.03781519	3.41903E-05	-0.03783102	
0.0085	-0.0001812818	0.9999979	-0.0003850104	-0.04015458	3.329887E-05	-0.04017139	
0.009000001	-0.0002025274	0.9999979	-0.0004062649	-0.04249119	3.241212E-05	-0.04250897	
0.009500001	-0.0002249399	0.9999979	-0.0004286868	-0.04482501	3.153001E-05	-0.04484377	
