Time	Px	Py	Pz	Vx	Vy	Vz	
0	0	1	-0.0002036532	0	0	0	
0.0005	-1.193662E-06	0.9999976	-0.0002048468	-0.002387324	-0.004905	-0.002387324	
0.001	-2.194917E-06	0.9999976	-0.0002058488	-0.00200251	4.651641E-05	-0.002003946	
0.0015	-3.69843E-06	0.9999976	-0.0002073534	-0.003007025	4.666844E-05	-0.003009176	
0.002	-5.70427E-06	0.9999976	-0.0002093607	-0.004011679	4.59957E-05	-0.004014542	
0.0025	-8.212436E-06	0.9999976	-0.0002118706	-0.005016332	4.532746E-05	-0.005019909	
0.003	-1.122293E-05	0.9999976	-0.0002148833	-0.006020984	4.46638E-05	-0.006025274	
0.0035	-1.473575E-05	0.9999977	-0.0002183986	-0.007025636	4.400469E-05	-0.007030639	
0.004	-1.875089E-05	0.9999977	-0.0002224166	-0.008030287	4.335008E-05	-0.008036003	
0.0045	-2.326836E-05	0.9999977	-0.0002269373	-0.009034937	4.269992E-05	-0.009041367	
0.005	-2.828815E-05	0.9999977	-0.0002319606	-0.01003959	4.205417E-05	-0.01004673	
0.0055	-3.381027E-05	0.9999977	-0.0002374867	-0.01104424	4.141279E-05	-0.01105209	
0.006	-3.983471E-05	0.9999978	-0.0002435154	-0.01204888	4.077573E-05	-0.01205746	
0.0065	-4.636148E-05	0.9999978	-0.0002500468	-0.01305353	4.014295E-05	-0.01306282	
0.007	-5.339057E-05	0.9999978	-0.0002570809	-0.01405818	3.951441E-05	-0.01406818	
0.0075	-6.092198E-05	0.9999979	-0.0002646177	-0.01506283	3.889007E-05	-0.01507354	
0.008	-6.895572E-05	0.9999979	-0.0002726571	-0.01606747	3.826988E-05	-0.0160789	
0.0085	-7.749178E-05	0.9999979	-0.0002811993	-0.01707212	3.76538E-05	-0.01708426	
0.009000001	-8.653016E-05	0.9999979	-0.0002902441	-0.01807676	3.70418E-05	-0.01808961	
0.009500001	-9.607086E-05	0.9999979	-0.0002997915	-0.01908141	3.643383E-05	-0.01909497	
