Time	Root2_Y	Root_Y	
0	0.2	0	
0.0005	0.2	0	
0.001	0.1999975	0	
0.0015	0.1999926	0	
0.002	0.1999853	0	
0.0025	0.1999755	0	
0.003	0.1999632	0	
0.0035	0.1999485	0	
0.004	0.1999313	0	
0.0045	0.1999117	0	
0.005	0.1998896	0	
0.0055	0.1998651	0	
0.006	0.1998381	0	
0.0065	0.1998087	0	
0.007	0.1997768	0	
0.0075	0.1997425	0	
0.008	0.1997057	0	
0.0085	0.1996665	0	
0.009000001	0.1996248	0	
0.009500001	0.1995806	0	
0.01	0.199534	0	
0.0105	0.199485	0	
0.011	0.1994335	0	
0.0115	0.1993795	0	
0.012	0.1993231	0	
0.0125	0.1992643	0	
0.013	0.1992029	0	
0.0135	0.1991392	0	
0.014	0.199073	0	
0.0145	0.1990043	0	
0.015	0.1989332	0	
0.0155	0.1988596	0	
0.016	0.1987836	0	
0.0165	0.1987051	0	
0.017	0.1986241	0	
0.0175	0.1985408	0	
0.018	0.1984549	0	
0.0185	0.1983666	0	
0.019	0.1982759	0	
0.0195	0.1981827	0	
0.02	0.1980871	0	
0.0205	0.197989	0	
0.021	0.1978884	0	
0.0215	0.1977854	0	
0.022	0.1976799	0	
0.0225	0.197572	0	
0.023	0.1974617	0	
0.0235	0.1973488	0	
0.024	0.1972336	0	
0.0245	0.1971159	0	
0.025	0.1969957	0	
0.0255	0.1968731	0	
0.026	0.196748	0	
0.0265	0.1966204	0	
0.027	0.1964905	0	
0.0275	0.196358	0	
0.028	0.1962232	0	
0.0285	0.1960858	0	
0.029	0.195946	0	
0.0295	0.1958038	0	
0.03	0.1956591	0	
0.0305	0.1955119	0	
0.031	0.1953623	0	
0.0315	0.1952103	0	
0.032	0.1950558	0	
0.0325	0.1948988	0	
0.033	0.1947394	0	
0.0335	0.1945775	0	
0.034	0.1944132	0	
0.0345	0.1942464	0	
0.035	0.1940772	0	
0.0355	0.1939055	0	
0.036	0.1937314	0	
0.0365	0.1935548	0	
0.037	0.1933758	0	
