Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
0	0.5	0.4999796	1	0	
0.0005	0.5	0.4999796	1	0	
0.001	0.4999982	0.4999796	0.9999976	0	
0.0015	0.4999945	0.4999796	0.9999927	0	
0.002	0.499989	0.4999796	0.9999853	0	
0.0025	0.4999817	0.4999796	0.9999755	0	
0.003	0.4999726	0.4999796	0.9999632	0	
0.0035	0.4999616	0.4999796	0.9999485	0	
0.004	0.4999488	0.4999796	0.9999313	0	
0.0045	0.4999342	0.4999796	0.9999117	0	
0.005	0.4999177	0.4999796	0.9998897	0	
0.0055	0.4998994	0.4999796	0.9998652	0	
0.006	0.4998794	0.4999796	0.9998382	0	
0.0065	0.4998574	0.4999796	0.9998087	0	
0.007	0.4998337	0.4999796	0.9997768	0	
0.0075	0.4998081	0.4999796	0.9997425	0	
0.008	0.4997807	0.4999796	0.9997057	0	
0.0085	0.4997514	0.4999796	0.9996665	0	
0.009000001	0.4997203	0.4999796	0.9996247	0	
0.009500001	0.4996874	0.4999796	0.9995807	0	
0.01	0.4996527	0.4999796	0.9995341	0	
0.0105	0.4996161	0.4999796	0.999485	0	
0.011	0.4995778	0.4999796	0.9994335	0	
0.0115	0.4995376	0.4999796	0.9993796	0	
0.012	0.4994955	0.4999796	0.9993231	0	
0.0125	0.4994516	0.4999796	0.9992642	0	
0.013	0.499406	0.4999796	0.9992029	0	
0.0135	0.4993584	0.4999796	0.9991392	0	
0.014	0.4993091	0.4999796	0.999073	0	
0.0145	0.4992579	0.4999796	0.9990043	0	
0.015	0.4992049	0.4999796	0.9989331	0	
0.0155	0.49915	0.4999796	0.9988596	0	
0.016	0.4990934	0.4999796	0.9987836	0	
0.0165	0.4990349	0.4999796	0.9987051	0	
0.017	0.4989746	0.4999796	0.9986241	0	
0.0175	0.4989124	0.4999796	0.9985408	0	
0.018	0.4988485	0.4999796	0.998455	0	
0.0185	0.4987827	0.4999796	0.9983667	0	
0.019	0.4987151	0.4999796	0.9982759	0	
0.0195	0.4986456	0.4999796	0.9981827	0	
0.02	0.4985743	0.4999796	0.998087	0	
0.0205	0.4985012	0.4999796	0.997989	0	
0.021	0.4984263	0.4999796	0.9978884	0	
0.0215	0.4983495	0.4999796	0.9977854	0	
0.022	0.498271	0.4999796	0.9976799	0	
0.0225	0.4981906	0.4999796	0.9975721	0	
0.023	0.4981083	0.4999796	0.9974617	0	
0.0235	0.4980242	0.4999796	0.9973489	0	
0.024	0.4979384	0.4999796	0.9972336	0	
0.0245	0.4978506	0.4999796	0.9971159	0	
0.025	0.4977611	0.4999796	0.9969956	0	
0.0255	0.4976698	0.4999796	0.9968731	0	
0.026	0.4975765	0.4999796	0.996748	0	
0.0265	0.4974816	0.4999796	0.9966205	0	
0.027	0.4973847	0.4999796	0.9964905	0	
0.0275	0.4972861	0.4999796	0.996358	0	
0.028	0.4971855	0.4999796	0.9962232	0	
0.0285	0.4970832	0.4999796	0.9960858	0	
0.029	0.4969791	0.4999796	0.995946	0	
0.0295	0.4968731	0.4999796	0.9958038	0	
0.03	0.4967654	0.4999796	0.9956591	0	
0.0305	0.4966558	0.4999796	0.9955119	0	
0.031	0.4965444	0.4999796	0.9953623	0	
0.0315	0.4964311	0.4999796	0.9952103	0	
0.032	0.496316	0.4999796	0.9950558	0	
0.0325	0.4961991	0.4999796	0.9948988	0	
0.033	0.4960805	0.4999796	0.9947394	0	
0.0335	0.4959599	0.4999796	0.9945775	0	
0.034	0.4958376	0.4999796	0.9944132	0	
0.0345	0.4957134	0.4999796	0.9942464	0	
0.035	0.4955874	0.4999796	0.9940772	0	
0.0355	0.4954596	0.4999796	0.9939055	0	
0.036	0.4953301	0.4999796	0.9937314	0	
0.0365	0.4951986	0.4999796	0.9935548	0	
0.037	0.4950654	0.4999796	0.9933758	0	
0.0375	0.4949303	0.4999796	0.9931943	0	
0.038	0.4947935	0.4999796	0.9930103	0	
0.0385	0.4946547	0.4999796	0.992824	0	
