Time	BodyX	BodyY	BodyZ	
0	0	-0.25	0	
0.0001	0	-0.2500001	1.301973E-08	
0.0002	0	-0.2500003	3.878259E-08	
0.0003	0	-0.2500006	7.704465E-08	
0.0004	0	-0.2500009	1.275907E-07	
0.0005	0	-0.2500014	1.902311E-07	
0.0006	0	-0.2500019	2.647985E-07	
0.0007	0	-0.2500026	3.511454E-07	
0.0008	0	-0.2500032	4.491415E-07	
0.0009	0	-0.250004	5.586723E-07	
0.0009999999	0	-0.2500049	6.796366E-07	
0.0011	0	-0.2500058	8.119451E-07	
0.0012	0	-0.2500068	9.555193E-07	
0.0013	0	-0.2500079	1.11029E-06	
0.0014	0	-0.250009	1.276196E-06	
0.0015	0	-0.2500102	1.453183E-06	
0.0016	0	-0.2500114	1.641205E-06	
0.0017	0	-0.2500128	1.840219E-06	
0.0018	0	-0.2500142	2.050188E-06	
0.0019	0	-0.2500156	2.271081E-06	
0.002	0	-0.2500171	2.502867E-06	
0.0021	0	-0.2500186	2.745524E-06	
0.0022	0	-0.2500202	2.999027E-06	
0.0023	0	-0.2500219	3.263358E-06	
0.0024	0	-0.2500236	3.5385E-06	
0.0025	0	-0.2500253	3.824437E-06	
0.0026	0	-0.2500271	4.121157E-06	
0.0027	0	-0.2500289	4.428648E-06	
0.0028	0	-0.2500308	4.746899E-06	
0.0029	0	-0.2500328	5.075902E-06	
0.003	0	-0.2500347	5.415648E-06	
0.0031	0	-0.2500367	5.76613E-06	
0.0032	0	-0.2500387	6.127344E-06	
0.0033	0	-0.2500408	6.499283E-06	
0.0034	0	-0.2500429	6.881943E-06	
0.0035	0	-0.2500451	7.275319E-06	
0.0036	0	-0.2500473	7.679409E-06	
0.0037	0	-0.2500495	8.094207E-06	
0.0038	0	-0.2500517	8.519714E-06	
0.0039	0	-0.250054	8.955926E-06	
0.004	0	-0.2500564	9.402841E-06	
0.0041	0	-0.2500587	9.860457E-06	
0.0042	0	-0.250061	1.032877E-05	
0.0043	0	-0.2500634	1.080779E-05	
0.0044	0	-0.2500658	1.12975E-05	
0.0045	0	-0.2500683	1.179791E-05	
0.0046	0	-0.2500707	1.230901E-05	
0.0047	0	-0.2500732	1.283081E-05	
0.0048	0	-0.2500757	1.33633E-05	
0.0049	0	-0.2500782	1.390649E-05	
0.005	0	-0.2500808	1.446037E-05	
0.0051	0	-0.2500833	1.502494E-05	
0.0052	0	-0.2500859	1.56002E-05	
0.0053	0	-0.2500885	1.618616E-05	
0.0054	0	-0.2500911	1.678281E-05	
0.0055	0	-0.2500938	1.739016E-05	
0.0056	0	-0.2500964	1.800819E-05	
0.0057	0	-0.250099	1.863691E-05	
0.0058	0	-0.2501017	1.927633E-05	
0.0059	0	-0.2501044	1.992644E-05	
0.006	0	-0.2501071	2.058724E-05	
0.0061	0	-0.2501098	2.125874E-05	
0.0062	0	-0.2501125	2.194092E-05	
0.0063	0	-0.2501152	2.26338E-05	
0.0064	0	-0.250118	2.333737E-05	
0.0065	0	-0.2501207	2.405163E-05	
0.0066	0	-0.2501235	2.477658E-05	
0.0067	0	-0.2501263	2.551222E-05	
0.0068	0	-0.250129	2.625856E-05	
0.0069	0	-0.2501318	2.701559E-05	
0.007	0	-0.2501346	2.778331E-05	
0.0071	0	-0.2501374	2.856172E-05	
0.0072	0	-0.2501402	2.935082E-05	
0.0073	0	-0.250143	3.015062E-05	
0.0074	0	-0.2501458	3.096111E-05	
0.0075	0	-0.2501486	3.178229E-05	
0.0076	0	-0.2501514	3.261416E-05	
0.0077	0	-0.2501542	3.345673E-05	
0.0078	0	-0.250157	3.430998E-05	
