Time	BodyX	BodyY	BodyZ	
0	0	-0.25	0	
0.0001	0	-0.25	0	
0.0002	1.15352E-08	-0.25	7.294026E-10	
0.0003	3.384124E-08	-0.25	1.458805E-09	
0.0004	6.691812E-08	-0.25	2.188208E-09	
0.0005	1.107659E-07	-0.25	2.917612E-09	
0.0006	1.653845E-07	-0.25	3.647015E-09	
0.0007	2.30774E-07	-0.25	4.376419E-09	
0.0008	3.069344E-07	-0.25	5.105824E-09	
0.0009	3.938658E-07	-0.25	5.83523E-09	
0.0009999999	4.915682E-07	-0.25	6.564636E-09	
0.0011	6.000417E-07	-0.25	7.294044E-09	
0.0012	7.192863E-07	-0.25	8.023452E-09	
0.0013	8.49302E-07	-0.25	8.752862E-09	
0.0014	9.900889E-07	-0.25	9.482274E-09	
0.0015	1.141647E-06	-0.25	1.021169E-08	
0.0016	1.303977E-06	-0.25	1.09411E-08	
0.0017	1.477077E-06	-0.25	1.167052E-08	
0.0018	1.66095E-06	-0.25	1.239993E-08	
0.0019	1.855594E-06	-0.25	1.312935E-08	
0.002	2.061009E-06	-0.25	1.385878E-08	
0.0021	2.277196E-06	-0.25	1.45882E-08	
0.0022	2.504156E-06	-0.25	1.531763E-08	
0.0023	2.741887E-06	-0.25	1.604706E-08	
0.0024	2.99039E-06	-0.25	1.677649E-08	
0.0025	3.249665E-06	-0.25	1.750592E-08	
0.0026	3.519712E-06	-0.25	1.823536E-08	
0.0027	3.800533E-06	-0.25	1.89648E-08	
0.0028	4.092125E-06	-0.25	1.969424E-08	
0.0029	4.39449E-06	-0.25	2.042369E-08	
0.003	4.707628E-06	-0.25	2.115314E-08	
0.0031	5.031539E-06	-0.25	2.18826E-08	
0.0032	5.366222E-06	-0.25	2.261205E-08	
0.0033	5.711679E-06	-0.25	2.334152E-08	
0.0034	6.06791E-06	-0.25	2.407098E-08	
0.0035	6.434914E-06	-0.25	2.480045E-08	
0.0036	6.812691E-06	-0.25	2.552992E-08	
0.0037	7.201242E-06	-0.25	2.62594E-08	
0.0038	7.600567E-06	-0.25	2.698888E-08	
0.0039	8.010667E-06	-0.25	2.771837E-08	
0.004	8.431541E-06	-0.25	2.844786E-08	
0.0041	8.863189E-06	-0.25	2.917736E-08	
0.0042	9.305612E-06	-0.25	2.990685E-08	
0.0043	9.758811E-06	-0.25	3.063636E-08	
0.0044	1.022278E-05	-0.25	3.136587E-08	
0.0045	1.069753E-05	-0.25	3.209539E-08	
0.0046	1.118306E-05	-0.25	3.282491E-08	
0.0047	1.167936E-05	-0.25	3.355444E-08	
0.0048	1.218643E-05	-0.25	3.428397E-08	
0.0049	1.270428E-05	-0.25	3.50135E-08	
0.005	1.323291E-05	-0.25	3.574305E-08	
0.0051	1.377232E-05	-0.25	3.64726E-08	
0.0052	1.43225E-05	-0.25	3.720216E-08	
0.0053	1.488346E-05	-0.25	3.793172E-08	
0.0054	1.545519E-05	-0.25	3.866129E-08	
0.0055	1.603771E-05	-0.25	3.939086E-08	
0.0056	1.6631E-05	-0.25	4.012044E-08	
0.0057	1.723507E-05	-0.25	4.085003E-08	
0.0058	1.784992E-05	-0.25	4.157963E-08	
0.0059	1.847555E-05	-0.25	4.230923E-08	
0.006	1.911195E-05	-0.25	4.303884E-08	
0.0061	1.975914E-05	-0.25	4.376846E-08	
0.0062	2.04171E-05	-0.25	4.449808E-08	
0.0063	2.108585E-05	-0.25	4.522771E-08	
0.0064	2.176537E-05	-0.25	4.595735E-08	
0.0065	2.245568E-05	-0.25	4.6687E-08	
0.0066	2.315676E-05	-0.25	4.741665E-08	
0.0067	2.386863E-05	-0.25	4.814632E-08	
0.0068	2.459128E-05	-0.25	4.887599E-08	
0.0069	2.532471E-05	-0.25	4.960567E-08	
0.007	2.606892E-05	-0.25	5.033536E-08	
0.0071	2.682391E-05	-0.25	5.106505E-08	
0.0072	2.758969E-05	-0.25	5.179475E-08	
0.0073	2.836625E-05	-0.25	5.252447E-08	
0.0074	2.91536E-05	-0.25	5.325419E-08	
0.0075	2.995172E-05	-0.25	5.398392E-08	
0.0076	3.076064E-05	-0.25	5.471366E-08	
0.0077	3.158033E-05	-0.25	5.544341E-08	
0.0078	3.241081E-05	-0.25	5.617317E-08	
0.0079	3.325207E-05	-0.25	5.690294E-08	
0.007999999	3.410412E-05	-0.25	5.763272E-08	
0.0081	3.496696E-05	-0.25	5.836251E-08	
0.0082	3.584058E-05	-0.25	5.90923E-08	
0.0083	3.672499E-05	-0.25	5.982211E-08	
0.0084	3.762019E-05	-0.25	6.055193E-08	
0.0085	3.852617E-05	-0.25	6.128176E-08	
0.008599999	3.944294E-05	-0.25	6.201159E-08	
0.0087	4.03705E-05	-0.25	6.274144E-08	
0.0088	4.130885E-05	-0.25	6.34713E-08	
0.0089	4.225799E-05	-0.25	6.420117E-08	
0.009	4.321791E-05	-0.25	6.493105E-08	
0.009099999	4.418863E-05	-0.25	6.566094E-08	
0.0092	4.517013E-05	-0.25	6.639085E-08	
0.0093	4.616243E-05	-0.25	6.712076E-08	
0.0094	4.716552E-05	-0.25	6.785069E-08	
0.0095	4.81794E-05	-0.25	6.858063E-08	
0.0096	4.920407E-05	-0.25	6.931057E-08	
0.009699999	5.023953E-05	-0.25	7.004054E-08	
0.0098	5.128579E-05	-0.25	7.07705E-08	
0.0099	5.234284E-05	-0.25	7.150049E-08	
0.01	5.341069E-05	-0.25	7.223048E-08	
0.0101	5.448933E-05	-0.25	7.296049E-08	
0.0102	5.557876E-05	-0.25	7.369052E-08	
0.0103	5.667899E-05	-0.25	7.442055E-08	
0.0104	5.779002E-05	-0.25	7.51506E-08	
0.0105	5.891184E-05	-0.25	7.588065E-08	
0.0106	6.004445E-05	-0.25	7.661072E-08	
0.0107	6.118786E-05	-0.25	7.734081E-08	
0.0108	6.234208E-05	-0.25	7.80709E-08	
0.0109	6.350708E-05	-0.25	7.880101E-08	
0.011	6.46829E-05	-0.25	7.953113E-08	
0.0111	6.586951E-05	-0.25	8.026127E-08	
0.0112	6.706692E-05	-0.25	8.099142E-08	
0.0113	6.827513E-05	-0.25	8.172159E-08	
0.0114	6.949413E-05	-0.25	8.245176E-08	
0.0115	7.072395E-05	-0.25	8.318195E-08	
0.0116	7.196456E-05	-0.25	8.391216E-08	
0.0117	7.321598E-05	-0.25	8.464238E-08	
0.0118	7.44782E-05	-0.25	8.537261E-08	
0.0119	7.575122E-05	-0.25	8.610287E-08	
0.012	7.703505E-05	-0.25	8.683313E-08	
0.0121	7.832968E-05	-0.25	8.75634E-08	
0.0122	7.963512E-05	-0.25	8.829369E-08	
0.0123	8.095135E-05	-0.25	8.9024E-08	
0.0124	8.22784E-05	-0.25	8.975432E-08	
0.0125	8.361626E-05	-0.25	9.048465E-08	
0.0126	8.496492E-05	-0.25	9.121501E-08	
0.0127	8.632439E-05	-0.25	9.194537E-08	
0.0128	8.769467E-05	-0.25	9.267576E-08	
