Time	BodyX	BodyY	BodyZ	
0	0	-0.25	0	
0.0001	1.301973E-08	-0.2500001	0	
0.0002	3.878259E-08	-0.2500003	0	
0.0003	7.704465E-08	-0.2500006	0	
0.0004	1.275907E-07	-0.2500009	0	
0.0005	1.902311E-07	-0.2500014	0	
0.0006	2.647985E-07	-0.2500019	0	
0.0007	3.511454E-07	-0.2500026	0	
0.0008	4.491415E-07	-0.2500032	0	
0.0009	5.586723E-07	-0.250004	0	
0.0009999999	6.796366E-07	-0.2500049	0	
0.0011	8.119451E-07	-0.2500058	0	
0.0012	9.555193E-07	-0.2500068	0	
0.0013	1.11029E-06	-0.2500079	0	
0.0014	1.276196E-06	-0.250009	0	
0.0015	1.453183E-06	-0.2500102	0	
0.0016	1.641205E-06	-0.2500114	0	
0.0017	1.840219E-06	-0.2500128	0	
0.0018	2.050188E-06	-0.2500142	0	
0.0019	2.271081E-06	-0.2500156	0	
0.002	2.502867E-06	-0.2500171	0	
0.0021	2.745524E-06	-0.2500186	0	
0.0022	2.999027E-06	-0.2500202	0	
0.0023	3.263358E-06	-0.2500219	0	
0.0024	3.5385E-06	-0.2500236	0	
0.0025	3.824437E-06	-0.2500253	0	
0.0026	4.121157E-06	-0.2500271	0	
0.0027	4.428648E-06	-0.2500289	0	
0.0028	4.746899E-06	-0.2500308	0	
0.0029	5.075902E-06	-0.2500328	0	
0.003	5.415648E-06	-0.2500347	0	
0.0031	5.76613E-06	-0.2500367	0	
0.0032	6.127344E-06	-0.2500387	0	
0.0033	6.499283E-06	-0.2500408	0	
0.0034	6.881943E-06	-0.2500429	0	
0.0035	7.275319E-06	-0.2500451	0	
0.0036	7.679409E-06	-0.2500473	0	
0.0037	8.094207E-06	-0.2500495	0	
0.0038	8.519714E-06	-0.2500517	0	
0.0039	8.955926E-06	-0.250054	0	
0.004	9.402841E-06	-0.2500564	0	
0.0041	9.860457E-06	-0.2500587	0	
0.0042	1.032877E-05	-0.250061	0	
0.0043	1.080779E-05	-0.2500634	0	
0.0044	1.12975E-05	-0.2500658	0	
0.0045	1.179791E-05	-0.2500683	0	
0.0046	1.230901E-05	-0.2500707	0	
0.0047	1.283081E-05	-0.2500732	0	
0.0048	1.33633E-05	-0.2500757	0	
0.0049	1.390649E-05	-0.2500782	0	
0.005	1.446037E-05	-0.2500808	0	
0.0051	1.502494E-05	-0.2500833	0	
0.0052	1.56002E-05	-0.2500859	0	
0.0053	1.618616E-05	-0.2500885	0	
0.0054	1.678281E-05	-0.2500911	0	
0.0055	1.739016E-05	-0.2500938	0	
0.0056	1.800819E-05	-0.2500964	0	
0.0057	1.863691E-05	-0.250099	0	
0.0058	1.927633E-05	-0.2501017	0	
0.0059	1.992644E-05	-0.2501044	0	
0.006	2.058724E-05	-0.2501071	0	
