Time	AVm	Arm	BIa	BVm	JointPos	
0	0	0	0	-0.05	0	
0.0002	0	0	0	-0.05	0	
0.0004	0	0	0	-0.05	0	
0.0006	0	0	0	-0.05	0	
0.0008	0	0	0	-0.05	0	
0.0009999999	0	0	0	-0.05	0	
0.0012	0	0	0	-0.05	0	
0.0014	0	0	0	-0.05	0	
0.0016	0	0	0	-0.05	0	
0.0018	0	0	-2.413239E-19	-0.05	-2.413239E-12	
0.002	0	0	-2.413239E-19	-0.05	-2.413239E-12	
0.0022	0	0	-2.413239E-19	-0.05	-2.413239E-12	
0.0024	0	0	-2.413239E-19	-0.05	-2.413239E-12	
0.0026	0	0	-2.413239E-19	-0.05	-2.413239E-12	
0.0028	0	-9.809999E-06	-2.413239E-19	-0.05	-2.413239E-12	
0.003	0	-9.809999E-06	-2.413239E-19	-0.05	-2.413239E-12	
0.0032	0	-9.809999E-06	-2.413239E-19	-0.05	-2.413239E-12	
0.0034	0	-9.809999E-06	-2.413239E-19	-0.05	-2.413239E-12	
0.0036	0	-9.809999E-06	-2.413239E-19	-0.05	-2.413239E-12	
0.0038	0	-9.504211E-06	-1.505646E-12	-0.05	-1.505646E-05	
0.004	0	-9.504211E-06	-1.505646E-12	-0.05000006	-1.505646E-05	
0.0042	0	-9.504211E-06	-1.505646E-12	-0.05000012	-1.505646E-05	
0.0044	0	-9.504211E-06	-1.505646E-12	-0.05000017	-1.505646E-05	
0.0046	0	-9.504211E-06	-1.505646E-12	-0.05000022	-1.505646E-05	
0.0048	0	-8.784419E-06	-2.2782E-12	-0.05000027	-2.2782E-05	
0.005	0	-8.784419E-06	-2.2782E-12	-0.05000035	-2.2782E-05	
0.0052	0	-8.784419E-06	-2.2782E-12	-0.05000043	-2.2782E-05	
0.0054	0	-8.784419E-06	-2.2782E-12	-0.0500005	-2.2782E-05	
0.0056	0	-8.784419E-06	-2.2782E-12	-0.05000057	-2.2782E-05	
0.0058	0	-7.528739E-06	-2.123689E-12	-0.05000064	-2.123689E-05	
0.006	0	-7.528739E-06	-2.123689E-12	-0.05000069	-2.123689E-05	
0.0062	0	-7.528739E-06	-2.123689E-12	-0.05000075	-2.123689E-05	
0.0064	0	-7.528739E-06	-2.123689E-12	-0.05000081	-2.123689E-05	
0.0066	0	-7.528739E-06	-2.123689E-12	-0.05000086	-2.123689E-05	
0.0068	0	-6.490204E-06	-2.000079E-12	-0.05000091	-2.000079E-05	
0.007	0	-6.490204E-06	-2.000079E-12	-0.05000095	-2.000079E-05	
0.0072	0	-6.490204E-06	-2.000079E-12	-0.05000099	-2.000079E-05	
0.0074	0	-6.490204E-06	-2.000079E-12	-0.05000103	-2.000079E-05	
0.0076	0	-6.490204E-06	-2.000079E-12	-0.05000107	-2.000079E-05	
0.0078	0	-5.632181E-06	-1.901193E-12	-0.0500011	-1.901193E-05	
0.007999999	0	-5.632181E-06	-1.901193E-12	-0.05000114	-1.901193E-05	
0.0082	0	-5.632181E-06	-1.901193E-12	-0.05000117	-1.901193E-05	
0.0084	0	-5.632181E-06	-1.901193E-12	-0.05000119	-1.901193E-05	
0.008599999	0	-5.632181E-06	-1.901193E-12	-0.05000122	-1.901193E-05	
0.0088	0	-4.924007E-06	-1.822083E-12	-0.05000125	-1.822083E-05	
0.009	0	-4.924007E-06	-1.822083E-12	-0.05000127	-1.822083E-05	
0.0092	0	-4.924007E-06	-1.822083E-12	-0.05000129	-1.822083E-05	
0.0094	0	-4.924007E-06	-1.822083E-12	-0.05000131	-1.822083E-05	
0.0096	0	-4.924007E-06	-1.822083E-12	-0.05000133	-1.822083E-05	
0.0098	0	-4.340065E-06	-1.758797E-12	-0.05000135	-1.758797E-05	
0.01	0	-4.340065E-06	-1.758797E-12	-0.05000137	-1.758797E-05	
0.0102	0	-4.340065E-06	-1.758797E-12	-0.05000138	-1.758797E-05	
0.0104	0	-4.340065E-06	-1.758797E-12	-0.0500014	-1.758797E-05	
0.0106	0	-4.340065E-06	-1.758797E-12	-0.05000141	-1.758797E-05	
0.0108	0	-3.858987E-06	-1.708167E-12	-0.05000143	-1.708167E-05	
0.011	0	-3.858987E-06	-1.708167E-12	-0.05000144	-1.708167E-05	
0.0112	0	-3.858987E-06	-1.708167E-12	-0.05000145	-1.708167E-05	
0.0114	0	-3.858987E-06	-1.708167E-12	-0.05000146	-1.708167E-05	
0.0116	0	-3.858987E-06	-1.708167E-12	-0.05000147	-1.708167E-05	
0.0118	0	-3.462987E-06	-1.667663E-12	-0.05000148	-1.667663E-05	
0.012	0	-3.462987E-06	-1.667663E-12	-0.05000148	-1.667663E-05	
0.0122	0	-3.462987E-06	-1.667663E-12	-0.05000149	-1.667663E-05	
0.0124	0	-3.462987E-06	-1.667663E-12	-0.0500015	-1.667663E-05	
0.0126	0	-3.462987E-06	-1.667663E-12	-0.05000151	-1.667663E-05	
0.0128	0	-3.137275E-06	-1.635259E-12	-0.05000151	-1.635259E-05	
0.013	0	-3.137275E-06	-1.635259E-12	-0.05000152	-1.635259E-05	
0.0132	0	-3.137275E-06	-1.635259E-12	-0.05000152	-1.635259E-05	
0.0134	0	-3.137275E-06	-1.635259E-12	-0.05000152	-1.635259E-05	
0.0136	0	-3.137275E-06	-1.635259E-12	-0.05000153	-1.635259E-05	
0.0138	0	-2.869577E-06	-1.609337E-12	-0.05000154	-1.609337E-05	
0.014	0	-2.869577E-06	-1.609337E-12	-0.05000154	-1.609337E-05	
0.0142	0	-2.869577E-06	-1.609337E-12	-0.05000154	-1.609337E-05	
0.0144	0	-2.869577E-06	-1.609337E-12	-0.05000154	-1.609337E-05	
0.0146	0	-2.869577E-06	-1.609337E-12	-0.05000155	-1.609337E-05	
0.0148	0	-2.649715E-06	-1.588598E-12	-0.05000155	-1.588598E-05	
0.015	0	-2.649715E-06	-1.588598E-12	-0.05000155	-1.588598E-05	
0.0152	0	-2.649715E-06	-1.588598E-12	-0.05000155	-1.588598E-05	
