TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.53602e-06	-0.2	2.21022e-07
2	0.002	-2.46701e-05	-0.199999	9.45592e-07
3	0.003	-4.76411e-05	-0.199998	2.45161e-06
4	0.004	-7.67921e-05	-0.199996	4.98762e-06
5	0.005	-0.000111536	-0.199992	8.76631e-06
6	0.006	-0.000151341	-0.199988	1.39657e-05
7	0.007	-0.000195718	-0.199982	2.0733e-05
8	0.008	-0.000244222	-0.199975	2.91895e-05
9	0.009	-0.000296443	-0.199967	3.94354e-05
10	0.01	-0.000352009	-0.199958	5.15544e-05
11	0.011	-0.000410579	-0.199948	6.5617e-05
12	0.012	-0.000471848	-0.199937	8.16839e-05
13	0.013	-0.000535538	-0.199925	9.98091e-05
14	0.014	-0.000601402	-0.199912	0.000120041
15	0.015	-0.000669222	-0.199898	0.000142427
16	0.016	-0.000738804	-0.199884	0.000167009
17	0.017	-0.00080998	-0.199869	0.000193832
18	0.018	-0.000882604	-0.199854	0.00022294
19	0.019	-0.000956553	-0.199839	0.000254376
20	0.02	-0.00103172	-0.199823	0.000288184
21	0.021	-0.00110803	-0.199808	0.000324412
22	0.022	-0.00118541	-0.199792	0.000363104
23	0.023	-0.0012638	-0.199777	0.000404309
24	0.024	-0.00134317	-0.199762	0.000448072
25	0.025	-0.0014235	-0.199748	0.000494441
26	0.026	-0.00150476	-0.199733	0.000543464
27	0.027	-0.00158695	-0.19972	0.000595185
28	0.028	-0.00167008	-0.199707	0.00064965
29	0.029	-0.00175416	-0.199694	0.000706901
30	0.03	-0.0018392	-0.199682	0.00076698
31	0.031	-0.00192523	-0.199671	0.000829926
32	0.032	-0.00201227	-0.199661	0.000895774
33	0.033	-0.00210034	-0.199651	0.00096456
34	0.034	-0.00218949	-0.199643	0.00103631
35	0.035	-0.00227973	-0.199635	0.00111106
36	0.036	-0.00237111	-0.199628	0.00118882
37	0.037	-0.00246366	-0.199621	0.00126962
38	0.038	-0.00255739	-0.199616	0.00135348
39	0.039	-0.00265236	-0.199611	0.0014404
40	0.04	-0.00274858	-0.199607	0.0015304
41	0.041	-0.00284608	-0.199604	0.00162348
42	0.042	-0.00294488	-0.199602	0.00171965
43	0.043	-0.00304502	-0.199601	0.00181891
44	0.044	-0.0031465	-0.1996	0.00192125
45	0.045	-0.00324934	-0.199601	0.00202667
46	0.046	-0.00335356	-0.199601	0.00213516
47	0.047	-0.00345916	-0.199603	0.00224671
48	0.048	-0.00356616	-0.199605	0.00236132
49	0.049	-0.00367456	-0.199608	0.00247896
50	0.05	-0.00378436	-0.199612	0.00259962
51	0.051	-0.00389556	-0.199616	0.00272329
52	0.052	-0.00400815	-0.19962	0.00284995
53	0.053	-0.00412212	-0.199626	0.00297958
54	0.054	-0.00423747	-0.199631	0.00311216
55	0.055	-0.00435419	-0.199638	0.00324769
56	0.056	-0.00447224	-0.199645	0.00338613
57	0.057	-0.00459163	-0.199652	0.00352747
58	0.058	-0.00471232	-0.19966	0.00367171
59	0.059	-0.00483429	-0.199668	0.00381881
60	0.06	-0.00495752	-0.199676	0.00396877
61	0.061	-0.00508198	-0.199685	0.00412157
62	0.062	-0.00520763	-0.199695	0.00427719
63	0.063	-0.00533446	-0.199705	0.00443563
64	0.064	-0.00546241	-0.199715	0.00459688
65	0.065	-0.00559146	-0.199726	0.00476092
66	0.066	-0.00572157	-0.199737	0.00492775
67	0.067	-0.0058527	-0.199749	0.00509735
68	0.068	-0.00598481	-0.199761	0.00526973
69	0.069	-0.00611785	-0.199773	0.00544487
70	0.07	-0.00625177	-0.199786	0.00562278
71	0.071	-0.00638655	-0.1998	0.00580344
72	0.072	-0.00652212	-0.199814	0.00598686
73	0.073	-0.00665843	-0.199829	0.00617304
74	0.074	-0.00679545	-0.199844	0.00636196
75	0.075	-0.00693311	-0.199859	0.00655365
76	0.076	-0.00707136	-0.199875	0.00674808
77	0.077	-0.00721015	-0.199892	0.00694527
78	0.078	-0.00734942	-0.19991	0.00714521
79	0.079	-0.00748912	-0.199928	0.00734791
80	0.08	-0.0076292	-0.199947	0.00755336
81	0.081	-0.00776958	-0.199966	0.00776157
82	0.082	-0.00791022	-0.199987	0.00797254
83	0.083	-0.00805105	-0.200008	0.00818626
84	0.084	-0.00819202	-0.20003	0.00840274
85	0.085	-0.00833306	-0.200053	0.00862197
86	0.086	-0.0084741	-0.200076	0.00884396
87	0.087	-0.0086151	-0.200101	0.00906869
88	0.088	-0.00875598	-0.200127	0.00929617
89	0.089	-0.00889667	-0.200153	0.00952639
90	0.09	-0.00903713	-0.200181	0.00975934
91	0.091	-0.00917727	-0.200209	0.00999503
92	0.092	-0.00931705	-0.200239	0.0102334
93	0.093	-0.00945638	-0.20027	0.0104745
94	0.094	-0.00959521	-0.200302	0.0107183
95	0.095	-0.00973347	-0.200335	0.0109648
96	0.096	-0.0098711	-0.200369	0.011214
97	0.097	-0.010008	-0.200405	0.0114658
98	0.098	-0.0101442	-0.200442	0.0117203
99	0.099	-0.0102795	-0.20048	0.0119774
100	0.1	-0.010414	-0.200519	0.0122371
101	0.101	-0.0105475	-0.20056	0.0124993
102	0.102	-0.0106799	-0.200602	0.0127642
103	0.103	-0.0108113	-0.200645	0.0130315
104	0.104	-0.0109415	-0.20069	0.0133014
105	0.105	-0.0110706	-0.200737	0.0135737
106	0.106	-0.0111983	-0.200784	0.0138485
107	0.107	-0.0113247	-0.200833	0.0141257
108	0.108	-0.0114498	-0.200884	0.0144053
109	0.109	-0.0115733	-0.200936	0.0146873
110	0.11	-0.0116954	-0.200989	0.0149716
111	0.111	-0.0118158	-0.201044	0.0152581
112	0.112	-0.0119347	-0.201101	0.0155469
113	0.113	-0.0120519	-0.201159	0.0158379
114	0.114	-0.0121673	-0.201218	0.0161311
115	0.115	-0.0122809	-0.201279	0.0164264
116	0.116	-0.0123926	-0.201342	0.0167237
117	0.117	-0.0125025	-0.201406	0.0170231
118	0.118	-0.0126104	-0.201472	0.0173245
119	0.119	-0.0127163	-0.201539	0.0176279
120	0.12	-0.0128201	-0.201608	0.0179331
121	0.121	-0.0129218	-0.201678	0.0182402
122	0.122	-0.0130213	-0.20175	0.0185491
123	0.123	-0.0131187	-0.201823	0.0188597
124	0.124	-0.0132138	-0.201898	0.0191721
125	0.125	-0.0133065	-0.201975	0.019486
126	0.126	-0.013397	-0.202053	0.0198016
127	0.127	-0.013485	-0.202133	0.0201187
128	0.128	-0.0135706	-0.202214	0.0204373
129	0.129	-0.0136538	-0.202297	0.0207573
130	0.13	-0.0137344	-0.202381	0.0210787
131	0.131	-0.0138125	-0.202467	0.0214014
132	0.132	-0.013888	-0.202554	0.0217254
133	0.133	-0.0139609	-0.202643	0.0220505
134	0.134	-0.0140311	-0.202733	0.0223768
135	0.135	-0.0140986	-0.202825	0.0227042
136	0.136	-0.0141634	-0.202918	0.0230326
137	0.137	-0.0142255	-0.203013	0.0233619
138	0.138	-0.0142848	-0.203109	0.0236922
139	0.139	-0.0143412	-0.203206	0.0240232
140	0.14	-0.0143948	-0.203305	0.0243551
141	0.141	-0.0144456	-0.203406	0.0246876
142	0.142	-0.0144934	-0.203508	0.0250208
