TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.53995e-06	-0.2	1.87785e-07
2	0.002	-2.4688e-05	-0.199999	7.76952e-07
3	0.003	-4.76884e-05	-0.199997	1.9457e-06
4	0.004	-7.68862e-05	-0.199994	3.81744e-06
5	0.005	-0.000111691	-0.19999	6.45837e-06
6	0.006	-0.00015156	-0.199984	9.88163e-06
7	0.007	-0.000195987	-0.199975	1.40539e-05
8	0.008	-0.000244498	-0.199965	1.89021e-05
9	0.009	-0.000296648	-0.199952	2.43199e-05
10	0.01	-0.000352019	-0.199937	3.01742e-05
11	0.011	-0.000410218	-0.199919	3.63104e-05
12	0.012	-0.000470876	-0.199899	4.25577e-05
13	0.013	-0.000533646	-0.199876	4.87338e-05
14	0.014	-0.000598205	-0.19985	5.46483e-05
15	0.015	-0.000664249	-0.199821	6.01069e-05
16	0.016	-0.000731499	-0.199789	6.49143e-05
17	0.017	-0.000799693	-0.199754	6.88768e-05
18	0.018	-0.000868592	-0.199717	7.1805e-05
19	0.019	-0.000937974	-0.199676	7.35159e-05
20	0.02	-0.00100764	-0.199633	7.38343e-05
21	0.021	-0.00107741	-0.199587	7.25945e-05
22	0.022	-0.00114711	-0.199537	6.96415e-05
23	0.023	-0.0012166	-0.199485	6.48319e-05
24	0.024	-0.00128576	-0.19943	5.80349e-05
25	0.025	-0.00135448	-0.199371	4.91322e-05
26	0.026	-0.00142265	-0.19931	3.80192e-05
27	0.027	-0.00149021	-0.199246	2.46045e-05
28	0.028	-0.00155708	-0.199179	8.8106e-06
29	0.029	-0.00162322	-0.199109	-9.42686e-06
30	0.03	-0.0016886	-0.199036	-3.01587e-05
31	0.031	-0.00175319	-0.198961	-5.3423e-05
32	0.032	-0.00181699	-0.198882	-7.92448e-05
33	0.033	-0.00187999	-0.198801	-0.000107638
34	0.034	-0.00194221	-0.198716	-0.000138603
35	0.035	-0.00200368	-0.198629	-0.000172132
36	0.036	-0.00206441	-0.198539	-0.000208204
37	0.037	-0.00212447	-0.198446	-0.000246791
38	0.038	-0.00218389	-0.198351	-0.000287854
39	0.039	-0.00224272	-0.198252	-0.000331347
40	0.04	-0.00230104	-0.198151	-0.000377216
41	0.041	-0.0023589	-0.198047	-0.000425401
42	0.042	-0.00241637	-0.19794	-0.000475835
43	0.043	-0.00247353	-0.197831	-0.000528446
44	0.044	-0.00253046	-0.197718	-0.000583159
45	0.045	-0.00258722	-0.197603	-0.000639894
46	0.046	-0.00264391	-0.197485	-0.000698567
47	0.047	-0.0027006	-0.197365	-0.000759094
48	0.048	-0.00275738	-0.197241	-0.000821387
49	0.049	-0.00281432	-0.197115	-0.000885359
50	0.05	-0.0028715	-0.196986	-0.00095092
51	0.051	-0.002929	-0.196854	-0.00101798
52	0.052	-0.0029869	-0.19672	-0.00108646
53	0.053	-0.00304528	-0.196582	-0.00115625
54	0.054	-0.00310419	-0.196442	-0.00122729
55	0.055	-0.00316372	-0.1963	-0.00129949
56	0.056	-0.00322393	-0.196154	-0.00137275
57	0.057	-0.00328487	-0.196006	-0.00144701
58	0.058	-0.00334661	-0.195855	-0.00152218
59	0.059	-0.00340921	-0.195701	-0.0015982
60	0.06	-0.0034727	-0.195544	-0.00167498
61	0.061	-0.00353714	-0.195385	-0.00175247
62	0.062	-0.00360257	-0.195223	-0.0018306
63	0.063	-0.00366903	-0.195058	-0.0019093
64	0.064	-0.00373654	-0.19489	-0.00198852
65	0.065	-0.00380515	-0.19472	-0.00206821
66	0.066	-0.00387486	-0.194547	-0.0021483
67	0.067	-0.0039457	-0.194371	-0.00222877
68	0.068	-0.00401769	-0.194192	-0.00230956
69	0.069	-0.00409085	-0.194011	-0.00239063
70	0.07	-0.00416516	-0.193827	-0.00247195
71	0.071	-0.00424065	-0.19364	-0.00255347
72	0.072	-0.00431732	-0.19345	-0.00263518
73	0.073	-0.00439515	-0.193257	-0.00271704
74	0.074	-0.00447414	-0.193062	-0.00279903
75	0.075	-0.00455428	-0.192864	-0.00288112
76	0.076	-0.00463557	-0.192663	-0.00296329
77	0.077	-0.00471798	-0.19246	-0.00304553
78	0.078	-0.00480151	-0.192253	-0.00312781
79	0.079	-0.00488612	-0.192044	-0.00321014
80	0.08	-0.00497179	-0.191832	-0.00329248
81	0.081	-0.00505851	-0.191617	-0.00337483
82	0.082	-0.00514625	-0.1914	-0.00345718
83	0.083	-0.00523497	-0.19118	-0.00353952
84	0.084	-0.00532466	-0.190957	-0.00362185
85	0.085	-0.00541528	-0.190731	-0.00370415
86	0.086	-0.00550679	-0.190502	-0.00378642
87	0.087	-0.00559918	-0.190271	-0.00386865
88	0.088	-0.00569241	-0.190037	-0.00395083
89	0.089	-0.00578644	-0.1898	-0.00403296
90	0.09	-0.00588124	-0.18956	-0.00411504
91	0.091	-0.00597679	-0.189317	-0.00419705
92	0.092	-0.00607304	-0.189072	-0.00427899
93	0.093	-0.00616996	-0.188824	-0.00436086
94	0.094	-0.00626753	-0.188573	-0.00444264
