TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.53291e-06	-0.2	2.31625e-07
2	0.002	-2.46532e-05	-0.199999	9.98343e-07
3	0.003	-4.75871e-05	-0.199998	2.6064e-06
4	0.004	-7.6659e-05	-0.199996	5.3372e-06
5	0.005	-0.000111257	-0.199993	9.43835e-06
6	0.006	-0.000150817	-0.199989	1.51227e-05
7	0.007	-0.000194811	-0.199985	2.2571e-05
8	0.008	-0.000242746	-0.19998	3.19352e-05
9	0.009	-0.00029416	-0.199974	4.33421e-05
10	0.01	-0.000348617	-0.199967	5.68971e-05
11	0.011	-0.00040571	-0.19996	7.26874e-05
12	0.012	-0.000465057	-0.199953	9.07842e-05
13	0.013	-0.000526299	-0.199945	0.000111246
14	0.014	-0.000589104	-0.199938	0.000134118
15	0.015	-0.00065316	-0.199931	0.00015944
16	0.016	-0.00071818	-0.199925	0.000187239
17	0.017	-0.000783897	-0.199919	0.000217537
18	0.018	-0.000850068	-0.199914	0.000250351
19	0.019	-0.00091647	-0.199911	0.000285692
20	0.02	-0.000982898	-0.199908	0.000323568
21	0.021	-0.00104917	-0.199907	0.000363982
22	0.022	-0.00111513	-0.199907	0.000406934
23	0.023	-0.00118062	-0.199909	0.000452425
24	0.024	-0.00124551	-0.199913	0.00050045
25	0.025	-0.00130972	-0.199919	0.000551005
26	0.026	-0.00137313	-0.199927	0.000604084
27	0.027	-0.00143567	-0.199938	0.000659681
28	0.028	-0.00149729	-0.19995	0.000717788
29	0.029	-0.00155795	-0.199965	0.000778398
30	0.03	-0.0016176	-0.199982	0.000841503
31	0.031	-0.00167624	-0.200002	0.000907097
32	0.032	-0.00173385	-0.200024	0.000975172
33	0.033	-0.00179046	-0.200048	0.00104572
34	0.034	-0.00184607	-0.200075	0.00111874
35	0.035	-0.00190073	-0.200105	0.00119421
36	0.036	-0.00195446	-0.200137	0.00127215
37	0.037	-0.00200731	-0.200171	0.00135254
38	0.038	-0.00205934	-0.200208	0.00143537
39	0.039	-0.00211062	-0.200247	0.00152065
40	0.04	-0.00216121	-0.200288	0.00160837
41	0.041	-0.00221118	-0.200332	0.00169853
42	0.042	-0.00226062	-0.200377	0.00179114
43	0.043	-0.0023096	-0.200425	0.00188618
44	0.044	-0.00235821	-0.200475	0.00198366
45	0.045	-0.00240654	-0.200527	0.00208358
46	0.046	-0.00245468	-0.20058	0.00218594
47	0.047	-0.00250272	-0.200636	0.00229074
48	0.048	-0.00255074	-0.200693	0.00239799
49	0.049	-0.00259885	-0.200751	0.00250768
50	0.05	-0.00264712	-0.200811	0.00261982
51	0.051	-0.00269565	-0.200873	0.00273442
52	0.052	-0.00274452	-0.200936	0.00285147
53	0.053	-0.00279383	-0.201	0.00297098
54	0.054	-0.00284364	-0.201065	0.00309295
55	0.055	-0.00289404	-0.201131	0.0032174
56	0.056	-0.0029451	-0.201198	0.00334431
57	0.057	-0.0029969	-0.201266	0.00347369
58	0.058	-0.00304951	-0.201335	0.00360556
59	0.059	-0.00310299	-0.201405	0.00373991
60	0.06	-0.00315739	-0.201475	0.00387675
61	0.061	-0.00321278	-0.201546	0.00401608
