TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.57807e-06	-0.2	2.20668e-07
2	0.002	-2.48813e-05	-0.199999	9.42534e-07
3	0.003	-4.82674e-05	-0.199997	2.43832e-06
4	0.004	-7.82235e-05	-0.199994	4.94701e-06
5	0.005	-0.000114324	-0.199989	8.66619e-06
6	0.006	-0.000156207	-0.199983	1.37523e-05
7	0.007	-0.000203566	-0.199974	2.03241e-05
8	0.008	-0.000256134	-0.199963	2.84669e-05
9	0.009	-0.000313686	-0.199949	3.82374e-05
10	0.01	-0.000376025	-0.199932	4.96677e-05
11	0.011	-0.000442985	-0.199913	6.27693e-05
12	0.012	-0.000514423	-0.19989	7.75369e-05
13	0.013	-0.000590218	-0.199864	9.39512e-05
14	0.014	-0.000670268	-0.199834	0.000111982
15	0.015	-0.000754485	-0.199801	0.000131589
16	0.016	-0.000842796	-0.199764	0.000152728
17	0.017	-0.000935136	-0.199724	0.000175347
18	0.018	-0.00103145	-0.19968	0.000199394
19	0.019	-0.0011317	-0.199631	0.000224811
20	0.02	-0.00123584	-0.199579	0.000251544
21	0.021	-0.00134384	-0.199522	0.000279536
22	0.022	-0.00145566	-0.199462	0.000308733
23	0.023	-0.00157128	-0.199397	0.000339082
24	0.024	-0.00169068	-0.199328	0.000370534
25	0.025	-0.00181383	-0.199255	0.00040304
26	0.026	-0.00194071	-0.199177	0.000436559
27	0.027	-0.0020713	-0.199095	0.000471049
28	0.028	-0.00220558	-0.199009	0.000506475
29	0.029	-0.00234352	-0.198918	0.000542805
30	0.03	-0.00248512	-0.198823	0.000580012
31	0.031	-0.00263034	-0.198723	0.000618071
32	0.032	-0.00277918	-0.198619	0.000656964
33	0.033	-0.00293159	-0.19851	0.000696675
34	0.034	-0.00308758	-0.198397	0.000737192
35	0.035	-0.0032471	-0.19828	0.000778508
36	0.036	-0.00341014	-0.198158	0.000820618
37	0.037	-0.00357668	-0.198031	0.000863522
38	0.038	-0.00374668	-0.1979	0.000907221
39	0.039	-0.00392012	-0.197765	0.000951721
40	0.04	-0.00409698	-0.197625	0.000997029
41	0.041	-0.00427722	-0.19748	0.00104316
42	0.042	-0.00446082	-0.197331	0.00109011
43	0.043	-0.00464774	-0.197178	0.00113792
44	0.044	-0.00483795	-0.19702	0.00118658
