TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.56373e-06	-0.2	2.61006e-07
2	0.002	-2.48075e-05	-0.199999	1.14468e-06
3	0.003	-4.8043e-05	-0.199998	3.03691e-06
4	0.004	-7.76974e-05	-0.199996	6.31297e-06
5	0.005	-0.000113273	-0.199993	1.13229e-05
6	0.006	-0.000154325	-0.199989	1.8387e-05
7	0.007	-0.000200454	-0.199985	2.77951e-05
8	0.008	-0.000251295	-0.199979	3.98084e-05
9	0.009	-0.000306511	-0.199973	5.4662e-05
10	0.01	-0.000365797	-0.199966	7.25665e-05
11	0.011	-0.000428869	-0.199958	9.37115e-05
12	0.012	-0.000495466	-0.19995	0.000118267
13	0.013	-0.000565349	-0.199941	0.000146384
14	0.014	-0.000638296	-0.199933	0.000178199
15	0.015	-0.000714103	-0.199924	0.000213834
16	0.016	-0.000792583	-0.199916	0.000253397
17	0.017	-0.000873564	-0.199908	0.000296983
18	0.018	-0.000956888	-0.1999	0.000344678
19	0.019	-0.00104241	-0.199894	0.000396556
20	0.02	-0.00113	-0.199887	0.000452682
21	0.021	-0.00121954	-0.199882	0.000513113
22	0.022	-0.00131092	-0.199878	0.000577897
23	0.023	-0.00140404	-0.199876	0.000647074
24	0.024	-0.00149883	-0.199874	0.000720679
25	0.025	-0.00159519	-0.199874	0.000798741
26	0.026	-0.00169307	-0.199876	0.00088128
27	0.027	-0.00179241	-0.199879	0.000968313
28	0.028	-0.00189316	-0.199883	0.00105985
29	0.029	-0.00199527	-0.19989	0.00115591
30	0.03	-0.00209872	-0.199898	0.00125648
31	0.031	-0.00220347	-0.199908	0.00136157
32	0.032	-0.00230951	-0.19992	0.00147117
33	0.033	-0.00241683	-0.199933	0.00158527
34	0.034	-0.0025254	-0.199949	0.00170387
35	0.035	-0.00263524	-0.199966	0.00182696
36	0.036	-0.00274633	-0.199985	0.00195451
37	0.037	-0.00285869	-0.200006	0.00208652
38	0.038	-0.00297233	-0.200029	0.00222297
39	0.039	-0.00308725	-0.200053	0.00236383
40	0.04	-0.00320347	-0.200079	0.0025091
41	0.041	-0.003321	-0.200106	0.00265873
42	0.042	-0.00343987	-0.200135	0.00281272
43	0.043	-0.00356008	-0.200166	0.00297105
44	0.044	-0.00368167	-0.200198	0.00313368
45	0.045	-0.00380466	-0.200231	0.0033006
46	0.046	-0.00392905	-0.200266	0.00347178
47	0.047	-0.00405488	-0.200302	0.00364721
48	0.048	-0.00418216	-0.200339	0.00382686
49	0.049	-0.00431091	-0.200377	0.0040107
50	0.05	-0.00444116	-0.200416	0.00419872
51	0.051	-0.0045729	-0.200456	0.0043909
52	0.052	-0.00470616	-0.200496	0.00458721
53	0.053	-0.00484096	-0.200538	0.00478764
54	0.054	-0.00497729	-0.20058	0.00499216
55	0.055	-0.00511517	-0.200623	0.00520077
56	0.056	-0.00525461	-0.200666	0.00541344
57	0.057	-0.00539559	-0.20071	0.00563016
58	0.058	-0.00553814	-0.200754	0.00585091
59	0.059	-0.00568223	-0.200798	0.00607568
