TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.55041e-06	-0.2	2.51365e-07
2	0.002	-2.47409e-05	-0.199999	1.09686e-06
3	0.003	-4.78468e-05	-0.199998	2.89679e-06
4	0.004	-7.72515e-05	-0.199996	5.99663e-06
5	0.005	-0.000112409	-0.199993	1.07145e-05
6	0.006	-0.000152825	-0.19999	1.73374e-05
7	0.007	-0.000198046	-0.199985	2.6122e-05
8	0.008	-0.000247653	-0.19998	3.72964e-05
9	0.009	-0.000301258	-0.199974	5.10632e-05
10	0.01	-0.000358502	-0.199968	6.76019e-05
11	0.011	-0.00041905	-0.199961	8.70712e-05
12	0.012	-0.00048259	-0.199954	0.000109612
13	0.013	-0.000548834	-0.199947	0.000135347
14	0.014	-0.000617514	-0.19994	0.000164386
15	0.015	-0.00068838	-0.199933	0.000196825
16	0.016	-0.000761202	-0.199927	0.000232747
17	0.017	-0.00083577	-0.199921	0.000272225
18	0.018	-0.000911886	-0.199917	0.000315322
19	0.019	-0.000989372	-0.199913	0.00036209
20	0.02	-0.00106806	-0.19991	0.000412577
21	0.021	-0.00114782	-0.199909	0.000466819
22	0.022	-0.00122849	-0.199909	0.000524847
23	0.023	-0.00130997	-0.199911	0.000586687
24	0.024	-0.00139215	-0.199915	0.000652357
25	0.025	-0.00147493	-0.199921	0.000721872
26	0.026	-0.00155823	-0.199928	0.000795242
27	0.027	-0.00164199	-0.199938	0.00087247
28	0.028	-0.00172614	-0.19995	0.000953559
29	0.029	-0.00181064	-0.199964	0.00103851
30	0.03	-0.00189545	-0.19998	0.00112731
31	0.031	-0.00198054	-0.199998	0.00121996
32	0.032	-0.00206589	-0.200019	0.00131644
33	0.033	-0.00215149	-0.200042	0.00141675
34	0.034	-0.00223734	-0.200068	0.00152086
35	0.035	-0.00232344	-0.200095	0.00162877
36	0.036	-0.0024098	-0.200126	0.00174046
37	0.037	-0.00249643	-0.200158	0.00185591
38	0.038	-0.00258337	-0.200193	0.0019751
39	0.039	-0.00267063	-0.20023	0.00209802
40	0.04	-0.00275824	-0.200269	0.00222463
41	0.041	-0.00284624	-0.20031	0.00235493
42	0.042	-0.00293466	-0.200353	0.00248888
43	0.043	-0.00302354	-0.200398	0.00262648
44	0.044	-0.00311293	-0.200445	0.00276769
45	0.045	-0.00320285	-0.200494	0.00291251
46	0.046	-0.00329337	-0.200545	0.0030609
47	0.047	-0.0033845	-0.200597	0.00321285
48	0.048	-0.00347631	-0.200651	0.00336835
49	0.049	-0.00356882	-0.200707	0.00352736
50	0.05	-0.00366208	-0.200764	0.00368987
51	0.051	-0.00375613	-0.200822	0.00385586
52	0.052	-0.003851	-0.200882	0.00402532
