TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.56753e-06	-0.2	2.08485e-07
2	0.002	-2.48281e-05	-0.199999	8.80981e-07
3	0.003	-4.81095e-05	-0.199997	2.25451e-06
4	0.004	-7.78616e-05	-0.199994	4.5239e-06
5	0.005	-0.000113617	-0.199989	7.83594e-06
6	0.006	-0.000154968	-0.199983	1.22911e-05
7	0.007	-0.000201561	-0.199974	1.79479e-05
8	0.008	-0.000253078	-0.199962	2.48286e-05
9	0.009	-0.000309242	-0.199948	3.29239e-05
10	0.01	-0.000369806	-0.199931	4.2199e-05
11	0.011	-0.000434552	-0.199911	5.25974e-05
12	0.012	-0.000503286	-0.199888	6.40456e-05
13	0.013	-0.000575836	-0.199861	7.64565e-05
14	0.014	-0.000652052	-0.19983	8.97331e-05
15	0.015	-0.000731797	-0.199796	0.000103771
16	0.016	-0.000814953	-0.199758	0.000118462
17	0.017	-0.000901414	-0.199716	0.000133695
18	0.018	-0.000991086	-0.19967	0.000149358
19	0.019	-0.00108389	-0.19962	0.000165341
20	0.02	-0.00117974	-0.199566	0.000181537
21	0.021	-0.00127857	-0.199507	0.000197844
22	0.022	-0.00138033	-0.199444	0.000214163
23	0.023	-0.00148497	-0.199377	0.000230401
24	0.024	-0.00159242	-0.199305	0.000246474
25	0.025	-0.00170266	-0.199228	0.000262302
26	0.026	-0.00181564	-0.199147	0.000277815
27	0.027	-0.00193132	-0.199061	0.00029295
28	0.028	-0.00204967	-0.198971	0.000307651
29	0.029	-0.00217067	-0.198876	0.000321869
30	0.03	-0.00229428	-0.198776	0.000335567
31	0.031	-0.00242049	-0.198672	0.00034871
32	0.032	-0.00254927	-0.198563	0.000361276
33	0.033	-0.00268059	-0.198449	0.000373246
34	0.034	-0.00281445	-0.19833	0.000384609
35	0.035	-0.00295081	-0.198207	0.000395363
36	0.036	-0.00308968	-0.198079	0.00040551
37	0.037	-0.00323102	-0.197947	0.000415057
38	0.038	-0.00337483	-0.19781	0.000424018
39	0.039	-0.00352109	-0.197668	0.000432411
40	0.04	-0.00366978	-0.197521	0.000440261
41	0.041	-0.0038209	-0.19737	0.000447592
42	0.042	-0.00397443	-0.197215	0.000454437
43	0.043	-0.00413035	-0.197054	0.000460827
44	0.044	-0.00428864	-0.19689	0.0004668
45	0.045	-0.0044493	-0.19672	0.000472394
46	0.046	-0.0046123	-0.196546	0.000477648
47	0.047	-0.00477764	-0.196368	0.000482604
48	0.048	-0.00494528	-0.196185	0.000487304
49	0.049	-0.00511521	-0.195997	0.000491791
50	0.05	-0.0052874	-0.195805	0.000496109
51	0.051	-0.00546184	-0.195609	0.000500299
52	0.052	-0.0056385	-0.195408	0.000504404
53	0.053	-0.00581736	-0.195203	0.000508466
54	0.054	-0.00599837	-0.194993	0.000512525
55	0.055	-0.00618152	-0.194779	0.000516621
56	0.056	-0.00636677	-0.194561	0.000520792
57	0.057	-0.00655409	-0.194338	0.000525074
58	0.058	-0.00674343	-0.19411	0.000529502
59	0.059	-0.00693477	-0.193878	0.000534107
60	0.06	-0.00712804	-0.193642	0.000538921
61	0.061	-0.00732323	-0.193402	0.000543971
62	0.062	-0.00752026	-0.193157	0.000549284
63	0.063	-0.00771911	-0.192908	0.000554884
64	0.064	-0.00791971	-0.192654	0.000560793
65	0.065	-0.00812201	-0.192396	0.000567028
66	0.066	-0.00832595	-0.192134	0.000573608
67	0.067	-0.00853149	-0.191867	0.000580547
68	0.068	-0.00873855	-0.191596	0.000587858
69	0.069	-0.00894707	-0.19132	0.000595549
70	0.07	-0.009157	-0.19104	0.00060363
71	0.071	-0.00936825	-0.190756	0.000612107
72	0.072	-0.00958077	-0.190467	0.000620982
73	0.073	-0.00979447	-0.190174	0.000630259
74	0.074	-0.0100093	-0.189876	0.000639937
75	0.075	-0.0102252	-0.189574	0.000650014
76	0.076	-0.010442	-0.189268	0.000660489
77	0.077	-0.0106597	-0.188957	0.000671356
78	0.078	-0.0108783	-0.188641	0.000682608
79	0.079	-0.0110975	-0.188321	0.00069424
