TimeSlice	Time	Body_2 Y	Body_2 Z	Body_2 X
0	0	0	-0.2	0
1	0.001	-8.55667e-06	-0.2	1.92727e-07
2	0.002	-2.47722e-05	-0.199999	8.01697e-07
3	0.003	-4.79391e-05	-0.199997	2.01883e-06
4	0.004	-7.74611e-05	-0.199994	3.98396e-06
5	0.005	-0.000112815	-0.199989	6.78151e-06
6	0.006	-0.000153529	-0.199982	1.04442e-05
7	0.007	-0.000199176	-0.199973	1.49589e-05
8	0.008	-0.000249361	-0.199961	2.02732e-05
9	0.009	-0.000303722	-0.199947	2.63017e-05
10	0.01	-0.000361921	-0.19993	3.29322e-05
11	0.011	-0.00042365	-0.199909	4.00311e-05
12	0.012	-0.000488619	-0.199886	4.74479e-05
13	0.013	-0.000556563	-0.199859	5.50203e-05
14	0.014	-0.000627235	-0.199828	6.25776e-05
15	0.015	-0.000700407	-0.199794	6.99442e-05
16	0.016	-0.000775868	-0.199756	7.6943e-05
17	0.017	-0.000853424	-0.199715	8.33979e-05
18	0.018	-0.000932898	-0.199669	8.9136e-05
19	0.019	-0.00101413	-0.19962	9.39898e-05
20	0.02	-0.00109696	-0.199566	9.77988e-05
21	0.021	-0.00118126	-0.199509	0.000100411
22	0.022	-0.00126691	-0.199447	0.000101684
23	0.023	-0.00135381	-0.199381	0.000101486
24	0.024	-0.00144184	-0.199312	9.96956e-05
25	0.025	-0.00153093	-0.199238	9.62049e-05
26	0.026	-0.001621	-0.199159	9.09171e-05
27	0.027	-0.00171199	-0.199077	8.37476e-05
28	0.028	-0.00180384	-0.19899	7.46246e-05
29	0.029	-0.0018965	-0.1989	6.34886e-05
30	0.03	-0.00198995	-0.198805	5.0292e-05
31	0.031	-0.00208416	-0.198705	3.49992e-05
32	0.032	-0.0021791	-0.198602	1.75862e-05
33	0.033	-0.00227476	-0.198495	-1.96012e-06
34	0.034	-0.00237113	-0.198383	-2.36421e-05
35	0.035	-0.00246823	-0.198267	-4.74524e-05
36	0.036	-0.00256604	-0.198147	-7.33741e-05
37	0.037	-0.00266459	-0.198023	-0.000101382
38	0.038	-0.00276388	-0.197895	-0.000131441
39	0.039	-0.00286395	-0.197763	-0.000163512
40	0.04	-0.0029648	-0.197626	-0.000197546
41	0.041	-0.00306647	-0.197486	-0.00023349
42	0.042	-0.00316898	-0.197342	-0.000271284
43	0.043	-0.00327236	-0.197193	-0.000310865
44	0.044	-0.00337665	-0.197041	-0.000352164
45	0.045	-0.00348187	-0.196885	-0.000395112
46	0.046	-0.00358806	-0.196724	-0.000439635
47	0.047	-0.00369525	-0.19656	-0.000485656
48	0.048	-0.00380346	-0.196392	-0.000533099
49	0.049	-0.00391274	-0.19622	-0.000581886
50	0.05	-0.00402311	-0.196045	-0.000631938
51	0.051	-0.0041346	-0.195865	-0.000683177
