Time	Body_2 X	Body_2 Y	Body_2 Z
0	0	0	-0.2
0.001	0	-8.46E-06	-0.2
0.002	2.20E-19	-2.44E-05	-0.2
0.003	2.57E-18	-4.73E-05	-0.2
0.004	1.32E-17	-7.67E-05	-0.2
0.005	5.06E-17	-0.0001122	-0.2
0.006	1.52E-16	-0.000153689	-0.2
0.007	3.86E-16	-0.000201018	-0.2
0.008	8.57E-16	-0.000254104	-0.2
0.009000001	1.72E-15	-0.000312892	-0.1999999
0.01	3.20E-15	-0.00037735	-0.1999998
0.011	5.57E-15	-0.000447461	-0.1999997
0.012	9.22E-15	-0.000523217	-0.1999996
0.013	1.46E-14	-0.000604616	-0.1999993
0.014	2.23E-14	-0.000691662	-0.199999
0.015	3.29E-14	-0.000784361	-0.1999986
0.016	4.72E-14	-0.000882719	-0.1999981
0.017	6.62E-14	-0.000986746	-0.1999974
0.018	9.07E-14	-0.00109645	-0.1999965
0.019	1.22E-13	-0.001211839	-0.1999954
0.02	1.61E-13	-0.001332923	-0.1999941
0.021	2.09E-13	-0.001459709	-0.1999925
0.022	2.69E-13	-0.001592205	-0.1999906
0.023	3.40E-13	-0.001730418	-0.1999884
0.024	4.25E-13	-0.001874355	-0.1999858
0.025	5.27E-13	-0.002024021	-0.1999827
0.026	6.46E-13	-0.002179422	-0.1999792
0.027	7.85E-13	-0.002340561	-0.1999751
0.028	9.45E-13	-0.002507442	-0.1999704
0.029	1.13E-12	-0.002680068	-0.1999651
0.03	1.34E-12	-0.00285844	-0.1999591
0.031	1.58E-12	-0.00304256	-0.1999524
0.032	1.86E-12	-0.003232428	-0.1999448
0.033	2.16E-12	-0.003428042	-0.1999364
0.034	2.51E-12	-0.0036294	-0.199927
0.035	2.89E-12	-0.003836501	-0.1999166
0.036	3.32E-12	-0.004049339	-0.1999052
0.037	3.80E-12	-0.00426791	-0.1998926
0.038	4.32E-12	-0.004492209	-0.1998787
0.039	4.90E-12	-0.004722227	-0.1998636
0.04	5.54E-12	-0.004957956	-0.1998471
0.041	6.23E-12	-0.005199387	-0.1998291
0.042	6.99E-12	-0.005446509	-0.1998095
0.043	7.82E-12	-0.005699308	-0.1997884
0.044	8.71E-12	-0.005957772	-0.1997655
0.045	9.69E-12	-0.006221887	-0.1997408
0.046	1.07E-11	-0.006491635	-0.1997143
0.047	1.19E-11	-0.006766997	-0.1996857
0.048	1.31E-11	-0.007047954	-0.1996551
0.049	1.44E-11	-0.007334486	-0.1996222
0.05	1.58E-11	-0.007626568	-0.1995872
0.051	1.73E-11	-0.007924176	-0.1995497
0.052	1.90E-11	-0.008227284	-0.1995097
0.053	2.07E-11	-0.008535862	-0.1994672
0.054	2.25E-11	-0.008849881	-0.199422
0.055	2.45E-11	-0.009169308	-0.199374
0.056	2.66E-11	-0.009494109	-0.1993231
0.057	2.88E-11	-0.009824246	-0.1992693
0.058	3.11E-11	-0.01015968	-0.1992123
0.059	3.36E-11	-0.01050037	-0.199152
0.06	3.62E-11	-0.01084628	-0.1990885
0.061	3.90E-11	-0.01119735	-0.1990214
0.062	4.19E-11	-0.01155355	-0.1989509
0.063	4.50E-11	-0.01191481	-0.1988766
0.064	4.83E-11	-0.01228109	-0.1987985
0.06500001	5.17E-11	-0.01265232	-0.1987165
0.066	5.53E-11	-0.01302846	-0.1986304
0.067	5.91E-11	-0.01340944	-0.1985402
0.068	6.30E-11	-0.01379519	-0.1984458
0.06900001	6.72E-11	-0.01418565	-0.1983469
0.07	7.15E-11	-0.01458075	-0.1982434
0.071	7.61E-11	-0.01498041	-0.1981354
0.072	8.08E-11	-0.01538456	-0.1980225
0.07300001	8.58E-11	-0.01579312	-0.1979048
0.074	9.10E-11	-0.01620601	-0.197782
0.075	9.64E-11	-0.01662313	-0.1976541
0.07600001	1.02E-10	-0.01704441	-0.1975209
0.07700001	1.08E-10	-0.01746975	-0.1973824
0.078	1.14E-10	-0.01789905	-0.1972383
0.079	1.20E-10	-0.01833222	-0.1970885
0.08000001	1.27E-10	-0.01876914	-0.196933
0.081	1.34E-10	-0.01920973	-0.1967717
0.082	1.41E-10	-0.01965385	-0.1966043
0.083	1.48E-10	-0.02010142	-0.1964307
0.08400001	1.56E-10	-0.0205523	-0.196251
0.085	1.64E-10	-0.02100637	-0.1960648
0.086	1.72E-10	-0.02146352	-0.1958721
0.087	1.81E-10	-0.0219236	-0.1956729
0.08800001	1.89E-10	-0.0223865	-0.1954669
0.089	1.98E-10	-0.02285208	-0.1952541
0.09	2.08E-10	-0.02332019	-0.1950343
0.09100001	2.18E-10	-0.0237907	-0.1948075
0.09200001	2.28E-10	-0.02426346	-0.1945734
0.093	2.38E-10	-0.02473832	-0.1943321
