Time	Body_Z	Body_X	Body_Y	Joint_1	
0	-0.015	0	0	0	
0.0002	-0.015	7.4993E-14	-3.924E-07	0	
0.0004	-0.015	2.400059E-13	-1.1772E-06	-3.924E-07	
0.0006	-0.015	4.980482E-13	-2.3544E-06	-1.1772E-06	
0.0008	-0.015	8.497213E-13	-3.924E-06	-2.3544E-06	
0.0009999999	-0.015	1.295144E-12	-5.886E-06	-3.924E-06	
0.0012	-0.015	1.834338E-12	-8.240399E-06	-5.886E-06	
0.0014	-0.015	2.467306E-12	-1.09872E-05	-8.240399E-06	
0.0016	-0.015	3.194047E-12	-1.41264E-05	-1.09872E-05	
0.0018	-0.015	4.01456E-12	-1.7658E-05	-1.41264E-05	
0.002	-0.015	4.928841E-12	-2.1582E-05	-1.7658E-05	
0.0022	-0.015	5.936889E-12	-2.58984E-05	-2.1582E-05	
0.0024	-0.015	7.038701E-12	-3.06072E-05	-2.58984E-05	
0.0026	-0.015	8.234276E-12	-3.57084E-05	-3.06072E-05	
0.0028	-0.015	9.523612E-12	-4.120199E-05	-3.57084E-05	
0.003	-0.015	1.090671E-11	-4.708799E-05	-4.120199E-05	
0.0032	-0.015	1.238356E-11	-5.33664E-05	-4.708799E-05	
0.0034	-0.015	1.395416E-11	-6.003719E-05	-5.33664E-05	
0.0036	-0.015	1.561852E-11	-6.710039E-05	-6.003719E-05	
0.0038	-0.015	1.737663E-11	-7.455598E-05	-6.710039E-05	
0.004	-0.015	1.922848E-11	-8.240398E-05	-7.455598E-05	
0.0042	-0.015	2.117409E-11	-9.064437E-05	-8.240398E-05	
0.0044	-0.015	2.321343E-11	-9.927717E-05	-9.064437E-05	
0.0046	-0.015	2.534653E-11	-0.0001083024	-9.927717E-05	
0.0048	-0.015	2.757336E-11	-0.00011772	-0.0001083024	
0.005	-0.015	2.989393E-11	-0.00012753	-0.00011772	
0.0052	-0.015	3.230824E-11	-0.0001377324	-0.00012753	
0.0054	-0.015	3.481628E-11	-0.0001483272	-0.0001377324	
0.0056	-0.015	3.741806E-11	-0.0001593143	-0.0001483272	
0.0058	-0.015	4.011357E-11	-0.0001706939	-0.0001593143	
0.006	-0.015	4.290281E-11	-0.0001824659	-0.0001706939	
0.0062	-0.015	4.578578E-11	-0.0001946303	-0.0001824659	
0.0064	-0.015	4.876247E-11	-0.0002071871	-0.0001946303	
0.0066	-0.015	5.183289E-11	-0.0002201363	-0.0002071871	
0.0068	-0.015	5.499704E-11	-0.0002334779	-0.0002201363	
0.007	-0.015	5.82549E-11	-0.0002472119	-0.0002334779	
0.0072	-0.015	6.160649E-11	-0.0002613383	-0.0002472119	
0.0074	-0.015	6.505179E-11	-0.0002758571	-0.0002613383	
0.0076	-0.015	6.859081E-11	-0.0002907683	-0.0002758571	
0.0078	-0.015	7.222354E-11	-0.0003060718	-0.0002907683	
0.007999999	-0.015	7.594999E-11	-0.0003217678	-0.0003060718	
0.0082	-0.015	7.977016E-11	-0.0003378562	-0.0003217678	
0.0084	-0.015	8.368402E-11	-0.000354337	-0.0003378562	
0.008599999	-0.015	8.76916E-11	-0.0003712102	-0.000354337	
0.0088	-0.015	9.179289E-11	-0.0003884757	-0.0003712102	
0.009	-0.015	9.598788E-11	-0.0004061337	-0.0003884757	
0.0092	-0.015	1.002766E-10	-0.0004241841	-0.0004061337	
0.0094	-0.015	1.04659E-10	-0.0004426269	-0.0004241841	
0.0096	-0.015	1.091351E-10	-0.0004614621	-0.0004426269	
0.0098	-0.015	1.137049E-10	-0.0004806897	-0.0004614621	
0.01	-0.015	1.183684E-10	-0.0005003097	-0.0004806897	
0.0102	-0.015	1.231256E-10	-0.0005203221	-0.0005003097	
0.0104	-0.015	1.279765E-10	-0.0005407269	-0.0005203221	
0.0106	-0.015	1.329211E-10	-0.0005615241	-0.0005407269	
0.0108	-0.015	1.379594E-10	-0.0005827136	-0.0005615241	
0.011	-0.015	1.430913E-10	-0.0006042956	-0.0005827136	
0.0112	-0.015	1.48317E-10	-0.00062627	-0.0006042956	
0.0114	-0.015	1.536364E-10	-0.0006486368	-0.00062627	
0.0116	-0.015	1.590494E-10	-0.000671396	-0.0006486368	
0.0118	-0.015	1.645561E-10	-0.0006945476	-0.000671396	
0.012	-0.015	1.701565E-10	-0.0007180916	-0.0006945476	
0.0122	-0.015	1.758506E-10	-0.0007420279	-0.0007180916	
0.0124	-0.015	1.816384E-10	-0.0007663568	-0.0007420279	
0.0126	-0.015	1.875199E-10	-0.000791078	-0.0007663568	
0.0128	-0.015	1.93495E-10	-0.0008161915	-0.000791078	
0.013	-0.015	1.995639E-10	-0.0008416976	-0.0008161915	
0.0132	-0.015	2.057264E-10	-0.000867596	-0.0008416976	
0.0134	-0.015	2.119825E-10	-0.0008938867	-0.000867596	
0.0136	-0.015	2.183324E-10	-0.0009205699	-0.0008938867	
0.0138	-0.015	2.247759E-10	-0.0009476455	-0.0009205699	
0.014	-0.015	2.313131E-10	-0.0009751135	-0.0009476455	
0.0142	-0.015	2.37944E-10	-0.001002974	-0.0009751135	
0.0144	-0.015	2.446685E-10	-0.001031227	-0.001002974	
0.0146	-0.015	2.514867E-10	-0.001059872	-0.001031227	
0.0148	-0.015	2.583986E-10	-0.001088909	-0.001059872	
0.015	-0.015	2.654041E-10	-0.001118339	-0.001088909	
0.0152	-0.015	2.725034E-10	-0.001148162	-0.001118339	
0.0154	-0.015	2.796962E-10	-0.001178377	-0.001148162	
0.0156	-0.015	2.869828E-10	-0.001208984	-0.001178377	
0.0158	-0.015	2.94363E-10	-0.001239983	-0.001208984	
0.016	-0.015	3.018368E-10	-0.001271375	-0.001239983	
0.0162	-0.015	3.094044E-10	-0.00130316	-0.001271375	
0.0164	-0.015	3.170655E-10	-0.001335337	-0.00130316	
0.0166	-0.015	3.248204E-10	-0.001367906	-0.001335337	
0.0168	-0.015	3.326689E-10	-0.001400867	-0.001367906	
0.017	-0.015	3.40611E-10	-0.001434221	-0.001400867	
0.0172	-0.015	3.486469E-10	-0.001467968	-0.001434221	
0.0174	-0.015	3.567763E-10	-0.001502106	-0.001467968	
0.0176	-0.015	3.649994E-10	-0.001536638	-0.001502106	
0.0178	-0.015	3.733162E-10	-0.001571561	-0.001536638	
0.018	-0.015	3.817266E-10	-0.001606877	-0.001571561	
0.0182	-0.015	3.902307E-10	-0.001642585	-0.001606877	
0.0184	-0.015	3.988284E-10	-0.001678686	-0.001642585	
0.0186	-0.015	4.075197E-10	-0.001715179	-0.001678686	
0.0188	-0.015	4.163047E-10	-0.001752065	-0.001715179	
0.019	-0.015	4.251834E-10	-0.001789343	-0.001752065	
0.0192	-0.015	4.341557E-10	-0.001827013	-0.001789343	
0.0194	-0.015	4.432217E-10	-0.001865076	-0.001827013	
0.0196	-0.015	4.523813E-10	-0.001903531	-0.001865076	
0.0198	-0.015	4.616345E-10	-0.001942379	-0.001903531	
0.02	-0.015	4.709814E-10	-0.001981619	-0.001942379	
0.0202	-0.015	4.804219E-10	-0.002021251	-0.001981619	
0.0204	-0.015	4.899561E-10	-0.002061276	-0.002021251	
0.0206	-0.015	4.995839E-10	-0.002101693	-0.002061276	
0.0208	-0.015	5.093053E-10	-0.002142503	-0.002101693	
0.021	-0.015	5.191204E-10	-0.002183705	-0.002142503	
