Time	Body_X	Body_Y	Body_Z	Joint_1	
0	0	0	-0.15	0	
0.001	0	0	-0.15	0	
0.002	0	-9.810002E-06	-0.15	-9.810001E-06	
0.003	-4.397129E-09	-2.943E-05	-0.15	-2.943E-05	
0.004	-1.0713E-08	-5.885999E-05	-0.15	-5.886E-05	
0.005	-1.896362E-08	-9.809998E-05	-0.1500001	-9.81E-05	
0.006	-2.916176E-08	-0.00014715	-0.1500001	-0.00014715	
0.007	-4.131766E-08	-0.00020601	-0.1500001	-0.00020601	
0.008	-5.543952E-08	-0.0002746799	-0.1500002	-0.00027468	
0.009000001	-7.153387E-08	-0.0003531599	-0.1500002	-0.00035316	
0.01	-8.960595E-08	-0.0004414499	-0.1500003	-0.00044145	
0.011	-1.0966E-07	-0.0005395499	-0.1500003	-0.00053955	
0.012	-1.316993E-07	-0.0006474598	-0.1500004	-0.00064746	
0.013	-1.557265E-07	-0.0007651797	-0.1500005	-0.00076518	
0.014	-1.817439E-07	-0.0008927098	-0.1500006	-0.0008927099	
0.015	-2.097531E-07	-0.00103005	-0.1500006	-0.00103005	
0.016	-2.397555E-07	-0.0011772	-0.1500007	-0.0011772	
0.017	-2.717522E-07	-0.00133416	-0.1500008	-0.00133416	
0.018	-3.057441E-07	-0.00150093	-0.1500009	-0.00150093	
0.019	-3.417319E-07	-0.00167751	-0.150001	-0.00167751	
0.02	-3.797161E-07	-0.0018639	-0.1500012	-0.0018639	
0.021	-4.196972E-07	-0.0020601	-0.1500013	-0.0020601	
0.022	-4.616756E-07	-0.00226611	-0.1500014	-0.002266111	
0.023	-5.056515E-07	-0.00248193	-0.1500015	-0.002481931	
0.024	-5.516252E-07	-0.00270756	-0.1500017	-0.002707561	
0.025	-5.995969E-07	-0.002943	-0.1500018	-0.002943001	
0.026	-6.495666E-07	-0.00318825	-0.150002	-0.003188251	
0.027	-7.015346E-07	-0.003443311	-0.1500021	-0.003443311	
0.028	-7.55501E-07	-0.003708181	-0.1500023	-0.003708181	
0.029	-8.114656E-07	-0.003982861	-0.1500024	-0.003982862	
0.03	-8.694287E-07	-0.004267351	-0.1500026	-0.004267352	
0.031	-9.293904E-07	-0.004561651	-0.1500028	-0.004561652	
0.032	-9.913506E-07	-0.004865761	-0.150003	-0.004865762	
0.033	-1.055309E-06	-0.005179681	-0.1500032	-0.005179682	
0.034	-1.121267E-06	-0.005503411	-0.1500034	-0.005503412	
0.035	-1.189223E-06	-0.005836951	-0.1500036	-0.005836952	
0.036	-1.259177E-06	-0.006180301	-0.1500038	-0.006180303	
0.037	-1.331131E-06	-0.006533461	-0.150004	-0.006533463	
0.038	-1.405082E-06	-0.006896431	-0.1500042	-0.006896432	
0.039	-1.481033E-06	-0.007269211	-0.1500044	-0.007269213	
0.04	-1.558982E-06	-0.007651802	-0.1500047	-0.007651803	
0.041	-1.63893E-06	-0.008044201	-0.1500049	-0.008044204	
0.042	-1.720877E-06	-0.008446411	-0.1500052	-0.008446413	
0.043	-1.804822E-06	-0.008858431	-0.1500054	-0.008858434	
0.044	-1.890766E-06	-0.009280262	-0.1500057	-0.009280263	
0.045	-1.978708E-06	-0.009711902	-0.1500059	-0.009711904	
0.046	-2.06865E-06	-0.01015335	-0.1500062	-0.01015335	
0.047	-2.16059E-06	-0.01060461	-0.1500065	-0.01060461	
0.048	-2.254529E-06	-0.01106568	-0.1500068	-0.01106568	
0.049	-2.350466E-06	-0.01153656	-0.1500071	-0.01153656	
0.05	-2.448402E-06	-0.01201725	-0.1500074	-0.01201725	
0.051	-2.548337E-06	-0.01250775	-0.1500077	-0.01250775	
0.052	-2.650271E-06	-0.01300806	-0.150008	-0.01300806	
0.053	-2.754203E-06	-0.01351818	-0.1500083	-0.01351818	
0.054	-2.860133E-06	-0.01403811	-0.1500086	-0.01403811	
0.055	-2.968063E-06	-0.01456785	-0.1500089	-0.01456785	
0.056	-3.077991E-06	-0.0151074	-0.1500092	-0.01510741	
0.057	-3.189919E-06	-0.01565676	-0.1500096	-0.01565677	
0.058	-3.303844E-06	-0.01621593	-0.1500099	-0.01621594	
0.059	-3.419769E-06	-0.01678491	-0.1500103	-0.01678492	
0.06	-3.537692E-06	-0.0173637	-0.1500106	-0.01736371	
0.061	-3.657614E-06	-0.0179523	-0.150011	-0.01795231	
