TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.88055e-06	-3.38109e-07	0.2
2	0.002	-2.61071e-05	-1.21027e-06	0.2
3	0.003	-5.13361e-05	-2.74306e-06	0.200001
4	0.004	-8.43127e-05	-5.0304e-06	0.200002
5	0.005	-0.00012482	-8.15192e-06	0.200003
6	0.006	-0.000172655	-1.21824e-05	0.200004
7	0.007	-0.000227613	-1.71965e-05	0.200006
8	0.008	-0.000289484	-2.32709e-05	0.200009
9	0.009	-0.000358049	-3.04854e-05	0.200012
10	0.01	-0.000433078	-3.89236e-05	0.200015
11	0.011	-0.000514332	-4.86724e-05	0.200019
12	0.012	-0.000601563	-5.98224e-05	0.200023
13	0.013	-0.000694512	-7.24672e-05	0.200028
14	0.014	-0.000792913	-8.67037e-05	0.200034
15	0.015	-0.000896493	-0.000102631	0.20004
16	0.016	-0.00100497	-0.000120351	0.200047
17	0.017	-0.00111807	-0.000139966	0.200054
18	0.018	-0.00123548	-0.000161583	0.200062
19	0.019	-0.00135693	-0.000185307	0.200071
20	0.02	-0.00148211	-0.000211246	0.20008
21	0.021	-0.00161073	-0.000239508	0.20009
22	0.022	-0.00174249	-0.0002702	0.200101
23	0.023	-0.00187708	-0.00030343	0.200112
24	0.024	-0.00201422	-0.000339308	0.200124
25	0.025	-0.0021536	-0.000377938	0.200137
26	0.026	-0.00229493	-0.000419428	0.20015
27	0.027	-0.00243792	-0.000463882	0.200165
28	0.028	-0.00258228	-0.000511403	0.200179
29	0.029	-0.00272773	-0.000562093	0.200195
30	0.03	-0.002874	-0.000616051	0.200211
31	0.031	-0.00302081	-0.000673374	0.200227
32	0.032	-0.0031679	-0.000734156	0.200245
33	0.033	-0.00331502	-0.00079849	0.200262
34	0.034	-0.00346191	-0.000866464	0.200281
35	0.035	-0.00360833	-0.000938163	0.2003
36	0.036	-0.00375406	-0.00101367	0.200319
37	0.037	-0.00389887	-0.00109307	0.200339
38	0.038	-0.00404256	-0.00117642	0.200359
39	0.039	-0.00418491	-0.00126381	0.200379
40	0.04	-0.00432573	-0.00135531	0.2004
41	0.041	-0.00446486	-0.00145096	0.200421
42	0.042	-0.00460211	-0.00155084	0.200442
43	0.043	-0.00473732	-0.00165501	0.200464
44	0.044	-0.00487036	-0.0017635	0.200485
45	0.045	-0.00500109	-0.00187637	0.200507
46	0.046	-0.00512938	-0.00199367	0.200528
47	0.047	-0.00525512	-0.00211542	0.20055
48	0.048	-0.00537821	-0.00224166	0.200571
49	0.049	-0.00549857	-0.00237243	0.200592
50	0.05	-0.00561612	-0.00250775	0.200613
51	0.051	-0.00573078	-0.00264764	0.200634
52	0.052	-0.00584253	-0.00279211	0.200654
53	0.053	-0.0059513	-0.00294118	0.200674
54	0.054	-0.00605707	-0.00309486	0.200693
55	0.055	-0.00615982	-0.00325316	0.200711
56	0.056	-0.00625955	-0.00341606	0.200729
57	0.057	-0.00635626	-0.00358358	0.200747
58	0.058	-0.00644996	-0.0037557	0.200763
59	0.059	-0.00654068	-0.00393241	0.200779
60	0.06	-0.00662844	-0.0041137	0.200794
61	0.061	-0.0067133	-0.00429956	0.200808
62	0.062	-0.00679531	-0.00448995	0.200821
63	0.063	-0.00687453	-0.00468486	0.200832
64	0.064	-0.00695103	-0.00488425	0.200843
65	0.065	-0.00702488	-0.00508811	0.200853
66	0.066	-0.00709618	-0.00529639	0.200861
67	0.067	-0.00716501	-0.00550907	0.200869
68	0.068	-0.00723148	-0.0057261	0.200875
69	0.069	-0.00729569	-0.00594744	0.200879
70	0.07	-0.00735776	-0.00617306	0.200883
71	0.071	-0.0074178	-0.00640291	0.200885
72	0.072	-0.00747594	-0.00663694	0.200885
73	0.073	-0.00753231	-0.00687511	0.200885
74	0.074	-0.00758703	-0.00711737	0.200883
75	0.075	-0.00764025	-0.00736367	0.200879
76	0.076	-0.0076921	-0.00761396	0.200874
77	0.077	-0.00774272	-0.00786818	0.200867
78	0.078	-0.00779227	-0.0081263	0.200859
79	0.079	-0.00784088	-0.00838824	0.20085
80	0.08	-0.0078887	-0.00865396	0.200839
