TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-9.77607e-06	-1.88127e-07	0.2
2	0.002	-2.93084e-05	-6.76397e-07	0.2
3	0.003	-5.8584e-05	-1.53882e-06	0.2
4	0.004	-9.75934e-05	-2.83076e-06	0.2
5	0.005	-0.000146328	-4.59887e-06	0.2
6	0.006	-0.000204781	-6.88632e-06	0.2
7	0.007	-0.000272944	-9.73548e-06	0.2
8	0.008	-0.00035081	-1.31893e-05	0.2
9	0.009	-0.000438371	-1.72921e-05	0.199999
10	0.01	-0.000535618	-2.20897e-05	0.199999
11	0.011	-0.000642543	-2.76297e-05	0.199999
12	0.012	-0.000759137	-3.39612e-05	0.199999
13	0.013	-0.00088539	-4.11351e-05	0.199999
14	0.014	-0.00102129	-4.92036e-05	0.199998
15	0.015	-0.00116684	-5.822e-05	0.199998
16	0.016	-0.00132201	-6.8239e-05	0.199998
17	0.017	-0.00148681	-7.93159e-05	0.199997
18	0.018	-0.00166121	-9.15068e-05	0.199997
19	0.019	-0.00184522	-0.000104868	0.199997
20	0.02	-0.00203881	-0.000119458	0.199997
21	0.021	-0.00224199	-0.000135331	0.199997
22	0.022	-0.00245473	-0.000152547	0.199997
23	0.023	-0.00267703	-0.000171161	0.199996
24	0.024	-0.00290888	-0.00019123	0.199996
25	0.025	-0.00315026	-0.00021281	0.199997
26	0.026	-0.00340117	-0.000235956	0.199997
27	0.027	-0.0036616	-0.000260723	0.199997
28	0.028	-0.00393154	-0.000287164	0.199997
29	0.029	-0.00421097	-0.000315332	0.199998
30	0.03	-0.00449989	-0.000345278	0.199999
31	0.031	-0.00479828	-0.000377051	0.199999
32	0.032	-0.00510615	-0.0004107	0.2
33	0.033	-0.00542348	-0.000446272	0.200002
34	0.034	-0.00575025	-0.000483813	0.200003
35	0.035	-0.00608647	-0.000523365	0.200005
36	0.036	-0.00643213	-0.00056497	0.200006
37	0.037	-0.00678721	-0.00060867	0.200009
38	0.038	-0.00715172	-0.0006545	0.200011
39	0.039	-0.00752563	-0.000702498	0.200014
40	0.04	-0.00790895	-0.000752698	0.200017
41	0.041	-0.00830168	-0.000805131	0.20002
42	0.042	-0.0087038	-0.000859826	0.200024
43	0.043	-0.0091153	-0.000916813	0.200028
44	0.044	-0.00953619	-0.000976116	0.200032
45	0.045	-0.00996646	-0.00103776	0.200037
46	0.046	-0.0104061	-0.00110176	0.200042
47	0.047	-0.0108551	-0.00116815	0.200048
48	0.048	-0.0113135	-0.00123693	0.200054
49	0.049	-0.0117812	-0.00130812	0.20006
50	0.05	-0.0122584	-0.00138174	0.200067
51	0.051	-0.0127448	-0.00145779	0.200075
52	0.052	-0.0132406	-0.00153629	0.200083
53	0.053	-0.0137458	-0.00161723	0.200091
54	0.054	-0.0142603	-0.00170063	0.2001
55	0.055	-0.0147842	-0.00178649	0.20011
56	0.056	-0.0153175	-0.0018748	0.20012
57	0.057	-0.0158601	-0.00196557	0.200131
58	0.058	-0.016412	-0.0020588	0.200143
59	0.059	-0.0169733	-0.00215447	0.200155
60	0.06	-0.0175439	-0.00225258	0.200167
61	0.061	-0.018124	-0.00235312	0.200181
62	0.062	-0.0187133	-0.00245609	0.200195
63	0.063	-0.019312	-0.00256146	0.200209
