TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.67324e-06	-9.37543e-08	0.2
2	0.002	-2.53001e-05	-3.22338e-07	0.200001
3	0.003	-4.93817e-05	-7.05984e-07	0.200002
4	0.004	-8.05362e-05	-1.25814e-06	0.200005
5	0.005	-0.000118444	-1.9915e-06	0.200008
6	0.006	-0.000162814	-2.92021e-06	0.200012
7	0.007	-0.000213372	-4.06076e-06	0.200018
8	0.008	-0.000269845	-5.43193e-06	0.200025
9	0.009	-0.000331957	-7.05477e-06	0.200033
10	0.01	-0.000399429	-8.9523e-06	0.200043
11	0.011	-0.000471973	-1.11494e-05	0.200054
12	0.012	-0.000549296	-1.36726e-05	0.200067
13	0.013	-0.000631097	-1.65499e-05	0.200081
14	0.014	-0.000717068	-1.98107e-05	0.200097
15	0.015	-0.000806895	-2.34857e-05	0.200114
16	0.016	-0.000900261	-2.76068e-05	0.200133
17	0.017	-0.000996845	-3.2207e-05	0.200154
18	0.018	-0.00109632	-3.73205e-05	0.200177
19	0.019	-0.00119837	-4.29821e-05	0.200201
20	0.02	-0.00130266	-4.9228e-05	0.200227
21	0.021	-0.00140887	-5.60948e-05	0.200254
22	0.022	-0.00151668	-6.36201e-05	0.200283
23	0.023	-0.00162577	-7.18419e-05	0.200314
24	0.024	-0.00173584	-8.07993e-05	0.200347
25	0.025	-0.00184656	-9.05313e-05	0.200381
26	0.026	-0.00195764	-0.000101078	0.200417
27	0.027	-0.00206879	-0.000112479	0.200455
28	0.028	-0.00217971	-0.000124775	0.200494
29	0.029	-0.00229014	-0.000138005	0.200534
30	0.03	-0.0023998	-0.000152212	0.200576
31	0.031	-0.00250844	-0.000167435	0.20062
32	0.032	-0.00261582	-0.000183715	0.200664
33	0.033	-0.00272168	-0.000201091	0.20071
34	0.034	-0.00282582	-0.000219603	0.200757
35	0.035	-0.00292802	-0.000239292	0.200805
36	0.036	-0.00302808	-0.000260195	0.200854
37	0.037	-0.00312581	-0.000282351	0.200904
38	0.038	-0.00322104	-0.000305797	0.200955
39	0.039	-0.0033136	-0.000330571	0.201006
40	0.04	-0.00340336	-0.000356708	0.201057
41	0.041	-0.00349017	-0.000384243	0.20111
42	0.042	-0.00357391	-0.00041321	0.201162
43	0.043	-0.00365447	-0.000443641	0.201214
44	0.044	-0.00373176	-0.000475569	0.201267
45	0.045	-0.00380568	-0.000509023	0.20132
46	0.046	-0.00387618	-0.000544033	0.201372
47	0.047	-0.00394318	-0.000580625	0.201424
48	0.048	-0.00400664	-0.000618827	0.201475
49	0.049	-0.00406652	-0.000658661	0.201526
50	0.05	-0.0041228	-0.000700153	0.201576
51	0.051	-0.00417546	-0.000743322	0.201626
52	0.052	-0.0042245	-0.000788188	0.201674
53	0.053	-0.00426992	-0.00083477	0.201722
54	0.054	-0.00431174	-0.000883084	0.201768
55	0.055	-0.00434999	-0.000933143	0.201813
56	0.056	-0.00438469	-0.000984962	0.201856
