TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-9.77659e-06	-3.29458e-08	0.2
2	0.002	-2.93093e-05	-1.00501e-07	0.200001
3	0.003	-5.85843e-05	-1.94978e-07	0.200002
4	0.004	-9.75908e-05	-3.08195e-07	0.200003
5	0.005	-0.00014632	-4.34675e-07	0.200005
6	0.006	-0.000204764	-5.72353e-07	0.200007
7	0.007	-0.000272914	-7.22455e-07	0.20001
8	0.008	-0.000350764	-8.8902e-07	0.200014
9	0.009	-0.000438304	-1.07841e-06	0.200019
10	0.01	-0.000535527	-1.29894e-06	0.200024
11	0.011	-0.000642424	-1.56057e-06	0.20003
12	0.012	-0.000758987	-1.87461e-06	0.200037
13	0.013	-0.000885207	-2.25374e-06	0.200044
14	0.014	-0.00102107	-2.71161e-06	0.200053
15	0.015	-0.00116658	-3.26298e-06	0.200063
16	0.016	-0.00132172	-3.92365e-06	0.200074
17	0.017	-0.00148647	-4.71037e-06	0.200086
18	0.018	-0.00166084	-5.64085e-06	0.200099
19	0.019	-0.00184481	-6.7337e-06	0.200113
20	0.02	-0.00203836	-8.00841e-06	0.200128
21	0.021	-0.0022415	-9.4854e-06	0.200145
22	0.022	-0.00245421	-1.11859e-05	0.200163
23	0.023	-0.00267649	-1.31321e-05	0.200183
24	0.024	-0.00290831	-1.53468e-05	0.200204
25	0.025	-0.00314968	-1.78539e-05	0.200226
26	0.026	-0.00340059	-2.06777e-05	0.20025
27	0.027	-0.00366101	-2.38434e-05	0.200276
28	0.028	-0.00393096	-2.73766e-05	0.200303
29	0.029	-0.00421041	-3.1304e-05	0.200332
30	0.03	-0.00449936	-3.56522e-05	0.200363
31	0.031	-0.0047978	-4.04487e-05	0.200395
32	0.032	-0.00510573	-4.57213e-05	0.20043
33	0.033	-0.00542313	-5.14979e-05	0.200466
34	0.034	-0.00575	-5.7807e-05	0.200504
35	0.035	-0.00608632	-6.46771e-05	0.200544
36	0.036	-0.00643211	-7.21368e-05	0.200585
37	0.037	-0.00678734	-8.02148e-05	0.200629
38	0.038	-0.00715201	-8.89396e-05	0.200675
39	0.039	-0.00752612	-9.83398e-05	0.200723
40	0.04	-0.00790966	-0.000108443	0.200773
41	0.041	-0.00830263	-0.000119279	0.200824
42	0.042	-0.00870501	-0.000130873	0.200878
43	0.043	-0.00911682	-0.000143253	0.200934
44	0.044	-0.00953803	-0.000156445	0.200992
45	0.045	-0.00996866	-0.000170476	0.201053
46	0.046	-0.0104087	-0.000185371	0.201115
47	0.047	-0.0108581	-0.000201153	0.201179
48	0.048	-0.011317	-0.000217846	0.201246
49	0.049	-0.0117852	-0.000235474	0.201315
50	0.05	-0.0122628	-0.000254057	0.201386
51	0.051	-0.0127498	-0.000273616	0.201459
52	0.052	-0.0132463	-0.00029417	0.201534
53	0.053	-0.0137521	-0.000315738	0.201611
54	0.054	-0.0142673	-0.000338336	0.201691
55	0.055	-0.0147919	-0.000361981	0.201773
56	0.056	-0.0153258	-0.000386687	0.201856
57	0.057	-0.0158692	-0.000412466	0.201942
58	0.058	-0.016422	-0.000439331	0.20203
59	0.059	-0.0169841	-0.000467292	0.202121
60	0.06	-0.0175557	-0.000496357	0.202213
61	0.061	-0.0181366	-0.000526534	0.202307
62	0.062	-0.018727	-0.00055783	0.202404
63	0.063	-0.0193267	-0.000590247	0.202502
64	0.064	-0.0199359	-0.00062379	0.202603
65	0.065	-0.0205544	-0.00065846	0.202706
66	0.066	-0.0211824	-0.000694257	0.20281
67	0.067	-0.0218198	-0.000731179	0.202917
68	0.068	-0.0224665	-0.000769224	0.203026
69	0.069	-0.0231227	-0.000808387	0.203136
70	0.07	-0.0237883	-0.000848663	0.203249
71	0.071	-0.0244633	-0.000890045	0.203364
72	0.072	-0.0251478	-0.000932525	0.20348
73	0.073	-0.0258417	-0.000976092	0.203599
74	0.074	-0.026545	-0.00102074	0.203719
75	0.075	-0.0272577	-0.00106645	0.203841
76	0.076	-0.0279799	-0.00111321	0.203966
77	0.077	-0.0287115	-0.00116101	0.204092
78	0.078	-0.0294525	-0.00120983	0.204219
79	0.079	-0.030203	-0.00125965	0.204349
80	0.08	-0.030963	-0.00131047	0.20448
81	0.081	-0.0317324	-0.00136225	0.204614
82	0.082	-0.0325113	-0.00141499	0.204749
83	0.083	-0.0332996	-0.00146866	0.204885
