TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.70554e-06	3.22807e-07	0.2
2	0.002	-2.54062e-05	1.30728e-06	0.2
3	0.003	-4.9598e-05	3.25836e-06	0.199999
4	0.004	-8.0888e-05	6.43365e-06	0.199999
5	0.005	-0.000118944	1.10446e-05	0.199998
6	0.006	-0.000163465	1.7263e-05	0.199998
7	0.007	-0.000214171	2.52284e-05	0.199997
8	0.008	-0.000270787	3.50549e-05	0.199997
9	0.009	-0.000333043	4.68367e-05	0.199996
10	0.01	-0.000400666	6.06522e-05	0.199996
11	0.011	-0.000473384	7.65676e-05	0.199995
12	0.012	-0.000550919	9.4639e-05	0.199994
13	0.013	-0.000632989	0.000114914	0.199992
14	0.014	-0.000719311	0.000137432	0.199991
15	0.015	-0.000809596	0.000162226	0.199989
16	0.016	-0.000903553	0.000189324	0.199987
17	0.017	-0.00100089	0.000218745	0.199984
18	0.018	-0.00110131	0.000250504	0.199981
19	0.019	-0.00120453	0.000284607	0.199977
20	0.02	-0.00131024	0.000321055	0.199973
21	0.021	-0.00141815	0.000359842	0.199968
22	0.022	-0.00152799	0.000400955	0.199962
23	0.023	-0.00163945	0.000444374	0.199955
24	0.024	-0.00175226	0.000490071	0.199947
25	0.025	-0.00186615	0.000538011	0.199939
26	0.026	-0.00198083	0.000588152	0.199929
27	0.027	-0.00209606	0.000640445	0.199918
28	0.028	-0.00221156	0.000694833	0.199905
29	0.029	-0.0023271	0.000751254	0.199892
30	0.03	-0.00244242	0.000809637	0.199877
31	0.031	-0.00255731	0.000869907	0.19986
32	0.032	-0.00267153	0.00093198	0.199842
33	0.033	-0.00278487	0.000995768	0.199821
34	0.034	-0.00289713	0.00106118	0.199799
35	0.035	-0.00300812	0.00112811	0.199776
36	0.036	-0.00311765	0.00119647	0.19975
37	0.037	-0.00322555	0.00126615	0.199722
38	0.038	-0.00333166	0.00133703	0.199691
39	0.039	-0.00343583	0.001409	0.199659
40	0.04	-0.00353791	0.00148196	0.199624
41	0.041	-0.00363778	0.00155578	0.199587
42	0.042	-0.00373532	0.00163035	0.199547
43	0.043	-0.00383042	0.00170555	0.199504
44	0.044	-0.00392298	0.00178127	0.199459
45	0.045	-0.0040129	0.00185738	0.199411
46	0.046	-0.00410012	0.00193379	0.19936
47	0.047	-0.00418457	0.00201037	0.199306
48	0.048	-0.00426617	0.00208701	0.199249
49	0.049	-0.00434489	0.00216361	0.199189
50	0.05	-0.00442068	0.00224006	0.199126
51	0.051	-0.00449351	0.00231627	0.19906
52	0.052	-0.00456336	0.00239214	0.198991
53	0.053	-0.00463021	0.00246757	0.198918
54	0.054	-0.00469405	0.0025425	0.198842
55	0.055	-0.00475488	0.00261683	0.198762
56	0.056	-0.00481271	0.00269049	0.19868
57	0.057	-0.00486756	0.00276341	0.198593
58	0.058	-0.00491944	0.00283553	0.198504
59	0.059	-0.00496839	0.00290681	0.198411
60	0.06	-0.00501443	0.00297718	0.198314
61	0.061	-0.00505762	0.00304661	0.198214
62	0.062	-0.00509798	0.00311506	0.198111
63	0.063	-0.00513557	0.00318251	0.198004
64	0.064	-0.00517045	0.00324892	0.197893
65	0.065	-0.00520268	0.0033143	0.197779
66	0.066	-0.00523233	0.00337863	0.197662
67	0.067	-0.00525945	0.00344191	0.197541
68	0.068	-0.00528413	0.00350415	0.197417
69	0.069	-0.00530645	0.00356536	0.197289
70	0.07	-0.00532647	0.00362555	0.197158
71	0.071	-0.00534429	0.00368476	0.197023
72	0.072	-0.00536	0.00374301	0.196886
73	0.073	-0.00537368	0.00380034	0.196745
74	0.074	-0.00538543	0.0038568	0.1966
75	0.075	-0.00539533	0.00391242	0.196453
76	0.076	-0.0054035	0.00396726	0.196302
77	0.077	-0.00541002	0.00402138	0.196149
78	0.078	-0.005415	0.00407484	0.195992
79	0.079	-0.00541854	0.0041277	0.195832
80	0.08	-0.00542074	0.00418003	0.19567
81	0.081	-0.00542172	0.00423191	0.195504
82	0.082	-0.00542157	0.0042834	0.195336
83	0.083	-0.00542041	0.00433458	0.195165
84	0.084	-0.00541834	0.00438554	0.194991
85	0.085	-0.00541547	0.00443636	0.194815
86	0.086	-0.00541192	0.00448711	0.194636
87	0.087	-0.00540778	0.00453789	0.194455
88	0.088	-0.00540318	0.00458877	0.194271
89	0.089	-0.00539821	0.00463985	0.194085
