TimeSlice	Time	Body_2 Y	Body_2 X	Body_2 Z
0	0	0	0	0.2
1	0.001	-8.58939e-06	3.3182e-07	0.2
2	0.002	-2.49026e-05	1.2572e-06	0.200001
3	0.003	-4.82819e-05	2.98728e-06	0.200003
4	0.004	-7.81978e-05	5.69577e-06	0.200006
5	0.005	-0.000114203	9.52845e-06	0.20001
6	0.006	-0.000155906	1.461e-05	0.200015
7	0.007	-0.000202953	2.10492e-05	0.200023
8	0.008	-0.000255014	2.89428e-05	0.200032
9	0.009	-0.00031178	3.83785e-05	0.200043
10	0.01	-0.000372951	4.94371e-05	0.200056
11	0.011	-0.000438237	6.2194e-05	0.200071
12	0.012	-0.000507355	7.67204e-05	0.200089
13	0.013	-0.000580023	9.30842e-05	0.200108
14	0.014	-0.000655964	0.00011135	0.200129
15	0.015	-0.000734905	0.000131581	0.200152
16	0.016	-0.000816575	0.000153837	0.200177
17	0.017	-0.000900703	0.000178175	0.200204
18	0.018	-0.000987026	0.00020465	0.200232
19	0.019	-0.00107528	0.000233317	0.200263
20	0.02	-0.00116521	0.000264224	0.200295
21	0.021	-0.00125657	0.00029742	0.200329
22	0.022	-0.00134911	0.000332949	0.200365
23	0.023	-0.00144259	0.000370854	0.200402
24	0.024	-0.00153677	0.000411172	0.20044
25	0.025	-0.00163145	0.00045394	0.20048
26	0.026	-0.0017264	0.00049919	0.200521
27	0.027	-0.00182142	0.000546951	0.200563
28	0.028	-0.00191631	0.000597249	0.200606
29	0.029	-0.00201088	0.000650105	0.200649
30	0.03	-0.00210497	0.00070554	0.200694
31	0.031	-0.0021984	0.000763568	0.200739
32	0.032	-0.00229102	0.000824203	0.200784
33	0.033	-0.00238268	0.000887453	0.200829
34	0.034	-0.00247325	0.000953324	0.200875
35	0.035	-0.0025626	0.00102182	0.200921
36	0.036	-0.00265062	0.00109294	0.200966
37	0.037	-0.00273721	0.00116669	0.201011
38	0.038	-0.00282227	0.00124306	0.201055
39	0.039	-0.00290572	0.00132204	0.201099
40	0.04	-0.00298749	0.00140362	0.201142
